"Popolazione per età, vista per singola area - Comune: 061045 - Liberi"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Liberi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;8;6;10;9;7;10;8;11;8;8;7;7;12;4;10;6;10;5
1;15;9;5;10;9;7;10;6;11;8;7;7;7;12;4;10;5;11
2;9;15;9;4;10;9;8;11;6;11;8;9;7;6;12;4;10;5
3;11;8;15;10;5;10;9;8;10;6;11;8;9;7;5;12;4;10
4;11;14;8;15;10;5;10;8;9;11;6;12;9;9;9;6;13;4
5;11;11;16;8;14;10;6;10;9;9;9;6;12;9;9;9;6;12
6;11;11;10;15;7;14;10;6;10;9;9;10;8;12;9;10;9;5
7;11;10;11;10;15;9;15;10;5;10;9;7;8;8;12;9;9;9
8;16;11;11;11;10;14;9;14;10;6;10;9;5;8;7;13;8;9
9;8;16;11;11;10;11;14;9;16;10;6;11;8;5;9;8;13;8
10;16;7;16;11;9;10;11;13;11;16;10;5;11;8;5;9;7;13
11;17;17;7;16;11;10;10;11;13;10;17;9;5;11;8;5;9;6
12;12;17;17;7;17;10;10;10;11;14;10;16;8;5;11;8;5;8
13;22;12;17;17;6;17;9;11;11;11;14;12;17;8;5;11;8;5
14;15;22;11;18;17;6;16;9;11;11;11;13;12;17;8;5;11;7
15;11;15;22;11;18;18;6;15;10;10;11;11;12;11;17;7;5;11
16;9;13;15;20;11;18;16;7;15;10;11;10;11;12;11;15;7;5
17;15;9;13;14;21;11;17;15;7;15;10;11;12;11;12;11;15;7
18;13;15;9;13;14;21;11;17;14;7;16;10;11;11;11;12;11;16
19;8;13;15;10;14;14;21;10;17;15;7;15;8;11;11;11;12;12
20;13;8;13;15;10;12;14;20;12;18;15;8;15;9;11;11;10;12
21;16;13;8;13;16;10;11;16;20;12;18;16;8;15;10;11;11;10
22;18;16;13;8;16;17;10;11;16;20;12;17;17;7;14;11;11;12
23;19;18;17;12;8;15;17;12;10;16;20;12;17;17;7;14;11;12
24;13;21;20;16;12;9;13;13;12;9;16;19;11;16;18;8;12;12
25;22;12;23;18;14;11;8;12;16;9;10;16;21;12;16;18;9;12
26;17;22;11;22;18;16;10;8;12;16;8;9;15;21;13;15;16;8
27;17;15;22;11;23;18;15;12;8;13;15;6;9;16;25;13;14;15
28;15;17;15;22;11;24;15;15;10;8;14;14;7;11;17;22;15;13
29;18;14;16;15;23;9;23;16;16;11;7;13;15;9;11;18;21;16
30;15;19;14;17;17;23;10;23;16;17;11;7;13;15;8;10;17;21
31;17;12;17;14;17;17;19;10;22;18;17;14;9;15;14;9;11;17
32;15;17;17;17;14;17;15;18;14;22;18;15;12;7;15;14;9;12
33;17;15;15;17;17;15;18;15;16;12;16;19;14;10;6;12;14;9
34;17;17;15;15;17;17;13;15;14;17;12;17;20;12;11;6;12;16
35;15;14;18;15;15;19;16;15;19;14;16;10;16;21;12;12;7;12
36;16;14;14;18;16;16;19;15;17;20;15;18;8;19;21;13;12;7
37;21;15;14;15;17;16;16;18;15;16;15;17;19;7;20;20;12;12
38;20;22;15;14;13;17;16;16;18;15;16;15;17;17;8;20;18;12
39;19;20;22;15;15;13;16;16;16;17;16;16;14;16;17;8;20;17
40;16;19;20;22;16;14;14;15;16;16;18;18;15;13;16;18;9;17
41;12;15;20;19;22;16;16;15;18;15;16;18;19;14;14;15;17;9
42;14;12;15;19;21;22;16;16;15;19;15;16;17;19;14;14;15;16
43;19;15;11;17;18;22;22;16;16;16;18;15;16;17;21;14;14;15
44;18;19;14;11;17;18;21;22;16;16;17;18;13;16;17;21;14;16
45;14;18;19;14;12;16;18;21;21;17;16;16;18;13;17;17;19;14
46;16;15;18;19;15;12;17;18;23;21;17;16;16;19;13;17;17;19
47;14;14;16;18;18;15;12;17;19;23;22;18;17;16;19;13;18;17
48;10;14;14;16;19;18;15;14;16;19;23;22;19;16;16;16;14;18
49;23;10;14;14;16;19;19;14;13;18;19;24;24;19;16;16;15;14
50;6;24;9;14;14;15;18;19;14;13;18;19;23;25;18;16;17;14
51;22;6;23;9;13;14;16;14;18;14;13;18;18;22;24;16;15;17
52;16;22;6;23;9;14;14;15;14;18;13;15;18;18;22;24;16;16
53;18;16;21;6;23;9;12;12;15;16;19;11;15;18;18;23;21;16
54;13;18;16;21;8;23;9;11;15;15;17;19;11;16;18;17;23;21
55;13;16;19;16;22;9;22;10;13;14;15;17;18;11;16;18;17;23
56;11;12;16;19;16;22;10;22;10;14;14;16;18;18;11;14;18;16
57;11;11;12;16;18;16;22;10;21;10;14;14;17;17;18;11;13;18
58;15;13;11;12;15;19;14;22;7;21;10;15;15;16;17;18;13;13
59;11;16;13;10;12;17;18;14;25;7;21;10;16;15;16;18;18;14
60;8;12;16;13;10;14;18;21;14;25;8;22;10;16;16;15;18;17
61;13;8;12;16;13;13;15;18;22;15;25;8;21;10;16;15;15;17
62;17;13;6;12;16;12;12;15;17;23;15;26;5;21;9;16;15;15
63;14;17;13;6;12;16;12;10;15;17;23;15;27;5;21;9;15;15
64;10;13;17;12;5;12;16;11;12;15;17;24;14;26;5;21;9;16
65;13;8;15;17;12;6;12;16;13;12;14;15;22;13;25;5;21;9
66;12;12;8;14;17;12;7;11;18;15;12;14;16;22;13;25;5;21
67;12;12;13;7;14;17;12;9;11;16;15;14;15;16;21;13;24;5
68;15;13;11;11;7;15;17;12;9;11;14;13;14;15;16;18;13;24
69;19;15;13;11;11;7;15;15;11;8;10;14;15;14;15;16;19;13
70;19;20;14;13;10;11;7;14;16;11;7;10;15;14;14;15;17;19
71;16;16;20;14;13;11;11;7;14;13;11;8;10;15;14;15;14;17
72;19;16;16;19;14;13;11;11;8;14;13;11;8;10;14;14;15;14
73;10;17;16;15;18;15;13;11;11;8;13;13;10;7;10;15;14;17
74;12;10;17;16;16;19;15;13;10;11;10;13;14;10;7;9;13;13
75;22;12;9;17;16;16;19;14;14;9;11;9;13;16;10;7;9;12
76;10;21;12;8;15;15;16;17;14;13;8;11;7;12;16;10;7;9
77;20;10;20;12;6;14;13;16;17;12;13;7;11;7;12;16;10;7
78;13;19;10;19;10;6;13;12;12;16;13;12;6;11;6;13;16;9
79;10;12;17;10;16;9;7;12;11;12;13;14;11;5;10;6;11;15
