"Popolazione per età, vista per singola area - Comune: 062048 - Paolisi"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Paolisi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;18;18;26;22;14;17;28;22;17;23;17;23;24;16;22;21;22;25
1;17;18;16;26;20;16;20;27;20;17;23;16;23;24;18;26;20;18
2;29;20;19;16;27;18;20;19;29;23;17;23;18;23;23;19;23;20
3;14;28;21;20;13;26;19;19;20;26;21;17;25;15;21;24;19;22
4;12;16;28;21;21;13;27;21;17;19;30;20;20;23;16;21;27;20
5;19;12;17;27;23;22;16;25;20;16;18;26;20;19;19;16;21;27
6;20;19;13;15;27;22;23;15;29;22;17;17;26;19;20;19;16;21
7;21;20;21;15;16;27;22;23;16;30;23;18;17;27;19;20;19;16
8;22;22;20;22;15;16;28;22;22;16;29;21;21;14;28;18;22;19
9;21;21;22;22;22;16;16;28;21;23;18;29;22;19;14;29;17;21
10;21;21;21;22;23;22;18;15;29;22;23;15;31;22;18;14;27;18
11;18;21;19;21;22;23;23;18;14;28;22;22;16;28;19;17;15;31
12;19;17;21;18;22;24;22;23;18;15;28;21;23;15;28;20;17;16
13;19;19;19;21;18;21;24;21;23;16;15;28;21;23;16;28;20;18
14;29;21;20;19;20;18;21;24;21;22;18;15;29;18;23;16;29;20
15;25;30;20;20;19;21;18;20;24;21;22;17;16;30;17;23;15;28
16;25;26;30;19;20;19;23;19;20;24;20;22;18;16;29;17;22;18
17;21;25;28;30;19;19;19;22;18;20;24;21;23;18;15;29;19;24
18;25;20;25;27;30;19;19;19;20;17;20;27;22;25;19;14;28;21
19;22;27;22;24;28;28;21;22;19;20;18;21;32;22;28;19;19;25
20;34;22;28;21;23;28;31;23;24;18;21;19;21;33;24;28;22;14
21;30;33;26;28;21;22;28;29;24;24;18;20;20;24;32;26;30;21
22;27;28;34;28;24;22;23;30;28;21;22;22;19;22;31;33;25;27
23;26;24;28;36;28;24;25;24;30;30;18;25;23;20;28;29;34;24
24;33;27;25;29;34;29;24;22;26;31;31;23;26;22;18;24;29;29
25;27;32;25;25;30;35;28;24;23;32;32;33;23;25;22;20;24;26
26;28;30;32;27;27;29;37;27;27;25;28;33;30;22;25;19;21;24
27;34;28;29;33;27;27;28;40;30;29;26;31;32;32;28;24;22;23
28;32;36;28;33;31;26;34;32;42;30;26;27;30;35;38;27;25;21
29;20;32;36;29;31;33;32;39;34;41;26;27;31;29;38;37;25;23
30;26;16;33;36;29;32;35;33;38;34;40;26;28;36;28;37;37;25
31;29;25;21;37;38;32;38;35;34;37;34;36;28;25;33;29;37;28
32;25;30;25;19;37;36;34;37;35;32;32;36;37;29;31;29;30;37
33;30;25;30;22;21;38;36;36;39;37;30;35;42;37;29;31;30;29
34;25;30;26;31;22;20;38;38;35;38;35;28;36;37;40;28;31;27
35;32;30;32;27;30;25;22;33;40;30;39;35;28;36;36;38;28;26
36;26;34;31;33;30;30;27;24;33;39;30;37;35;29;35;35;41;27
37;33;28;35;34;31;29;30;28;28;29;38;32;37;35;29;31;35;39
38;19;32;27;34;35;30;29;30;30;27;31;38;33;37;36;31;33;36
39;27;17;35;28;34;32;37;29;30;31;27;31;40;31;36;36;31;31
40;26;28;17;35;27;35;30;35;25;30;32;27;33;42;30;39;37;28
41;22;27;33;17;36;25;36;31;38;27;28;32;30;32;42;31;39;37
42;14;23;27;33;19;37;26;36;32;39;27;26;32;30;33;43;30;37
43;23;14;22;25;32;20;40;28;35;31;41;26;26;35;32;31;44;31
44;25;23;16;23;27;32;23;38;29;35;31;40;28;25;32;30;30;42
45;10;25;22;16;23;26;35;23;39;29;36;31;38;30;28;30;30;33
46;26;9;28;22;18;24;27;34;25;38;30;36;33;36;28;29;30;32
47;20;25;9;28;22;18;26;31;33;27;37;29;32;32;34;31;28;27
48;15;19;26;9;28;22;18;27;31;33;26;36;26;34;34;35;33;31
49;24;13;20;28;10;28;21;17;26;34;31;26;35;25;30;34;35;31
50;19;22;13;20;27;11;27;21;19;27;35;31;25;35;25;30;36;36
51;28;19;22;14;20;28;11;26;23;20;27;34;32;26;34;26;31;36
52;16;29;20;22;14;20;27;15;26;23;21;25;34;33;26;32;27;32
53;21;17;29;19;22;13;20;28;16;28;25;20;25;34;33;26;36;27
54;18;21;17;29;19;20;12;20;26;16;28;27;19;25;33;33;28;37
55;16;20;20;16;29;22;24;12;21;26;15;27;28;19;25;32;33;29
56;15;16;20;20;16;29;22;24;12;21;24;15;28;28;19;26;33;38
57;11;15;16;20;20;16;29;22;23;13;21;23;13;27;27;18;27;32
58;15;11;15;18;21;21;18;29;22;24;12;21;23;14;27;26;17;26
59;27;16;11;15;17;22;22;18;28;23;23;12;20;22;12;27;25;18
60;19;25;16;12;15;17;20;25;17;28;23;22;11;19;22;12;28;25
61;16;19;24;17;12;15;19;19;24;17;28;23;23;10;19;22;12;27
62;15;15;20;22;17;12;16;19;19;24;17;27;24;23;10;20;22;11
63;18;15;14;18;22;16;12;16;19;20;24;16;25;25;23;10;22;22
64;13;17;15;14;18;23;17;14;15;19;20;24;16;22;24;23;11;22
65;12;12;17;14;15;18;22;17;14;15;19;21;25;15;23;24;25;11
66;23;12;12;18;14;16;17;22;17;14;15;19;20;25;15;23;23;25
67;15;23;12;12;19;15;14;17;21;17;14;15;18;20;25;16;23;22
68;19;15;22;13;13;16;14;15;17;19;17;12;12;18;20;25;16;23
69;12;18;16;23;12;13;17;15;16;17;19;18;12;12;16;19;25;16
70;17;11;18;17;24;12;13;17;15;15;17;19;18;12;12;16;18;25
71;13;17;11;18;18;24;12;12;16;14;14;17;20;18;12;11;16;16
72;19;15;19;12;19;17;21;11;12;16;14;13;18;20;18;13;11;15
73;18;19;15;17;13;18;16;21;11;11;15;14;13;18;20;16;13;11
74;13;16;15;15;16;13;16;15;21;10;11;15;14;12;15;20;17;12
75;10;12;16;13;15;16;13;17;13;20;10;11;15;13;12;15;20;17
76;20;11;12;16;14;17;15;13;16;10;19;9;10;15;13;12;13;19
77;17;20;11;14;15;14;19;14;12;16;10;18;9;9;14;13;11;13
78;8;16;20;8;14;14;13;17;13;11;14;10;17;9;8;14;12;10
79;14;8;14;20;8;14;14;13;15;13;11;14;9;17;9;8;13;12
80;7;11;6;13;20;7;11;11;13;15;13;11;14;9;17;9;7;12
81;9;5;10;6;13;20;4;9;11;13;13;12;10;14;7;15;8;7
82;5;10;4;10;6;13;19;3;9;10;12;13;12;9;14;7;14;6
83;4;5;10;4;11;5;14;17;3;9;10;12;12;11;9;13;7;13
84;3;1;5;9;4;11;5;14;16;3;7;10;10;12;10;8;12;7
85;4;4;1;4;7;4;10;5;13;12;2;8;9;8;11;10;8;12
86;15;3;4;2;4;7;7;9;6;10;10;2;6;9;8;10;8;8
87;4;15;2;4;2;3;7;6;7;5;8;9;2;5;8;7;9;7
88;0;3;13;1;3;1;3;6;4;4;5;7;9;2;5;8;6;9
89;1;0;2;12;2;3;1;3;4;4;3;4;6;9;2;5;7;5
90;5;1;0;1;7;2;3;1;3;4;3;3;4;4;7;2;5;5
91;2;4;1;0;2;6;2;3;0;1;4;2;2;3;2;6;2;5
92;1;2;3;1;0;0;5;1;3;0;1;4;2;2;1;1;3;1
93;3;0;1;2;1;0;1;4;1;3;0;1;3;2;2;1;1;4
94;0;3;0;1;2;0;0;1;4;1;1;0;1;3;1;0;0;0
95;1;0;0;0;1;2;0;0;0;4;1;1;0;1;3;1;0;0
96;2;1;0;0;0;1;2;0;0;0;3;1;1;0;1;3;1;0
97;0;2;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0
98;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0
99;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1
100 e oltre;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;2;2
Totale;1748;1758;1798;1829;1847;1860;1952;1976;1998;2004;1985;1995;2039;2033;2053;2052;2089;2063
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;7;4;12;14;9;11;11;10;11;7;10;12;15;8;17;10;9;13
1;8;6;4;12;11;10;14;11;10;11;7;11;12;15;9;18;9;8
2;13;11;5;4;12;10;11;13;11;11;11;7;14;10;15;8;15;9
3;3;13;11;5;4;12;10;11;13;11;10;10;8;11;10;15;8;16
4;4;3;13;12;6;4;13;11;10;12;13;10;10;8;11;10;16;9
