"Popolazione per età, vista per singola area - Comune: 062067 - San Nicola Manfredi"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: San Nicola Manfredi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;32;37;33;33;28;38;38;33;21;33;28;40;35;25;26;25;29;21
1;41;32;34;33;29;26;42;35;28;24;34;30;38;38;21;23;25;29
2;30;39;32;32;30;32;25;39;35;25;26;34;29;39;41;21;22;27
3;32;29;40;33;28;32;33;27;37;35;25;29;33;25;40;38;27;21
4;35;32;31;39;33;28;32;33;29;38;37;29;29;34;24;35;40;27
5;39;35;33;33;38;30;29;33;36;31;40;38;32;29;34;26;34;38
6;40;39;37;32;31;38;29;30;37;39;32;41;38;36;28;29;28;33
7;41;39;38;38;32;30;38;33;34;37;38;31;42;38;35;25;30;27
8;44;45;41;40;37;33;32;40;34;36;38;41;32;43;37;35;24;31
9;39;44;44;41;40;36;35;35;43;32;35;37;40;30;44;37;31;26
10;50;41;45;46;43;39;35;33;38;43;34;35;37;40;30;46;35;31
11;52;49;41;45;43;46;42;35;34;42;43;36;34;36;40;30;47;35
12;40;52;52;42;44;44;50;43;38;35;41;42;38;34;35;40;27;45
13;56;40;54;53;42;45;45;51;45;39;35;40;43;39;36;36;40;26
14;39;58;42;54;53;40;48;45;49;45;40;36;40;43;38;38;33;39
15;37;38;58;41;50;51;40;46;44;49;44;39;36;38;44;41;38;33
16;30;40;39;57;40;51;55;41;43;44;48;46;40;37;39;44;41;38
17;41;28;40;40;59;40;51;56;39;46;45;48;47;43;39;42;43;41
18;31;41;29;39;40;58;41;49;54;43;47;47;46;46;43;40;43;47
19;39;31;43;27;35;40;61;43;49;55;46;48;48;47;45;42;51;45
20;30;37;30;44;29;32;40;61;43;50;55;45;47;50;46;45;54;49
21;39;30;35;31;47;30;35;42;62;46;51;53;47;52;50;48;52;52
22;37;37;34;35;31;45;32;36;40;65;49;51;53;49;53;47;47;52
23;36;36;37;33;36;31;47;32;37;41;64;49;50;52;48;50;50;46
24;35;39;35;39;33;37;36;48;29;37;42;63;47;54;52;47;52;54
25;39;35;39;35;35;35;34;34;46;34;36;40;55;51;52;49;50;49
26;34;36;39;46;35;35;36;37;36;48;31;41;43;50;55;48;49;47
27;36;31;43;38;48;37;38;37;41;38;50;37;39;40;53;52;48;47
28;39;39;33;44;37;49;38;34;40;44;41;52;33;38;39;52;54;38
29;49;39;41;31;41;40;50;38;39;40;45;42;53;32;41;37;56;52
30;50;45;45;40;33;43;47;46;41;46;38;44;41;55;37;34;36;56
31;48;51;46;46;39;35;45;47;52;43;51;37;45;40;56;36;35;39
32;41;53;52;45;46;37;38;50;49;56;42;53;37;43;40;56;39;37
33;38;45;53;57;42;46;44;40;55;51;57;41;53;39;46;39;58;42
34;50;41;47;52;58;49;48;49;41;52;51;57;38;53;39;44;42;57
35;51;50;46;48;51;51;51;48;45;46;56;56;57;38;53;37;47;44
36;58;53;47;43;48;53;51;50;51;49;49;57;56;56;43;52;41;46
37;65;56;53;50;42;47;54;48;52;57;51;53;57;59;56;42;54;41
38;57;65;56;56;49;44;50;50;50;60;59;53;54;51;53;55;41;51
39;49;60;71;55;55;48;45;55;49;52;65;59;55;54;51;52;58;41
40;55;54;64;68;55;54;53;46;55;50;55;66;61;53;54;49;49;57
41;56;59;57;66;68;58;57;55;48;56;53;58;67;57;54;52;52;50
42;42;53;59;56;63;73;57;58;56;48;58;59;58;69;56;55;58;51
43;44;41;52;58;57;66;68;57;60;57;48;59;59;60;70;59;50;57
44;42;43;42;53;58;60;71;73;58;60;58;47;60;61;63;72;55;48
45;49;44;45;43;54;56;61;71;73;61;59;60;51;57;62;64;63;52
46;42;50;42;46;44;52;56;64;70;69;66;60;62;52;54;62;59;62
47;37;39;54;46;42;44;53;61;62;70;70;66;61;64;49;50;60;55
48;42;39;40;57;46;44;47;53;62;67;67;66;65;66;65;46;49;60
49;31;42;40;41;55;45;46;47;52;65;68;68;64;62;61;64;47;51
50;25;34;44;42;40;56;45;47;48;54;67;66;69;66;62;58;63;47
51;28;26;35;43;42;38;59;44;46;53;55;68;65;66;69;62;59;64
52;37;28;27;35;42;40;38;59;42;46;53;56;69;68;69;69;61;57
53;31;37;29;27;35;43;40;37;62;41;47;51;56;72;68;66;67;65
54;33;33;35;31;30;34;44;44;40;62;42;46;50;58;75;68;65;68
55;35;34;34;37;29;33;37;42;45;40;62;42;46;48;58;74;66;67
56;39;36;35;33;37;30;33;37;44;44;41;61;40;46;51;57;73;64
57;30;40;38;34;33;39;32;30;34;46;44;43;62;41;46;52;57;72
58;38;31;40;38;32;33;40;33;29;36;49;44;41;61;38;44;50;56
59;25;36;30;41;38;34;33;40;35;28;37;48;43;40;62;39;45;50
60;23;25;38;30;40;37;34;32;39;38;29;38;47;42;42;59;40;45
61;37;22;23;41;31;42;38;34;33;42;38;28;36;44;39;40;59;42
62;37;38;23;23;40;29;40;38;32;32;41;34;26;37;43;37;39;58
63;41;38;37;26;24;39;31;38;37;31;32;41;31;26;36;41;39;39
64;38;41;38;36;26;25;40;32;36;38;33;33;40;31;27;37;41;40
65;39;39;44;37;36;25;25;39;32;36;36;34;32;40;31;26;34;37
66;42;37;37;44;39;37;24;25;41;35;37;37;32;32;41;31;27;33
67;37;43;37;37;46;38;35;23;24;39;35;37;36;33;29;41;31;29
68;38;38;42;38;38;44;38;34;22;23;39;35;37;35;32;28;40;30
69;42;35;38;40;37;38;45;36;34;22;23;37;33;34;35;29;27;39
70;21;43;35;44;39;41;37;44;38;34;21;23;37;33;33;35;28;27
71;37;20;40;35;44;35;40;34;43;38;32;22;23;37;33;34;35;27
72;30;37;18;39;35;43;36;40;33;44;37;31;21;19;33;30;30;34
73;35;30;36;17;39;34;42;36;39;33;44;36;31;20;19;30;31;30
74;36;33;29;37;17;40;33;39;34;35;30;42;36;28;17;19;29;30
75;26;33;32;30;34;15;40;32;35;32;32;30;42;36;29;15;19;29
76;30;26;31;30;28;33;15;37;30;35;32;32;30;40;35;29;15;19
