"Popolazione per età, vista per singola area - Comune: 062078 - Sant'Arcangelo Trimonte"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sant'Arcangelo Trimonte"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;0;0;5;4;3;5;2;3;4;5;3;0;4;1;3;2;3;2
1;4;0;2;4;4;2;2;3;4;1;4;3;1;3;1;3;2;3
2;1;4;0;2;5;4;2;1;3;6;1;4;3;1;2;1;2;1
3;4;2;4;0;2;3;2;2;1;3;6;2;4;3;1;2;1;2
4;3;4;2;4;1;2;3;2;3;1;3;6;3;4;2;1;1;1
5;7;3;3;2;4;0;2;4;2;2;1;4;6;3;3;2;1;1
6;5;7;3;3;3;4;0;3;4;3;2;1;3;6;3;2;2;2
7;7;5;5;3;5;1;4;0;1;4;2;3;2;3;6;1;2;2
8;3;7;5;5;3;5;1;4;2;1;4;3;3;2;2;6;1;2
9;2;2;6;5;6;3;5;1;4;2;1;5;4;3;2;2;6;1
10;11;2;2;6;6;6;3;5;2;4;2;1;5;3;2;1;2;6
11;7;11;1;2;6;5;6;3;5;2;4;2;2;5;3;2;1;2
12;7;7;12;1;3;6;5;6;3;5;2;4;2;1;5;2;2;0
13;7;7;5;12;1;3;6;5;7;3;4;2;4;2;1;5;2;1
14;6;7;7;4;13;2;3;6;6;7;3;4;2;4;1;1;4;2
15;9;6;7;7;6;13;2;5;7;6;7;4;5;3;3;1;1;4
16;4;9;6;7;7;6;12;2;5;7;6;8;4;4;2;3;1;1
17;7;4;9;6;7;7;6;11;2;5;7;6;8;4;4;3;3;2
18;4;7;4;9;6;7;7;8;12;2;4;7;5;8;4;4;3;3
19;2;4;7;3;8;5;8;8;10;12;2;4;7;5;8;4;7;3
20;6;2;5;8;4;8;5;10;9;10;13;1;6;7;5;8;5;6
21;12;6;2;6;8;4;10;6;12;9;10;11;3;6;7;5;7;3
22;10;11;5;2;7;7;6;11;10;10;11;9;11;4;5;6;7;7
23;7;10;10;5;2;5;6;6;11;9;10;9;11;11;4;6;8;7
24;8;6;8;9;7;1;2;5;8;14;9;10;8;12;11;3;10;8
25;5;7;6;8;8;6;1;2;5;6;16;10;11;8;11;10;3;10
26;10;5;9;6;8;8;6;2;3;6;7;15;10;11;8;11;10;3
27;5;8;6;7;6;9;6;6;3;4;6;5;17;9;12;7;13;10
28;3;7;6;8;7;6;8;9;7;4;4;6;5;15;10;11;7;12
29;10;3;8;6;7;4;7;10;6;7;6;3;6;4;12;10;13;7
30;3;10;4;8;4;7;3;6;10;7;8;6;4;6;4;11;8;13
31;4;4;8;5;7;4;6;5;9;10;8;8;7;5;5;4;12;8
32;2;1;6;6;2;7;4;7;7;11;8;11;6;5;7;5;3;11
33;9;2;1;8;6;3;7;8;11;7;10;8;7;4;5;7;5;4
34;5;8;3;2;5;4;3;6;8;11;9;8;10;8;5;3;6;6
35;7;5;6;5;2;5;5;3;7;7;10;6;8;9;6;4;3;6
36;11;5;5;8;4;2;5;8;4;8;7;7;6;8;9;5;4;5
37;10;11;5;4;8;3;1;6;9;4;10;8;7;6;5;7;4;4
38;5;9;9;4;4;8;4;1;4;9;5;10;9;6;6;5;7;5
39;5;6;10;9;7;4;6;2;4;4;9;5;9;8;6;5;5;6
40;4;5;5;9;9;7;4;8;2;4;4;10;7;9;8;5;4;5
41;14;4;5;4;8;9;7;9;6;2;4;4;11;7;5;5;5;3
42;6;14;4;6;4;8;9;8;8;6;2;5;4;10;7;5;5;5
43;7;6;14;3;7;7;8;9;10;8;6;2;5;4;10;7;4;5
44;11;7;6;13;3;7;8;7;9;13;7;5;2;4;4;8;6;4
45;10;11;7;7;13;3;6;8;8;9;13;6;6;2;4;4;8;7
46;5;10;11;6;7;13;4;5;7;9;8;13;6;6;2;3;4;8
47;9;5;10;11;7;7;13;5;5;6;9;7;12;6;6;2;3;4
48;7;8;6;11;11;7;8;12;5;6;6;10;8;12;6;6;2;3
49;8;7;5;6;11;11;7;8;13;5;6;8;10;8;12;7;5;1
50;6;8;7;5;6;11;11;9;7;12;5;6;7;11;9;11;9;5
51;10;7;8;7;5;5;11;11;9;7;12;4;6;7;11;8;11;8
52;12;10;6;8;7;5;5;10;12;10;7;12;5;6;7;11;8;11
53;8;13;11;6;8;7;5;4;12;12;10;7;12;5;6;7;11;9
54;10;8;11;11;6;8;7;5;6;10;12;10;6;12;5;6;7;11
55;8;10;8;11;11;5;8;7;5;7;10;12;9;6;12;5;6;6
56;9;8;10;8;11;11;5;7;7;5;7;11;12;9;5;11;5;6
57;11;9;8;10;8;11;11;5;7;7;5;7;10;12;9;7;10;6
58;2;11;9;8;10;8;11;10;5;7;7;4;7;10;12;9;7;10
59;13;2;10;9;8;10;9;11;10;6;8;7;4;6;11;11;9;7
60;5;12;3;10;10;8;9;9;10;10;7;7;7;4;5;11;10;9
61;8;3;12;2;10;10;9;9;9;10;10;6;7;7;4;5;11;10
62;12;8;5;13;2;9;10;9;9;9;10;10;7;7;7;4;5;11
63;11;12;8;4;13;2;9;9;8;9;9;10;10;7;7;7;4;5
64;13;11;11;6;4;13;2;10;9;8;9;9;9;10;6;7;7;6
65;8;13;11;11;6;4;12;1;11;9;8;9;8;9;10;6;7;7
66;5;8;13;11;11;6;3;12;1;11;9;8;12;8;9;10;6;6
67;9;5;7;12;11;10;10;3;12;1;12;9;8;12;8;9;10;6
68;9;9;5;7;12;11;10;11;3;12;1;11;9;8;12;9;9;10
69;12;9;8;5;7;13;11;10;11;4;12;1;11;9;7;9;9;9
70;7;12;8;8;5;8;13;11;10;11;4;11;1;11;8;6;9;9
71;17;7;11;9;8;5;7;12;10;10;11;4;11;1;11;7;6;9
72;11;16;6;11;9;7;5;7;12;10;9;11;4;11;1;11;7;6
73;9;11;16;5;11;8;7;5;7;12;10;9;11;4;11;1;10;7
74;11;9;11;16;5;12;8;7;5;7;12;10;8;10;4;10;1;10
75;11;10;9;11;16;5;11;8;7;5;7;10;11;8;10;4;10;1
76;17;11;10;8;12;16;5;11;8;7;5;6;9;11;8;10;4;10
