"Popolazione per età, vista per singola area - Comune: 063013 - Camposano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Camposano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;60;39;50;71;63;57;53;52;50;54;44;37;40;49;38;50;46;43
1;57;61;38;54;69;64;54;52;51;53;55;43;34;43;47;40;48;52
2;47;54;62;38;50;65;67;52;52;50;51;56;42;32;43;44;40;47
3;63;43;55;63;35;49;69;62;50;49;52;49;52;46;35;45;46;42
4;63;65;45;56;57;37;50;71;61;53;49;50;48;55;46;34;49;43
5;67;67;66;53;54;55;38;49;70;63;53;51;49;51;56;42;33;47
6;51;68;72;68;51;60;54;42;49;67;63;51;52;50;52;57;42;34
7;61;48;68;72;68;51;56;57;44;52;67;61;51;53;50;53;56;36
8;66;60;47;69;72;68;52;54;55;45;51;62;61;51;53;51;53;55
9;61;64;62;48;69;71;66;53;56;60;47;49;64;62;50;53;50;52
10;73;60;66;61;44;67;68;68;55;55;59;48;52;64;67;53;52;50
11;70;72;57;65;62;46;66;64;69;57;58;61;47;52;65;68;53;55
12;79;74;70;59;60;60;48;67;67;67;54;59;64;46;49;68;68;52
13;61;80;72;70;60;60;62;45;65;67;73;53;57;63;46;50;70;67
14;71;60;81;74;68;60;62;65;46;65;67;77;52;59;57;47;49;70
15;77;73;63;83;73;71;60;61;62;49;63;65;77;52;60;58;48;48
16;65;76;72;63;82;71;76;60;63;65;48;61;63;76;53;60;57;47
17;68;67;77;71;64;83;73;76;59;62;66;49;60;63;73;55;60;59
18;74;68;68;73;66;63;84;74;73;58;62;67;51;61;62;73;59;57
19;91;76;69;70;74;70;62;86;75;75;63;64;66;52;60;60;76;63
20;91;88;75;71;68;77;70;58;86;76;74;64;62;67;51;61;61;71
21;92;89;88;73;68;71;74;68;59;84;77;75;66;64;69;49;58;63
22;77;91;90;89;72;74;76;70;67;55;84;75;72;64;65;71;51;60
23;85;73;92;92;87;76;71;72;71;64;52;82;74;71;62;66;72;47
24;86;82;71;87;95;85;75;70;71;74;66;54;76;73;73;61;64;70
25;82;80;85;76;86;90;83;71;69;73;72;66;53;78;74;71;59;58
26;93;74;76;86;74;84;86;80;67;65;74;68;68;52;79;72;66;59
27;105;89;76;80;85;73;80;85;78;71;64;68;63;68;55;82;69;62
28;94;105;88;80;79;87;68;83;74;85;72;65;67;66;68;59;78;67
29;95;83;105;88;81;80;93;72;88;74;83;72;65;72;68;70;53;82
30;94;94;88;107;89;74;78;90;73;86;74;80;72;67;69;62;71;55
31;100;92;98;93;107;90;77;75;89;73;88;74;77;77;64;63;66;67
