"Popolazione per età, vista per singola area - Comune: 064023 - Castelfranci"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Castelfranci"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;22;17;15;19;18;22;19;16;20;16;16;9;19;7;17;7;8;8
1;20;21;17;15;18;15;21;18;17;19;17;16;10;18;7;17;7;7
2;33;19;21;17;16;18;14;21;18;19;19;17;17;10;19;7;17;7
3;23;33;18;19;16;14;17;14;21;18;19;19;17;17;10;20;8;17
4;27;22;33;18;20;14;14;17;15;21;18;19;17;18;15;9;20;8
5;20;24;21;30;18;20;15;14;17;15;19;18;19;17;17;15;9;20
6;27;19;23;18;31;18;19;15;13;17;17;18;18;19;16;17;15;9
7;23;27;20;20;18;28;18;19;15;13;17;16;18;20;18;16;17;15
8;22;23;26;19;20;16;28;18;19;15;14;17;16;18;20;17;17;17
9;24;21;22;25;20;20;16;28;18;19;15;14;17;15;18;20;17;17
10;27;24;21;20;25;18;20;16;28;20;19;16;13;17;15;18;19;17
11;25;26;23;18;20;25;17;19;16;28;19;19;16;14;16;15;18;19
12;20;26;26;21;17;20;26;17;19;16;28;19;19;15;14;16;15;17
13;26;22;26;24;22;17;20;26;17;19;17;28;18;19;15;14;16;15
14;27;26;22;25;24;22;17;20;26;17;18;17;28;20;20;15;14;15
15;33;28;26;21;25;24;24;17;20;26;17;18;16;28;19;20;15;15
16;35;31;27;24;21;24;23;23;17;20;26;17;20;16;28;19;20;15
17;34;34;31;25;23;21;25;22;23;17;20;25;17;20;16;28;19;20
18;28;30;32;30;25;23;20;24;22;23;17;20;26;17;20;16;28;19
19;31;27;30;35;31;23;22;20;25;22;23;17;20;26;17;20;18;28
20;32;30;26;31;36;31;22;24;20;26;21;22;16;21;27;17;20;18
21;37;30;29;25;30;34;31;23;22;20;26;21;24;16;21;28;16;21
22;34;36;27;23;27;31;34;30;22;21;20;26;22;25;17;20;27;16
23;31;33;36;25;24;28;31;34;30;23;21;20;26;23;25;16;21;26
24;33;31;34;33;26;19;27;33;31;29;24;21;20;24;22;25;16;22
25;39;28;29;36;33;28;20;27;33;30;28;22;23;21;23;22;26;15
26;41;39;27;27;34;33;27;20;25;35;30;28;21;24;20;23;22;26
27;35;40;37;24;27;33;34;27;22;26;33;30;24;19;21;20;23;23
28;35;34;38;34;24;27;31;30;27;24;26;33;29;26;18;19;20;22
29;46;34;31;38;37;19;27;29;29;29;22;25;32;26;25;17;20;16
30;47;48;36;31;39;38;19;28;26;27;31;19;27;34;25;23;17;18
31;40;44;46;33;32;37;38;19;22;25;27;27;20;25;32;27;21;16
32;34;39;42;42;32;29;35;36;21;21;23;26;26;22;24;30;23;21
33;46;33;39;40;42;25;26;33;34;21;20;22;26;27;21;24;29;23
34;39;44;31;36;38;41;23;23;33;35;23;20;20;26;27;20;24;28
35;43;38;44;30;34;36;40;20;25;33;35;21;19;20;27;29;20;23
36;39;39;38;42;30;33;38;40;22;26;32;34;20;20;20;25;29;21
37;39;37;38;34;42;29;34;39;40;20;27;32;35;20;20;20;25;28
38;23;39;36;37;34;38;29;37;38;43;19;28;30;34;20;22;20;26
39;17;25;38;35;37;33;37;27;36;39;42;17;28;30;33;18;22;20
40;38;15;26;37;36;37;33;36;27;34;39;43;17;27;31;34;19;23
41;21;39;15;24;37;34;35;32;36;28;35;38;42;18;25;29;36;19
42;36;23;37;14;25;34;35;34;29;36;28;34;37;41;21;23;29;34
43;25;32;23;35;15;25;32;35;32;29;35;29;32;37;40;21;24;28
44;29;28;31;22;36;16;25;34;35;32;27;36;28;32;37;40;22;25
45;38;28;27;28;21;35;15;26;33;35;32;27;33;30;32;37;40;21
46;25;37;28;25;28;21;35;16;27;34;35;32;29;37;31;33;37;42
47;34;25;36;27;25;29;20;35;18;26;33;33;31;29;37;31;33;36
48;28;35;24;35;27;25;29;20;36;16;25;34;33;31;29;37;31;32
49;35;28;33;23;34;24;24;29;19;34;16;26;34;34;31;29;36;31
50;32;35;28;32;23;34;24;24;29;18;35;15;22;35;34;31;27;36
51;34;33;34;25;32;23;33;24;24;29;18;35;15;19;32;34;31;26
52;30;33;31;31;23;30;24;34;24;24;29;19;33;15;19;35;34;30
53;28;30;34;31;31;23;30;25;33;23;24;28;19;34;15;20;34;33
54;28;27;28;33;30;29;23;30;23;31;23;23;29;19;34;19;21;34
55;37;28;25;27;31;29;29;24;31;23;29;22;23;29;19;34;17;21
56;27;36;28;24;26;31;29;29;24;31;22;29;23;24;31;19;32;17
57;30;27;32;28;23;26;29;28;28;25;32;21;30;23;25;33;19;32
58;28;28;27;31;25;24;25;28;28;28;24;32;20;32;23;25;33;19
59;23;27;28;26;30;29;24;26;28;27;28;24;31;20;33;23;25;32
60;19;22;28;27;26;30;29;21;26;28;27;28;22;31;19;33;23;25
61;26;19;21;28;26;27;28;27;20;26;29;27;28;22;31;20;35;23
62;34;26;19;18;27;26;27;28;27;20;25;29;27;29;23;31;20;34
63;27;33;26;18;17;26;25;26;27;25;20;25;29;27;29;22;34;19
64;25;27;32;26;18;17;26;25;27;27;25;20;24;30;28;29;21;32
65;36;24;27;31;25;18;17;27;25;27;27;25;20;25;30;27;28;20
66;20;36;23;25;30;25;13;17;27;25;26;27;25;20;24;30;25;26
67;38;19;36;20;23;30;25;14;17;26;25;25;27;25;19;23;30;25
68;31;37;20;35;21;23;28;25;14;16;26;25;25;26;25;20;22;29
69;29;31;37;20;34;21;21;29;25;14;15;26;25;26;24;24;18;22
70;32;28;30;37;18;35;22;20;28;24;14;14;23;25;26;24;23;18
71;28;31;29;30;37;18;33;22;20;28;23;13;13;21;25;26;25;22
72;26;29;31;26;27;38;18;33;21;18;27;22;12;12;21;25;24;24
73;30;24;22;29;26;27;36;19;31;21;17;25;22;11;12;19;25;24
74;23;30;24;19;29;26;27;37;19;31;21;16;22;21;11;12;19;25
75;24;23;28;24;19;29;26;25;34;17;30;20;17;22;21;11;12;19
76;25;24;23;26;24;19;26;23;25;34;16;27;18;16;22;20;11;12
77;24;24;21;20;24;22;20;25;23;24;34;15;27;18;16;20;20;11
78;22;24;23;21;19;24;22;20;22;21;26;35;15;28;17;16;19;18
79;27;21;23;22;21;17;23;20;18;24;19;23;33;14;27;16;16;20
80;14;26;20;22;22;20;18;23;19;17;23;19;22;33;14;24;16;14
81;24;14;25;19;21;20;20;15;22;17;16;23;19;21;31;14;21;15
82;12;23;14;23;19;19;19;18;15;22;15;13;22;19;21;30;13;22
83;6;10;22;16;22;17;19;18;17;15;20;12;12;20;18;22;25;13
84;7;5;9;21;14;20;17;18;14;16;14;19;11;12;15;15;21;23
85;4;7;5;9;21;11;17;17;12;13;12;14;20;11;13;12;15;20
86;9;4;6;2;8;18;7;17;16;11;13;10;14;17;10;10;9;12
87;8;7;3;6;2;7;15;7;14;16;9;13;9;11;16;9;8;7
88;7;11;4;4;5;2;6;10;6;14;15;8;12;9;10;14;7;7
89;4;7;9;4;3;5;1;6;8;6;11;14;8;10;9;10;10;6
90;11;2;4;7;4;3;5;1;6;5;5;11;11;7;9;6;9;9
91;4;7;1;4;6;3;2;5;1;6;3;5;11;9;3;8;6;8
92;4;3;3;1;3;4;2;2;3;1;5;2;5;10;10;3;4;4
93;1;4;3;4;1;3;4;2;2;3;1;5;2;4;8;7;3;4
94;2;1;1;3;3;0;2;2;2;2;3;1;4;1;3;7;6;3
95;0;2;0;1;1;2;0;2;2;2;2;3;1;3;1;2;3;5
96;2;0;2;0;0;1;1;0;1;1;1;2;3;0;2;1;2;3
97;1;2;0;1;0;0;1;1;0;1;1;1;1;1;0;2;1;2
98;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;0;2;1
99;1;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1
100 e oltre;0;0;0;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1
Totale;2531;2484;2412;2307;2292;2237;2200;2181;2146;2141;2117;2077;2052;2049;2029;2003;1970;1933
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;14;9;10;11;10;7;9;9;9;6;6;5;6;4;7;3;5;4
1;14;14;9;10;10;8;6;9;9;8;7;6;6;5;4;7;3;5
2;18;13;14;9;11;10;7;6;9;9;8;7;6;6;6;4;7;3
3;12;18;12;13;8;10;9;7;6;10;9;8;7;6;6;6;5;7
4;16;11;18;12;14;8;10;9;7;6;10;9;8;8;5;6;6;5
5;11;13;11;17;12;14;8;9;9;7;6;10;9;8;8;5;6;6
6;15;11;12;9;17;12;13;8;8;9;7;6;10;9;7;8;5;6
7;13;15;12;11;9;17;12;13;8;8;9;7;6;10;9;7;8;5
8;13;13;14;12;11;7;17;12;13;8;9;9;7;6;10;9;7;8
9;11;12;12;14;12;11;7;17;12;13;8;9;9;7;5;10;9;7
10;16;11;12;11;14;12;11;7;17;13;13;8;8;9;7;5;10;9
11;17;15;10;10;11;14;11;11;7;17;13;13;8;8;9;7;5;10
12;11;18;15;9;9;11;14;11;11;7;17;13;13;8;8;9;7;4
13;13;12;18;14;9;9;11;14;11;11;8;17;12;13;8;8;9;7
14;10;13;12;17;14;9;10;11;14;11;10;8;17;12;13;8;8;8
15;11;10;13;12;17;14;11;10;11;14;11;10;7;17;12;13;8;9
16;20;11;10;12;12;16;14;11;10;11;14;11;11;7;17;12;13;8
17;19;19;11;9;12;12;17;14;11;10;11;13;11;11;7;17;12;13
18;19;17;18;10;9;12;12;17;14;11;10;11;14;11;11;7;17;12
19;18;18;17;20;10;9;10;12;17;14;11;10;11;14;11;11;8;17
20;14;16;18;17;20;10;8;11;12;17;13;10;9;11;14;11;11;8
21;16;12;16;17;17;19;10;9;11;12;17;13;12;9;11;15;10;12
22;13;16;12;14;18;17;19;10;8;10;12;17;14;13;9;11;16;10
23;16;13;16;11;14;19;17;17;9;9;10;12;17;15;13;9;11;16
24;16;16;16;15;11;11;17;17;15;9;10;10;12;16;14;13;9;11
25;18;12;15;16;15;13;11;17;17;15;8;10;11;12;16;14;14;8
26;23;18;12;14;15;16;13;11;15;17;15;8;10;11;12;15;14;14
27;21;23;17;10;14;14;16;12;11;16;17;14;6;8;10;12;15;14
28;17;19;21;15;10;14;13;13;12;13;15;17;14;6;9;8;12;15
29;21;16;17;22;16;9;14;13;12;13;12;15;17;12;6;8;9;9
30;23;23;17;18;21;16;10;14;10;12;13;10;16;17;12;6;8;8
31;21;23;22;16;18;21;16;10;9;9;12;12;10;15;15;14;5;7
32;19;22;22;21;17;16;20;16;11;10;8;11;12;10;14;14;10;5
33;21;18;21;21;23;16;14;19;15;11;10;8;11;13;10;14;14;10
34;23;20;16;20;21;22;14;13;18;16;11;10;7;11;13;9;14;13
35;22;22;21;16;20;20;22;13;13;18;16;11;9;8;11;13;9;14
36;25;18;21;19;16;19;20;21;13;13;18;15;11;10;8;10;13;10
37;16;23;18;19;19;17;19;21;21;12;13;18;15;11;10;8;10;13
38;8;16;22;17;18;17;17;21;20;23;11;13;17;15;11;12;8;11
39;7;9;16;22;17;19;17;16;20;21;23;11;13;17;14;9;12;8
40;22;6;11;16;21;17;19;17;16;18;20;23;11;13;17;14;9;13
41;9;22;6;9;16;20;15;18;17;16;19;20;22;12;10;15;16;9
42;16;11;20;5;11;13;20;15;17;17;16;19;20;21;15;10;15;15
43;15;15;11;19;6;11;13;20;13;17;16;16;18;20;21;15;10;15
44;14;16;15;11;20;6;11;15;21;13;16;16;16;18;20;21;13;10
45;20;13;16;14;11;18;7;12;14;21;13;16;16;16;18;20;22;13
46;14;20;13;15;14;11;18;8;12;15;21;13;17;16;18;19;20;23
47;17;14;19;13;15;14;9;18;9;11;14;20;13;17;16;18;19;19
48;16;18;14;19;13;15;14;9;19;7;11;15;20;13;17;16;18;18
49;20;15;17;14;19;10;15;14;8;18;7;12;15;21;13;17;16;17
50;18;20;15;17;15;19;11;15;14;8;18;7;8;16;21;13;16;16
51;12;19;19;14;17;15;18;11;15;14;8;18;6;7;14;20;12;15
52;19;12;18;18;12;15;15;18;11;15;14;8;17;6;7;15;20;12
53;19;19;13;18;18;13;15;15;16;11;15;13;8;17;6;8;15;19
54;11;18;17;12;17;17;13;15;14;15;11;14;13;8;17;8;9;15
55;9;11;16;16;12;16;17;13;15;14;15;11;14;13;8;17;8;9
56;17;8;11;15;15;12;15;17;13;15;14;15;11;15;13;8;16;8
57;20;17;6;11;14;15;10;14;16;14;15;13;15;11;16;15;8;16
58;12;18;17;5;10;15;14;10;14;16;14;15;12;16;11;17;15;8
59;11;12;18;17;5;12;15;14;11;14;16;14;13;12;16;11;17;14
60;11;11;12;17;17;5;12;13;14;11;15;16;12;13;12;16;11;17
61;10;11;11;12;17;17;5;11;12;14;11;15;16;12;13;13;18;11
62;16;10;11;9;12;17;17;5;11;12;13;11;15;16;13;13;13;18
63;14;17;10;11;8;12;17;16;5;10;12;13;11;15;16;12;14;12
64;15;14;16;10;11;8;12;17;17;5;10;12;12;12;16;16;12;14
65;18;14;14;14;9;11;8;13;17;17;5;10;11;13;12;15;15;11
66;12;18;13;12;13;9;7;8;13;17;17;5;10;11;12;12;13;14
67;15;11;18;11;12;13;9;7;8;13;17;16;5;10;10;11;12;13
68;16;15;11;17;12;12;11;9;7;7;13;17;16;5;10;10;10;11
69;15;16;15;11;16;12;10;11;9;7;6;13;17;17;5;9;9;10
70;18;15;15;15;9;16;12;10;11;9;7;6;11;17;17;5;9;9
71;9;18;16;14;15;9;16;12;10;11;9;6;5;10;16;17;6;9
72;12;9;18;16;12;15;9;16;12;8;10;8;5;5;10;16;15;6
73;14;10;5;16;15;12;15;9;16;13;7;9;8;4;5;9;16;15
74;13;14;10;5;16;14;11;16;8;16;13;7;6;7;4;5;9;16
75;11;13;13;10;5;16;14;11;13;8;15;12;8;6;7;4;5;9
76;8;11;13;11;10;5;13;12;11;11;8;13;12;7;6;6;4;5
77;9;7;10;13;10;10;5;13;12;10;11;7;13;12;7;5;6;4
