"Popolazione per età, vista per singola area - Comune: 064076 - Quadrelle"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Quadrelle"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;22;19;25;27;23;25;26;19;22;17;15;19;15;11;14;20;12;17
1;22;22;20;27;28;25;25;27;19;20;16;16;17;16;10;12;19;13
2;16;22;25;19;29;25;25;23;29;22;21;16;16;15;16;12;14;22
3;17;15;22;25;17;26;22;27;25;30;21;22;16;20;14;16;13;13
4;25;15;17;21;25;18;25;24;26;26;30;21;22;17;20;13;21;12
5;14;26;13;19;22;25;18;24;27;24;25;28;21;21;16;20;12;20
6;22;14;27;15;17;27;26;17;24;24;23;26;28;23;20;17;20;13
7;18;22;17;28;15;19;27;25;18;22;24;23;25;27;23;18;17;17
8;24;17;23;18;31;15;18;27;24;18;22;27;24;24;27;23;18;15
9;20;21;19;23;19;30;16;18;29;23;18;22;27;26;24;27;21;18
10;25;18;25;20;26;18;28;18;18;31;23;16;22;24;23;26;25;18
11;28;24;20;26;20;27;18;27;18;22;27;21;13;21;22;23;25;25
12;27;28;25;18;30;20;26;19;28;19;22;25;21;13;20;21;22;25
13;26;26;29;23;18;30;22;27;20;29;19;22;26;18;12;19;20;22
14;24;23;28;27;25;18;31;21;26;21;29;20;21;21;18;13;20;19
15;29;24;25;29;26;27;19;31;18;27;21;26;20;23;20;16;14;22
16;29;29;29;26;30;27;28;17;30;19;27;20;27;18;22;22;18;13
17;20;29;32;29;24;32;26;28;17;29;19;25;19;25;18;23;22;17
18;22;21;29;32;31;25;31;26;26;17;28;19;23;19;24;18;24;23
19;25;21;22;32;32;31;25;32;25;26;16;30;19;25;16;24;17;21
20;30;25;23;24;30;31;31;28;32;25;25;15;30;18;25;14;22;15
21;29;29;26;23;27;32;32;31;26;33;22;26;15;24;15;27;12;24
22;30;29;29;28;23;30;33;33;31;26;31;22;26;15;24;16;27;15
