"Popolazione per età, vista per singola area - Comune: 064099 - Serino"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Serino"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;57;80;75;70;70;57;71;79;62;47;64;58;42;64;68;48;65;52
1;82;58;84;74;69;62;55;70;78;62;48;68;62;40;65;67;49;62
2;74;80;57;82;72;67;62;58;75;74;60;50;66;61;42;60;64;47
3;70;69;78;55;87;68;69;62;63;73;70;58;45;66;58;40;62;62
4;61;73;74;78;61;91;62;72;63;66;70;72;59;46;65;59;38;59
5;65;61;74;72;80;61;93;59;75;63;65;70;73;61;46;65;57;36
6;69;65;62;77;73;79;57;91;62;75;63;66;71;70;57;46;62;57
7;95;72;67;65;79;71;80;59;87;60;72;66;63;74;66;57;43;60
8;77;95;73;63;64;75;69;78;57;88;60;72;67;66;72;66;55;43
9;88;81;101;71;67;64;73;70;79;58;88;60;71;68;61;69;68;54
10;87;87;80;102;72;66;67;73;73;81;55;87;59;72;68;61;68;67
11;88;86;91;84;103;73;67;68;76;73;81;56;87;59;69;67;60;67
12;87;88;87;89;83;100;70;68;70;77;70;80;55;86;58;66;64;62
13;102;87;92;88;88;80;97;73;71;68;76;71;78;53;87;58;66;63
14;101;104;87;90;90;87;79;100;73;69;66;79;69;78;53;84;59;65
15;92;100;108;88;93;91;86;77;102;75;67;66;79;69;78;50;84;59
16;96;93;100;109;88;93;91;87;76;100;76;68;66;81;71;76;50;85
17;85;96;95;100;110;86;90;93;82;72;101;76;66;63;83;66;76;50
18;88;87;94;100;99;110;88;89;98;81;72;105;74;67;67;82;70;76
19;82;87;88;98;100;100;103;84;88;99;79;74;104;75;69;67;91;71
20;93;85;85;88;97;102;101;104;84;95;98;84;73;105;78;70;69;99
21;93;95;87;86;87;95;96;102;103;83;97;97;86;73;106;79;75;72
22;100;93;93;94;86;85;98;94;102;104;83;93;91;88;75;107;82;81
23;98;103;91;89;95;89;84;97;97;104;104;81;93;92;95;71;110;88
24;107;103;111;94;87;94;90;85;96;101;103;107;83;94;93;96;75;114
25;109;107;109;112;95;90;96;91;92;96;101;101;104;79;97;95;96;71
