"Popolazione per età, vista per singola area - Comune: 064109 - Torella dei Lombardi"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Torella dei Lombardi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;19;25;24;22;17;24;23;26;14;22;21;15;11;9;7;14;15;11
1;16;20;27;24;22;20;26;22;26;15;21;18;14;11;9;8;15;14
2;23;16;22;26;24;22;22;26;21;25;15;21;18;14;11;8;8;15
3;14;23;15;24;26;21;22;20;25;21;25;14;19;18;14;12;9;7
4;26;14;23;15;23;25;23;20;21;25;23;24;14;19;18;14;12;9
5;24;27;18;24;15;24;25;20;20;21;25;24;23;14;20;18;14;11
6;19;24;27;21;24;15;24;24;20;20;21;24;24;24;14;20;18;13
7;25;19;26;27;21;25;15;24;23;20;20;21;22;24;22;14;20;18
8;27;26;19;26;26;21;25;15;25;22;20;20;22;22;23;22;14;20
9;22;27;26;21;26;29;20;26;16;24;22;20;19;22;22;23;22;13
10;23;22;28;26;21;28;28;19;26;16;25;22;21;20;22;22;23;23
11;27;24;22;28;23;21;30;27;18;25;16;25;22;21;20;22;22;23
12;25;27;24;23;29;23;21;28;27;18;25;16;25;23;21;20;22;22
13;16;25;28;24;23;28;23;21;27;28;18;25;16;24;23;21;19;22
14;18;16;25;29;24;24;28;23;21;25;28;18;25;16;24;24;20;20
15;23;20;17;25;29;23;24;29;23;22;25;27;17;26;16;24;25;20
16;20;24;20;18;26;27;25;24;29;23;22;27;27;16;26;16;24;25
17;24;22;24;21;18;23;25;25;24;29;23;24;29;27;16;26;16;24
18;24;22;23;26;20;18;23;25;24;24;30;22;24;29;27;16;24;16
19;25;25;20;24;26;19;18;23;24;23;24;31;21;24;28;27;16;22
20;24;25;26;19;26;24;21;18;22;24;24;27;31;21;24;26;27;16
21;29;24;25;26;19;26;24;20;18;22;26;22;23;29;21;23;25;27
22;25;30;24;24;21;20;26;25;20;18;22;22;22;20;27;21;23;25
23;26;28;28;24;22;23;22;25;24;22;18;23;22;22;18;29;20;21
24;32;26;31;28;25;23;23;22;28;23;21;20;25;21;24;17;27;19
25;28;32;30;31;26;26;21;24;24;25;23;20;20;24;22;23;15;24
26;47;30;36;30;28;26;24;24;27;24;24;23;18;18;25;23;22;16
27;35;46;33;38;26;31;27;27;23;29;24;22;22;18;17;22;23;20
28;30;33;44;35;38;26;31;28;24;23;30;22;23;21;19;16;20;22
29;46;30;35;43;34;39;24;30;27;25;22;30;22;20;19;19;18;19
30;31;48;30;36;41;32;39;24;31;26;26;22;29;22;20;19;16;18
31;40;30;46;30;31;43;33;39;22;31;25;24;22;29;20;21;19;18
32;29;39;30;44;27;28;39;30;37;23;29;25;24;20;26;19;21;20
33;33;30;41;29;42;25;28;37;30;39;25;29;25;23;19;24;20;15
34;32;34;31;40;27;43;24;23;38;30;39;24;27;25;23;20;25;23
35;44;33;35;32;38;27;45;22;22;38;29;35;26;24;24;24;20;23
36;35;45;36;37;33;41;27;46;25;24;40;29;35;28;23;23;25;18
37;26;35;47;36;36;34;40;29;46;25;25;40;28;35;29;25;23;25
38;30;27;35;47;35;34;34;37;29;44;25;25;40;27;36;28;25;22
39;29;29;28;38;46;32;37;36;32;31;47;24;25;38;26;34;28;23
40;29;28;30;26;38;44;32;36;36;32;30;46;25;27;40;27;35;29
41;28;29;29;32;28;39;48;31;36;37;32;29;46;25;27;41;25;32
42;29;28;27;29;32;30;38;48;30;38;40;31;27;47;24;27;37;25
43;27;30;29;28;29;32;30;39;49;29;39;39;31;27;46;24;27;37
44;29;26;30;29;29;29;30;31;37;49;30;39;39;36;27;43;24;27
45;24;29;26;31;28;30;29;32;32;33;49;29;40;39;36;27;44;26
46;25;24;28;27;33;29;32;28;32;32;33;49;30;40;38;32;27;44
47;33;25;24;27;28;30;29;31;27;32;33;35;49;30;39;38;30;27
48;24;32;25;23;27;29;30;29;32;28;32;34;33;48;31;38;35;31
49;26;22;32;26;23;27;29;29;30;32;28;32;35;35;46;32;38;34
50;24;26;22;33;26;23;26;28;29;29;31;29;31;35;37;47;31;39
51;19;22;27;22;33;26;23;26;28;29;28;31;28;30;35;36;46;30
52;30;20;22;28;22;33;25;23;27;28;29;29;31;28;32;35;33;45
53;16;30;19;22;28;23;31;25;21;26;27;29;29;31;28;32;34;32
54;21;16;28;22;22;27;23;31;25;20;26;27;31;29;31;28;32;31
55;23;20;15;28;22;22;29;23;32;25;20;27;27;33;28;30;28;32
56;24;23;21;17;27;22;23;28;23;32;26;20;24;27;32;28;29;25
57;25;25;23;21;17;24;22;23;28;23;33;25;20;24;26;32;28;28
