"Popolazione per età, vista per singola area - Comune: 065131 - Santomenna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Santomenna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;9;3;3;3;1;2;1;5;6;2;2;5;1;5;2;6;3;1
1;6;8;3;2;1;1;1;1;5;4;2;2;6;1;7;2;6;2
2;10;6;7;3;2;3;1;1;0;5;4;2;2;6;1;8;1;5
3;5;11;4;7;1;3;3;0;1;0;4;5;2;2;4;1;6;1
4;6;6;14;4;7;1;1;3;2;1;0;4;5;2;2;4;1;6
5;0;6;5;12;3;7;1;0;3;2;1;1;4;5;2;2;4;1
6;4;0;6;6;11;4;6;1;0;3;2;1;1;4;5;2;2;4
7;5;4;0;5;5;10;4;6;2;1;3;2;1;1;5;6;2;2
8;4;5;4;0;5;5;11;5;7;3;1;4;2;0;2;5;6;2
9;6;4;4;3;0;5;5;10;5;7;3;1;4;2;0;2;4;6
10;6;7;3;4;3;0;5;5;10;5;7;3;1;2;2;0;1;4
11;3;5;6;3;3;2;0;5;5;8;5;7;3;1;2;2;0;1
12;5;3;4;7;3;3;2;0;5;6;8;5;7;3;1;2;2;0
13;7;4;3;5;6;3;2;2;0;5;6;8;5;7;3;1;2;2
14;5;7;4;3;4;7;3;3;2;0;5;6;8;5;7;3;1;2
15;5;3;6;4;2;7;6;3;4;2;0;5;6;8;5;7;3;1
16;5;5;2;7;4;2;6;5;3;3;2;0;6;6;7;5;7;3
17;9;4;5;3;7;5;2;6;5;3;3;2;0;6;7;7;5;7
18;9;8;5;5;3;7;5;2;8;5;3;4;2;0;6;7;7;5
19;10;9;8;7;6;3;7;4;2;7;4;3;4;2;0;6;7;7
20;8;10;9;8;7;6;3;7;4;2;6;5;1;4;2;0;6;6
21;7;11;9;7;7;7;4;4;7;4;2;5;5;1;4;2;0;6
22;7;5;10;8;6;7;7;3;5;7;4;2;5;5;1;4;2;0
23;5;7;4;8;9;6;10;6;3;5;7;4;2;5;4;1;4;2
24;5;2;8;5;6;8;5;9;6;3;5;6;5;1;5;4;2;4
25;8;5;2;7;5;6;8;6;8;5;5;4;5;5;1;6;3;2
26;4;7;6;2;4;4;5;8;6;9;4;6;5;5;4;1;5;3
27;10;5;3;2;0;5;3;7;6;6;9;4;7;5;5;4;1;5
28;3;10;6;6;2;1;5;3;5;7;6;9;4;7;5;5;5;1
29;10;3;7;7;5;1;1;6;4;5;7;5;8;3;8;4;4;5
30;6;10;5;7;4;5;1;2;6;8;5;7;4;9;4;8;5;4
31;8;5;11;5;6;4;6;1;3;6;8;5;7;4;9;5;6;3
32;10;8;4;12;2;6;3;4;1;3;6;8;5;7;6;9;5;6
33;6;8;8;3;7;3;6;3;7;2;5;5;8;5;7;6;7;4
34;9;4;8;4;3;7;4;5;4;7;1;5;6;7;5;8;6;7
35;9;7;3;8;2;3;7;2;5;5;6;1;5;6;6;6;8;6
36;7;11;8;4;8;2;3;8;1;6;5;6;1;4;6;6;6;7
37;5;8;10;6;5;9;2;3;10;2;6;5;6;2;4;6;6;5
38;14;4;7;10;6;5;8;3;4;11;2;6;5;6;1;4;5;6
39;10;14;3;8;8;7;5;8;5;6;10;2;4;5;5;1;4;5
40;7;11;13;4;8;8;8;5;8;5;5;10;1;4;3;5;1;4
41;9;4;9;12;4;8;7;6;5;8;5;5;10;1;4;3;6;1
42;11;7;6;9;12;4;7;7;6;6;8;6;5;10;1;4;4;5
43;9;10;6;7;9;12;3;7;7;7;6;8;6;5;10;1;4;4
44;6;9;10;4;6;9;12;2;8;7;7;6;8;6;5;10;1;5
45;9;4;11;10;3;6;10;12;2;6;7;7;6;8;7;5;11;1
46;9;10;4;10;8;4;6;10;11;2;6;6;7;6;8;7;5;11
47;3;9;10;3;10;9;6;6;10;11;2;6;6;7;6;8;8;5
48;6;3;9;9;4;8;9;6;6;10;11;2;6;6;7;6;8;8
49;5;6;3;9;7;5;9;9;7;6;10;11;2;7;6;7;6;8
50;7;5;7;3;7;7;4;8;9;6;6;9;11;3;7;6;6;6
51;10;7;5;6;3;6;7;4;7;9;6;6;10;11;3;7;7;8
52;9;10;7;3;6;3;6;7;4;7;9;6;6;10;11;3;7;7
53;4;8;11;8;5;6;3;7;7;4;7;9;6;6;10;11;4;7
54;7;4;8;9;6;4;6;3;7;9;4;7;9;6;6;10;11;4
55;5;7;6;8;9;6;3;6;3;6;9;4;7;9;6;4;12;10
56;4;5;7;5;8;9;6;2;5;3;6;9;4;7;9;6;5;11
57;3;3;3;7;5;6;10;6;2;5;3;6;8;5;7;9;7;5
58;6;3;4;3;7;4;7;9;6;2;5;4;6;7;5;7;9;7
59;7;6;2;4;3;5;4;7;9;6;2;4;4;6;8;5;7;9
60;8;7;5;2;2;3;5;4;7;9;6;2;4;4;6;8;5;7
