"Popolazione per età, vista per singola area - Comune: 066099 - Tagliacozzo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Tagliacozzo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;52;38;46;58;58;63;51;54;53;61;49;67;42;45;44;57;38;33
1;52;53;39;47;55;54;64;54;53;52;56;46;68;43;44;43;58;37
2;45;53;53;37;51;55;54;69;50;55;52;56;47;63;42;39;42;57
3;57;45;56;53;41;50;56;56;65;52;58;51;59;52;63;40;43;39
4;49;58;48;58;55;43;48;57;58;64;50;58;52;61;54;64;42;42
5;41;49;62;50;60;55;43;50;56;57;65;52;59;52;61;57;61;40
6;48;41;52;65;50;61;55;47;47;58;56;67;54;58;54;64;60;58
7;55;50;40;54;66;50;61;60;49;47;59;58;64;54;58;48;62;59
8;58;56;50;41;55;67;47;63;57;46;46;64;61;63;53;54;48;62
9;54;59;57;49;42;57;69;50;64;59;45;45;60;60;62;52;55;51
10;53;59;60;56;49;43;58;68;50;63;59;45;41;59;57;62;49;54
11;68;55;58;59;59;51;46;61;67;54;62;59;41;41;58;56;64;51
12;60;69;55;58;58;59;54;46;61;68;53;65;61;42;42;58;59;65
13;66;61;69;60;58;61;59;53;46;60;67;52;67;61;41;42;58;60
14;81;65;62;69;61;57;62;60;55;48;60;67;51;66;62;41;42;60
15;66;80;67;64;70;59;55;66;61;56;48;55;68;52;65;64;41;44
16;71;67;79;67;65;73;62;58;65;62;56;46;56;68;49;64;61;42
17;61;72;67;82;68;65;75;63;59;62;64;57;45;55;69;51;64;60
18;72;62;74;68;84;68;66;77;64;65;63;63;56;44;60;69;50;62
19;75;74;60;73;71;85;70;64;77;66;67;65;63;55;43;61;71;52
20;70;74;73;60;76;67;83;75;68;73;69;70;67;62;57;45;65;69
21;71;72;74;70;61;77;65;86;77;68;75;70;72;66;61;57;45;62
22;77;69;76;81;67;65;76;73;88;87;69;75;74;71;67;58;58;44
23;70;80;71;77;80;65;68;80;75;95;88;70;79;75;70;62;58;57
24;79;72;80;68;78;84;70;71;82;79;97;92;69;80;73;72;62;59
25;92;76;74;80;73;80;86;76;77;81;78;96;93;71;84;74;65;58
26;98;90;84;78;84;72;85;89;76;81;85;82;102;93;66;82;69;63
27;95;102;91;86;79;83;75;89;94;75;80;82;84;98;92;69;84;72
28;82;99;112;92;86;74;78;84;85;95;77;80;83;86;89;89;71;82
29;94;83;106;110;92;84;75;82;86;81;91;75;76;81;84;90;86;65
30;98;98;96;109;112;92;83;76;90;83;79;91;76;77;80;84;86;79
31;75;101;104;97;108;111;93;87;79;90;79;80;94;72;77;78;81;77
32;91;80;111;110;99;104;105;100;82;82;87;76;78;93;71;73;80;76
33;96;97;83;113;117;93;100;110;103;83;74;85;77;79;91;70;72;80
34;79;98;110;90;118;112;96;97;110;98;82;73;88;74;80;91;71;74
35;96;87;105;105;92;106;114;90;102;110;101;83;74;87;75;74;87;71
36;97;97;95;102;109;87;102;112;87;96;110;94;83;78;87;78;74;88
37;104;94;105;88;100;106;87;111;110;90;98;110;97;84;81;86;81;76
38;97;99;99;107;90;101;106;88;110;103;90;98;108;96;87;78;81;81
39;83;95;106;96;105;93;104;110;92;109;102;95;103;113;95;84;78;80
40;108;84;101;106;98;103;94;109;107;92;110;106;94;102;111;96;86;78
41;94;109;88;102;106;100;101;100;108;111;92;109;103;89;103;106;99;87
42;99;99;115;90;103;104;103;100;100;112;114;93;111;103;89;107;102;99
43;101;99;99;115;87;103;107;110;103;100;108;111;94;112;102;95;107;105
44;97;104;98;98;119;90;104;109;109;106;99;104;112;94;114;98;97;106
45;63;100;107;102;95;121;90;108;112;112;106;101;106;111;95;121;98;96
46;80;60;102;108;106;95;118;98;109;114;112;108;101;105;112;97;115;99
47;90;80;61;99;109;107;100;119;92;108;115;108;107;99;102;105;94;113
48;80;89;86;59;98;107;109;102;121;94;108;117;109;107;98;100;104;95
49;81;81;89;87;61;99;108;110;100;120;95;112;119;108;112;98;99;107
50;72;81;81;90;91;61;99;108;109;102;118;91;115;117;109;112;101;99
51;92;72;77;79;94;89;61;101;112;109;102;120;92;111;116;105;110;101
52;100;90;72;75;75;96;89;67;100;111;109;104;122;90;110;120;105;110
53;94;103;91;75;82;75;93;90;68;106;110;113;105;121;88;114;118;102
54;90;96;103;91;77;83;76;94;88;69;101;110;113;102;119;88;111;118
55;68;92;99;100;97;75;82;76;95;88;70;101;112;114;102;118;89;113
56;56;72;94;99;98;96;77;85;77;87;87;70;102;107;112;104;118;92
57;61;56;72;94;95;98;97;74;88;79;87;89;71;103;107;113;102;121
58;77;66;57;72;93;95;100;98;76;90;78;85;91;69;102;105;112;102
59;67;79;68;59;72;96;96;98;93;76;92;79;87;90;68;102;104;109
60;77;69;81;67;60;77;99;97;98;91;75;93;80;86;89;68;100;104
61;98;78;68;81;65;64;81;99;97;98;92;74;93;78;87;89;70;100
62;90;98;77;68;79;67;66;80;101;101;98;96;74;92;77;85;87;73
63;95;90;94;73;69;76;66;66;77;103;99;98;97;73;89;77;85;91
64;79;94;88;91;73;69;79;69;66;81;102;99;99;94;74;88;77;84
65;70;78;96;83;95;71;72;82;66;69;81;100;93;95;96;73;87;76
66;77;69;73;93;85;94;73;71;82;67;69;82;93;95;98;95;73;88
67;75;76;68;72;91;85;94;75;72;84;68;72;82;95;99;95;95;72
68;79;73;79;68;72;87;78;90;81;74;84;70;69;80;92;97;95;96
69;64;74;72;75;65;77;84;79;89;79;77;83;72;67;77;93;95;97
70;67;63;77;70;78;66;76;80;77;88;80;75;83;70;62;76;93;92
71;97;67;61;74;68;81;64;77;80;80;84;80;75;82;66;58;76;89
72;82;95;66;60;71;69;76;67;74;81;83;83;80;75;80;64;61;76
73;61;81;91;65;61;74;70;74;68;73;78;85;84;80;76;78;64;61
74;81;60;82;90;65;63;73;68;75;69;71;77;88;84;80;78;78;64
75;79;78;57;78;90;66;58;74;67;76;69;71;69;84;82;79;74;79
76;77;75;73;56;78;92;67;58;72;64;73;69;65;65;83;86;78;70
77;76;76;74;69;54;73;88;66;57;69;63;71;66;63;65;75;84;74
78;60;76;67;69;65;54;71;84;69;54;68;61;68;64;61;66;69;78
79;67;59;77;64;69;62;51;71;83;65;51;68;58;67;60;60;63;67
80;46;61;55;73;60;68;61;46;68;79;61;46;66;54;64;58;56;59
81;49;42;58;52;66;55;64;56;45;64;74;57;43;63;55;59;55;55
82;31;42;42;57;51;63;48;62;56;45;58;68;55;42;59;51;58;54
83;25;29;42;41;51;49;57;46;56;51;39;53;69;53;39;48;48;54
84;24;24;27;37;44;51;47;50;46;53;44;36;43;63;42;37;41;43
85;27;22;22;26;32;40;49;47;50;39;50;39;32;41;58;39;32;38
86;34;23;19;20;27;31;37;48;46;45;36;47;36;29;38;53;39;30
87;20;33;19;16;20;26;26;33;42;41;44;31;43;30;28;36;48;36
88;28;18;30;17;14;16;24;23;25;33;37;35;25;37;24;24;30;41
89;19;25;17;22;12;14;13;20;20;22;28;31;28;19;33;26;21;26
90;14;15;20;13;18;11;10;13;19;18;18;24;27;25;17;26;24;21
91;17;11;14;21;10;15;12;7;11;16;17;16;18;23;23;11;23;22
92;10;16;9;11;17;8;12;10;4;11;13;14;15;16;18;19;11;17
93;6;7;10;6;10;13;5;9;8;4;10;11;10;15;12;12;16;7
94;5;4;6;6;4;8;5;3;8;6;3;9;9;7;13;9;8;13
95;7;2;3;6;4;4;7;5;4;6;4;3;9;5;4;9;7;7
96;3;7;2;2;5;3;0;5;5;5;6;3;2;8;3;3;6;7
97;2;0;5;2;0;4;1;0;5;2;5;6;0;1;3;3;4;4
98;1;2;0;4;2;0;1;1;0;4;2;6;5;0;1;1;2;4
99;2;1;1;0;4;1;0;1;1;0;4;1;3;4;0;1;1;2
100 e oltre;0;1;0;0;0;4;3;1;1;2;0;3;3;6;6;5;6;4
Totale;6519;6555;6691;6685;6762;6776;6778;6931;6968;7012;6977;6992;6987;6914;6852;6794;6733;6668
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;25;17;32;32;26;31;21;28;30;35;26;35;25;17;23;36;17;18
1;27;26;17;32;31;26;33;24;27;30;31;25;36;27;16;23;35;18
2;25;27;26;16;34;31;27;34;19;30;30;32;26;34;26;15;22;36
3;28;24;27;26;20;32;31;27;32;19;31;28;33;28;32;24;15;21
4;25;28;26;28;27;22;30;32;28;32;19;29;29;33;28;32;25;14
5;18;26;30;26;29;29;21;31;33;29;33;19;31;28;32;30;31;23
6;20;18;26;32;27;27;30;21;29;33;28;36;20;33;29;32;31;32
7;25;22;18;28;33;28;28;31;21;28;35;29;35;21;33;27;31;32
8;28;26;22;19;27;34;27;30;30;19;27;36;29;35;21;32;28;31
9;25;29;27;22;18;27;36;29;29;32;20;27;34;29;35;21;30;29
10;24;29;30;25;22;19;27;37;29;28;32;19;27;33;29;35;18;29
11;32;26;29;29;27;23;20;29;37;33;27;32;16;27;31;29;35;19
12;27;32;26;29;29;27;25;18;29;37;33;27;33;18;28;31;30;35
13;31;28;31;26;29;29;27;24;18;28;37;32;29;33;18;28;31;31
14;38;30;29;32;28;30;29;28;25;19;28;37;32;29;33;18;28;31
15;30;37;32;29;33;26;29;32;28;25;19;27;36;32;27;34;19;27
16;34;32;36;32;30;34;29;32;31;29;25;18;27;36;30;27;33;19
17;37;35;32;39;33;30;36;30;31;28;31;26;18;26;37;31;27;32
18;39;37;35;32;40;33;31;38;31;33;27;31;26;18;27;37;30;28
19;35;40;35;35;34;40;34;32;39;30;33;28;31;25;18;28;37;32
20;41;35;39;36;36;30;37;37;32;38;33;34;27;31;24;17;28;35
21;41;43;34;38;38;36;30;41;38;31;40;32;36;27;28;23;18;27
22;42;39;46;37;34;42;35;34;42;44;33;41;35;35;29;25;23;20
23;44;43;40;46;39;34;46;37;34;46;45;34;41;38;35;27;26;24
24;34;44;43;38;47;41;35;48;41;36;47;44;33;41;39;34;26;26
25;43;33;46;42;41;49;43;37;50;42;37;45;42;35;42;38;30;24
26;56;42;35;50;43;40;48;46;35;50;44;40;44;41;32;40;34;28
27;46;58;44;36;47;39;41;47;47;35;49;43;42;41;42;33;44;36
28;41;47;65;45;37;43;38;46;45;48;39;50;43;41;37;40;35;42
29;39;41;49;64;43;39;45;39;46;45;48;40;48;41;39;39;39;31
30;53;41;45;53;63;44;38;45;43;46;45;48;42;50;41;43;39;41
31;30;57;45;47;54;62;44;39;45;44;47;43;49;41;47;40;43;35
32;48;30;63;50;48;52;58;50;39;46;43;47;43;49;41;46;41;42
33;52;52;30;63;53;43;51;58;54;39;43;43;45;46;46;42;47;43
34;40;53;57;32;65;50;45;48;56;50;36;42;46;42;46;47;41;49
35;48;46;56;57;36;58;53;41;50;54;54;33;44;46;43;42;42;42
36;52;52;51;56;59;33;55;52;40;46;55;53;32;46;46;43;45;43
37;58;51;55;49;56;58;33;61;51;44;49;53;53;32;47;47;44;46
38;47;54;53;54;48;56;56;32;61;48;44;47;52;51;33;44;42;45
39;38;47;59;53;53;51;56;59;32;59;47;43;53;52;55;32;43;40
40;53;37;48;61;54;51;52;56;55;32;62;48;44;51;50;55;35;45
41;41;56;38;50;60;56;50;54;55;57;34;61;49;41;50;49;55;36
42;47;45;59;38;50;60;59;49;55;60;57;37;62;48;40;54;47;54
43;52;47;45;59;39;49;62;63;52;55;60;57;37;62;46;44;56;52
44;34;55;46;43;58;40;48;64;63;54;53;60;58;37;64;45;46;58
