"Popolazione per età, vista per singola area - Comune: 066100 - Tione degli Abruzzi"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Tione degli Abruzzi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4;2;0;1;0;1;2;4;0;1;1;3;3;0;0;2;1;1
1;4;3;2;0;1;0;1;2;4;0;1;1;4;3;0;0;2;1
2;2;4;3;1;0;1;0;1;2;5;0;1;1;3;3;0;0;2
3;5;2;4;2;1;0;1;0;1;2;5;0;1;1;2;1;0;0
4;2;5;2;3;2;1;1;1;0;1;2;4;0;2;0;2;1;0
5;2;2;4;2;3;2;2;1;1;0;1;1;3;0;2;1;2;1
6;3;2;2;3;2;2;2;2;1;1;0;1;1;2;0;2;1;2
7;3;3;2;2;3;2;2;2;2;1;1;0;1;1;2;0;2;1
8;4;3;3;1;2;3;2;2;2;2;1;1;0;1;1;2;0;1
9;3;3;3;3;1;2;3;2;2;3;2;1;1;0;1;1;2;0
10;2;3;3;3;3;1;2;3;2;3;3;2;1;1;0;1;1;2
11;2;2;2;3;3;3;1;2;3;2;4;3;2;1;1;0;1;1
12;4;2;2;0;3;3;3;1;2;4;2;4;3;2;1;1;0;1
13;4;4;2;2;0;2;3;3;1;2;4;2;4;3;2;1;1;0
14;0;4;4;2;2;0;3;3;3;1;3;4;1;4;3;2;1;1
15;4;0;2;4;2;2;0;2;3;3;1;3;4;1;4;3;2;1
16;3;4;0;2;4;2;2;0;2;3;3;1;2;4;1;4;2;2
17;2;3;4;0;2;4;3;2;0;3;3;3;1;2;4;1;4;2
18;2;2;3;4;0;2;4;2;2;0;4;3;3;1;3;4;1;5
19;1;2;2;3;2;0;2;4;2;3;0;4;3;3;1;3;4;1
20;2;1;2;2;2;2;0;2;5;3;3;0;4;3;4;1;3;4
21;1;2;1;2;1;2;2;0;3;5;3;3;0;4;3;4;0;3
22;3;1;2;1;2;1;2;2;0;3;5;2;3;1;4;3;4;0
23;0;3;1;2;1;2;1;3;1;0;3;5;3;3;2;4;3;4
24;2;0;3;1;2;1;2;1;3;1;0;3;3;3;2;2;4;3
25;3;2;0;2;0;3;1;2;1;2;2;0;5;1;3;2;2;4
26;4;3;2;1;2;0;3;1;2;1;2;2;0;4;3;3;2;1
27;0;5;4;2;1;2;0;2;1;2;1;2;1;0;2;3;3;2
28;4;0;5;4;2;1;2;0;3;1;2;1;2;1;0;1;4;3
29;8;3;0;5;4;2;1;2;0;3;1;2;1;2;2;0;2;4
30;5;7;4;0;6;5;2;1;3;0;3;1;3;1;2;2;0;2
31;9;5;7;4;0;6;7;2;1;2;0;4;1;2;2;2;1;0
32;5;9;5;5;2;0;5;6;2;1;2;0;4;0;2;2;2;1
33;7;6;8;4;5;2;0;5;6;2;1;2;1;3;0;4;2;2
34;4;6;6;6;2;4;2;0;5;5;2;2;3;1;2;0;3;1
35;3;4;5;3;6;2;4;2;0;4;5;3;2;4;1;2;0;3
36;3;4;6;7;4;7;5;4;3;1;4;4;2;3;4;0;2;0
37;8;2;4;6;7;4;7;5;4;3;2;3;4;4;3;4;0;2
38;4;9;2;4;6;7;4;7;5;4;3;2;4;5;2;2;6;0
39;3;4;8;2;3;8;7;4;7;5;4;4;1;4;6;2;2;6
40;4;4;3;7;2;3;8;7;4;7;5;4;4;1;4;4;1;2
41;6;5;4;3;6;2;3;7;7;5;9;5;4;4;1;4;4;1
42;5;6;3;4;3;7;3;2;7;7;5;9;5;4;4;1;4;3
43;3;5;6;4;4;3;8;3;2;6;7;4;9;5;4;5;1;4
44;6;3;6;5;4;2;4;8;3;2;6;7;4;9;5;5;5;1
45;3;8;3;5;6;5;2;4;9;3;3;6;7;4;9;5;5;5
46;1;3;8;3;5;6;6;1;4;9;2;4;5;7;4;8;5;4
47;9;1;3;9;4;5;6;6;1;4;9;1;5;4;8;4;9;5
48;6;8;1;4;8;3;5;6;6;1;3;10;1;6;5;7;4;8
49;4;6;8;2;4;7;4;5;6;6;1;3;10;2;6;6;6;4
50;3;4;6;8;2;4;6;4;5;6;6;1;1;10;2;8;5;6
51;4;3;4;5;7;2;3;6;4;5;6;6;1;2;10;2;8;5
52;5;4;3;3;4;7;2;3;6;4;5;5;6;2;3;9;2;7
53;0;5;4;3;3;4;7;2;3;7;4;5;5;6;1;4;9;2
54;1;0;6;4;3;2;4;7;2;2;7;4;4;5;6;1;3;8
55;5;1;1;6;4;3;2;5;7;2;2;7;4;4;5;6;1;5
56;6;5;1;1;6;4;3;3;5;7;2;2;6;4;4;5;6;2
57;2;6;5;1;1;6;4;3;3;5;7;2;1;6;4;5;5;6
58;1;2;6;5;1;1;7;4;3;3;5;7;3;1;6;3;5;5
59;3;1;2;6;5;1;2;7;4;3;3;6;7;3;1;6;3;5
60;3;3;1;2;5;5;1;2;7;4;3;3;6;8;3;1;5;3
61;3;3;3;1;2;5;6;1;2;7;4;3;4;7;7;2;0;6
62;6;3;3;3;1;2;5;8;1;2;7;4;4;4;3;8;2;0
63;2;6;3;3;4;1;2;6;8;1;1;7;3;4;5;3;7;2
64;5;2;6;3;3;4;1;2;6;8;1;1;7;3;4;4;3;7
65;10;7;2;6;4;3;5;1;2;6;8;1;1;7;3;4;4;3
66;5;10;7;2;6;4;3;5;1;2;6;8;1;1;7;3;4;4
67;7;6;10;6;2;6;5;3;4;1;2;6;8;1;1;6;5;4
68;8;7;6;10;6;2;6;5;3;4;1;2;7;8;1;1;6;5
69;7;8;8;6;11;6;4;6;5;3;4;1;3;6;8;2;1;5
70;6;8;8;7;5;11;6;4;6;5;2;4;1;3;6;8;2;1
71;11;6;8;8;8;4;12;6;5;5;4;2;3;1;3;6;8;2
72;5;10;7;7;8;7;4;12;6;5;5;4;2;3;1;3;6;8
73;5;5;10;7;8;8;7;4;11;6;5;5;5;2;3;1;3;4
74;6;7;6;9;6;8;9;6;4;11;6;5;5;4;2;3;1;2
75;3;5;7;6;9;6;7;9;6;2;10;6;5;5;4;3;2;0
76;13;3;5;7;6;8;6;7;9;5;2;9;6;5;5;2;3;2
77;11;13;3;4;7;6;8;6;7;9;4;2;9;6;4;5;2;3
78;3;11;13;3;5;7;6;8;6;7;8;4;2;9;6;3;5;3
79;7;2;12;13;3;6;7;6;8;6;7;8;4;2;9;6;2;5
80;8;7;2;13;11;3;5;8;6;8;6;7;8;4;2;8;5;2
81;5;9;8;3;14;11;4;6;7;5;6;6;7;8;3;2;8;5
82;1;6;6;8;4;12;11;4;6;6;5;6;6;7;8;3;2;7
83;2;1;7;5;9;3;10;8;3;6;6;4;6;5;6;7;4;2
84;1;2;0;7;4;7;1;9;8;2;4;6;4;6;5;4;6;3
85;6;1;2;0;6;4;6;1;8;8;2;4;5;4;6;4;4;6
86;2;7;1;2;0;6;3;6;1;8;5;2;2;5;3;6;4;4
87;1;2;7;1;2;0;6;3;6;1;8;4;1;2;4;1;6;4
88;4;1;2;7;1;2;0;5;2;5;1;8;4;1;2;4;1;3
89;2;3;1;3;7;1;2;0;4;2;3;1;7;3;1;1;4;2
90;2;2;3;1;1;6;1;2;0;3;2;2;1;4;2;1;0;4
91;2;1;2;3;1;1;5;1;0;0;3;2;2;1;4;1;1;0
92;0;2;1;2;3;1;1;5;1;0;0;3;2;2;2;3;0;1
93;0;0;2;0;1;3;0;1;3;1;0;0;2;1;2;2;3;0
94;0;0;0;2;0;1;3;0;1;3;1;0;0;2;1;1;0;3
95;2;0;0;0;0;0;1;3;0;1;3;1;0;0;1;1;1;0
96;0;2;0;0;0;0;0;1;2;0;1;3;1;0;0;1;1;1
97;1;0;2;0;0;0;0;0;0;0;0;1;2;1;0;0;1;1
98;1;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1
99;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
100 e oltre;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;2;3;1
Totale;379;384;382;363;350;341;354;353;346;340;332;330;325;321;313;299;289;277
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;1;1;0;0;0;1;1;3;0;1;0;1;2;0;0;1;1;1
1;2;1;1;0;0;0;1;1;3;0;1;0;1;2;0;0;1;1
2;1;2;1;0;0;0;0;1;1;4;0;1;0;1;2;0;0;1
3;2;1;2;0;0;0;0;0;1;1;4;0;1;0;1;1;0;0
4;2;2;1;2;0;0;0;0;0;1;1;3;0;2;0;1;1;0
5;1;2;2;1;2;0;1;0;0;0;1;1;2;0;2;0;1;1
6;2;1;2;1;1;1;0;1;0;0;0;1;1;1;0;2;0;1
7;1;2;1;2;1;1;1;0;1;0;0;0;1;1;1;0;2;0
8;1;1;2;1;2;1;1;1;0;1;0;0;0;1;1;1;0;1
9;0;1;1;2;1;2;1;1;1;0;1;0;0;0;1;1;1;0
10;0;0;1;1;2;1;2;1;1;2;0;1;0;0;0;1;1;1
11;1;0;0;1;1;2;1;2;1;1;2;0;1;0;0;0;1;1
12;3;1;0;0;1;1;2;1;2;2;1;2;0;1;0;0;0;1
13;2;3;1;0;0;1;1;2;1;2;2;1;2;0;1;0;0;0
14;0;2;3;1;0;0;2;1;2;1;2;2;0;2;0;1;0;0
15;2;0;0;3;1;0;0;1;1;2;1;2;2;0;2;0;1;0
16;1;2;0;0;3;1;0;0;1;1;2;1;2;2;0;2;0;1
17;2;1;2;0;0;3;1;0;0;1;1;2;1;2;2;0;2;0
18;2;2;1;2;0;0;3;1;0;0;1;1;2;1;2;2;0;2
19;0;2;2;1;1;0;0;3;1;1;0;1;1;2;1;2;2;0
20;0;0;2;2;1;1;0;0;4;2;1;0;1;1;3;1;2;2
21;0;0;0;2;1;1;1;0;1;4;2;1;0;1;1;3;0;2
22;2;0;0;0;2;1;1;1;0;1;4;1;1;0;1;1;3;0
23;0;2;0;0;0;2;1;1;0;0;1;4;2;1;1;1;1;3
24;2;0;2;0;0;0;2;1;1;0;0;1;3;1;0;1;1;1
25;1;2;0;1;0;0;0;2;1;1;0;0;1;1;1;0;1;1
26;2;1;2;1;1;0;0;0;2;1;1;0;0;1;2;1;0;1
27;0;2;1;2;1;1;0;0;0;2;1;1;0;0;0;2;1;0
28;2;0;2;1;2;1;1;0;0;0;2;1;1;0;0;0;3;2
29;4;2;0;2;1;2;1;1;0;0;0;2;1;1;0;0;1;3
30;4;4;2;0;3;1;2;1;2;0;0;0;3;1;1;0;0;1
31;4;4;5;2;0;4;2;2;1;1;0;0;0;2;2;1;0;0
32;4;4;5;4;2;0;3;2;2;1;1;0;0;0;2;2;1;0
33;2;4;3;4;4;2;0;3;2;2;1;1;0;0;0;2;2;1
34;2;2;3;0;2;3;1;0;2;2;2;2;2;0;0;0;2;1
35;1;2;1;2;0;2;3;1;0;2;2;2;2;2;0;0;0;2
36;2;2;3;2;3;3;3;3;2;0;2;1;2;3;2;0;0;0
37;4;1;2;3;2;3;4;3;3;2;0;2;1;4;3;2;0;0
38;3;5;1;2;3;2;3;4;3;3;2;0;3;2;1;2;3;0
39;1;3;5;1;1;3;2;3;4;3;3;3;0;3;2;1;2;3
40;2;1;2;4;1;1;3;2;3;4;3;3;3;0;3;2;1;2
41;3;3;1;2;4;1;1;3;2;3;5;3;3;3;0;3;2;1
42;5;3;0;1;2;5;2;1;3;2;3;5;3;3;3;0;3;1
43;2;5;3;1;1;2;5;2;1;3;2;2;5;3;3;3;0;3
44;2;2;6;3;1;1;2;5;2;1;3;2;2;5;3;3;3;0
45;2;2;2;5;3;2;1;2;5;2;2;2;2;2;5;3;3;3
46;1;2;2;2;5;3;2;0;2;5;1;2;2;2;2;4;3;3
47;5;1;2;3;2;5;3;2;0;2;5;0;3;2;3;2;5;3
48;4;4;1;3;3;2;5;3;2;0;2;6;0;4;2;2;2;4
49;3;4;4;2;3;2;2;5;3;2;0;2;6;0;4;2;2;2
50;1;3;4;4;2;3;2;2;5;3;2;0;0;6;0;4;2;2
51;1;1;3;4;4;2;2;2;2;5;3;2;0;1;6;0;4;2
52;2;1;1;3;3;4;2;2;2;2;5;3;2;0;1;6;0;4
53;0;2;1;1;3;3;4;2;2;3;2;5;3;2;0;1;6;0
54;0;0;3;1;1;2;3;4;2;1;3;2;4;3;2;0;1;5
55;3;0;1;3;1;1;2;4;4;2;1;3;2;4;3;2;0;2
56;6;3;0;1;3;1;1;3;4;4;2;1;3;2;4;3;2;0
57;0;6;3;0;1;3;1;1;3;4;4;2;1;3;2;4;3;2
58;1;0;6;3;0;1;4;1;1;3;4;4;2;1;3;1;4;3
59;2;1;0;6;3;0;1;4;1;1;3;5;4;2;1;3;1;4
60;0;2;1;0;5;3;0;1;4;1;1;3;5;5;2;1;3;1
61;2;0;2;1;0;5;4;0;1;4;1;1;4;5;4;1;0;4
62;3;2;0;2;1;0;5;6;0;1;4;1;2;4;3;4;1;0
63;0;3;2;0;2;1;0;6;6;0;0;4;1;2;4;3;4;1
64;0;0;3;2;0;2;1;0;6;6;0;0;4;1;2;4;3;4
65;4;1;0;3;3;0;3;1;0;6;6;0;0;4;1;2;4;3
66;1;4;1;0;3;3;0;3;1;0;6;6;0;0;4;1;2;4
67;3;2;4;2;0;3;3;0;3;1;0;6;6;0;0;3;2;2
68;3;3;2;4;2;0;3;3;0;3;1;0;6;6;0;0;3;2
69;2;3;3;2;4;2;1;3;3;0;3;1;0;6;6;1;0;2
70;4;3;3;2;2;4;2;1;3;3;0;3;1;0;6;6;1;0
71;5;4;3;3;3;2;5;2;2;3;3;0;2;1;0;6;6;1
72;1;5;5;2;3;3;2;5;2;2;3;3;0;2;1;0;5;6
73;2;1;5;5;3;3;3;2;5;2;2;3;4;0;2;1;0;3
74;5;4;1;4;4;3;4;2;2;5;2;2;3;3;0;2;1;0
75;2;4;4;1;4;4;3;4;2;0;4;2;2;3;3;1;1;0
76;7;2;4;4;1;4;4;3;4;1;0;3;2;2;3;2;1;1
77;4;7;2;3;4;1;4;4;3;4;1;0;3;2;2;3;2;1
78;1;4;7;2;4;4;1;4;4;3;3;1;0;3;2;1;3;3
79;4;0;4;7;2;5;4;1;4;4;3;3;1;0;3;2;1;3
80;4;4;0;4;7;2;5;4;1;4;4;3;3;1;0;3;1;1
81;1;4;4;1;5;7;2;6;3;0;2;4;3;3;1;0;3;1
82;0;1;2;4;2;5;7;2;6;2;0;2;4;3;3;1;0;2
83;2;0;1;1;4;1;4;4;1;6;2;0;2;4;2;2;1;0
84;1;2;0;1;1;2;0;3;4;1;4;2;0;2;4;1;3;1
85;3;1;2;0;1;1;2;0;3;4;1;4;2;0;2;3;1;3
86;1;3;1;2;0;1;1;2;0;3;2;1;2;2;0;2;3;1
87;1;1;4;1;2;0;1;1;2;0;3;1;0;2;2;0;2;3
88;1;1;1;4;1;2;0;1;0;2;0;2;1;0;2;2;0;2
89;0;0;1;2;4;1;2;0;1;0;1;0;1;0;0;1;2;0
90;1;0;0;1;0;3;1;2;0;1;0;0;0;1;0;0;0;2
91;2;0;0;0;1;0;3;1;0;0;1;0;0;0;1;0;0;0
92;0;2;0;0;0;1;0;3;1;0;0;1;0;0;0;1;0;0
93;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0
94;0;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;1
95;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0
96;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
97;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Totale;181;184;181;173;169;169;176;178;174;174;165;160;158;159;155;145;146;140
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;3;1;0;1;0;0;1;1;0;0;1;2;1;0;0;1;0;0
1;2;2;1;0;1;0;0;1;1;0;0;1;3;1;0;0;1;0
2;1;2;2;1;0;1;0;0;1;1;0;0;1;2;1;0;0;1
3;3;1;2;2;1;0;1;0;0;1;1;0;0;1;1;0;0;0
4;0;3;1;1;2;1;1;1;0;0;1;1;0;0;0;1;0;0
5;1;0;2;1;1;2;1;1;1;0;0;0;1;0;0;1;1;0
6;1;1;0;2;1;1;2;1;1;1;0;0;0;1;0;0;1;1
7;2;1;1;0;2;1;1;2;1;1;1;0;0;0;1;0;0;1
8;3;2;1;0;0;2;1;1;2;1;1;1;0;0;0;1;0;0
9;3;2;2;1;0;0;2;1;1;3;1;1;1;0;0;0;1;0
10;2;3;2;2;1;0;0;2;1;1;3;1;1;1;0;0;0;1
11;1;2;2;2;2;1;0;0;2;1;2;3;1;1;1;0;0;0
12;1;1;2;0;2;2;1;0;0;2;1;2;3;1;1;1;0;0
13;2;1;1;2;0;1;2;1;0;0;2;1;2;3;1;1;1;0
14;0;2;1;1;2;0;1;2;1;0;1;2;1;2;3;1;1;1
15;2;0;2;1;1;2;0;1;2;1;0;1;2;1;2;3;1;1
16;2;2;0;2;1;1;2;0;1;2;1;0;0;2;1;2;2;1
17;0;2;2;0;2;1;2;2;0;2;2;1;0;0;2;1;2;2
18;0;0;2;2;0;2;1;1;2;0;3;2;1;0;1;2;1;3
19;1;0;0;2;1;0;2;1;1;2;0;3;2;1;0;1;2;1
20;2;1;0;0;1;1;0;2;1;1;2;0;3;2;1;0;1;2
21;1;2;1;0;0;1;1;0;2;1;1;2;0;3;2;1;0;1
22;1;1;2;1;0;0;1;1;0;2;1;1;2;1;3;2;1;0
23;0;1;1;2;1;0;0;2;1;0;2;1;1;2;1;3;2;1
24;0;0;1;1;2;1;0;0;2;1;0;2;0;2;2;1;3;2
25;2;0;0;1;0;3;1;0;0;1;2;0;4;0;2;2;1;3
26;2;2;0;0;1;0;3;1;0;0;1;2;0;3;1;2;2;0
27;0;3;3;0;0;1;0;2;1;0;0;1;1;0;2;1;2;2
28;2;0;3;3;0;0;1;0;3;1;0;0;1;1;0;1;1;1
29;4;1;0;3;3;0;0;1;0;3;1;0;0;1;2;0;1;1
30;1;3;2;0;3;4;0;0;1;0;3;1;0;0;1;2;0;1
31;5;1;2;2;0;2;5;0;0;1;0;4;1;0;0;1;1;0
32;1;5;0;1;0;0;2;4;0;0;1;0;4;0;0;0;1;1
33;5;2;5;0;1;0;0;2;4;0;0;1;1;3;0;2;0;1
34;2;4;3;6;0;1;1;0;3;3;0;0;1;1;2;0;1;0
