"Popolazione per età, vista per singola area - Comune: 067045 - Tossicia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Tossicia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;9;14;7;11;16;10;16;13;6;10;10;6;9;7;4;15;5;10
1;11;9;14;7;14;14;9;15;12;6;10;10;7;11;5;4;15;5
2;12;11;8;14;7;13;13;9;15;11;6;10;10;7;11;5;4;14
3;14;11;11;8;13;7;14;13;9;13;9;6;9;11;7;8;4;4
4;11;14;11;11;8;13;7;14;14;9;12;7;7;9;11;7;7;3
5;12;11;14;11;11;8;13;6;14;14;9;14;7;7;9;11;8;7
6;5;13;10;13;11;11;8;13;5;13;14;10;15;7;6;9;11;7
7;25;4;12;11;14;11;11;8;13;8;13;14;10;15;9;7;9;10
8;14;25;4;12;12;13;12;11;8;13;8;12;14;10;15;9;6;10
9;15;12;25;4;12;13;13;11;11;8;13;8;12;13;10;14;9;6
10;13;16;12;24;4;10;12;13;10;11;8;12;8;12;12;10;14;9
11;10;13;16;12;23;5;10;12;13;10;11;8;12;8;12;12;10;14
12;12;10;10;17;14;23;3;10;12;15;10;11;8;12;8;12;11;10
13;18;12;10;10;18;14;25;4;10;12;14;11;11;8;12;8;12;11
14;17;17;13;10;10;17;13;25;4;10;11;14;10;11;8;13;7;12
15;19;17;17;13;9;9;17;14;25;4;10;11;15;12;11;8;13;7
16;23;19;18;17;13;10;11;16;13;23;4;9;12;15;13;11;8;13
17;21;23;19;18;17;14;10;11;16;13;22;4;10;12;15;12;12;8
18;26;21;23;20;17;17;13;9;10;16;13;22;4;11;12;14;11;12
19;17;25;20;24;21;15;17;13;9;10;16;12;22;4;11;12;14;11
20;13;16;25;20;27;21;15;15;15;9;9;16;12;21;4;10;12;14
21;17;11;15;25;20;26;21;15;16;15;9;11;15;13;21;4;10;12
