"Popolazione per età, vista per singola area - Comune: 069008 - Bucchianico"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Bucchianico"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;36;37;39;32;41;32;46;56;45;45;66;58;44;49;48;43;27;44
1;41;37;38;37;34;41;34;46;55;47;46;66;58;43;52;45;42;28
2;47;41;35;40;36;37;42;34;49;54;48;46;65;62;42;52;44;45
3;51;48;40;36;40;35;39;41;39;48;58;51;48;62;61;42;51;46
4;46;52;48;42;40;39;37;39;45;40;51;58;52;47;63;55;39;52
5;47;50;52;51;42;40;40;40;38;45;41;52;60;51;49;63;52;40
6;52;50;49;55;51;42;40;42;43;36;44;40;52;56;49;50;62;50
7;39;55;48;50;55;52;43;40;43;46;36;45;37;51;56;51;48;61
8;52;41;55;49;47;54;52;44;42;41;43;38;46;37;51;55;52;47
9;45;55;41;55;49;51;55;54;43;44;40;44;41;45;37;51;53;50
10;44;46;54;43;59;50;50;57;54;43;45;45;43;40;46;39;51;55
11;49;44;46;56;42;61;49;49;59;56;45;46;46;43;38;45;39;52
12;43;50;44;47;56;41;66;51;51;58;56;48;49;46;44;41;46;39
13;43;42;51;46;46;55;41;66;50;53;59;57;48;49;46;44;42;47
14;57;40;41;52;47;47;52;42;68;50;53;58;58;47;46;46;46;41
15;50;56;40;41;52;47;50;53;44;67;50;52;58;58;50;46;44;46
16;57;49;56;42;42;52;47;50;50;46;67;52;51;59;57;51;46;44
17;75;57;50;57;42;44;51;49;50;54;46;66;52;50;59;58;49;47
18;61;76;59;50;57;42;45;52;50;50;55;45;66;51;50;59;57;48
19;73;59;75;60;53;60;43;46;55;48;51;54;48;69;52;50;59;59
20;57;73;57;75;59;54;64;43;44;57;49;52;53;50;69;50;49;58
21;66;56;74;58;74;63;54;65;43;42;53;49;50;52;49;67;49;49
22;73;65;57;75;57;73;65;53;66;42;40;53;48;49;49;48;68;48
23;63;74;64;57;75;59;72;65;53;65;45;41;54;50;49;52;49;67
24;66;64;74;65;52;76;62;73;70;51;66;45;39;54;49;52;51;49
25;77;64;64;78;64;52;79;63;73;74;52;65;46;37;54;48;50;49
26;68;76;64;64;77;63;52;76;62;78;79;53;63;47;36;50;52;47
27;64;71;75;69;64;79;65;50;79;59;76;75;53;66;47;32;48;50
28;66;65;66;77;67;63;85;73;54;77;63;72;77;52;64;50;36;46
29;60;68;70;71;72;72;67;89;69;53;75;60;72;71;52;63;46;35
30;76;58;73;74;65;72;77;63;93;72;56;78;59;77;73;51;61;44
31;69;75;59;74;72;65;79;75;68;89;70;59;80;58;73;70;49;60
32;78;66;73;59;66;73;67;76;73;68;89;71;59;81;55;69;67;51
33;65;80;66;79;57;62;77;66;82;61;67;87;72;61;80;55;62;65
34;67;67;77;64;79;54;64;74;66;79;60;71;87;68;61;83;57;65
35;76;66;68;79;66;78;60;62;74;66;82;61;67;84;68;58;79;60
36;65;80;67;74;79;71;85;61;64;80;70;84;61;65;81;73;53;74
37;72;68;79;74;76;78;70;86;59;68;82;75;87;63;62;79;70;55
38;58;72;68;80;77;74;78;69;89;60;72;84;77;85;60;66;79;69
39;73;56;75;70;85;78;76;81;65;94;61;74;84;77;86;60;66;80
40;80;76;60;75;72;85;79;77;85;65;95;58;76;86;79;84;61;64
41;78;77;75;59;78;73;85;80;79;81;63;91;57;73;84;81;79;61
42;53;77;75;75;61;79;70;86;83;81;83;67;92;57;75;83;75;79
43;56;53;81;79;75;61;81;74;87;83;81;81;67;94;57;75;81;72
44;53;55;50;80;77;73;62;79;80;88;83;81;80;68;91;58;74;81
