"Popolazione per età, vista per singola area - Comune: 069066 - Pizzoferrato"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Pizzoferrato"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;10;8;8;6;6;6;4;3;7;3;5;8;4;3;8;2;3;3
1;5;11;9;8;7;5;6;4;4;7;3;5;8;3;3;8;2;4
2;9;4;11;9;8;7;5;5;5;4;7;3;5;8;3;3;8;3
3;9;9;4;11;9;6;8;3;6;5;5;7;2;5;7;3;3;8
4;12;9;10;4;11;8;6;7;4;6;5;5;6;2;5;6;3;4
5;12;13;9;10;4;10;8;6;7;4;6;5;5;6;2;4;6;3
6;7;12;13;9;9;4;9;8;6;7;6;8;4;5;6;2;4;5
7;11;7;12;13;9;9;5;8;8;6;7;6;8;4;5;6;2;4
8;15;11;7;11;12;9;9;4;8;7;8;7;6;7;3;5;5;2
9;9;15;9;7;11;12;9;9;4;8;7;7;7;6;6;3;5;5
10;11;9;15;9;7;11;11;9;8;4;8;8;7;7;6;6;3;5
11;13;12;9;15;9;7;11;11;9;8;4;9;8;7;7;6;5;3
12;9;13;12;11;15;10;7;11;11;9;8;5;7;7;8;7;6;5
13;13;9;13;11;11;15;10;7;11;11;9;8;4;7;7;8;7;6
14;9;13;9;13;10;11;15;8;9;11;11;7;8;4;7;7;8;7
15;10;8;13;9;12;10;11;15;8;9;11;13;6;8;4;7;7;8
16;14;9;8;14;9;12;10;11;15;8;9;10;11;6;8;4;5;7
17;9;14;9;8;14;9;12;8;11;15;8;9;10;11;6;8;4;6
18;9;9;14;9;8;15;9;12;9;11;15;10;8;11;11;6;8;4
19;7;9;8;14;9;7;14;9;11;9;11;16;11;9;11;10;6;8
20;4;10;9;9;14;9;10;15;9;11;14;12;15;10;9;10;10;6
21;14;4;11;9;9;14;11;9;15;9;11;15;11;17;10;9;10;10
22;7;14;4;11;9;9;16;14;9;12;11;12;17;11;16;10;9;10
23;16;7;13;3;10;9;8;16;13;8;16;13;14;16;12;15;10;10
24;13;15;7;13;2;9;9;8;16;13;8;18;15;14;16;12;13;9
25;8;12;16;7;14;2;11;10;9;16;15;8;19;14;11;16;12;15
26;17;9;11;17;7;12;1;10;11;10;17;16;10;18;15;13;16;11
27;21;19;8;10;18;7;12;1;11;10;10;17;15;10;16;17;13;14
28;20;19;18;9;12;16;8;11;1;11;10;10;16;14;11;16;14;12
29;18;20;20;18;10;11;15;9;12;1;12;13;11;14;14;10;15;12
30;26;17;20;20;21;10;10;14;10;14;3;13;13;9;15;14;10;15
