"Popolazione per età, vista per singola area - Comune: 069073 - Roccamontepiano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Roccamontepiano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;13;10;14;17;8;11;8;6;8;15;9;15;7;10;4;15;7;13
1;16;13;13;14;19;8;13;8;7;6;15;9;14;7;9;4;15;5
2;19;16;14;13;14;19;8;13;8;8;6;14;10;13;7;10;5;15
3;18;18;16;14;13;14;19;8;12;8;8;6;13;9;12;7;10;4
4;11;17;17;16;14;13;14;18;8;11;8;7;8;13;8;12;9;10
5;20;11;18;17;16;14;12;14;18;9;11;8;7;8;13;7;12;8
6;28;20;11;18;17;18;13;11;12;18;9;10;6;7;8;13;9;12
7;15;29;21;11;17;18;16;12;11;13;18;8;11;7;9;8;12;9
8;18;15;29;20;11;17;19;16;11;11;13;18;8;11;7;9;6;13
9;23;18;16;29;20;11;17;19;15;11;11;12;18;9;11;7;8;6
10;16;23;17;16;28;20;12;17;19;15;12;11;12;18;9;10;7;7
11;21;16;23;14;16;28;20;11;17;19;15;12;11;12;17;8;10;7
12;23;21;16;23;14;16;26;20;11;17;19;15;12;11;12;14;8;10
13;13;23;21;16;23;13;16;26;20;12;17;19;16;12;11;11;14;8
14;23;13;23;21;16;23;13;16;26;20;13;18;19;15;12;10;11;14
15;23;22;11;23;21;16;24;12;16;26;20;13;17;19;15;12;10;11
16;20;23;22;11;22;21;16;24;12;16;26;20;13;17;18;15;12;11
17;16;20;23;22;11;22;22;16;24;12;16;26;20;13;17;18;16;11
18;25;16;20;23;21;11;22;21;16;24;12;16;26;20;14;17;20;15
19;24;25;16;19;23;21;12;22;22;16;24;12;16;25;20;14;16;19
20;19;24;25;16;19;23;21;14;22;20;15;25;12;15;25;20;15;18
21;27;18;24;25;16;19;23;22;14;20;20;16;25;13;15;25;20;15
22;21;27;18;23;25;16;20;23;22;14;20;19;17;24;13;14;28;20
23;25;19;28;16;21;25;18;20;23;22;14;21;19;16;24;11;15;30
24;21;25;17;28;16;20;23;18;19;23;21;13;21;18;15;24;12;15
25;23;21;25;18;28;16;20;22;17;19;22;19;15;24;19;15;26;14
26;15;23;23;25;18;27;17;21;26;17;19;22;19;13;24;18;16;26
27;22;16;24;23;24;16;27;16;23;26;16;19;18;18;14;24;19;15
28;24;18;17;24;26;24;14;26;17;20;26;17;20;17;17;13;24;19
29;37;22;19;17;23;25;25;15;25;19;20;24;16;19;20;17;13;23
30;30;38;24;21;17;24;26;26;14;22;19;19;25;17;22;19;16;14
31;33;30;37;24;19;18;23;24;25;16;21;17;17;24;18;21;17;17
32;23;31;30;34;23;19;17;22;22;25;16;20;17;17;23;15;22;17
33;25;24;32;29;33;23;21;15;21;20;25;15;21;16;15;23;14;21
34;25;26;24;31;27;31;27;20;14;22;18;24;16;18;17;14;23;15
35;19;25;26;24;27;27;30;24;19;13;23;18;25;14;17;17;18;24
36;27;22;25;25;25;27;27;27;24;17;15;24;16;26;14;17;18;18
37;31;27;23;26;25;25;26;26;28;23;17;14;22;15;26;14;17;16
38;33;31;27;23;26;25;26;26;26;28;24;16;11;20;14;23;14;17
39;31;33;32;27;23;26;25;24;26;25;28;22;16;11;20;14;23;13
40;34;33;34;32;26;23;26;25;24;27;25;28;22;15;12;20;16;23
41;25;34;33;35;32;27;21;26;26;22;27;24;29;22;15;12;20;15
42;28;24;36;34;35;32;27;22;26;27;23;26;24;29;22;15;12;21
43;30;30;23;36;34;36;32;27;22;28;27;22;26;23;28;22;16;14
44;26;32;30;23;34;34;36;30;27;23;28;27;22;28;23;26;22;16
45;28;25;32;28;23;34;32;36;30;27;23;28;27;23;29;22;28;23
46;24;28;27;32;28;23;34;32;35;30;27;24;27;28;22;29;22;27
47;23;24;26;27;32;28;24;34;31;34;30;27;24;27;28;22;29;23
48;26;23;22;27;26;32;27;24;34;32;34;32;27;24;25;28;22;29
49;20;26;24;23;27;26;32;26;25;34;32;35;32;27;23;24;28;22
50;21;19;25;24;24;27;27;32;25;24;34;31;34;32;26;23;24;28
51;23;20;19;24;23;24;26;26;32;25;24;33;32;34;32;27;22;24
52;31;22;21;19;23;23;26;26;26;33;24;25;32;31;33;32;26;22
53;21;32;22;20;21;22;23;26;26;24;33;25;25;32;30;33;31;26
54;19;21;32;22;19;22;22;23;26;26;26;33;25;25;33;30;33;31
55;31;18;21;32;21;19;21;22;23;25;26;22;32;25;25;33;27;33
56;8;30;18;20;31;21;20;21;22;23;25;26;22;31;25;25;32;28
57;23;8;30;18;20;30;23;21;21;22;25;25;27;22;31;26;24;31
58;14;24;8;30;18;18;30;23;20;21;22;25;25;26;22;31;26;25
59;23;14;24;8;31;18;19;30;23;20;20;24;25;26;26;22;32;26
60;27;25;14;24;9;30;18;19;30;23;20;21;25;26;25;26;19;31
61;24;26;25;14;23;9;30;18;19;27;23;18;21;24;27;25;25;19
62;20;24;27;26;13;23;11;30;18;19;28;24;18;19;24;28;25;26
63;25;20;24;27;25;13;23;11;32;18;18;28;23;19;19;23;28;25
64;20;26;20;26;27;25;13;24;10;32;19;18;28;23;18;19;23;25
65;17;20;26;20;23;25;24;15;24;10;32;19;18;28;24;18;19;23
66;23;17;20;28;19;23;25;23;15;24;10;32;20;18;27;24;18;20
67;17;23;17;20;28;19;24;25;22;14;23;9;33;19;18;26;25;18
68;31;17;23;16;20;28;19;25;25;22;15;23;9;32;19;18;26;26
69;16;32;17;22;17;19;27;18;25;26;22;15;23;7;32;19;19;26
70;21;16;31;17;21;17;19;27;17;23;26;21;15;22;8;31;19;18
71;35;21;16;30;17;22;17;19;27;17;21;26;21;15;22;8;29;19
72;26;31;19;16;31;17;20;17;19;27;17;21;26;18;15;22;8;29
73;25;27;31;18;15;29;17;21;17;18;27;17;22;27;17;16;22;9
74;31;26;27;30;17;13;28;17;19;17;18;27;16;23;27;16;16;21
75;19;31;26;25;28;17;13;28;17;18;17;18;27;16;23;26;16;16
76;21;16;29;27;24;28;17;13;28;17;16;16;18;26;15;25;26;16
77;29;20;16;27;23;23;28;16;13;26;17;16;17;17;24;15;25;23
78;20;22;19;16;27;23;23;28;16;13;26;15;15;17;17;24;15;24
79;18;19;20;18;16;27;23;23;28;16;13;26;14;15;16;14;24;13
80;18;16;17;20;18;14;27;21;22;27;17;13;24;13;15;15;13;23
81;21;18;14;15;20;18;14;27;18;19;27;15;12;22;13;14;14;13
82;9;20;17;13;15;19;17;14;25;17;18;25;15;12;20;13;13;12
83;8;8;20;16;14;16;18;15;14;23;16;18;22;12;12;20;13;13
84;6;7;6;19;15;14;16;18;13;13;22;14;16;19;11;10;19;13
85;9;5;8;6;13;15;12;16;17;11;11;20;11;16;18;11;10;19
86;14;9;3;7;5;11;13;13;13;13;10;10;19;11;15;17;10;7
87;12;13;8;3;6;4;9;13;13;10;12;6;8;16;12;14;16;9
88;8;10;13;8;3;6;4;7;11;10;8;11;6;7;12;11;11;15
89;3;7;8;10;8;3;6;4;7;10;10;6;11;5;7;10;11;10
90;4;3;6;7;9;6;3;4;1;8;10;10;6;11;3;5;10;11
91;4;4;3;4;5;7;6;1;4;1;6;10;9;5;11;3;4;7
92;0;4;3;2;4;4;3;5;1;4;1;6;10;9;5;9;3;4
93;1;1;4;3;2;3;3;2;5;1;4;0;4;10;8;4;5;2
94;1;0;1;4;2;2;3;3;3;5;1;4;0;4;7;6;2;4
95;1;1;0;1;2;0;1;3;3;3;3;0;3;0;2;3;3;2
96;0;1;1;0;1;2;0;1;2;3;3;1;0;3;0;2;1;2
97;0;0;1;1;0;1;2;0;1;2;3;3;1;0;1;0;2;1
98;0;0;0;0;1;0;1;2;0;0;2;2;2;1;0;1;0;1
99;0;0;0;0;0;0;0;0;2;0;0;2;1;2;0;0;1;0
100 e oltre;0;0;0;0;0;0;0;0;0;2;2;2;3;3;4;1;1;1
Totale;1958;1942;1948;1936;1899;1884;1883;1859;1840;1814;1810;1783;1763;1733;1708;1673;1668;1658
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;8;6;6;11;4;8;3;1;5;6;4;8;4;5;2;7;3;9
1;9;8;8;6;12;4;9;3;1;3;6;4;8;4;4;2;8;2
2;11;9;8;8;6;12;4;9;3;2;3;5;5;7;4;4;2;8
3;10;10;9;8;8;6;12;4;9;2;2;3;4;5;6;4;4;2
4;6;8;10;9;8;8;6;11;4;8;2;1;4;4;4;6;4;4
5;13;6;8;10;9;8;8;6;11;4;8;2;1;4;4;3;6;4
6;14;13;6;8;10;11;7;8;6;11;4;7;1;1;4;4;4;6
