"Popolazione per età, vista per singola area - Comune: 070061 - Rotello"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Rotello"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5;13;7;14;6;10;11;13;9;11;11;6;1;11;6;5;4;9
1;6;5;13;7;13;6;9;10;13;11;12;9;6;1;11;8;5;3
2;18;6;5;14;7;12;5;9;10;12;8;12;8;6;1;11;7;5
3;14;18;6;5;13;7;11;5;8;10;11;8;11;9;6;1;11;6
4;8;14;17;7;5;13;7;11;7;8;10;11;8;13;10;6;2;11
5;15;9;14;17;7;5;13;7;11;5;8;11;11;7;12;9;6;2
6;15;15;9;14;16;7;6;13;8;12;5;9;10;9;7;12;8;6
7;9;14;15;11;14;16;7;6;13;7;12;5;9;10;9;7;12;8
8;11;9;14;15;10;14;15;7;6;11;7;14;5;9;9;10;7;13
9;17;11;10;15;15;10;14;15;7;5;11;6;14;8;9;9;10;7
10;12;18;11;10;16;15;11;16;15;7;5;11;6;14;8;8;9;10
11;8;12;17;11;10;15;16;11;16;15;7;6;10;7;13;8;8;9
12;13;8;13;17;11;10;15;16;11;16;15;7;6;10;7;13;8;8
13;13;14;8;13;17;11;10;15;18;11;16;15;7;8;10;7;13;8
14;20;14;14;8;13;17;13;11;15;16;11;16;15;7;7;10;7;13
15;15;22;14;15;7;13;18;13;11;15;16;11;16;15;7;7;10;7
16;9;14;22;15;15;7;13;18;14;12;15;16;11;16;15;7;7;10
17;16;8;14;22;15;15;9;13;18;14;12;15;15;11;16;15;7;8
18;11;15;8;14;22;15;15;9;13;19;13;12;15;15;15;18;15;7
19;25;10;15;8;13;21;15;14;9;13;19;14;11;15;20;16;23;17
20;14;25;11;15;8;13;21;15;13;9;13;19;14;11;18;21;18;33
21;13;15;25;11;15;7;13;22;15;13;9;13;18;14;17;18;20;21
22;18;15;15;25;10;15;7;13;23;16;15;10;12;19;17;16;19;21
23;23;19;16;15;24;10;16;9;13;23;16;11;10;13;20;14;15;20
24;13;23;19;16;14;22;10;16;9;13;22;17;13;10;16;19;14;14
25;19;15;23;19;17;13;23;10;17;11;13;24;17;13;11;15;19;19
26;16;18;14;22;18;16;14;23;12;17;11;12;23;15;13;11;18;22
