"Popolazione per età, vista per singola area - Comune: 071001 - Accadia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Accadia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;15;30;28;15;21;13;16;16;23;17;13;24;17;12;11;22;17;15
1;23;15;31;24;15;22;12;17;16;22;15;13;23;17;10;10;23;13
2;18;23;14;33;24;13;22;11;16;17;22;16;12;22;17;11;10;23
3;27;17;24;13;34;23;13;22;12;18;18;19;17;12;21;19;12;10
4;20;27;17;24;13;35;23;13;24;12;17;19;20;18;12;22;20;12
5;21;21;27;17;21;12;35;23;13;26;13;17;17;21;19;11;22;21
6;31;19;19;27;19;19;12;34;24;16;27;12;18;16;23;19;11;22
7;22;31;19;18;27;19;19;12;36;24;16;29;10;17;14;24;18;11
8;17;24;31;19;18;27;19;18;13;38;24;16;30;10;17;14;23;18
9;24;17;23;30;21;19;26;19;18;13;38;24;16;27;10;17;14;24
10;24;24;18;23;32;19;21;26;20;17;13;36;25;16;27;10;19;14
11;30;24;24;19;23;32;19;21;28;20;17;12;36;25;16;27;10;19
12;20;30;23;25;19;23;30;19;21;27;22;17;14;36;25;16;27;10
13;39;20;29;23;23;19;23;29;20;21;27;22;18;14;37;25;16;27
14;32;39;21;30;24;23;18;23;29;20;22;27;22;18;14;37;23;15
15;35;32;38;21;31;24;25;16;23;29;20;22;29;22;18;14;36;23
16;38;36;32;37;21;30;26;24;16;23;30;20;22;28;20;19;14;35
17;31;38;36;33;37;21;30;24;24;16;24;30;20;22;28;20;19;15
18;35;32;38;36;34;37;21;29;24;25;16;24;31;19;22;28;19;19
19;33;36;32;40;37;33;37;21;29;24;25;16;23;31;20;22;29;20
20;36;31;35;29;39;36;34;36;20;32;26;23;16;23;30;19;21;30
21;31;36;31;35;28;36;32;33;36;22;31;27;23;15;22;30;19;20
22;32;31;33;30;32;27;37;32;36;36;20;31;26;23;15;22;24;19
23;41;35;31;32;28;32;27;39;31;36;34;19;30;26;22;17;21;23
24;48;39;32;30;30;29;29;27;41;29;34;35;18;30;26;22;16;21
25;39;47;39;29;31;31;30;29;27;40;28;31;37;16;34;23;22;15
26;42;37;48;40;28;30;31;30;29;23;40;32;30;36;19;32;24;21
27;43;41;35;47;40;29;31;30;27;32;23;42;32;31;32;19;32;22
28;31;42;39;38;50;39;29;30;33;30;31;25;42;32;31;31;20;33
29;42;31;39;38;37;51;40;31;29;30;28;28;20;42;33;31;31;21
30;35;42;29;38;38;36;49;37;28;27;31;28;28;19;38;32;34;31
31;32;31;43;32;38;37;38;44;36;27;25;35;33;27;18;37;32;35
32;27;33;32;41;32;34;37;34;43;35;27;26;33;29;27;18;35;28
33;37;29;33;29;42;32;29;39;30;45;35;27;25;31;28;27;18;34
34;43;35;28;33;27;42;32;31;38;33;49;41;28;23;25;27;26;19
35;32;42;36;28;35;28;37;32;31;38;36;47;41;27;21;24;27;25
36;40;32;37;33;28;33;29;36;32;30;40;36;45;41;28;19;20;28
37;28;41;31;35;33;26;32;29;36;33;29;39;33;44;36;30;18;20
38;33;28;42;28;35;34;29;29;28;39;34;28;36;32;43;38;26;18
39;39;32;27;42;31;35;35;29;29;27;38;36;28;35;30;42;36;26
40;32;39;32;29;44;31;37;33;33;29;27;38;37;26;36;29;40;33
41;28;31;40;32;29;43;30;37;35;32;28;30;39;35;29;36;29;40
42;47;27;31;40;32;29;44;31;36;34;33;29;30;39;35;29;36;31
43;26;47;27;31;41;32;30;40;33;37;33;31;30;30;41;34;29;35
44;45;25;47;28;31;38;32;31;41;31;36;32;31;30;31;42;34;28
45;23;45;24;45;28;29;37;31;29;41;31;37;33;29;30;31;40;34
46;41;23;42;24;45;28;29;38;32;29;42;31;38;33;29;31;31;39
47;30;41;25;40;24;47;29;29;37;32;29;41;32;38;34;31;31;29
48;40;30;40;24;40;24;47;30;30;36;32;29;40;32;39;34;31;32
49;35;39;30;39;24;40;24;47;30;31;36;31;30;38;32;39;35;31
50;35;36;38;30;39;24;44;24;48;29;31;34;31;31;39;32;39;37
