"Popolazione per età, vista per singola area - Comune: 071032 - Monteleone di Puglia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Monteleone di Puglia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;12;8;9;16;13;8;13;8;10;7;4;7;3;6;0;12;6;6
1;12;12;7;9;16;13;8;9;6;9;8;3;6;3;7;1;11;6
2;14;12;12;6;9;15;12;7;8;6;9;8;3;6;4;6;1;8
3;11;14;11;14;5;9;16;12;6;8;6;9;8;3;6;5;6;1
4;16;11;13;11;13;5;9;17;11;7;9;6;9;9;3;6;4;6
5;15;14;11;12;12;13;6;9;15;11;7;9;6;9;9;3;7;5
6;12;15;15;13;12;12;13;6;9;15;10;7;11;6;9;9;3;8
7;16;11;13;15;11;12;12;13;6;9;16;10;7;11;6;10;10;3
8;13;15;11;12;13;11;12;12;12;6;9;15;10;7;11;6;10;10
9;18;15;15;11;11;13;11;12;12;12;6;10;15;10;7;11;6;10
10;10;18;15;15;11;11;13;12;10;13;12;6;10;15;10;8;11;6
11;13;10;17;14;14;11;11;13;11;11;13;12;6;10;15;10;8;11
12;19;13;10;18;14;14;11;12;12;11;10;13;11;7;10;14;10;8
13;17;19;11;12;19;14;14;11;12;13;11;10;13;11;7;10;14;10
14;10;18;15;10;10;19;15;14;11;12;12;11;10;13;11;8;10;14
15;13;10;18;16;9;10;19;15;14;11;12;12;11;10;13;11;8;10
16;17;12;9;17;16;9;10;19;14;14;10;12;12;11;10;14;15;10
17;15;17;11;11;17;15;9;10;19;15;13;10;12;12;11;10;22;17
18;16;14;18;11;12;17;15;9;10;17;15;13;10;11;12;12;10;25
19;17;16;13;18;11;12;18;14;9;10;17;15;12;10;11;13;14;10
20;14;18;15;13;18;12;14;17;15;11;10;16;16;12;11;11;13;14
21;12;14;17;15;12;17;12;13;18;14;11;10;16;16;11;10;12;12
22;13;12;14;13;16;12;19;12;13;20;13;11;9;17;15;11;9;12
23;16;13;11;15;14;16;12;18;12;13;21;13;11;9;17;16;11;8
24;14;14;15;11;15;12;16;12;17;14;13;21;14;11;9;16;16;11
25;17;16;13;14;12;15;12;16;13;17;15;13;19;15;10;11;16;16
