"Popolazione per età, vista per singola area - Comune: 075003 - Alezio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Alezio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;33;43;48;56;34;57;55;75;59;47;56;53;53;34;39;59;40;45
1;51;37;44;50;53;42;59;56;70;59;49;60;54;52;33;36;64;38
2;50;51;39;45;54;57;44;59;57;73;57;46;63;55;52;33;43;63
3;44;54;54;38;47;60;57;45;60;58;75;58;47;66;63;50;36;42
4;46;46;52;54;40;48;59;55;48;56;56;74;60;47;59;64;54;34
5;43;47;46;54;56;43;47;59;56;46;56;56;74;58;46;60;64;52
6;37;41;47;45;55;59;46;49;57;56;45;55;56;72;59;43;62;61
7;66;38;47;47;47;56;60;50;53;57;57;44;57;56;71;57;45;61
8;54;67;38;47;49;51;57;59;48;56;58;60;43;57;55;73;56;45
9;58;55;66;35;48;50;52;60;59;48;58;61;60;45;56;57;76;55
10;44;57;52;66;35;50;49;56;56;58;50;60;63;61;45;57;58;74
11;50;44;57;52;66;39;49;51;56;56;59;48;60;65;57;48;60;57
12;41;51;44;58;51;68;41;52;51;56;56;61;47;59;65;62;46;59
13;40;42;51;46;59;51;68;46;48;49;57;57;61;50;59;64;61;47
14;39;38;43;52;47;60;52;69;43;48;52;58;58;63;49;57;65;59
15;65;40;38;43;50;48;60;53;68;43;47;53;60;60;62;48;58;63
16;44;66;38;38;42;51;49;63;54;67;44;49;52;61;59;60;48;57
17;39;42;67;39;37;43;53;50;62;53;70;48;50;53;62;59;59;48
18;59;39;42;68;39;39;45;52;51;59;53;67;50;52;53;65;59;61
19;53;60;41;43;69;40;39;48;51;50;59;54;68;51;54;54;65;58
20;67;52;60;41;45;69;41;40;48;55;51;62;56;68;46;53;55;62
21;63;60;52;57;41;47;70;40;44;48;57;49;64;54;70;48;55;53
22;65;65;58;55;56;39;48;72;44;48;49;61;50;64;55;69;47;51
23;72;64;63;56;54;55;39;50;73;49;49;51;59;52;63;52;72;47
24;63;71;66;66;56;54;53;40;49;70;56;46;49;62;52;60;53;70
25;63;58;68;63;66;57;57;61;43;49;78;59;47;47;56;47;69;51
26;78;67;57;72;66;67;62;61;57;43;50;76;57;47;46;56;49;64
27;67;79;62;60;76;68;69;67;70;55;47;50;87;55;46;45;65;46
28;77;68;88;60;65;76;74;72;67;72;62;49;52;85;54;47;44;56
29;61;76;75;92;66;68;80;83;72;69;69;64;46;48;84;54;46;43
30;67;61;81;74;91;63;72;84;84;70;71;68;69;43;48;83;53;44
31;89;66;61;85;78;85;61;76;90;83;68;76;69;69;42;54;79;48
32;77;83;66;61;85;82;90;61;75;90;78;70;71;71;68;47;55;72
33;82;80;82;68;62;87;86;90;69;78;79;75;72;67;74;75;46;56
34;95;77;80;82;74;65;93;87;100;62;78;86;79;75;64;82;72;46
35;74;95;75;81;85;79;68;95;90;94;66;80;88;77;70;62;87;68
36;93;75;96;79;83;88;78;69;90;90;92;66;81;88;83;69;63;86
37;64;92;79;97;84;88;95;76;78;90;90;89;68;80;88;82;71;65
38;78;62;93;74;103;82;99;90;76;76;91;92;88;68;78;85;83;70
39;69;79;63;94;75;106;86;100;91;78;79;93;96;90;70;78;89;79
40;56;67;80;68;94;77;108;87;96;95;78;73;90;97;91;69;82;86
41;76;51;68;84;69;98;77;110;93;101;91;82;71;91;94;89;69;79
42;64;79;53;67;83;71;93;80;108;93;101;92;84;73;93;93;88;66
43;67;65;79;50;68;84;72;96;81;109;92;105;95;85;73;93;94;88
44;50;65;65;77;52;73;81;79;99;81;108;91;108;93;82;74;95;89
45;54;47;66;65;78;54;73;81;77;103;84;113;96;108;92;84;69;94
46;59;56;49;67;66;80;58;74;82;72;105;83;113;102;106;97;81;69
47;80;58;56;51;68;68;81;58;72;84;72;103;85;110;100;105;99;82
48;40;81;58;59;49;74;68;84;58;71;85;74;107;86;112;101;101;97
49;65;41;79;59;58;50;74;67;84;57;73;85;72;108;88;111;102;99
50;64;65;42;79;63;59;54;73;65;84;60;73;87;71;104;88;112;101
51;65;65;65;39;80;66;58;52;73;64;84;60;71;88;68;101;91;109
52;60;65;65;64;39;79;66;61;55;73;64;89;58;73;88;70;100;88
53;64;61;63;64;64;39;78;66;63;55;74;67;92;59;74;85;71;98
54;73;63;61;65;66;66;39;79;66;64;55;73;67;91;60;77;84;71
55;69;74;63;60;63;68;62;42;79;67;67;57;73;66;94;63;75;83
56;54;69;75;64;58;65;68;63;43;80;70;67;57;75;67;92;63;73
57;52;57;70;73;62;60;67;70;61;44;79;71;69;57;75;67;92;62
58;65;52;57;72;74;63;61;69;71;61;46;78;70;70;57;75;66;91
59;73;65;51;56;69;74;63;60;71;71;63;46;80;69;71;56;76;65
60;58;72;66;50;56;69;75;65;60;72;71;64;47;78;71;75;56;75
61;54;58;75;63;52;56;70;74;65;63;72;71;69;50;79;69;77;59
62;70;55;58;75;62;54;57;71;76;65;64;72;74;69;49;82;66;76
63;54;71;55;58;77;63;54;57;71;77;66;66;72;71;69;49;82;65
64;50;52;70;56;55;77;62;55;57;73;77;63;65;70;71;69;49;83
65;52;49;52;70;59;57;81;61;55;58;75;77;63;66;71;69;67;49
66;55;50;49;53;69;58;56;81;59;55;59;76;76;60;63;72;68;66
67;61;54;51;50;52;68;58;60;80;59;55;58;75;77;60;60;69;68
68;61;62;54;53;52;55;69;57;55;79;59;51;54;72;76;58;58;69
69;50;61;63;55;54;53;54;69;56;56;80;59;51;55;70;76;57;59
70;60;51;61;62;52;50;52;57;66;56;55;78;62;52;54;69;74;57
71;65;58;51;61;60;50;49;51;58;66;55;56;75;61;51;55;71;74
72;72;65;57;51;59;59;50;51;48;59;65;55;56;73;60;54;53;66
73;56;70;65;56;48;57;55;48;50;47;60;63;54;55;75;58;55;52
74;51;53;69;61;56;49;56;53;49;49;45;59;59;54;53;75;57;54
75;45;51;52;64;62;56;48;57;53;48;48;47;55;57;55;51;75;57
76;53;43;50;51;60;59;56;48;53;51;48;47;48;54;56;59;51;72
77;53;47;44;48;46;60;57;54;45;55;50;46;45;49;51;53;59;51
78;41;51;46;42;47;43;57;59;54;44;53;48;46;44;47;49;51;54
79;38;40;49;45;40;47;43;54;56;52;45;51;51;43;42;42;48;50
80;49;35;37;46;40;36;45;41;51;50;49;43;50;49;38;37;42;43
81;44;46;31;35;44;36;35;47;38;49;49;47;40;47;44;37;34;41
82;28;42;44;28;35;44;33;32;42;36;47;45;46;35;44;43;33;33
