"Popolazione per età, vista per singola area - Comune: 075074 - Seclì"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Seclì"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;23;21;18;15;15;19;25;8;12;9;8;2;8;8;8;11;10;7
1;19;23;19;18;15;15;20;21;8;12;9;8;3;9;9;8;12;11
2;19;18;26;18;19;18;16;20;20;8;12;9;7;3;10;9;8;14
3;26;20;19;26;20;21;18;17;19;21;8;12;9;7;3;9;9;8
4;19;26;21;20;26;21;21;16;16;22;20;9;12;9;7;3;9;7
5;29;20;28;22;19;27;21;21;15;20;22;20;10;12;10;8;3;9
6;26;27;20;28;23;19;27;22;21;15;20;24;21;8;12;10;9;3
7;23;27;26;20;29;24;20;27;22;21;14;19;24;23;10;13;9;10
8;33;22;27;26;21;29;25;20;27;21;21;17;18;23;24;10;12;9
9;27;33;25;26;27;23;28;24;20;27;21;22;18;19;24;24;10;14
10;16;27;32;25;26;27;23;27;25;19;28;23;22;18;18;21;24;11
11;20;13;27;32;26;28;26;24;27;25;19;27;23;22;18;18;22;25
12;23;20;13;26;34;26;28;26;24;26;26;19;26;24;19;18;18;22
13;20;24;20;13;25;34;27;29;25;23;27;26;19;26;26;20;19;18
14;20;20;26;18;14;25;35;27;29;24;22;26;26;19;26;25;21;19
15;18;20;20;27;19;14;25;35;27;28;24;22;26;26;20;26;25;21
16;22;18;20;21;29;19;15;24;35;27;28;24;22;26;24;20;25;25
17;20;22;19;20;21;29;20;16;25;35;27;28;26;23;27;24;20;25
18;33;19;21;18;20;21;28;19;17;25;35;27;27;26;24;27;25;20
19;20;36;18;21;19;20;19;26;19;16;25;33;28;26;26;23;27;25
20;26;19;36;17;21;21;21;21;26;17;16;25;33;27;24;25;24;25
21;14;30;19;35;17;21;22;21;19;26;17;15;25;31;28;23;26;24
22;30;14;27;20;34;18;18;20;20;19;26;16;15;24;31;27;23;28
23;30;28;14;26;20;34;18;18;19;21;19;27;18;16;25;31;27;23
24;32;26;28;13;28;19;33;18;18;18;22;19;28;18;15;25;31;27
25;26;32;26;31;13;28;16;31;18;20;17;24;17;27;19;15;24;29
26;25;25;30;23;31;15;28;17;30;17;21;18;23;19;23;21;12;24
