"Popolazione per età, vista per singola area - Comune: 076087 - Teana"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Teana"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6;4;7;3;4;4;3;2;2;4;4;9;2;3;0;2;2;3
1;11;5;5;7;3;4;4;3;3;2;4;3;10;2;3;0;3;3
2;2;11;6;5;6;4;4;3;3;3;2;3;2;9;2;3;0;5
3;2;2;11;6;5;6;4;4;3;4;3;2;4;2;8;2;3;0
4;4;2;3;11;6;7;6;4;5;3;4;3;3;4;2;7;2;3
5;8;3;2;3;11;6;6;5;5;5;3;4;3;3;4;3;7;2
6;6;8;3;2;3;11;6;6;5;5;5;3;4;3;3;3;3;6
7;7;5;9;3;2;3;10;6;6;5;5;4;3;4;3;3;2;3
8;8;7;7;9;3;2;3;10;6;6;5;5;4;3;4;3;2;2
9;10;8;7;7;9;3;2;2;10;6;6;5;5;4;3;4;3;2
10;6;11;8;7;7;9;3;2;2;10;6;6;5;5;4;3;4;3
11;8;6;11;9;7;6;9;3;2;2;10;6;6;5;5;4;3;3
12;7;8;6;11;9;7;6;9;3;2;2;10;6;6;5;5;4;3
13;9;6;9;6;11;10;7;6;7;3;2;3;10;6;6;5;5;4
14;8;9;6;9;6;11;10;7;6;7;3;2;3;10;6;6;5;5
15;12;7;9;7;8;4;11;8;7;6;7;3;3;2;10;6;6;5
16;15;12;10;9;7;8;4;11;8;7;6;7;3;3;2;10;6;5
17;7;14;12;10;9;7;8;4;11;8;7;6;7;3;3;2;10;6
18;10;7;14;13;10;9;7;8;4;11;8;7;6;7;4;3;2;10
19;14;10;7;14;12;10;9;5;8;3;11;9;8;6;7;4;3;2
20;7;14;10;7;14;11;10;9;5;9;3;11;10;8;7;7;3;3
21;7;8;14;10;6;13;11;8;9;5;9;3;11;10;7;7;7;3
22;11;7;8;12;10;6;12;11;8;9;5;9;4;11;9;7;7;7
23;5;12;8;8;12;9;6;11;11;8;9;5;9;4;10;9;6;7
24;14;5;13;6;7;12;9;6;11;12;8;9;5;9;4;10;9;6
25;9;13;5;12;7;6;13;6;6;12;12;8;9;5;9;4;9;8
26;18;9;14;5;12;7;6;11;8;6;10;12;8;9;5;10;3;8
27;11;17;8;13;6;13;7;6;13;8;6;10;12;8;8;5;9;3
28;7;11;18;9;13;5;11;7;6;11;7;7;10;12;8;7;5;9
29;10;7;11;18;8;12;5;10;7;6;11;8;6;11;11;7;6;5
30;6;9;7;11;18;9;10;5;10;5;6;11;8;6;11;9;7;6
31;8;5;10;8;11;18;8;9;5;10;5;7;11;10;6;9;9;7
32;15;8;4;7;8;10;16;7;8;4;9;5;8;11;8;4;8;9
33;6;14;7;4;7;8;10;14;8;9;4;9;5;6;11;8;4;9
34;8;5;12;8;5;7;8;10;13;7;9;4;9;5;6;11;8;3
35;6;6;4;12;7;5;5;6;10;13;7;7;3;9;5;8;9;6
36;17;5;6;5;12;8;5;6;6;9;12;7;7;3;9;5;8;9
37;11;15;5;7;6;11;7;5;4;6;9;11;7;6;3;8;5;8
38;8;10;16;3;7;6;11;7;5;6;6;9;11;8;6;3;8;5
39;8;8;10;16;3;8;6;11;7;5;6;6;10;11;8;6;3;8
40;11;8;9;10;16;3;8;6;10;6;5;5;7;10;11;8;6;3
