"Popolazione per età, vista per singola area - Comune: 077019 - Oliveto Lucano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Oliveto Lucano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3;1;3;6;2;0;4;2;2;3;6;1;1;1;6;0;2;0
1;1;3;1;2;6;2;0;4;2;2;1;6;1;1;1;6;0;2
2;4;1;3;2;2;6;2;0;4;2;2;1;6;1;1;1;6;0
3;2;4;1;3;2;2;6;2;0;4;2;2;2;6;1;1;1;6
4;3;2;4;1;3;2;1;6;2;0;4;2;2;2;5;1;1;0
5;1;3;2;3;1;3;2;1;6;2;0;4;2;2;2;4;1;1
6;5;1;3;2;3;1;3;2;1;6;2;0;4;2;1;2;4;1
7;3;5;1;4;2;3;1;3;2;2;5;2;0;4;2;1;2;4
8;1;3;5;1;4;2;3;1;3;2;2;5;2;0;4;2;1;2
9;4;1;3;6;1;4;2;3;1;3;2;2;5;2;0;4;2;1
10;3;4;1;3;6;0;4;2;3;1;3;2;2;6;2;0;4;2
11;3;3;5;1;3;6;0;4;2;3;1;3;2;2;5;2;0;4
12;5;3;3;5;1;4;6;0;4;2;3;1;3;2;2;4;2;0
13;4;5;3;3;5;1;4;6;0;3;2;3;1;3;2;2;4;2
14;4;4;5;3;3;5;2;4;6;0;3;2;3;1;3;1;2;4
15;6;4;4;5;3;3;5;2;4;6;0;3;2;3;1;3;1;2
16;4;6;4;4;5;3;3;5;2;4;6;0;3;2;2;1;3;1
17;2;4;6;4;4;5;3;3;5;2;3;6;0;3;2;2;1;3
18;12;2;4;5;4;4;5;3;3;5;2;3;6;0;3;2;2;1
19;3;12;2;4;6;4;4;5;3;2;5;2;3;6;0;3;2;2
20;8;3;12;2;4;6;4;4;5;3;1;6;2;3;6;0;3;2
21;4;9;3;12;2;4;6;4;4;4;3;1;7;3;3;6;0;3
22;6;4;9;3;12;2;4;6;4;4;4;3;1;6;4;3;6;0
23;7;5;4;9;6;12;2;4;6;4;4;4;2;1;6;4;3;6
24;13;8;5;4;11;6;10;2;4;6;4;4;4;2;1;6;4;3
25;6;11;8;4;4;11;6;10;2;4;7;4;4;4;1;0;5;4
26;9;6;13;8;6;4;11;5;10;2;4;7;4;4;5;1;0;3
27;11;9;6;14;9;6;4;11;5;10;2;3;6;4;3;5;1;1
28;13;8;6;6;12;9;6;4;11;3;9;2;3;5;4;4;4;1
29;11;13;8;6;6;12;9;3;4;10;4;8;2;3;6;4;5;5
30;8;12;13;8;7;5;12;7;3;4;10;5;10;2;2;6;4;4
31;10;8;12;9;8;8;5;11;7;3;4;10;5;10;1;2;6;4
32;10;8;7;12;9;10;8;5;9;7;3;5;10;5;11;1;1;6
33;7;10;8;7;12;9;6;7;6;9;7;4;3;10;5;12;1;1
34;10;8;9;7;6;11;7;7;7;6;8;7;4;3;9;5;12;1
35;4;10;6;9;8;6;11;7;7;7;6;9;7;3;3;5;5;10
36;5;4;10;7;9;8;6;12;7;7;7;5;10;7;3;3;4;5
37;6;5;5;9;7;8;8;6;12;7;6;7;6;9;7;3;2;3
38;5;6;5;5;10;7;8;8;6;11;7;4;7;7;9;7;3;1
39;7;5;6;4;4;10;7;8;7;5;10;6;4;6;7;9;7;3
40;9;8;5;6;4;5;10;7;7;7;4;10;6;5;6;6;7;7
41;5;8;8;5;6;4;5;10;7;7;7;4;10;6;5;6;6;7
42;9;4;8;7;5;6;4;6;10;7;7;7;5;10;7;5;6;7
43;3;9;4;9;5;6;6;4;6;10;7;7;6;6;9;7;6;6
44;9;4;9;4;9;5;6;6;4;5;10;6;6;6;5;9;7;6
45;5;9;4;9;4;9;5;6;6;4;5;10;5;6;7;5;8;7
46;8;5;9;4;9;3;9;5;6;6;4;4;10;4;7;7;5;6
47;3;8;5;9;4;9;1;9;5;6;6;4;4;10;3;7;7;5
48;4;3;8;5;9;4;9;2;9;5;6;6;5;4;10;3;7;7
49;6;4;3;8;5;10;3;9;3;8;5;6;7;4;4;10;3;7
50;3;6;5;3;8;5;10;3;9;3;8;5;6;7;4;4;10;3
