"Popolazione per età, vista per singola area - Comune: 078002 - Acquappesa"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Acquappesa"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;13;16;17;19;10;11;14;17;18;13;17;11;16;11;24;19;5;11
1;9;11;16;16;19;11;12;16;19;19;14;20;10;15;13;24;19;5
2;18;9;10;16;16;19;10;13;17;18;19;14;20;11;15;10;24;19
3;14;17;8;10;16;16;21;10;12;15;20;18;14;20;11;12;12;20
4;15;14;15;8;10;17;16;22;9;11;15;19;17;16;21;10;12;11
5;19;15;14;15;9;10;17;16;16;9;10;13;19;17;16;21;11;12
6;18;20;15;14;14;9;11;17;16;16;9;10;13;18;18;16;20;10
7;19;18;20;15;14;16;7;11;16;16;15;10;10;13;16;17;15;19
8;14;19;18;20;16;15;14;9;10;16;16;15;10;11;14;15;15;14
9;17;14;17;18;19;16;13;16;11;9;16;16;15;10;11;14;14;13
10;15;19;15;17;18;18;15;13;16;12;9;14;15;15;9;12;15;14
11;15;15;19;15;16;18;18;15;14;16;12;9;14;14;14;9;12;15
12;22;17;16;19;16;15;18;17;15;14;18;12;9;14;14;15;9;12
13;23;22;17;18;18;15;15;19;16;16;14;18;14;9;16;14;14;9
14;23;21;23;18;17;18;15;15;17;16;17;14;17;14;9;16;14;14
15;21;23;21;26;18;17;18;16;15;16;17;17;14;17;12;9;16;14
16;29;20;22;21;26;18;18;18;15;15;17;16;17;14;16;12;9;16
17;30;27;21;23;22;28;18;18;18;15;16;17;17;16;15;14;12;13
18;29;30;25;21;22;24;28;17;15;19;16;16;15;16;14;15;14;16
19;26;27;30;25;21;22;24;28;19;16;17;16;14;15;17;14;15;14
20;36;26;26;29;23;21;23;25;27;19;16;14;13;17;15;17;14;16
21;29;37;26;25;29;23;22;22;25;25;19;15;15;13;19;15;17;14
22;38;31;36;23;25;29;24;23;23;25;27;17;16;18;12;19;16;15
23;32;38;31;35;24;23;28;26;22;24;25;29;19;18;20;13;19;14
24;36;31;38;30;34;23;23;29;25;21;23;23;28;21;19;20;15;19
25;33;38;32;37;28;32;23;21;29;24;22;22;22;25;23;18;19;15
26;30;33;41;34;37;29;32;23;21;27;24;23;22;21;24;22;18;20
27;36;27;34;38;33;34;23;31;23;22;27;21;24;23;22;24;20;16
28;39;36;28;33;33;32;35;19;31;24;20;26;19;26;23;21;24;19
29;34;33;34;31;36;33;31;38;19;32;26;24;27;22;25;22;20;19
30;30;31;31;38;30;36;35;31;35;19;29;25;22;26;21;25;21;20
31;27;31;32;30;39;28;36;34;32;33;19;27;21;21;25;21;25;21
32;24;27;30;30;32;38;27;36;30;33;34;19;29;21;23;25;22;25
33;29;25;31;28;27;30;37;26;36;30;33;31;21;29;23;20;20;22
34;24;25;22;30;28;29;31;35;22;34;28;29;29;22;28;22;20;19
35;31;25;23;25;27;27;27;31;35;20;34;27;30;29;25;28;21;20
36;27;30;23;24;26;21;24;26;32;34;22;34;24;31;27;25;28;22
37;29;28;31;23;21;30;20;25;25;31;34;22;32;26;34;29;24;29
38;27;28;28;30;22;21;29;20;26;23;33;32;22;29;23;30;28;23
39;28;28;26;26;31;21;21;29;21;24;24;33;33;22;30;23;28;29
40;33;30;31;28;25;31;22;22;23;22;24;23;34;31;22;27;23;24
41;29;34;31;33;28;26;30;23;23;20;21;24;23;33;32;21;24;24
42;41;31;34;31;33;28;26;31;24;22;23;19;24;24;32;32;22;27
43;21;39;29;33;30;33;28;24;29;22;21;24;17;24;26;32;32;19
44;26;24;40;30;34;26;33;27;23;28;23;24;24;19;24;23;33;29
45;31;25;24;40;30;33;26;33;27;23;30;25;25;24;18;25;23;33
46;37;31;26;22;38;30;33;27;33;26;24;31;24;24;23;19;26;25
47;26;37;32;25;22;38;29;32;25;33;24;23;30;21;24;24;18;26
48;33;27;37;33;26;23;37;32;34;24;34;23;23;30;23;23;20;19
49;24;32;27;37;32;25;22;36;28;34;25;33;20;22;27;23;23;20
50;20;24;33;27;35;35;24;20;37;28;34;25;33;22;22;27;23;23
51;33;17;24;34;27;35;34;24;20;37;28;34;27;36;24;22;28;22
52;27;32;17;24;34;27;36;34;25;20;37;29;34;27;41;24;22;26
53;32;29;30;17;22;34;25;36;35;26;20;38;28;33;27;35;24;21
54;32;33;29;30;18;20;36;24;36;34;25;21;35;29;33;25;35;24
55;23;32;30;28;31;18;20;36;24;36;35;24;21;34;28;31;26;39
56;23;24;34;30;28;31;18;22;37;24;36;34;25;21;37;29;31;28
57;17;22;21;34;31;28;29;17;21;37;25;35;34;27;20;34;27;30
58;20;15;21;20;34;30;30;28;17;21;37;24;35;35;27;20;35;29
59;21;20;15;22;20;35;30;29;26;17;21;36;23;34;35;26;19;34
60;25;22;20;15;21;22;32;31;28;26;18;21;35;24;34;33;27;19
61;20;25;23;20;16;23;22;34;31;29;27;18;21;34;24;35;33;26
62;33;20;23;24;19;16;23;20;29;31;29;28;18;23;34;25;35;34
63;23;33;20;23;23;20;16;21;20;30;31;26;28;18;22;34;25;34
64;24;22;35;21;23;21;18;16;21;18;31;31;23;28;18;21;33;25
65;16;24;22;33;22;22;20;18;17;20;18;29;32;24;26;18;22;33
66;24;15;25;21;31;23;23;20;18;16;20;18;29;31;23;26;19;23
67;24;23;14;25;21;29;23;23;18;17;16;19;17;29;31;23;26;19
68;28;24;20;12;26;22;29;21;21;19;17;15;19;18;30;31;22;25
69;18;26;23;20;13;25;22;31;19;21;20;17;15;19;17;31;32;24
