"Popolazione per età, vista per singola area - Comune: 078006 - Albidona"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Albidona"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;16;16;12;19;12;5;10;6;4;6;12;11;7;10;9;11;10;3
1;16;16;15;12;19;11;4;9;5;4;7;12;9;7;9;8;11;8
2;13;15;14;15;11;18;11;4;9;5;4;6;10;9;6;10;7;11
3;13;13;15;14;15;11;18;8;5;9;5;4;6;10;9;6;9;7
4;18;13;13;15;14;15;9;17;7;5;9;5;4;6;10;10;6;8
5;18;16;12;13;15;12;15;8;15;7;5;9;5;4;6;10;10;6
6;21;18;15;12;11;13;11;15;8;15;7;5;9;5;4;6;9;10
7;19;19;17;15;13;11;13;11;15;8;15;8;4;9;5;4;6;9
8;16;18;19;17;15;13;11;13;10;15;8;14;7;4;9;5;4;6
9;17;16;18;19;17;15;13;11;13;10;15;8;12;7;4;9;4;4
10;23;16;16;18;19;17;14;12;11;13;10;15;7;12;7;4;9;4
11;17;24;17;16;18;19;17;14;12;11;13;10;12;7;14;7;4;9
12;15;17;24;17;16;17;19;17;14;12;11;13;10;12;7;14;7;4
13;22;15;18;24;15;14;18;18;17;14;12;11;14;10;13;7;14;7
14;20;20;15;17;22;16;14;16;18;17;14;12;11;14;11;13;7;14
15;18;19;20;15;16;20;16;14;16;18;17;15;12;11;14;10;13;7
16;22;17;19;19;12;16;19;16;14;16;18;17;14;12;11;14;10;15
17;30;21;17;19;19;11;16;19;16;14;16;18;17;13;12;11;14;10
18;29;31;22;17;17;19;11;17;21;16;14;15;18;18;14;12;11;14
19;32;29;31;22;16;17;20;10;17;20;16;14;17;19;18;14;12;11
20;23;32;27;31;21;15;17;20;12;18;21;16;13;18;19;18;13;11
21;25;23;31;27;30;20;14;17;20;12;18;20;17;14;18;20;17;14
22;38;24;22;31;22;30;21;16;17;19;12;18;19;17;13;16;18;17
23;29;38;23;22;30;22;29;18;14;17;19;13;18;20;18;13;16;19
24;34;28;36;21;21;30;22;28;18;15;17;19;13;19;20;17;12;16
25;25;32;26;36;20;22;30;20;28;17;16;16;18;11;18;18;17;12
26;28;23;29;26;35;20;22;30;20;26;16;16;16;18;9;20;16;16
27;28;27;21;33;26;34;19;18;28;18;26;16;15;17;16;8;20;15
28;29;27;20;20;34;27;33;16;17;28;18;25;14;15;17;15;8;17
29;28;28;26;20;20;34;21;27;15;17;25;17;24;13;14;14;12;8
30;22;27;25;25;18;19;33;21;28;17;17;23;12;21;12;13;13;11
31;29;20;26;28;23;19;17;32;20;27;17;16;21;13;18;12;13;10
32;26;29;20;25;26;21;19;13;29;17;27;15;14;20;13;18;13;13
33;17;24;30;24;27;22;21;18;13;27;16;25;13;13;19;14;18;13
34;23;16;24;31;23;25;20;21;17;12;24;15;26;12;13;18;14;16
35;19;25;15;24;28;19;26;21;19;17;11;24;14;26;12;12;18;13
36;23;19;25;15;21;28;16;24;19;21;17;9;22;14;26;11;13;14
37;22;23;21;25;16;20;28;13;21;17;18;17;8;22;14;26;11;12
38;17;21;22;21;21;17;19;25;13;21;17;21;16;8;22;11;27;11
39;26;17;22;22;20;21;16;18;24;14;22;19;17;16;8;20;9;27
40;26;25;16;22;18;20;20;14;17;23;14;22;18;17;16;8;18;9
41;20;25;23;14;21;18;20;20;13;16;23;15;22;17;16;16;8;19
42;24;20;25;23;13;20;19;18;21;9;16;23;15;21;17;15;15;9
43;25;25;19;24;21;13;20;18;17;20;9;16;24;15;21;17;15;15
44;28;22;25;18;21;21;13;19;18;17;20;9;16;23;15;21;16;15
45;21;27;21;25;16;21;21;13;18;17;18;20;10;16;23;15;22;15
46;19;20;27;20;23;18;21;21;14;18;18;18;19;10;16;23;15;22
47;24;19;21;28;20;23;17;21;21;14;18;19;18;18;12;16;23;15
48;20;25;19;22;28;17;24;17;21;21;15;16;19;17;18;11;16;23
49;19;20;24;19;22;28;19;22;17;21;22;16;15;19;17;19;11;16
50;22;19;20;28;18;22;25;17;17;18;20;22;13;15;19;17;19;11
51;30;21;19;18;27;19;22;25;18;20;19;19;22;13;16;17;16;19
52;19;31;21;19;18;27;17;22;26;19;19;18;19;22;13;16;17;17
53;26;19;30;20;18;18;24;15;20;26;18;18;17;19;22;12;16;17
54;27;26;19;29;20;18;19;25;15;21;27;19;18;18;18;22;12;16
55;18;27;26;19;30;21;18;19;26;15;21;26;18;18;17;20;22;12
56;19;16;24;26;19;29;21;19;18;24;15;21;25;17;20;18;20;22
57;13;18;16;24;24;20;30;18;19;18;24;15;21;25;18;20;18;18
58;15;13;18;16;24;24;22;29;16;19;17;23;15;21;25;18;19;18
59;18;12;12;18;15;25;24;21;28;17;18;16;23;14;20;25;17;19
60;18;18;12;13;18;15;24;24;21;28;17;18;16;22;14;18;25;18
61;17;18;19;13;13;18;17;25;22;22;27;16;18;16;22;14;18;25
62;28;16;19;18;13;13;18;17;25;21;21;27;17;17;16;21;14;18
63;27;28;16;18;18;14;12;21;17;25;22;21;26;17;17;16;22;13
64;19;27;28;17;18;18;14;12;21;18;24;20;20;26;17;17;15;21
65;23;18;28;28;16;18;18;14;12;21;17;24;21;20;25;17;17;15
66;24;23;18;29;28;16;18;18;14;12;19;17;24;21;20;24;17;17
67;17;24;23;19;29;28;15;20;17;14;12;19;17;24;21;19;24;17
68;24;17;22;23;19;29;26;16;20;16;14;12;18;17;24;21;18;23
69;15;24;17;22;23;22;29;24;15;20;15;14;12;18;17;24;21;17
70;12;15;21;17;21;23;20;28;24;15;20;16;14;12;17;17;24;21
71;19;12;15;21;17;21;23;19;28;24;14;20;14;13;12;17;17;24
72;16;18;11;16;21;17;21;23;18;28;24;14;20;15;13;12;15;17
73;20;18;15;10;15;20;17;20;21;18;28;21;15;17;15;10;12;15
74;14;21;19;15;10;16;16;17;20;22;18;28;20;15;17;13;9;11
75;11;15;20;17;13;10;16;17;16;20;21;18;27;20;15;16;13;8
76;15;9;15;19;17;12;10;15;17;16;20;20;16;27;20;15;16;13
77;15;15;9;15;20;15;12;12;16;17;16;20;19;15;26;19;14;16
78;16;14;14;8;14;18;14;9;12;14;17;14;19;20;15;26;19;14
79;16;15;15;14;8;14;17;14;8;12;13;16;13;17;20;14;25;20
80;15;16;15;15;14;8;14;17;14;8;12;13;14;13;15;19;13;24
81;11;14;12;15;16;14;7;14;16;15;8;13;12;14;12;15;18;13
82;4;10;12;9;15;15;12;7;11;15;15;8;11;11;14;11;15;18
83;3;4;9;11;8;12;15;10;5;10;15;15;7;11;10;13;11;14
84;3;3;3;8;7;7;12;14;8;5;8;14;14;6;9;10;13;10
85;5;3;4;3;8;8;5;9;12;8;5;8;11;14;6;9;10;13
86;11;4;2;4;4;7;5;4;8;9;8;5;8;10;13;6;9;9
87;7;9;3;2;3;3;5;3;5;8;9;7;4;7;10;10;4;8
88;5;5;9;3;2;2;2;5;3;3;6;8;7;4;6;10;10;4
89;1;5;3;8;3;2;2;2;4;3;3;5;7;6;2;5;10;10
90;2;1;5;2;7;2;2;2;2;4;3;3;4;7;5;1;5;8
91;3;1;0;4;1;6;1;2;3;2;4;2;2;3;6;4;1;5
92;1;2;1;0;4;0;5;1;2;3;1;4;1;2;1;5;4;1
93;2;1;2;0;0;3;0;4;1;2;2;1;2;0;1;1;4;3
94;1;1;1;2;0;0;3;0;1;1;2;1;1;2;0;1;1;2
