"Popolazione per età, vista per singola area - Comune: 078032 - Castroregio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Castroregio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1;4;10;2;4;0;3;0;2;1;2;1;0;0;1;0;2;0
1;0;1;4;8;2;5;0;3;0;2;0;2;1;0;0;1;0;2
2;2;0;1;4;8;2;4;0;2;0;2;0;2;1;0;0;1;0
3;4;3;0;1;4;7;2;4;0;0;0;2;1;2;1;0;0;1
4;1;3;3;0;1;5;8;2;4;0;0;0;2;1;2;1;0;0
5;1;1;4;3;1;1;4;8;2;2;0;0;0;2;1;2;1;0
6;2;1;1;4;3;0;1;4;7;1;2;0;0;0;2;1;2;1
7;0;3;1;1;3;2;0;1;3;5;1;2;0;0;0;2;1;2
8;3;0;2;1;1;1;2;0;1;3;4;1;1;0;0;0;2;1
9;3;3;0;1;1;1;1;2;0;1;3;4;1;1;0;0;0;2
10;2;2;3;0;1;1;1;1;2;0;1;3;4;1;1;0;0;0
11;2;2;3;3;0;1;1;1;1;2;0;1;3;4;1;1;0;0
12;2;2;2;3;3;0;1;1;1;1;2;0;1;3;4;1;1;0
13;5;2;2;2;3;3;0;0;0;0;1;2;0;1;3;4;1;1
14;5;5;2;2;2;3;3;0;0;0;0;1;2;0;1;3;4;1
15;4;4;5;2;2;2;3;2;0;0;0;0;1;2;0;1;3;4
16;4;5;4;6;2;2;2;2;2;0;0;0;0;1;2;0;1;3
17;4;4;5;4;6;2;2;2;2;2;0;0;0;0;1;2;0;1
18;3;4;3;5;3;6;2;2;2;2;2;0;0;0;0;1;2;0
19;4;3;4;4;5;3;6;2;2;2;2;1;0;0;0;0;1;2
20;2;6;3;4;6;5;2;6;2;2;2;4;1;0;0;0;0;1
21;2;1;5;3;5;5;7;2;6;2;2;2;4;1;0;0;0;0
22;5;2;0;5;3;5;5;7;2;6;2;2;2;2;1;0;0;1
23;7;6;1;0;5;3;5;6;4;2;6;2;2;2;2;1;0;0
24;5;8;6;1;0;5;3;5;5;3;2;6;2;2;3;2;1;0
25;6;6;9;8;0;0;6;3;5;5;2;2;6;2;2;3;2;1
26;2;7;7;9;8;0;0;5;3;5;5;2;2;5;2;2;1;1
27;4;2;7;4;11;8;3;0;3;3;5;5;2;2;6;2;2;1
28;5;6;3;7;5;12;7;2;1;4;3;5;4;2;2;6;2;1
29;8;5;7;3;8;4;13;6;3;1;3;2;5;4;1;2;6;2
30;5;8;5;7;5;8;4;10;5;3;1;3;2;5;4;2;2;6
31;3;4;9;4;8;3;8;2;9;4;2;1;5;2;5;4;2;2
32;7;5;7;6;5;6;4;7;1;8;4;3;1;5;2;4;4;2
33;4;8;5;6;6;5;5;4;6;3;9;3;2;0;6;2;4;4
34;2;3;9;5;6;8;7;4;3;5;2;9;3;2;0;5;2;5
35;4;2;3;7;5;6;7;4;3;2;4;2;7;3;2;0;4;2
36;4;4;2;2;7;6;6;7;4;3;2;4;1;6;3;2;0;4
37;4;4;5;3;2;9;7;6;6;3;3;3;4;1;5;3;1;0
38;6;5;3;5;2;4;10;7;4;6;3;2;3;4;1;5;3;1
39;5;6;6;4;5;2;3;10;5;5;5;3;3;3;4;1;5;2
40;3;6;6;5;3;5;2;3;11;5;4;5;3;3;3;4;1;7
41;9;3;5;7;5;3;5;3;3;9;5;4;4;3;3;3;4;1
42;5;9;4;6;6;5;4;5;3;3;9;5;4;4;2;3;3;4
43;2;5;9;5;5;6;5;3;5;1;3;7;4;4;4;2;3;3
44;4;1;3;9;4;6;6;5;3;3;1;3;7;4;4;4;2;3
45;8;4;3;3;9;4;7;6;5;2;3;2;4;6;4;4;6;2
46;6;8;3;3;3;11;4;6;5;5;2;3;2;4;6;4;4;6
47;4;6;9;3;3;3;12;4;6;5;5;2;3;2;4;6;4;4
48;4;5;6;9;3;3;4;11;4;7;5;5;2;3;2;4;6;4
49;6;4;4;6;11;3;3;3;10;3;7;5;7;2;3;3;3;5
50;3;7;4;3;6;8;5;4;3;8;3;6;5;5;2;4;3;3
51;5;4;7;4;4;6;9;5;4;3;9;3;7;5;6;2;4;4
52;5;5;4;7;4;4;6;9;5;6;3;9;3;7;6;6;2;4
53;4;5;5;4;7;4;4;5;7;5;6;3;7;3;6;6;5;1
54;5;5;5;5;4;7;4;4;4;7;5;6;4;7;3;6;6;4
55;6;5;5;5;5;4;6;4;2;4;6;6;6;4;7;3;6;7
56;7;6;5;5;5;6;5;6;4;3;4;7;6;6;4;6;3;6
57;4;7;6;5;5;5;5;5;5;4;3;5;7;6;6;4;6;3
58;2;5;7;6;5;4;5;4;5;5;3;5;5;8;5;6;4;6
59;5;2;5;7;6;5;4;6;4;5;4;3;5;4;8;4;6;4
60;5;5;2;2;7;6;6;4;5;4;5;4;3;3;4;8;4;6
61;5;5;7;2;2;7;7;5;4;6;4;5;4;3;3;5;8;4
62;6;5;5;7;2;2;7;5;4;4;7;3;5;3;3;4;4;6
63;3;5;4;5;7;2;4;7;5;4;4;6;3;6;3;3;4;4
64;12;2;4;3;5;6;3;3;7;5;4;4;6;3;7;2;3;4
65;11;12;2;4;3;5;6;3;2;7;5;4;4;6;3;7;2;3
66;6;13;11;2;4;2;5;6;2;2;6;5;4;3;6;2;7;3
67;8;6;11;11;2;4;2;5;4;2;2;6;5;4;1;6;2;6
68;11;8;6;10;11;2;3;2;5;4;2;2;6;4;4;1;6;2
69;8;12;8;6;10;11;2;4;2;5;4;1;2;6;4;5;1;6
70;12;8;12;8;5;10;11;2;4;2;5;4;1;2;6;4;5;1
71;10;12;8;12;8;5;10;11;2;4;2;5;4;1;2;6;4;5
72;9;11;12;7;12;8;6;9;10;2;3;2;5;4;1;2;6;4
73;15;7;11;11;7;10;8;6;9;8;2;3;2;5;4;1;2;6
74;7;15;6;10;11;7;11;7;6;9;8;2;4;2;5;4;0;2
75;6;5;15;6;10;11;7;10;7;6;9;8;3;4;2;5;4;0
76;9;4;5;14;6;9;11;6;10;7;6;8;7;3;4;1;5;4
77;9;8;4;5;14;6;9;11;6;10;5;5;8;5;3;4;1;5
78;10;11;7;4;6;14;6;9;10;6;9;5;5;8;5;2;3;1
79;10;10;10;7;4;6;13;7;8;10;6;9;6;3;8;5;2;3
80;12;9;10;10;6;4;6;11;7;7;10;6;9;5;3;8;5;2
81;6;12;6;10;9;5;4;4;12;8;6;10;6;9;4;3;6;6
82;4;6;11;5;10;7;4;4;4;12;8;4;9;5;9;3;3;6
83;3;4;6;9;4;8;5;4;3;4;11;8;3;8;4;9;2;3
84;3;3;4;4;8;2;8;5;4;4;4;10;8;3;6;4;5;2
85;3;3;3;4;4;8;2;7;6;2;4;3;8;7;3;5;4;5
86;7;2;3;3;4;4;7;3;6;5;2;4;4;7;7;3;5;3
87;3;6;2;3;3;4;2;6;3;7;4;2;3;3;6;7;3;5
88;2;2;5;2;2;3;4;1;6;2;7;4;2;3;3;5;7;3
89;1;2;2;2;2;2;3;3;1;5;2;7;3;2;3;2;5;7
90;2;1;2;2;2;2;2;3;3;2;5;2;6;2;2;2;1;4
91;2;2;1;2;1;1;2;1;3;3;2;5;2;6;1;1;2;1
92;1;2;1;1;2;1;1;1;1;0;1;3;5;2;6;0;1;2
93;2;0;2;0;1;2;1;0;2;1;0;1;3;4;2;4;0;0
94;0;1;0;2;0;1;0;1;0;1;1;0;0;2;4;0;3;0
