"Popolazione per età, vista per singola area - Comune: 078036 - Cerchiara di Calabria"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cerchiara di Calabria"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;19;16;20;15;19;15;13;14;13;24;11;15;13;14;18;19;20;16
1;19;18;15;18;17;17;14;12;12;14;24;9;14;13;14;18;21;26
2;12;19;18;14;18;17;17;16;12;11;13;24;9;15;14;16;18;22
3;18;13;18;21;14;18;16;19;14;12;11;13;25;12;15;17;17;15
4;14;17;12;19;20;15;17;16;19;14;13;10;13;25;12;15;19;18
5;25;15;16;12;18;18;14;14;17;16;14;12;10;13;26;14;14;20
6;17;23;15;15;11;18;16;14;18;15;16;14;13;10;14;24;14;14
7;25;17;23;18;15;10;18;16;14;18;15;18;14;13;11;15;24;15
8;15;25;17;24;19;15;10;19;18;13;18;15;15;14;15;12;15;25
9;24;15;23;16;24;17;13;12;19;17;13;18;16;15;14;15;13;16
10;25;23;15;27;16;23;15;13;11;19;16;13;19;17;15;13;18;14
11;24;25;23;15;27;15;23;15;14;11;20;15;13;19;17;16;15;19
12;28;23;24;24;15;29;15;24;14;15;11;21;14;13;20;17;16;14
13;29;28;21;24;22;13;29;14;22;15;15;11;19;15;13;21;17;16
14;31;29;29;20;23;23;13;33;14;22;15;14;11;19;15;13;19;16
15;39;31;28;31;20;25;22;12;28;13;21;14;14;11;18;16;13;19
16;32;39;32;28;30;21;24;23;12;26;14;21;17;14;12;18;18;13
17;33;28;39;32;28;30;20;26;23;12;26;16;22;18;16;11;19;18
18;38;32;29;40;32;30;30;18;26;23;12;26;15;25;18;17;11;20
19;43;39;29;31;39;30;31;28;20;27;24;12;27;18;24;19;16;15
20;45;45;39;28;31;42;29;32;27;20;27;25;12;26;19;23;19;19
21;33;44;45;39;26;32;40;32;31;28;19;27;24;15;27;19;25;20
22;38;32;42;44;38;27;31;38;32;30;26;17;26;24;14;26;19;26
23;45;38;30;44;42;38;27;33;39;32;31;27;15;28;25;12;24;19
24;36;44;38;30;41;38;39;29;32;40;31;32;26;17;28;28;15;27
25;66;33;45;37;29;41;34;37;29;30;40;28;34;25;17;27;25;15
26;48;63;32;50;35;25;39;38;37;31;31;41;29;35;27;16;25;26
27;45;47;60;27;50;35;24;40;40;36;32;29;38;29;36;26;19;26
28;44;43;49;59;26;48;31;23;37;39;36;33;32;42;26;35;27;17
29;39;41;44;45;55;26;47;31;28;37;38;34;36;32;37;26;34;29
30;33;40;39;46;43;46;27;47;30;29;35;35;33;39;31;37;29;29
31;33;31;39;39;47;40;49;24;41;30;31;34;36;34;38;30;35;25
32;38;30;32;36;37;44;37;45;20;39;28;33;32;36;33;35;31;33
33;53;36;30;29;30;37;41;34;46;20;37;28;33;32;29;33;35;35
34;41;52;35;30;26;27;35;35;39;48;18;34;29;34;32;28;30;29
35;43;39;50;33;27;24;23;37;32;37;44;18;33;27;35;34;29;30
36;37;40;37;47;30;25;28;26;36;33;36;41;16;35;28;37;35;32
37;36;35;39;35;46;31;26;28;25;33;32;35;42;17;34;30;36;36
38;38;36;37;36;39;40;29;30;26;24;32;31;33;43;18;33;30;35
39;35;39;38;33;35;38;41;27;31;25;21;31;32;33;44;17;34;30
40;42;35;40;38;31;34;37;42;31;29;24;24;32;30;31;43;14;34
41;29;41;36;42;37;33;35;36;43;30;29;24;24;31;31;30;44;16
42;41;28;39;39;43;38;33;36;36;43;29;29;24;25;29;33;27;42
43;33;40;28;38;36;41;36;34;35;35;43;29;28;27;24;28;32;27
44;47;32;40;28;38;36;40;37;35;37;34;43;28;29;30;24;29;30
45;38;46;29;38;28;36;34;42;38;34;37;35;40;29;28;29;24;29
46;27;39;45;30;37;27;34;36;44;37;34;36;36;41;32;28;27;24
47;37;27;39;46;29;36;29;38;36;41;36;32;37;36;41;32;29;23
48;39;37;28;39;45;29;36;28;36;35;41;36;34;38;36;42;30;30
49;38;38;36;28;39;44;28;37;29;37;35;38;38;36;38;38;39;31
50;37;36;37;36;27;40;44;29;36;32;34;34;41;38;35;37;36;40
51;40;37;36;38;37;26;38;43;27;38;34;35;33;44;37;35;36;35
52;35;39;37;34;39;37;23;36;42;27;37;34;31;34;44;36;34;36
53;24;35;38;36;34;41;37;24;35;42;28;38;31;31;35;45;34;35
54;38;23;36;41;35;33;39;38;25;34;42;30;36;30;31;38;43;34
55;34;38;22;36;41;37;30;39;38;26;34;41;28;35;30;30;38;40
56;19;34;39;24;35;38;37;31;39;38;26;33;42;29;35;31;30;37
57;21;17;34;36;23;37;37;37;31;40;39;28;34;41;29;35;33;30
58;27;20;15;34;36;22;37;36;37;30;41;38;28;33;41;29;34;33
59;26;28;19;15;36;34;20;36;36;38;30;41;38;28;34;41;30;34
60;25;26;29;20;15;37;32;21;34;38;37;29;42;36;27;34;41;28
61;44;20;25;28;21;15;35;30;21;34;38;37;28;41;35;28;34;43
62;46;44;21;23;26;21;14;35;31;21;34;37;36;28;40;35;28;32
63;49;45;42;21;23;27;20;15;34;31;21;34;37;34;28;39;37;27
64;44;49;44;42;21;24;27;20;15;34;31;20;34;37;34;29;39;38
65;46;43;48;43;39;21;25;26;20;15;34;30;20;34;37;34;29;36
66;35;45;41;47;43;36;21;24;26;21;14;34;29;19;34;37;33;30
67;40;33;44;41;46;43;36;21;26;26;19;14;33;29;19;34;37;32
68;50;38;33;43;39;41;39;39;19;26;26;19;14;33;29;18;34;36
69;45;50;39;32;43;40;41;37;39;19;25;25;18;16;33;29;18;33
70;40;45;50;39;31;43;39;41;37;39;19;24;24;18;16;32;28;19
71;37;40;44;50;39;31;42;40;42;37;39;19;24;24;18;15;32;27
72;35;37;37;44;48;39;31;42;39;40;37;39;21;23;23;17;13;31
73;30;33;37;36;42;48;38;30;38;39;40;36;38;21;22;22;17;12
74;35;28;33;37;35;41;47;38;30;38;39;38;37;36;21;22;20;17
75;40;33;26;33;36;33;40;46;37;28;37;38;36;35;35;20;20;20
76;29;39;30;26;33;35;32;36;43;34;28;37;38;38;35;32;18;20
77;27;26;38;27;26;31;33;31;36;43;32;25;36;38;39;35;31;18
78;31;24;26;39;27;27;29;33;29;35;41;30;23;36;34;37;34;31
79;28;30;22;26;36;24;25;28;29;30;32;39;29;22;35;32;37;30
80;21;28;29;19;24;34;23;25;28;28;30;31;39;27;22;31;31;36
81;12;17;25;23;18;22;33;22;22;29;26;29;29;37;24;22;29;31
82;16;12;15;25;24;17;20;32;22;22;27;26;27;26;33;21;22;27
83;8;13;9;13;24;23;15;20;30;20;21;25;24;24;25;30;20;22
84;14;6;12;7;13;24;20;14;19;29;19;21;22;19;22;24;28;17
85;14;14;6;11;7;13;19;16;13;18;22;16;19;19;18;20;24;27
86;17;8;13;6;11;7;11;17;16;10;16;20;12;18;15;18;17;20
87;12;16;4;12;3;9;5;8;17;13;8;13;16;10;16;12;16;17
88;15;11;14;4;12;2;8;5;7;14;12;8;11;14;8;15;9;12
89;4;13;7;10;4;8;2;7;6;7;12;10;7;9;14;7;15;8
90;6;4;9;6;9;3;8;2;6;3;4;11;8;6;8;9;7;11
91;6;6;4;5;5;5;4;6;2;4;2;4;8;5;5;5;7;4
92;4;3;6;4;5;4;3;2;4;2;3;1;3;6;3;3;3;6
93;2;3;0;6;5;4;2;2;2;4;2;1;1;3;5;2;3;2
94;3;0;3;0;6;5;4;2;2;1;3;1;1;1;2;5;2;3
95;1;0;0;1;0;3;2;1;2;2;1;3;1;1;0;2;5;1
