"Popolazione per età, vista per singola area - Comune: 078043 - Colosimi"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Colosimi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7;15;11;10;10;8;11;14;7;10;11;3;8;10;7;6;12;5
1;15;8;13;11;10;9;8;10;13;8;10;10;3;8;9;6;7;11
2;12;14;9;13;10;8;7;8;10;13;8;9;10;3;6;10;6;7
3;18;12;14;9;13;11;9;7;8;9;12;9;9;10;3;6;10;6
4;19;17;12;13;9;13;13;9;9;8;9;12;9;10;10;4;6;10
5;13;20;18;11;13;9;13;13;9;9;7;9;12;9;9;10;4;6
6;12;12;20;18;11;14;9;13;13;9;8;7;9;12;9;9;11;5
7;14;12;12;19;18;8;14;9;13;13;9;8;6;10;12;9;9;11
8;25;14;10;12;18;18;8;14;11;13;13;9;9;6;10;13;8;8
9;17;26;14;11;12;14;18;8;14;11;12;13;9;10;6;10;13;7
10;14;17;25;14;12;12;16;18;8;13;11;11;13;9;9;6;11;13
11;22;14;17;23;14;12;12;16;18;8;12;11;11;13;9;9;6;11
12;13;23;14;17;23;13;13;12;16;17;8;12;9;11;13;9;9;6
13;21;12;23;13;17;23;13;12;12;16;17;6;12;9;11;13;9;9
14;17;20;11;24;12;15;23;13;12;12;16;16;6;13;9;11;13;9
15;8;17;20;12;23;12;15;23;13;11;12;17;15;6;12;9;12;13
16;14;8;18;20;12;22;12;15;23;14;12;12;17;17;6;12;9;12
17;16;13;9;18;19;12;22;12;15;23;14;12;12;17;17;6;12;10
18;13;16;13;8;17;20;12;22;12;15;23;13;11;12;17;17;6;11
19;18;13;16;13;8;17;21;12;22;12;15;23;12;11;11;16;18;6
20;12;19;15;16;13;9;16;21;12;23;12;15;23;12;11;11;15;16
21;25;12;20;14;17;13;9;16;21;12;23;12;16;22;11;11;11;14
22;25;24;12;20;12;17;13;9;16;21;12;22;11;16;21;11;11;10
23;19;28;24;12;18;13;16;13;9;18;21;11;22;11;16;23;11;11
24;21;18;28;24;12;19;13;16;14;10;18;20;11;23;11;15;22;12
25;20;21;18;29;24;14;18;13;15;15;10;16;19;11;23;11;15;22
26;22;20;22;18;29;24;15;18;15;14;14;10;17;16;11;20;11;13
27;17;22;19;22;17;29;23;15;18;15;15;16;10;16;16;11;20;10
28;17;17;21;18;22;19;27;24;12;18;15;15;15;9;16;15;10;19
29;19;17;16;21;18;22;22;26;22;12;20;15;16;13;9;16;15;11
30;19;18;17;16;21;18;24;23;25;19;12;21;15;17;13;9;14;15
31;22;20;19;17;17;20;18;24;22;22;18;13;21;13;17;12;12;13
32;22;22;21;17;17;17;19;17;21;22;23;16;13;20;13;17;14;11
33;18;21;22;22;17;17;16;18;17;22;21;21;15;13;18;12;17;12
34;26;18;19;20;20;16;16;17;20;16;21;21;20;15;12;18;13;16
35;23;27;20;18;20;20;17;16;16;20;16;20;20;20;15;12;20;12
36;30;23;27;20;20;20;22;15;16;18;19;15;20;20;20;16;12;16
37;22;28;24;26;19;19;21;22;16;16;18;17;18;19;20;20;16;12
38;15;21;29;25;25;19;18;21;22;16;16;18;16;18;20;21;22;17
39;21;13;23;28;25;23;18;19;20;21;17;15;19;18;17;19;18;23
40;16;22;15;23;28;22;23;19;21;20;21;16;13;19;18;18;19;18
41;18;16;21;15;24;28;22;24;22;21;19;21;15;14;18;19;18;18
42;23;17;17;22;14;24;26;22;23;23;21;19;21;15;16;18;19;18
43;19;23;18;17;23;14;24;24;21;23;23;21;19;20;13;16;18;19
44;17;19;24;18;16;23;16;22;24;21;21;21;19;19;19;14;16;17
45;23;16;18;22;18;15;23;15;21;21;20;22;21;19;17;19;14;16
46;16;22;16;18;22;17;14;22;16;20;21;21;22;20;19;18;18;14
47;21;17;22;18;18;22;17;14;20;15;20;21;21;22;21;18;18;18
48;20;19;17;21;18;18;22;17;14;20;15;20;21;21;22;21;20;18
49;24;20;18;16;21;18;18;21;17;14;20;15;20;22;21;22;21;22
50;19;24;18;18;16;22;19;18;20;17;14;19;15;21;21;21;22;21
51;17;19;23;18;16;17;23;19;18;20;17;15;20;15;21;21;21;21
52;14;17;19;23;18;17;17;22;19;17;20;17;15;20;15;20;20;21
53;15;13;17;18;23;18;17;17;22;21;17;20;16;16;19;15;20;20
54;15;16;14;18;19;24;17;16;17;21;21;15;20;16;16;19;14;20
55;20;16;16;14;18;19;24;17;17;17;21;21;15;20;17;16;19;16
56;11;19;16;16;13;16;20;24;18;16;17;20;20;15;20;17;16;19
57;13;11;18;16;16;13;16;19;24;17;16;17;20;20;16;20;17;17
58;13;14;12;17;15;16;13;16;18;24;17;14;17;20;22;16;20;17
59;11;12;14;12;16;15;19;13;16;18;24;17;14;17;20;23;17;20
60;7;11;13;13;12;16;15;20;15;16;18;24;18;13;17;20;22;17
61;15;6;11;12;13;12;16;15;20;15;16;18;24;19;13;17;20;23
62;18;15;6;11;13;13;12;17;14;19;15;17;18;23;19;13;17;20
63;11;18;15;6;11;12;13;11;17;14;19;15;20;19;24;19;13;18
64;22;11;17;17;6;11;12;12;12;17;14;19;15;18;19;24;19;13
65;12;22;11;17;17;7;13;12;11;11;17;13;19;15;17;19;24;19
66;15;12;21;11;17;16;7;13;12;11;11;17;12;19;16;18;18;24
67;15;14;11;20;11;16;14;6;13;10;11;12;17;12;19;16;18;18
68;11;16;14;11;19;11;16;14;6;13;10;11;12;17;13;19;14;18
69;21;10;14;15;11;19;11;16;15;5;13;9;12;11;18;13;19;14
70;16;22;10;13;14;11;18;10;14;13;3;11;8;11;10;19;13;18
71;7;16;22;10;14;12;11;18;12;14;13;3;11;8;11;10;19;13
72;18;8;16;20;9;14;11;11;18;12;14;12;3;11;9;11;10;18
73;16;18;9;13;20;9;14;11;11;18;11;14;11;3;10;9;11;10
74;20;16;17;7;13;19;9;14;11;7;17;11;14;11;3;10;8;11
75;12;19;16;17;8;14;19;6;14;10;7;18;10;14;11;3;10;8
76;13;11;17;16;18;8;13;19;6;13;9;7;17;10;12;11;3;11
77;12;12;10;17;16;17;8;14;20;6;13;9;7;17;10;11;10;4
78;7;10;13;10;16;12;16;8;14;19;5;13;8;7;17;10;11;10
79;10;5;10;13;10;14;12;16;8;13;17;4;12;7;7;17;10;11
80;12;9;5;8;12;10;13;11;15;8;11;16;5;12;7;7;17;9
81;12;12;10;4;8;12;10;12;11;15;7;11;16;5;14;6;6;15
82;8;11;11;10;4;6;11;10;12;9;13;6;10;16;3;13;6;6
83;4;7;12;11;9;5;6;10;10;11;8;12;6;9;12;3;11;6
84;3;4;7;10;9;9;4;6;10;8;10;5;12;6;9;11;3;9
85;6;2;2;7;8;10;7;4;5;10;7;8;5;12;6;9;11;3
86;4;6;1;2;6;7;9;7;4;5;10;6;5;5;10;6;9;10
87;2;4;2;1;2;6;6;8;4;4;4;10;5;4;4;10;5;4
88;5;2;3;2;1;2;4;6;7;4;4;4;8;5;4;4;9;5
89;1;5;1;3;2;2;2;3;4;7;4;4;4;4;5;4;2;8
90;3;1;5;1;3;2;2;2;3;5;6;3;4;4;2;5;3;2
91;4;3;1;4;1;3;2;0;2;3;5;5;2;3;3;1;5;3
92;1;1;3;1;3;1;3;2;0;2;3;4;4;2;2;3;0;3
93;1;1;1;3;0;3;1;2;2;0;2;2;3;4;2;1;3;0
94;0;2;1;1;2;0;2;1;2;0;0;1;1;3;3;1;1;2
95;0;0;0;0;1;2;0;2;1;2;0;0;1;1;3;2;1;0
96;1;0;0;0;0;1;2;0;1;1;2;0;0;1;0;1;2;0
97;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;2
98;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;1413;1406;1406;1389;1375;1360;1365;1355;1351;1330;1314;1278;1262;1260;1241;1238;1240;1216
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;7;5;6;8;4;1;4;11;4;2;4;1;6;2;1;3;5;2
1;8;7;5;6;8;4;2;3;10;4;2;4;1;6;2;1;3;5
2;7;8;7;5;5;6;2;2;3;10;4;2;3;1;4;3;1;4
3;11;7;8;7;5;5;7;2;2;2;9;4;2;3;1;4;3;1
4;10;12;7;7;7;5;7;7;2;2;2;9;4;2;3;2;4;3
5;7;11;11;6;7;7;5;7;7;2;2;2;9;4;2;3;2;4
6;6;7;10;11;6;8;7;5;7;7;1;2;2;9;4;2;3;2
7;5;6;7;10;11;5;8;7;5;7;7;1;2;3;9;4;2;3
8;14;5;6;7;10;11;5;8;8;5;7;7;2;2;3;10;4;1
9;6;14;5;7;7;9;11;5;8;8;5;7;7;3;2;3;10;4
10;7;6;13;5;7;7;10;11;5;8;8;5;7;7;2;2;4;10
11;12;7;6;11;5;7;7;10;11;5;7;8;5;7;7;2;2;4
12;5;12;7;6;11;5;7;7;10;11;5;7;7;5;7;7;2;2
13;9;4;12;7;6;11;5;6;7;10;11;5;7;7;5;7;7;2
14;9;8;4;12;6;6;11;5;6;7;10;10;5;8;7;5;7;7
15;5;9;8;5;12;6;6;11;5;5;7;10;9;5;7;7;5;7
16;5;5;10;8;5;11;7;6;11;5;6;7;10;9;5;7;7;5
17;11;5;5;10;8;4;11;7;6;11;5;6;7;10;9;5;7;7
18;5;11;5;5;9;9;4;11;7;6;11;4;6;7;10;9;5;6
19;10;5;11;5;5;9;9;4;11;7;6;11;4;6;7;9;10;5
20;5;10;5;11;5;5;8;9;4;11;7;6;11;4;6;7;9;10
21;13;5;10;5;11;5;5;8;9;4;11;7;6;11;4;6;7;9
22;7;13;5;10;5;11;5;5;8;9;4;11;6;6;11;4;6;7
23;8;8;13;5;10;6;11;5;5;9;9;4;11;6;6;11;4;6
24;10;8;8;13;5;10;6;11;6;5;9;8;4;12;6;6;10;4
25;10;9;8;9;13;5;9;6;10;6;5;8;7;4;12;6;6;10
26;13;10;9;8;9;14;6;8;6;9;6;5;8;6;4;10;6;6
27;10;14;9;9;7;9;14;6;8;6;9;7;5;7;6;4;10;6
28;7;10;13;9;9;8;10;15;4;8;6;9;8;4;7;6;5;9
29;11;7;9;12;9;10;9;10;13;4;10;6;9;6;4;7;7;5
30;7;11;7;8;12;9;11;9;9;12;4;10;6;9;5;4;7;8
31;17;8;11;7;8;11;9;11;10;9;11;5;10;6;9;4;6;7
32;7;17;10;10;7;8;12;9;9;10;10;12;5;10;6;9;4;5
33;10;6;16;12;10;8;8;11;8;10;9;9;11;5;7;5;9;3
34;12;11;4;15;10;9;8;8;11;8;9;9;8;11;5;7;6;8
35;9;13;12;4;15;12;10;8;8;11;8;9;8;8;11;5;8;6
36;17;10;14;12;6;15;12;8;8;8;11;8;9;8;8;11;5;6
37;10;17;10;14;12;6;16;12;9;8;8;11;10;8;8;8;11;5
38;8;10;17;10;14;12;6;16;11;9;8;8;10;10;8;8;8;11
39;11;7;11;16;10;14;12;6;16;10;10;7;7;10;10;7;7;10
40;6;12;9;11;16;8;13;13;8;16;10;9;6;8;10;11;7;7
41;9;6;12;9;12;16;8;13;13;8;15;10;8;7;8;10;11;6
42;11;8;7;12;8;11;15;8;12;13;8;15;10;8;8;8;10;11
43;12;11;9;6;13;8;11;13;8;12;13;8;15;9;7;8;8;10
44;8;12;12;9;5;13;9;11;13;8;12;11;6;15;9;8;8;8
45;11;7;11;11;9;4;14;8;10;11;7;12;11;6;13;9;8;8
46;12;10;7;11;11;9;4;12;8;9;11;7;12;11;6;13;8;8
47;9;13;10;9;10;11;9;4;10;8;9;11;7;12;12;5;13;8
48;8;9;13;9;9;10;11;9;4;10;8;9;11;7;12;12;7;13
49;10;8;9;12;9;9;10;11;9;4;10;8;9;12;8;12;12;9
50;9;10;8;9;12;10;10;10;11;9;4;10;8;9;12;8;12;12
51;10;9;10;8;9;11;11;10;10;11;9;5;10;8;9;12;8;11
52;11;10;9;11;8;9;11;10;10;10;11;9;5;10;8;9;11;8
53;7;10;10;9;11;8;9;11;10;10;10;11;8;5;10;8;9;11
54;7;7;11;11;10;12;8;9;11;9;10;9;11;8;5;10;8;9
55;10;8;7;11;11;10;12;8;9;11;9;10;9;11;8;5;10;8
56;4;10;8;7;11;9;10;12;8;9;11;8;9;9;11;8;5;10
57;6;4;11;8;7;11;9;10;12;8;9;11;8;9;9;11;8;5
58;5;7;4;11;8;7;11;9;9;12;8;7;11;9;10;9;11;8
59;6;4;7;4;11;8;9;11;9;9;12;8;7;11;9;11;9;11
60;4;6;4;6;4;11;8;10;11;9;9;12;8;6;11;9;10;9
61;9;3;6;4;6;4;11;8;10;11;9;9;12;8;6;11;9;11
62;8;9;3;6;4;6;4;12;7;10;11;9;9;12;8;6;11;9
63;6;8;9;3;6;4;6;4;12;7;10;11;9;10;13;8;6;12
64;10;6;7;9;3;6;4;5;5;12;7;10;11;9;10;13;8;6
65;7;10;6;7;9;3;6;4;6;4;12;7;10;11;9;10;13;8
66;9;7;9;6;7;8;3;6;4;6;4;12;4;10;11;9;9;13
67;5;9;6;9;6;7;8;3;6;4;6;5;12;4;10;11;9;9
68;4;5;9;6;9;6;7;8;3;6;4;6;5;12;5;10;11;9
69;9;4;3;9;6;9;6;7;9;3;6;3;7;5;13;5;10;11
70;9;9;4;3;8;6;8;5;5;7;2;5;3;6;4;13;5;10
71;4;9;9;4;3;6;6;8;5;5;7;2;5;3;6;4;13;5
72;10;5;9;7;3;3;6;5;8;5;5;6;2;5;3;6;4;12
73;9;10;5;8;7;3;3;6;5;8;4;5;6;2;4;4;6;4
74;9;9;9;5;8;7;3;3;5;2;7;4;5;6;2;5;3;6
75;4;9;9;9;5;9;7;3;3;5;2;7;4;5;6;2;5;3
76;2;4;8;9;9;5;9;7;3;3;4;2;6;4;5;6;2;5
77;7;2;3;8;9;9;4;9;8;3;3;4;2;6;4;4;5;2
78;4;5;2;3;7;8;8;4;9;7;3;3;4;2;6;4;4;5
79;3;3;5;2;3;6;8;8;4;8;7;2;2;3;2;6;4;4
80;3;2;3;4;1;3;5;7;8;4;8;7;3;2;3;2;6;4
81;2;3;3;2;4;1;3;4;7;8;3;8;7;3;4;2;1;4
82;2;1;1;3;2;2;1;3;3;6;6;3;8;7;1;4;2;1
83;2;1;1;1;3;3;2;0;3;3;5;6;2;7;5;1;3;2
84;2;2;1;1;1;3;2;2;0;1;2;3;6;2;7;4;1;2
85;1;2;0;1;1;1;3;2;2;0;1;2;3;6;2;7;4;1
86;1;1;1;0;0;1;1;3;2;2;1;1;1;3;5;2;7;3
87;0;1;0;1;0;0;0;1;3;2;2;1;1;1;2;5;1;3
88;2;0;0;0;1;0;0;0;1;3;2;2;0;1;1;2;4;1
89;0;2;0;0;0;1;0;0;0;1;3;2;2;0;1;1;1;4
90;0;0;2;0;0;0;1;0;0;0;0;2;2;2;0;1;1;1
91;1;0;0;2;0;0;0;0;0;0;0;0;1;1;2;0;1;1
92;1;0;0;0;2;0;0;0;0;0;0;0;0;1;1;2;0;0
93;0;1;0;0;0;2;0;0;0;0;0;0;0;0;1;1;2;0
94;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1
95;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;681;681;676;673;668;660;670;666;658;642;634;620;607;606;597;597;599;587
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;0;10;5;2;6;7;7;3;3;8;7;2;2;8;6;3;7;3
1;7;1;8;5;2;5;6;7;3;4;8;6;2;2;7;5;4;6
2;5;6;2;8;5;2;5;6;7;3;4;7;7;2;2;7;5;3
3;7;5;6;2;8;6;2;5;6;7;3;5;7;7;2;2;7;5
4;9;5;5;6;2;8;6;2;7;6;7;3;5;8;7;2;2;7
5;6;9;7;5;6;2;8;6;2;7;5;7;3;5;7;7;2;2
6;6;5;10;7;5;6;2;8;6;2;7;5;7;3;5;7;8;3
7;9;6;5;9;7;3;6;2;8;6;2;7;4;7;3;5;7;8
8;11;9;4;5;8;7;3;6;3;8;6;2;7;4;7;3;4;7
9;11;12;9;4;5;5;7;3;6;3;7;6;2;7;4;7;3;3
10;7;11;12;9;5;5;6;7;3;5;3;6;6;2;7;4;7;3
11;10;7;11;12;9;5;5;6;7;3;5;3;6;6;2;7;4;7
12;8;11;7;11;12;8;6;5;6;6;3;5;2;6;6;2;7;4
13;12;8;11;6;11;12;8;6;5;6;6;1;5;2;6;6;2;7
14;8;12;7;12;6;9;12;8;6;5;6;6;1;5;2;6;6;2
15;3;8;12;7;11;6;9;12;8;6;5;7;6;1;5;2;7;6
16;9;3;8;12;7;11;5;9;12;9;6;5;7;8;1;5;2;7
17;5;8;4;8;11;8;11;5;9;12;9;6;5;7;8;1;5;3
18;8;5;8;3;8;11;8;11;5;9;12;9;5;5;7;8;1;5
19;8;8;5;8;3;8;12;8;11;5;9;12;8;5;4;7;8;1
20;7;9;10;5;8;4;8;12;8;12;5;9;12;8;5;4;6;6
21;12;7;10;9;6;8;4;8;12;8;12;5;10;11;7;5;4;5
22;18;11;7;10;7;6;8;4;8;12;8;11;5;10;10;7;5;3
23;11;20;11;7;8;7;5;8;4;9;12;7;11;5;10;12;7;5
24;11;10;20;11;7;9;7;5;8;5;9;12;7;11;5;9;12;8
25;10;12;10;20;11;9;9;7;5;9;5;8;12;7;11;5;9;12
26;9;10;13;10;20;10;9;10;9;5;8;5;9;10;7;10;5;7
27;7;8;10;13;10;20;9;9;10;9;6;9;5;9;10;7;10;4
28;10;7;8;9;13;11;17;9;8;10;9;6;7;5;9;9;5;10
29;8;10;7;9;9;12;13;16;9;8;10;9;7;7;5;9;8;6
30;12;7;10;8;9;9;13;14;16;7;8;11;9;8;8;5;7;7
31;5;12;8;10;9;9;9;13;12;13;7;8;11;7;8;8;6;6
32;15;5;11;7;10;9;7;8;12;12;13;4;8;10;7;8;10;6
33;8;15;6;10;7;9;8;7;9;12;12;12;4;8;11;7;8;9
34;14;7;15;5;10;7;8;9;9;8;12;12;12;4;7;11;7;8
35;14;14;8;14;5;8;7;8;8;9;8;11;12;12;4;7;12;6
36;13;13;13;8;14;5;10;7;8;10;8;7;11;12;12;5;7;10
37;12;11;14;12;7;13;5;10;7;8;10;6;8;11;12;12;5;7
38;7;11;12;15;11;7;12;5;11;7;8;10;6;8;12;13;14;6
39;10;6;12;12;15;9;6;13;4;11;7;8;12;8;7;12;11;13
40;10;10;6;12;12;14;10;6;13;4;11;7;7;11;8;7;12;11
41;9;10;9;6;12;12;14;11;9;13;4;11;7;7;10;9;7;12
42;12;9;10;10;6;13;11;14;11;10;13;4;11;7;8;10;9;7
43;7;12;9;11;10;6;13;11;13;11;10;13;4;11;6;8;10;9
44;9;7;12;9;11;10;7;11;11;13;9;10;13;4;10;6;8;9
45;12;9;7;11;9;11;9;7;11;10;13;10;10;13;4;10;6;8
46;4;12;9;7;11;8;10;10;8;11;10;14;10;9;13;5;10;6
47;12;4;12;9;8;11;8;10;10;7;11;10;14;10;9;13;5;10
48;12;10;4;12;9;8;11;8;10;10;7;11;10;14;10;9;13;5
49;14;12;9;4;12;9;8;10;8;10;10;7;11;10;13;10;9;13
50;10;14;10;9;4;12;9;8;9;8;10;9;7;12;9;13;10;9
51;7;10;13;10;7;6;12;9;8;9;8;10;10;7;12;9;13;10
52;3;7;10;12;10;8;6;12;9;7;9;8;10;10;7;11;9;13
53;8;3;7;9;12;10;8;6;12;11;7;9;8;11;9;7;11;9
54;8;9;3;7;9;12;9;7;6;12;11;6;9;8;11;9;6;11
55;10;8;9;3;7;9;12;9;8;6;12;11;6;9;9;11;9;8
56;7;9;8;9;2;7;10;12;10;7;6;12;11;6;9;9;11;9
57;7;7;7;8;9;2;7;9;12;9;7;6;12;11;7;9;9;12
58;8;7;8;6;7;9;2;7;9;12;9;7;6;11;12;7;9;9
59;5;8;7;8;5;7;10;2;7;9;12;9;7;6;11;12;8;9
60;3;5;9;7;8;5;7;10;4;7;9;12;10;7;6;11;12;8
61;6;3;5;8;7;8;5;7;10;4;7;9;12;11;7;6;11;12
62;10;6;3;5;9;7;8;5;7;9;4;8;9;11;11;7;6;11
63;5;10;6;3;5;8;7;7;5;7;9;4;11;9;11;11;7;6
64;12;5;10;8;3;5;8;7;7;5;7;9;4;9;9;11;11;7
65;5;12;5;10;8;4;7;8;5;7;5;6;9;4;8;9;11;11
66;6;5;12;5;10;8;4;7;8;5;7;5;8;9;5;9;9;11
67;10;5;5;11;5;9;6;3;7;6;5;7;5;8;9;5;9;9
68;7;11;5;5;10;5;9;6;3;7;6;5;7;5;8;9;3;9
69;12;6;11;6;5;10;5;9;6;2;7;6;5;6;5;8;9;3
70;7;13;6;10;6;5;10;5;9;6;1;6;5;5;6;6;8;8
71;3;7;13;6;11;6;5;10;7;9;6;1;6;5;5;6;6;8
72;8;3;7;13;6;11;5;6;10;7;9;6;1;6;6;5;6;6
73;7;8;4;5;13;6;11;5;6;10;7;9;5;1;6;5;5;6
74;11;7;8;2;5;12;6;11;6;5;10;7;9;5;1;5;5;5
75;8;10;7;8;3;5;12;3;11;5;5;11;6;9;5;1;5;5
76;11;7;9;7;9;3;4;12;3;10;5;5;11;6;7;5;1;6
77;5;10;7;9;7;8;4;5;12;3;10;5;5;11;6;7;5;2
78;3;5;11;7;9;4;8;4;5;12;2;10;4;5;11;6;7;5
79;7;2;5;11;7;8;4;8;4;5;10;2;10;4;5;11;6;7
80;9;7;2;4;11;7;8;4;7;4;3;9;2;10;4;5;11;5
81;10;9;7;2;4;11;7;8;4;7;4;3;9;2;10;4;5;11
82;6;10;10;7;2;4;10;7;9;3;7;3;2;9;2;9;4;5
83;2;6;11;10;6;2;4;10;7;8;3;6;4;2;7;2;8;4
84;1;2;6;9;8;6;2;4;10;7;8;2;6;4;2;7;2;7
85;5;0;2;6;7;9;4;2;3;10;6;6;2;6;4;2;7;2
86;3;5;0;2;6;6;8;4;2;3;9;5;4;2;5;4;2;7
87;2;3;2;0;2;6;6;7;1;2;2;9;4;3;2;5;4;1
88;3;2;3;2;0;2;4;6;6;1;2;2;8;4;3;2;5;4
89;1;3;1;3;2;1;2;3;4;6;1;2;2;4;4;3;1;4
90;3;1;3;1;3;2;1;2;3;5;6;1;2;2;2;4;2;1
91;3;3;1;2;1;3;2;0;2;3;5;5;1;2;1;1;4;2
92;0;1;3;1;1;1;3;2;0;2;3;4;4;1;1;1;0;3
93;1;0;1;3;0;1;1;2;2;0;2;2;3;4;1;0;1;0
94;0;2;0;1;2;0;1;1;2;0;0;1;1;3;3;1;0;1
95;0;0;0;0;1;2;0;1;1;2;0;0;1;1;3;2;1;0
96;1;0;0;0;0;1;2;0;1;1;2;0;0;1;0;1;2;0
97;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;2
98;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;732;725;730;716;707;700;695;689;693;688;680;658;655;654;644;641;641;629

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Cittadinanza italiana - Comune: Colosimi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7;15;11;10;10;8;11;14;7;10;11;3;8;10;7;6;12;5
1;15;8;13;11;10;9;8;10;13;7;10;10;3;8;9;6;7;11
2;12;14;9;13;10;8;7;8;10;13;7;9;9;3;6;9;6;7
3;18;12;14;9;13;11;9;7;8;9;12;8;9;9;3;6;9;6
4;19;17;12;13;9;13;13;9;9;8;9;12;8;10;9;3;6;9
5;13;20;18;11;13;9;13;13;9;9;7;9;12;8;9;9;3;6
6;12;12;20;18;11;14;9;13;13;9;8;7;9;12;8;9;11;3
7;14;12;12;19;18;8;14;9;13;13;9;8;6;10;12;8;9;11
8;25;14;10;12;18;18;8;14;11;13;13;9;9;6;10;12;7;8
9;17;26;14;11;12;14;18;8;14;11;12;13;9;10;6;10;13;7
10;14;17;25;14;12;12;16;18;8;13;11;11;13;9;9;6;10;13
11;22;14;17;23;14;12;12;16;18;8;12;11;11;13;9;9;6;10
12;12;23;14;17;23;13;13;12;16;17;8;12;9;11;13;9;9;6
13;21;11;23;13;17;23;13;12;12;16;17;6;12;9;11;13;9;9
14;17;20;10;24;12;15;23;13;12;12;16;16;6;13;9;11;13;9
15;8;17;20;10;23;12;15;23;13;11;12;17;15;6;12;9;12;13
16;14;8;18;20;10;22;12;15;23;14;12;12;17;17;6;12;9;12
17;16;13;9;18;19;12;22;12;15;23;14;12;12;17;17;6;12;10
18;13;16;13;8;17;20;12;22;12;15;23;13;11;12;17;17;6;11
19;18;13;16;13;8;17;21;12;22;12;15;23;12;11;11;16;18;6
