"Popolazione per età, vista per singola area - Comune: 078106 - Rose"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Rose"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;37;46;43;32;41;36;39;33;40;39;49;32;39;42;43;54;36;30
1;33;39;46;41;30;44;38;40;34;40;40;48;34;39;44;45;50;38
2;55;36;40;46;42;28;45;36;38;33;40;37;46;33;41;49;42;48
3;36;57;35;38;43;39;28;45;36;39;33;38;39;47;33;41;48;45
4;42;38;61;36;37;45;41;30;44;38;40;33;34;39;45;38;41;47
5;43;42;37;61;37;38;47;42;33;45;37;39;33;39;39;45;36;41
6;47;43;44;36;63;37;37;47;42;32;44;38;39;33;40;40;43;35
7;45;46;42;43;36;60;38;36;47;44;32;43;36;41;34;41;39;42
8;62;45;43;41;47;36;59;37;35;46;44;30;45;35;40;34;40;39
9;60;61;45;45;40;46;39;60;34;35;47;44;33;43;35;41;31;41
10;62;61;64;45;44;41;48;38;60;36;35;49;43;31;42;37;41;32
11;63;61;58;63;47;46;43;48;35;59;36;37;48;41;32;40;39;42
12;51;63;62;58;64;48;43;43;47;35;59;37;37;47;41;33;38;39
13;66;50;60;61;56;64;46;42;40;48;35;59;39;37;47;42;32;36
14;64;66;48;59;60;56;62;46;41;41;49;39;60;41;37;48;40;31
15;62;66;65;47;59;57;55;62;48;40;42;48;39;58;39;37;47;38
16;69;62;65;64;47;57;58;56;62;48;40;42;48;38;58;35;37;46
17;72;68;64;63;63;50;55;57;56;60;49;42;43;50;40;59;35;39
18;74;75;68;64;60;62;54;55;57;53;60;51;40;43;52;39;59;36
19;66;72;69;67;61;59;63;52;56;55;53;60;50;40;43;53;40;57
20;55;66;73;64;66;61;62;60;50;58;54;53;59;48;38;44;55;38
21;62;53;61;71;61;64;64;61;60;49;57;55;55;59;49;37;42;51
22;66;64;53;57;69;59;68;62;62;63;46;57;52;54;57;46;38;43
23;60;62;66;54;58;66;63;68;62;56;63;48;58;52;56;60;45;39
24;76;59;61;67;54;56;68;60;66;64;58;65;52;56;51;58;62;47
25;58;74;56;58;63;54;54;67;63;60;65;56;62;53;56;55;60;59
26;63;59;74;58;55;63;58;55;66;62;62;64;61;63;54;55;54;58
27;59;62;59;70;53;53;66;56;56;70;63;59;72;60;62;52;51;54
28;61;60;58;56;70;54;61;66;61;53;66;64;62;69;60;61;53;51
29;58;64;64;56;59;68;61;58;63;60;52;66;58;59;70;67;59;50
30;76;60;68;61;58;60;71;58;57;63;61;54;69;65;52;68;64;56
31;51;75;58;68;60;62;67;74;57;60;62;55;54;71;63;56;64;66
32;76;50;71;58;70;56;64;67;70;56;62;59;55;57;67;62;59;70
33;59;75;47;70;58;68;58;68;61;67;60;55;57;57;57;70;64;59
34;75;61;73;44;71;58;69;58;65;61;68;60;49;56;56;58;66;67
35;77;74;60;68;47;67;63;69;57;66;63;76;58;54;55;56;57;65
36;62;79;75;59;66;48;68;64;70;58;67;60;79;60;56;60;56;59
37;69;62;81;73;60;66;50;67;62;69;55;66;57;75;61;58;58;59
38;66;70;63;78;70;58;61;54;65;63;68;53;63;61;77;61;53;56
39;78;66;70;63;78;74;58;61;52;68;63;66;53;63;62;79;62;55
40;65;79;67;70;63;83;72;54;63;53;67;65;69;50;64;62;77;57
41;83;65;79;70;68;61;85;73;51;63;53;65;64;66;47;63;60;79
42;66;84;66;79;71;70;64;86;76;51;61;50;65;63;65;49;61;64
43;67;65;80;64;77;71;71;62;84;77;52;65;47;65;65;67;49;63
44;65;66;65;78;63;78;71;71;64;83;76;54;69;47;66;63;69;48
45;52;65;67;65;75;63;80;70;70;64;83;73;56;69;47;65;62;66
46;64;54;66;64;63;76;68;80;66;70;64;84;72;57;70;46;69;59
47;63;62;54;64;61;63;76;67;81;64;68;64;85;74;56;70;48;71
48;51;64;61;52;64;61;66;78;68;78;64;72;62;86;71;56;71;48
49;58;53;61;61;53;62;60;64;75;67;79;65;71;59;88;72;55;68
50;52;56;52;58;62;51;65;61;65;74;68;81;62;70;59;86;72;53
51;41;52;52;49;55;61;53;64;63;67;75;67;80;65;67;60;84;72
52;52;41;51;52;49;56;62;50;64;61;67;75;68;80;66;68;60;86
53;43;51;41;50;50;48;56;61;50;62;62;65;75;66;80;64;66;61
54;42;43;49;41;49;50;48;57;62;49;62;62;68;74;66;75;63;65
55;41;42;42;49;41;48;50;48;54;61;49;60;62;66;74;65;77;61
56;31;41;43;41;48;41;48;48;47;55;60;51;57;60;66;74;64;77
57;36;32;42;43;42;46;39;49;49;44;54;58;49;56;59;64;74;64
58;27;34;32;40;43;43;45;37;48;45;44;54;56;49;56;59;65;74
59;31;27;35;32;40;45;43;43;35;47;47;45;52;56;47;56;59;65
60;30;30;28;32;33;39;45;41;40;36;46;47;43;52;58;48;56;60
61;41;29;30;27;32;32;39;44;41;42;36;47;48;44;54;60;46;57
62;44;43;30;30;26;34;31;38;43;42;40;36;46;48;44;54;62;46
63;44;44;42;29;30;27;35;31;38;44;41;41;35;46;45;42;52;61
