"Popolazione per età, vista per singola area - Comune: 078110 - Rovito"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Rovito"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;46;29;43;29;37;39;41;33;49;35;26;37;23;29;16;22;24;15
1;28;45;34;44;30;35;38;38;31;50;34;26;35;25;26;17;24;24
2;37;28;41;30;46;30;34;41;33;31;51;36;24;30;25;27;18;27
3;27;38;27;41;31;44;28;37;39;32;33;53;37;24;31;23;27;18
4;22;29;37;31;42;33;44;29;37;40;32;33;50;37;25;31;24;26
5;31;21;33;37;28;42;33;44;29;36;37;32;33;50;37;25;34;25
6;36;33;20;31;34;31;45;35;42;28;36;37;30;31;48;36;25;36
7;41;35;34;23;29;32;30;44;31;42;28;37;35;30;30;46;36;26
8;36;39;40;32;24;25;34;30;40;27;41;28;38;34;31;31;47;38
9;34;36;37;39;33;24;25;34;30;39;27;39;24;37;34;32;32;47
10;22;34;35;38;38;34;23;25;33;29;40;28;39;26;37;32;34;34
11;28;23;35;36;38;37;35;23;22;37;30;40;30;39;25;36;32;33
12;36;30;23;35;36;40;37;36;24;23;38;31;38;29;39;26;37;34
13;42;34;32;25;35;38;40;34;37;24;22;37;30;38;29;40;27;38
14;31;40;37;27;29;36;38;38;27;36;24;23;38;29;41;30;40;27
15;32;32;39;36;27;27;35;37;39;27;36;24;24;37;28;41;29;41
16;38;32;30;40;39;29;27;32;36;39;28;35;24;25;37;28;43;29
17;39;38;35;31;39;39;27;28;32;36;39;27;34;27;25;35;31;42
18;35;38;42;34;31;40;39;29;28;33;35;40;29;34;26;25;39;30
19;32;27;37;42;36;31;41;38;27;28;33;35;39;28;34;22;25;38
20;43;31;26;37;43;36;31;45;39;27;26;31;35;37;31;34;22;25
21;41;45;34;27;35;44;37;34;43;40;27;29;30;35;37;30;33;22
22;33;37;47;35;29;35;43;39;37;43;41;27;27;31;35;37;30;31
23;46;34;41;47;37;30;35;43;38;40;42;41;29;25;30;34;35;29
24;42;44;37;41;46;40;27;34;43;36;40;41;41;29;25;28;34;39
25;39;40;46;36;44;46;40;28;36;42;32;45;42;43;29;24;25;31
26;28;40;44;49;37;44;46;38;32;33;42;33;43;37;41;28;27;23
27;55;27;40;45;47;35;46;49;34;32;33;43;35;44;37;44;34;28
28;43;59;32;42;47;48;39;44;48;33;32;36;47;35;39;38;45;33
29;49;47;60;32;45;50;45;35;46;44;31;33;33;43;36;42;37;41
30;46;52;48;65;33;49;51;50;37;41;45;33;39;34;47;36;42;37
31;53;51;55;50;62;38;50;52;50;32;43;48;32;41;30;44;32;45
