"Popolazione per età, vista per singola area - Comune: 078122 - San Lucido"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: San Lucido"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;55;49;44;47;45;56;48;39;50;56;35;42;50;50;45;46;45;44
1;66;56;49;47;47;43;57;50;39;47;58;37;46;50;51;50;47;44
2;52;71;56;50;48;47;45;61;50;41;49;59;39;46;48;53;49;47
3;61;52;69;57;47;45;48;46;61;47;43;49;58;40;45;49;51;48
4;60;61;51;66;58;49;43;50;47;63;48;43;49;56;40;44;46;50
5;42;62;61;52;65;60;49;47;50;43;61;46;42;49;58;39;44;46
6;64;42;63;64;53;68;58;51;49;50;42;63;47;40;48;56;37;47
7;62;64;43;60;62;55;70;59;51;49;52;43;61;48;38;44;55;38
8;65;64;63;44;60;64;55;70;61;52;48;52;40;59;46;39;45;54
9;67;61;67;65;45;62;63;54;69;60;53;49;51;40;57;44;37;45
10;62;69;60;67;67;44;61;63;54;68;61;53;49;51;40;56;43;41
11;80;61;70;61;65;65;46;62;64;55;69;62;51;47;49;41;56;43
12;68;80;61;69;60;65;63;47;63;62;56;68;59;50;47;50;41;56
13;70;68;79;61;71;62;65;63;47;63;62;57;66;60;47;46;45;42
14;77;69;70;79;61;71;61;65;63;46;62;64;55;66;59;47;45;45
15;76;75;70;70;83;61;71;62;64;65;46;65;63;53;66;57;47;46
16;73;78;74;68;70;85;63;71;62;63;64;49;64;64;52;66;56;47
17;63;70;79;76;69;72;84;63;72;63;63;68;51;65;61;53;65;57
18;96;62;70;79;79;72;71;84;64;72;61;65;69;58;64;59;53;63
19;71;96;64;71;81;79;71;69;82;64;73;58;63;72;58;63;58;56
20;74;69;97;65;70;83;80;73;69;79;65;72;58;63;70;58;62;59
21;86;74;70;95;67;70;82;81;72;68;79;64;74;59;62;68;59;63
22;92;89;78;72;95;70;74;82;80;74;66;80;61;73;59;63;69;59
23;99;94;90;76;73;96;71;72;82;80;74;69;85;69;69;57;66;71
24;94;99;92;93;74;70;94;72;72;81;82;70;71;84;70;71;58;66
25;100;98;99;94;92;70;73;97;70;71;83;82;73;69;81;69;67;61
26;86;99;97;95;93;90;74;70;91;67;71;79;83;73;67;77;73;63
27;101;90;99;91;96;91;91;70;70;92;68;70;83;74;74;67;76;73
28;83;103;89;101;90;93;96;91;69;68;93;72;76;82;75;76;70;81
29;84;80;103;90;96;87;94;97;89;70;70;87;68;78;80;71;71;61
30;95;85;85;98;84;96;85;90;100;90;65;72;84;68;76;78;75;68
31;90;95;86;81;98;88;96;83;93;98;86;64;72;82;68;79;80;82
32;98;89;99;86;81;98;88;93;83;91;98;81;69;71;78;67;80;81
33;93;99;88;93;86;77;95;89;92;88;87;94;80;72;68;76;68;83
34;91;98;103;83;89;86;84;93;81;93;86;83;93;78;72;70;78;73
35;95;90;98;103;80;89;83;79;93;83;91;84;87;92;78;74;73;80
36;79;91;92;94;99;80;89;81;76;93;82;86;84;90;91;76;78;72
37;97;79;91;89;93;103;80;89;86;82;89;82;89;86;85;92;77;76
38;72;96;79;90;87;92;102;80;89;81;82;86;82;92;85;81;92;78
39;85;71;96;79;93;90;93;105;82;87;83;87;83;85;91;85;82;92
40;84;82;72;98;79;95;96;92;104;80;87;80;84;81;82;89;86;84
41;74;85;81;73;100;80;97;101;91;100;82;86;85;85;82;86;90;86
42;80;72;88;81;74;103;78;95;98;89;98;79;85;82;83;82;82;90
43;87;80;76;87;84;75;102;81;94;97;87;99;82;86;84;76;83;83
44;63;87;80;77;87;88;78;105;81;94;97;86;100;82;86;85;77;82
45;80;62;88;81;77;87;91;81;105;82;94;98;83;99;82;86;83;77
46;75;81;61;88;82;76;87;90;81;104;80;95;97;82;101;81;84;84
47;77;77;80;61;90;84;75;90;89;80;104;81;97;97;84;100;83;86
48;84;75;78;79;63;97;86;76;87;87;81;104;77;96;95;80;98;84
49;69;85;74;78;79;63;100;90;79;83;87;85;102;77;94;94;81;99
50;80;70;86;75;77;76;66;99;91;81;82;90;87;100;78;91;95;83
51;83;79;69;86;75;77;76;67;98;92;81;81;90;87;100;79;93;97
52;85;83;78;68;88;76;74;77;68;98;92;81;83;90;85;99;80;94
53;84;86;80;77;68;87;76;74;77;65;99;89;81;83;90;81;99;83
54;86;83;85;81;76;69;90;76;74;75;60;101;88;78;82;89;79;101
55;63;86;83;84;80;75;70;90;75;76;75;61;98;88;75;82;88;80
56;66;63;88;86;86;79;76;67;88;74;77;74;59;97;87;72;83;86
57;60;65;65;87;85;87;80;77;67;87;76;78;76;58;97;89;75;84
58;61;60;68;66;87;83;89;80;78;67;87;76;77;76;57;97;90;77
59;63;61;60;64;66;90;86;90;79;76;64;87;78;76;75;55;92;91
60;54;63;60;60;66;67;89;88;90;79;76;64;83;79;77;76;56;93
61;63;55;62;60;60;65;68;90;87;90;77;75;65;80;77;76;79;56
62;60;63;53;62;61;61;69;69;90;86;89;75;77;65;78;77;74;78
63;70;59;62;51;62;60;61;68;71;89;86;88;72;76;65;76;74;78
64;57;71;59;62;50;61;60;61;70;72;86;86;87;71;76;64;78;78
65;50;57;68;62;62;50;62;59;63;70;75;84;84;87;71;74;66;76
66;57;50;59;65;60;63;49;61;59;62;70;75;84;85;85;72;76;65
67;30;55;52;62;65;64;61;50;63;60;61;69;75;81;82;86;72;77
68;53;30;54;51;61;67;65;60;50;63;58;60;69;75;77;80;87;75
69;56;51;30;55;52;60;65;65;59;50;63;57;57;68;76;73;82;86
70;52;56;51;32;56;49;60;64;63;58;49;61;57;59;68;74;74;81
71;51;52;57;51;32;54;47;60;66;63;57;49;60;57;57;68;75;73
72;47;48;49;55;50;34;53;48;60;65;63;57;48;57;50;53;67;73
73;54;46;51;50;55;51;33;54;47;60;67;59;57;48;56;48;49;63
74;47;54;48;49;51;52;50;32;53;46;58;63;59;56;48;52;46;49
75;45;47;54;47;50;50;52;49;33;49;42;57;63;57;54;45;50;45
76;38;44;48;54;44;50;45;52;48;34;47;41;55;59;54;53;42;50
77;43;36;43;48;52;44;50;45;48;45;31;44;42;55;59;51;52;43
78;44;42;35;42;46;50;44;47;43;49;43;30;40;41;51;58;47;48
79;51;42;42;35;43;43;49;44;45;42;45;40;29;38;38;47;58;47
80;34;49;42;40;37;39;42;46;41;41;42;43;39;27;32;38;43;53
81;31;32;48;42;42;35;36;42;44;39;40;38;43;38;26;33;34;43
82;23;29;33;48;42;37;32;36;42;37;35;36;35;42;37;21;33;31
83;16;20;25;34;41;36;38;28;31;37;34;33;32;33;36;36;20;33
84;24;12;18;20;34;40;36;38;24;29;31;33;33;29;32;37;32;21
85;17;24;11;15;18;32;37;34;34;19;29;26;33;30;27;30;37;31
86;19;15;18;12;13;15;27;37;29;29;16;27;25;29;27;25;25;32
87;18;20;14;16;11;11;14;23;35;29;24;14;23;21;25;23;22;23
88;23;15;17;13;11;12;11;14;21;29;28;20;12;19;20;21;20;20
89;15;19;10;13;10;8;10;9;13;17;25;21;15;12;18;18;18;16
90;12;13;15;9;12;7;8;7;6;8;16;19;19;14;7;19;16;12
91;8;6;12;15;9;12;6;8;5;4;7;13;16;15;9;5;16;14
92;3;6;6;11;11;10;12;3;6;4;4;5;10;15;9;8;5;13
