"Popolazione per età, vista per singola area - Comune: 079002 - Albi"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Albi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;11;9;8;4;6;10;12;6;5;9;9;6;2;4;5;8;2;1
1;7;11;9;8;4;6;10;11;6;6;9;8;5;3;4;5;8;2
2;7;7;12;10;8;4;6;10;11;6;5;9;8;6;3;5;5;8
3;14;7;7;12;11;8;4;4;12;11;5;5;9;8;4;3;5;5
4;10;12;7;6;12;11;8;4;4;12;11;4;5;9;10;6;3;5
5;13;10;12;7;6;12;8;8;4;4;12;11;4;5;9;10;6;3
6;10;13;10;12;7;6;12;7;8;4;4;12;11;4;6;9;10;6
7;5;10;13;10;12;7;7;10;7;8;4;4;11;12;5;6;9;10
8;17;5;10;12;10;11;7;7;10;7;8;4;4;11;12;5;6;9
9;11;17;5;11;12;10;11;7;7;10;7;8;4;4;11;12;5;6
10;12;11;14;5;11;12;10;12;7;7;10;7;8;4;4;11;12;5
11;12;14;12;13;5;11;12;10;12;7;7;10;7;8;4;4;10;12
12;20;11;14;11;14;5;11;13;10;12;7;7;10;7;8;4;4;10
13;10;20;11;14;9;14;5;11;13;10;13;7;7;10;7;8;4;4
14;9;10;20;11;14;9;14;5;10;13;10;13;7;6;10;7;8;4
15;21;9;10;20;11;14;10;15;5;11;13;10;13;7;6;10;7;8
16;12;21;9;11;19;11;14;10;16;5;11;13;10;12;7;6;10;7
17;11;12;22;9;11;20;11;15;10;16;5;11;13;11;12;7;6;10
18;8;11;12;22;9;11;19;11;14;10;16;5;11;13;11;12;7;6
19;10;10;10;12;23;11;11;19;12;14;11;16;5;11;12;10;11;6
20;9;10;11;10;12;24;10;11;19;12;13;12;16;5;11;12;10;10
21;21;8;9;11;10;12;24;11;10;19;12;13;12;15;5;11;12;10
22;9;21;9;9;11;10;12;23;12;10;19;13;12;10;15;5;11;11
23;13;9;22;10;9;11;11;12;22;12;10;19;13;11;9;15;5;11
24;16;13;8;22;10;9;11;11;12;19;12;10;19;13;10;9;15;5
25;7;14;13;6;20;10;8;9;11;11;19;11;8;18;13;10;9;15
26;17;8;14;12;8;19;10;9;9;11;9;18;11;8;19;13;10;8
27;19;16;7;14;12;8;19;10;8;7;9;10;16;11;7;19;13;9
28;11;17;18;7;13;12;8;19;11;11;7;8;10;16;10;8;17;12
29;12;11;16;16;5;13;12;8;19;11;10;6;8;10;16;9;8;15
30;21;13;11;16;18;5;12;11;8;18;11;12;5;8;11;15;9;8
31;16;20;14;15;17;18;6;11;10;7;18;11;10;4;9;10;13;9
32;19;13;20;13;13;13;16;6;11;7;9;18;12;11;4;9;10;10
33;12;16;14;20;15;12;11;14;7;11;7;8;19;11;9;3;9;8
34;20;14;17;11;19;13;13;10;14;8;13;7;8;19;11;9;2;9
35;15;20;14;17;13;17;11;13;10;11;8;12;7;7;19;12;7;3
36;16;14;20;14;17;14;15;11;11;10;11;8;12;7;7;18;11;7
37;18;14;14;19;12;18;14;16;11;12;11;11;8;12;7;7;18;11
38;22;17;14;15;20;11;18;15;16;11;12;10;11;9;12;7;7;18
39;15;21;16;14;15;21;10;15;15;15;12;12;11;10;8;13;7;7
40;16;17;20;17;14;15;20;9;15;13;15;12;11;12;9;8;13;7
41;12;16;17;20;16;14;15;21;9;16;12;15;13;11;12;9;7;14
42;15;11;16;16;21;16;15;15;21;9;15;12;15;14;11;12;9;8
43;16;16;10;17;16;21;19;15;13;23;10;15;13;15;14;12;12;9
44;14;16;20;10;16;16;21;19;15;14;24;9;15;13;15;13;11;11
45;11;14;15;18;10;15;16;21;19;17;15;24;9;14;13;15;12;12
46;17;11;14;15;16;10;15;16;21;19;17;13;24;9;16;13;15;12
47;12;17;12;14;15;16;10;15;16;21;19;17;13;25;9;16;12;15
48;14;12;17;12;13;15;17;11;17;16;20;18;17;12;25;9;15;11
49;10;16;12;15;12;13;15;15;11;17;16;19;19;17;12;24;9;15
50;14;10;16;12;15;12;13;15;14;11;17;16;18;19;16;12;24;8
51;17;14;9;16;12;15;10;13;14;15;12;17;16;19;18;16;12;24
52;9;17;14;8;16;12;16;10;13;14;15;12;17;16;20;18;17;12
53;17;9;18;14;9;16;12;16;10;14;14;15;12;16;15;20;18;16
54;14;17;9;18;14;9;16;12;15;10;14;13;15;12;16;16;20;18
55;14;15;17;9;18;14;9;14;12;16;10;14;12;15;12;16;15;19
56;9;14;15;16;8;17;14;8;14;12;15;9;14;12;15;12;16;15
57;11;10;14;16;17;8;17;14;8;14;12;14;9;14;13;15;12;16
58;14;11;10;14;15;17;8;17;12;8;13;12;14;9;14;14;15;11
59;9;14;11;10;14;15;16;8;17;12;8;13;12;14;9;14;14;13
60;13;8;14;11;12;13;15;15;8;18;12;8;13;12;15;9;11;14
61;7;13;8;14;11;12;13;15;15;8;18;12;8;12;12;15;10;12
62;5;7;12;8;14;10;12;13;16;16;8;18;12;8;13;12;16;9
63;9;5;7;11;8;15;10;12;13;14;15;8;17;12;8;15;12;15
64;6;9;5;7;10;8;15;10;12;13;14;15;8;16;12;8;15;12
65;12;6;9;5;7;10;8;15;10;10;13;14;16;8;16;12;8;16
66;17;11;6;9;6;7;10;8;15;10;10;13;14;15;8;17;11;8
67;10;17;11;6;9;6;6;10;8;15;10;10;13;14;14;6;16;11
68;6;10;17;11;6;9;6;6;10;9;15;10;10;13;15;15;7;15
69;10;6;10;17;9;6;9;6;6;10;9;15;10;9;13;15;15;7
70;16;10;6;10;17;10;6;9;6;6;9;9;14;10;9;13;15;13
71;12;16;10;6;10;17;10;6;9;6;6;8;9;14;9;9;13;15
72;7;11;16;10;6;10;16;10;6;9;6;6;8;9;14;9;7;13
73;11;7;10;16;10;6;9;15;9;5;9;6;6;8;9;13;9;7
74;13;10;7;10;15;10;6;9;15;9;5;10;6;5;8;9;12;9
75;13;13;10;6;9;15;10;5;9;15;9;5;8;6;5;8;9;12
76;15;12;13;10;7;10;15;10;5;8;14;9;5;8;6;5;8;8
77;16;15;11;12;11;7;11;14;10;5;10;13;8;5;6;6;5;8
78;8;16;14;11;11;10;6;9;14;10;5;10;11;7;5;6;6;5
79;12;8;15;13;10;11;10;5;10;13;11;5;9;10;7;5;6;6
80;7;11;7;13;10;10;11;9;4;10;13;11;4;8;10;7;5;6
81;9;7;10;7;13;10;10;12;9;4;10;13;11;3;8;10;6;5
82;7;8;7;9;6;13;9;10;10;9;4;10;12;10;3;8;10;4
83;4;7;6;5;8;6;14;10;9;10;8;3;10;11;9;3;7;10
84;0;4;7;7;5;7;6;14;10;10;8;6;3;9;9;9;3;7
85;6;0;4;7;7;5;7;5;13;9;9;7;6;2;9;9;8;3
86;8;6;0;4;7;7;4;7;5;13;8;8;5;5;2;6;9;8
87;4;5;6;0;4;7;7;3;8;5;12;6;9;5;5;2;4;8
88;6;4;4;6;0;3;5;6;2;7;5;10;6;7;4;5;2;2
89;7;4;3;4;5;0;2;4;6;2;6;3;9;6;7;4;4;0
90;2;6;4;3;1;4;0;2;3;5;2;6;3;8;5;2;4;4
91;2;1;6;3;4;1;4;0;1;2;4;2;5;3;7;5;2;4
92;1;2;1;2;3;4;1;3;0;1;3;3;1;5;4;6;6;2
93;1;0;1;0;0;3;2;1;3;0;1;2;3;1;5;2;4;6
94;3;1;0;1;0;0;3;2;1;2;0;1;2;3;1;5;2;4
95;2;2;1;0;1;0;0;2;2;1;2;0;1;2;2;1;4;1
96;0;1;1;1;0;1;0;0;2;2;1;2;0;0;2;2;1;4
97;0;0;0;1;1;0;1;0;0;2;2;1;2;0;0;1;1;1
98;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0
99;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0
100 e oltre;0;0;0;0;0;0;0;1;1;0;0;0;0;1;2;2;1;1
Totale;1091;1075;1073;1054;1043;1043;1037;1017;1010;1009;1008;987;969;950;945;942;913;884
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;8;6;4;2;4;8;7;3;3;4;4;4;2;1;0;4;1;1
1;5;8;6;4;2;4;7;7;3;4;4;4;4;2;1;0;4;1
2;5;5;9;7;4;2;4;6;7;3;3;4;4;4;2;1;0;4
3;6;5;5;9;8;4;2;3;8;7;3;3;4;4;4;2;1;0
4;3;5;5;4;9;8;4;2;3;8;7;2;3;4;6;4;2;1
5;3;3;5;5;4;9;7;4;2;3;8;7;2;3;4;6;4;2
6;5;3;3;5;5;4;9;6;4;2;3;8;7;2;4;4;6;4
7;3;5;3;3;5;5;5;7;6;4;2;3;7;7;2;4;4;6
8;8;3;5;3;3;4;5;5;7;6;4;2;3;7;7;2;4;4
9;4;8;3;6;3;3;4;5;5;7;6;4;2;3;7;7;2;4
10;6;4;8;3;6;3;3;4;5;5;7;6;4;2;3;7;7;2
11;6;8;4;7;3;6;2;3;4;5;5;7;6;4;2;3;6;7
12;9;6;8;4;8;3;6;2;3;4;5;5;7;6;4;2;3;6
13;3;9;6;8;3;8;3;6;2;3;5;5;5;7;6;4;2;3
14;7;3;8;6;8;3;8;3;5;2;3;5;5;5;7;6;4;2
15;8;7;3;8;6;8;3;9;3;6;2;3;5;5;5;7;6;4
16;9;8;7;4;8;6;8;3;10;3;6;2;3;5;5;5;7;6
17;6;9;9;7;4;8;6;9;3;10;3;6;2;4;5;5;5;7
18;6;6;9;8;7;4;8;6;8;3;10;3;6;2;4;5;5;5
19;5;7;5;9;8;8;4;8;6;8;4;10;3;6;2;3;5;4
20;4;5;7;5;9;8;7;4;8;6;8;5;10;3;6;2;3;4
21;9;4;5;7;5;9;8;8;4;8;6;8;5;9;3;6;2;3
22;7;9;5;5;7;5;9;8;8;4;9;6;7;4;9;3;6;2
23;5;7;8;6;5;7;6;9;8;8;4;9;6;6;3;9;3;6
24;7;5;7;8;6;4;7;6;9;7;8;4;9;6;5;3;9;3
25;4;7;5;4;7;6;4;6;6;9;8;8;3;8;6;5;3;9
26;10;4;6;5;5;6;5;5;6;6;9;7;8;3;9;6;5;3
27;11;10;4;7;5;5;6;4;5;4;5;9;7;8;2;9;6;5
28;8;10;9;4;7;5;5;6;5;6;4;5;9;7;8;3;8;5
29;7;7;9;7;2;7;5;5;6;5;6;3;5;9;7;7;3;8
30;14;9;7;9;9;2;7;5;5;6;5;8;2;5;9;6;7;3
31;7;13;9;9;10;9;3;6;5;4;6;5;7;2;6;8;6;7
32;11;7;12;9;8;9;9;3;6;2;5;7;6;8;2;6;8;5
33;1;8;7;12;9;8;9;9;3;6;2;4;7;6;7;1;6;6
34;9;1;8;4;12;7;8;8;7;4;6;2;4;7;6;7;1;6
35;8;9;1;8;5;10;6;8;8;6;4;6;2;3;7;6;5;1
36;9;7;10;2;8;6;7;6;7;8;6;4;7;2;3;6;5;5
37;15;8;7;9;1;9;6;7;6;8;8;6;4;7;2;3;6;5
38;13;15;7;7;9;1;10;7;7;6;8;8;6;4;7;2;3;6
39;7;12;15;7;7;10;1;8;7;6;7;8;9;5;4;8;2;3
40;7;9;11;15;7;7;10;0;8;5;6;7;7;9;4;4;8;2
41;5;7;9;11;14;7;7;10;0;9;5;6;8;7;9;4;4;9
42;8;4;7;8;11;14;7;7;10;0;8;5;6;9;7;9;4;4
43;8;9;4;7;7;11;15;7;6;12;1;8;6;6;9;8;9;4
44;5;8;9;4;7;7;11;15;7;7;12;0;8;6;6;8;8;8
45;8;5;7;8;4;6;7;11;15;9;7;12;0;7;6;6;7;8
46;7;8;5;7;8;4;6;7;11;15;9;7;12;0;9;6;6;7
47;5;7;9;5;7;8;4;6;7;11;15;9;7;13;0;9;5;6
48;10;5;7;9;5;7;9;4;7;8;11;14;9;7;13;0;8;4
49;7;11;5;7;9;5;7;8;4;7;8;11;15;9;7;12;0;8
50;8;7;11;5;7;9;5;7;8;4;7;8;9;15;8;7;12;0
51;10;8;6;11;5;7;7;5;7;8;5;7;8;10;14;8;7;12
52;6;10;8;5;11;5;8;7;5;7;8;5;7;8;11;14;9;7
53;5;6;10;8;5;11;5;8;7;5;6;8;5;6;7;11;14;8
54;8;5;6;10;8;5;11;5;7;7;5;6;8;5;7;8;11;14
55;5;9;5;6;10;8;5;9;5;8;7;5;6;8;5;7;7;11
56;7;5;9;4;5;9;8;5;9;5;7;6;5;6;8;5;7;7
57;2;7;5;10;4;5;9;8;5;9;5;6;6;5;6;8;5;7
58;10;2;7;5;9;4;5;9;6;5;9;5;6;6;5;6;8;5
59;4;10;2;7;5;9;3;5;9;6;5;9;5;6;6;5;6;8
60;8;3;10;2;9;4;9;3;5;10;6;5;9;5;7;6;5;6
61;4;8;3;10;2;9;4;9;3;5;10;6;5;8;5;7;7;5
62;3;4;7;3;10;2;9;4;10;4;5;10;6;5;9;5;8;6
63;4;3;4;7;3;11;2;9;4;8;4;5;9;6;5;10;5;7
64;2;4;3;4;7;3;11;2;9;4;8;4;5;8;6;5;10;5
65;6;2;4;3;4;7;3;11;2;8;4;8;5;5;8;6;5;11
66;6;5;2;4;4;4;7;3;11;2;8;4;8;4;5;9;5;5
67;3;6;5;2;4;4;3;7;3;11;2;8;4;8;4;4;9;5
68;3;3;6;5;2;4;4;3;7;4;11;2;8;4;9;4;5;8
69;3;3;3;6;4;2;4;4;3;7;4;11;2;7;4;9;4;5
70;7;3;3;3;6;5;2;4;4;3;6;4;10;2;7;4;9;4
71;3;7;3;3;3;6;5;2;4;4;3;5;4;10;2;7;4;9
72;2;3;7;3;3;3;6;5;2;4;4;3;5;4;10;2;5;4
73;4;2;3;7;3;3;2;6;4;2;4;4;3;5;4;9;2;5
74;6;3;2;3;6;3;3;2;6;4;2;4;4;2;5;4;8;2
75;7;6;3;1;2;6;3;2;2;6;4;2;3;4;2;5;4;8
76;8;7;6;3;1;2;6;3;2;2;6;4;2;3;4;2;5;4
77;4;8;5;6;4;1;2;6;3;2;3;5;3;2;3;4;2;5
78;2;4;8;5;5;4;1;2;6;3;2;3;4;2;2;3;4;2
79;2;1;5;7;4;5;4;1;2;5;4;2;2;4;2;2;3;4
80;0;2;0;3;5;4;5;4;0;2;5;4;2;2;4;2;2;3
81;4;0;1;0;3;5;4;6;4;0;2;5;4;1;2;4;2;2
82;1;3;0;1;0;3;4;4;6;4;0;2;4;4;1;2;4;1
83;1;1;2;0;1;0;3;5;4;6;4;0;2;4;4;1;2;4
84;0;1;1;3;0;0;0;3;5;4;6;3;0;2;2;4;1;2
85;2;0;1;1;3;0;0;0;3;4;3;5;3;0;2;2;4;1
86;4;2;0;1;2;3;0;0;0;3;4;3;3;2;0;0;2;4
87;1;1;2;0;1;2;3;0;0;0;3;3;4;3;2;0;0;2
88;3;1;0;2;0;0;2;2;0;0;0;2;3;3;3;2;0;0
89;2;3;1;0;1;0;0;2;2;0;0;0;2;3;3;3;1;0
90;0;2;3;1;0;0;0;0;1;2;0;0;0;1;3;0;3;1
91;0;0;2;3;1;0;0;0;0;0;1;0;0;0;1;3;0;3
92;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;1;4;0
93;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;1;4
94;1;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;1
95;0;1;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0
96;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0
97;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;522;519;510;500;498;498;497;489;486;488;493;486;479;467;469;463;455;445
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;3;3;4;2;2;2;5;3;2;5;5;2;0;3;5;4;1;0
