"Popolazione per età, vista per singola area - Comune: 079017 - Caraffa di Catanzaro"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Caraffa di Catanzaro"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;14;17;22;14;14;12;17;14;14;12;8;12;12;10;12;13;12;13
1;15;14;17;22;13;14;13;17;13;15;14;9;12;15;10;13;14;13
2;18;15;15;16;21;13;15;13;17;14;15;14;9;13;15;11;13;14
3;18;19;16;15;16;22;14;13;13;16;14;15;13;10;13;14;13;11
4;15;18;20;17;15;15;21;12;15;15;16;14;13;12;8;13;15;13
5;23;16;19;21;17;16;16;21;12;13;16;16;14;13;12;8;12;13
6;22;22;16;17;20;16;14;16;21;13;13;18;16;14;13;11;8;11
7;32;22;23;17;17;18;17;14;16;21;12;14;17;16;14;13;12;8
8;20;31;22;22;18;17;18;17;16;16;21;13;14;17;15;13;14;12
9;20;20;31;22;22;18;15;18;20;16;16;22;13;12;16;15;13;13
10;24;20;20;31;22;22;18;14;18;18;16;13;22;14;12;16;15;12
11;24;23;20;20;30;22;22;18;15;17;18;15;13;23;14;12;15;13
12;31;24;22;20;20;31;22;20;16;15;17;18;15;11;22;13;12;14
13;20;31;24;22;20;23;32;23;20;17;14;17;16;15;12;23;13;13
14;31;21;31;24;22;21;23;32;23;20;16;14;17;18;15;12;22;13
15;22;31;22;30;25;22;21;23;32;21;20;17;14;17;17;15;12;22
16;33;22;32;22;30;25;25;23;23;32;19;20;17;14;17;16;15;12
17;39;33;22;32;21;29;29;25;23;23;32;20;20;17;14;17;16;13
18;30;39;33;22;32;21;29;27;23;23;26;30;21;21;17;15;16;16
19;30;30;38;33;23;34;21;29;27;23;23;25;28;19;21;19;14;16
20;35;30;30;38;34;23;34;21;31;27;22;24;23;29;21;22;17;21
21;35;35;31;30;39;34;27;34;24;28;27;23;25;23;29;19;21;17
22;35;35;36;31;31;40;34;26;33;23;27;29;23;26;22;31;18;25
23;35;33;35;35;29;29;41;36;24;34;23;26;25;23;27;22;31;20
24;31;33;33;33;34;26;29;42;36;23;34;25;26;28;25;23;21;32
25;31;30;36;33;33;36;26;27;41;33;25;29;23;28;26;23;22;23
26;31;28;28;38;34;29;34;21;26;39;34;23;26;23;27;27;25;23
27;25;29;33;29;37;35;27;30;22;23;36;37;24;27;22;24;24;24
28;36;22;31;33;30;36;32;25;32;27;26;34;36;22;28;21;25;22
29;35;36;26;31;33;32;34;28;24;34;27;26;34;34;23;23;20;23
30;34;34;38;27;30;31;31;33;26;26;33;25;22;31;33;24;25;19
31;27;31;35;37;27;28;30;28;28;25;22;31;27;23;31;32;22;22
32;33;26;29;32;33;26;25;29;23;26;22;23;30;24;23;28;32;19
33;20;31;27;26;30;32;25;25;26;24;24;19;20;29;23;22;26;33
34;31;20;31;29;27;27;27;22;26;25;23;23;18;21;28;21;22;22
35;24;28;24;33;33;24;25;28;22;25;25;24;21;17;20;29;19;20
36;26;22;28;25;31;31;26;24;32;20;24;24;23;25;17;22;27;19
37;27;25;23;30;23;30;29;28;25;32;19;28;20;22;25;19;20;22
38;41;26;24;20;29;25;30;28;30;26;30;19;27;17;22;24;19;20
39;37;38;28;24;21;28;26;30;29;29;23;30;20;27;14;21;23;20
40;35;35;39;29;23;22;28;25;31;30;29;22;29;20;27;16;21;25
41;30;34;36;40;28;25;21;27;25;30;31;31;22;29;19;28;17;22
42;29;29;36;37;38;28;26;18;28;26;30;31;32;23;28;18;24;17
43;21;29;29;36;36;38;33;30;21;30;26;33;32;31;21;27;19;22
44;31;21;29;30;36;39;38;33;30;23;30;27;30;33;31;20;27;17
45;35;30;22;29;30;38;39;38;33;33;21;30;28;28;33;31;20;26
46;29;35;32;22;29;30;37;39;37;34;33;20;31;28;28;31;32;22
47;25;29;37;32;22;30;30;35;39;39;35;34;20;30;27;28;28;32
48;31;24;31;36;33;22;32;31;34;38;37;35;33;19;29;26;27;28
49;26;31;24;31;36;33;22;32;31;34;36;38;35;31;19;29;27;27
50;24;25;32;24;31;34;33;22;33;30;35;35;37;35;31;20;30;26
51;22;21;25;26;24;31;35;33;21;31;31;35;36;36;35;31;21;31
52;23;22;22;25;26;24;31;35;34;22;31;31;34;36;36;32;31;21
53;29;22;24;22;26;26;24;31;35;33;21;30;32;33;36;37;29;30
54;23;29;22;24;22;26;25;26;31;34;31;19;29;33;33;36;35;32
55;22;23;29;24;24;21;26;25;26;30;33;31;19;30;32;33;36;36
56;14;22;23;29;25;23;21;26;25;26;30;33;30;19;30;32;34;36
57;23;13;23;23;30;25;25;21;26;23;26;30;33;31;19;32;32;34
58;7;24;11;23;23;26;25;24;21;26;23;25;30;34;29;19;31;31
59;22;7;25;11;25;23;27;27;21;21;28;25;25;30;32;29;20;30
60;9;22;6;23;11;27;24;27;27;21;22;28;25;24;29;32;29;20
61;24;8;23;6;23;11;28;25;25;24;21;21;29;22;23;28;33;29
62;17;23;8;23;6;23;11;28;25;24;24;20;20;29;23;22;28;34
63;14;16;23;8;24;6;21;11;28;25;25;23;20;20;29;23;22;28
64;26;15;16;23;8;24;6;21;10;27;25;23;22;20;20;29;24;22
65;14;27;14;15;24;8;23;6;23;10;26;25;23;22;20;19;29;24
66;21;13;27;15;14;23;10;24;7;20;10;26;25;23;22;20;19;28
67;19;20;14;27;14;14;23;10;22;6;18;10;26;24;23;22;20;19
68;28;19;21;16;27;14;15;23;10;22;7;18;9;26;24;23;22;20
69;21;25;18;20;16;28;14;16;21;10;20;6;17;9;24;25;24;22
70;25;21;25;19;20;14;28;14;16;21;10;18;6;16;9;21;24;23
71;27;24;21;27;19;19;12;25;14;16;21;10;16;6;16;7;21;24
72;19;29;22;21;27;18;19;11;25;14;14;22;11;16;6;16;7;21
73;17;18;29;22;20;27;19;17;12;22;14;14;23;10;15;6;16;7
74;19;17;19;29;22;19;27;19;18;12;21;13;14;23;10;16;6;16
75;17;17;17;19;30;23;19;27;17;18;12;21;10;14;22;10;16;6
76;21;16;17;17;19;31;22;20;28;17;18;12;19;10;14;22;9;16
77;17;22;15;18;17;18;28;22;18;26;16;18;12;18;10;14;21;9
78;11;17;20;15;18;16;18;28;21;17;25;14;18;12;17;10;13;20
79;18;10;17;20;14;16;15;17;26;19;17;25;14;18;11;17;10;12
80;12;16;8;16;20;14;18;13;16;24;19;17;24;13;16;9;14;10
81;13;11;16;7;16;19;13;16;13;15;24;20;17;24;13;14;9;14
82;7;13;12;11;8;16;19;12;15;12;15;24;19;16;23;12;13;8
83;4;7;12;11;10;8;15;16;12;15;12;12;23;17;16;22;9;13
84;5;4;6;10;10;8;6;12;17;10;13;12;11;18;13;15;19;9
85;5;5;4;5;6;10;5;5;12;17;10;12;10;11;17;12;13;17
86;9;5;4;2;5;5;10;4;6;11;16;9;11;10;11;17;12;12
87;3;9;3;3;1;5;6;9;5;6;9;11;7;11;9;8;17;11
88;6;2;5;3;3;1;5;5;6;4;5;8;11;6;9;5;5;15
89;4;6;1;3;3;3;1;5;4;4;4;4;8;9;6;8;5;4
90;1;4;6;1;3;3;3;1;4;5;4;2;3;7;8;4;8;5
91;4;1;4;6;1;2;3;2;1;4;5;3;2;3;7;5;3;6
92;2;3;0;3;4;1;0;1;2;0;3;4;2;2;1;6;4;3
93;0;0;2;0;1;4;0;0;1;1;0;3;3;2;0;1;4;4
94;1;0;0;1;0;1;4;0;1;1;1;0;2;3;1;0;1;4
95;0;0;0;0;1;0;1;2;0;0;1;1;0;2;2;1;0;1
96;0;0;0;0;0;0;0;0;2;0;0;1;1;0;2;2;1;0
97;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;1;2;1
98;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;2
99;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;2071;2030;2077;2071;2068;2056;2063;2027;2030;2004;1977;1963;1920;1907;1871;1838;1808;1795
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;7;7;10;6;6;5;8;6;7;6;2;8;5;7;6;6;7;5
1;9;8;7;10;5;7;7;9;6;8;8;2;8;6;7;7;7;8
2;10;9;8;7;9;5;7;7;9;6;8;8;2;8;7;8;7;7
3;7;11;10;8;7;9;5;6;7;9;6;8;8;2;8;7;8;6
4;8;7;12;10;8;6;10;5;7;7;9;6;6;7;2;8;7;8
5;10;9;7;13;10;9;6;10;5;7;8;9;6;6;7;2;7;6
6;9;9;9;5;12;10;8;6;10;5;7;9;9;6;6;6;2;7
7;15;9;9;9;5;10;10;7;7;10;4;7;9;9;6;6;6;2
8;12;15;9;8;10;5;10;10;9;7;10;5;7;9;9;6;6;6
9;13;12;15;9;8;10;4;10;11;9;7;11;5;6;8;9;6;5
10;16;13;12;15;9;8;10;4;10;11;9;6;11;5;6;8;9;5
11;14;15;13;12;14;9;8;10;5;9;11;9;6;11;5;6;7;7
12;20;14;15;13;12;15;9;8;8;5;9;11;9;6;10;5;6;6
13;11;20;14;15;13;12;15;10;8;9;4;9;11;9;6;11;5;7
14;15;11;20;14;15;14;12;15;10;8;8;4;9;11;9;6;11;5
