"Popolazione per età, vista per singola area - Comune: 079043 - Decollatura"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Decollatura"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;22;26;23;26;23;25;24;23;17;28;27;16;23;21;14;21;22;23
1;26;22;27;23;27;24;25;23;23;18;28;29;14;22;23;19;23;26
2;30;25;22;26;23;27;26;23;23;22;17;27;29;15;22;23;19;23
3;25;29;26;21;27;23;27;25;23;21;24;18;25;31;15;21;24;21
4;22;26;27;25;21;27;23;26;24;24;24;24;19;25;28;15;19;19
5;27;23;26;27;25;21;28;22;26;24;23;25;24;19;26;26;15;19
6;40;27;23;25;28;25;22;28;22;26;25;24;24;23;20;27;26;18
7;32;38;27;23;26;26;26;22;27;23;27;26;25;24;25;19;27;26
8;34;32;38;27;23;26;26;25;21;26;24;27;24;25;24;25;21;26
9;31;37;32;38;25;24;26;26;25;22;26;23;26;24;25;23;24;22
10;39;31;37;32;37;29;24;26;26;25;22;26;23;27;25;24;24;24
11;44;39;29;37;33;35;29;24;26;26;25;22;25;23;27;24;24;24
12;26;46;40;30;35;33;35;29;25;26;26;26;23;25;25;28;23;24
13;64;27;46;40;30;35;33;35;29;23;26;25;26;23;25;25;29;24
14;28;65;28;46;40;31;35;33;36;29;23;26;25;26;23;26;25;29
15;40;28;64;28;47;39;32;35;33;35;29;23;26;25;26;23;27;26
16;36;39;28;64;29;47;40;32;36;33;35;27;23;27;25;26;24;27
17;59;36;38;28;64;29;46;40;32;36;33;35;27;22;27;25;26;23
18;33;59;33;37;28;62;32;46;41;32;35;33;34;26;22;33;30;27
19;40;32;60;31;37;29;62;32;46;41;32;33;33;34;27;28;34;30
20;42;40;32;55;33;35;29;62;31;50;41;30;32;33;32;28;30;33
21;38;42;41;31;55;34;34;31;61;30;50;40;32;31;33;36;29;26
22;48;36;42;38;31;56;35;34;32;62;31;45;40;31;31;34;35;27
23;45;47;32;41;37;32;56;35;36;34;63;29;48;37;31;30;33;33
24;34;43;47;33;41;37;32;56;36;37;32;62;28;49;36;30;31;34
25;45;33;43;48;33;39;38;29;56;37;36;31;64;29;47;36;34;31
26;44;42;35;41;49;33;42;37;26;54;36;33;33;65;28;43;36;38
27;39;42;43;35;42;47;34;42;38;26;51;35;35;30;62;29;43;37
28;48;37;43;44;32;41;44;34;39;39;25;51;35;37;29;60;30;41
29;42;49;34;39;48;31;43;40;32;38;37;26;50;34;35;28;60;30
30;46;41;51;35;38;46;31;41;42;33;39;36;23;47;33;36;31;59
31;58;46;38;49;36;35;44;30;39;44;33;37;34;23;46;32;37;31
32;47;58;44;37;40;36;36;42;30;37;43;31;36;33;22;45;35;39
33;53;49;56;42;34;41;37;33;44;29;30;41;30;37;33;22;44;33
34;43;51;44;57;39;35;37;40;32;41;29;30;42;29;35;35;24;44
35;66;42;47;41;54;36;35;39;41;33;43;26;29;42;32;37;35;25
36;57;64;43;48;40;51;37;33;39;42;31;41;25;27;41;33;37;37
37;64;56;65;39;48;42;50;36;34;39;43;32;42;27;29;41;33;35
38;36;62;58;63;43;47;41;48;37;34;37;44;32;43;31;29;37;33
39;51;33;63;58;65;41;51;40;47;38;33;41;43;33;41;32;31;36
40;65;51;33;62;59;64;41;51;42;47;38;33;42;42;33;41;32;30
41;48;64;51;32;62;58;65;42;53;40;49;40;32;42;44;34;41;31
42;55;48;63;52;31;61;59;65;43;56;39;49;38;33;41;42;33;40
43;35;56;48;63;52;31;62;61;64;43;54;39;50;40;33;40;40;33
44;55;35;55;48;61;51;31;61;59;61;43;50;37;49;41;34;41;40
45;38;56;35;56;47;62;52;31;61;60;61;44;51;37;47;39;34;40
46;54;37;56;35;57;48;63;52;31;60;59;61;43;52;35;46;38;34
47;45;53;38;55;34;57;48;63;50;32;61;59;60;43;50;36;46;37
48;40;44;53;38;59;34;57;51;63;51;31;59;59;60;42;50;36;46
49;38;40;45;52;39;57;35;56;55;63;52;31;58;62;61;41;50;38
50;51;37;40;46;53;39;58;34;55;55;63;53;31;58;61;60;40;47
51;28;54;38;39;45;51;43;55;35;57;55;63;52;30;59;60;61;40
52;37;28;54;38;39;45;52;42;55;35;58;55;66;52;30;59;59;60
53;48;37;27;53;38;39;45;53;42;55;35;57;54;66;52;29;59;60
54;49;45;36;27;54;38;40;45;50;42;55;34;57;54;65;53;29;58
55;39;50;46;36;31;55;37;41;46;50;40;54;34;57;54;64;52;31
56;25;40;49;46;36;31;54;37;40;46;50;40;54;32;54;54;63;50
57;43;25;40;48;47;36;31;52;37;41;47;50;40;55;32;54;53;62
58;38;44;22;38;48;47;36;33;53;37;41;48;50;39;55;32;53;52
59;41;38;44;26;38;46;46;36;32;52;38;41;47;48;39;54;31;52
60;32;40;36;45;24;36;47;45;37;32;52;38;41;47;48;39;54;31
61;30;32;40;35;44;23;35;49;45;37;32;52;38;44;47;48;40;53
62;41;29;32;40;35;44;24;35;47;45;37;32;52;35;41;46;48;40
