"Popolazione per età, vista per singola area - Comune: 079060 - Gizzeria"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Gizzeria"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;36;42;42;38;32;27;49;58;52;54;48;40;48;61;58;55;56;43
1;47;38;41;41;38;31;26;50;54;54;52;48;43;51;63;58;59;55
2;33;47;37;40;42;37;37;32;48;56;51;51;45;42;50;65;65;58
3;44;26;46;38;39;43;37;40;34;49;54;53;52;48;42;50;67;62
4;37;41;26;45;39;39;44;41;40;36;49;57;57;51;46;44;52;62
5;29;38;41;25;44;40;39;45;40;42;38;48;54;55;51;44;49;51
6;43;30;38;39;28;43;33;41;44;42;44;39;47;54;52;52;45;55
7;37;43;33;39;43;27;46;36;41;46;43;48;37;48;53;53;53;46
8;37;34;41;34;40;42;32;47;37;39;45;43;45;38;51;57;55;55
9;39;36;32;41;33;41;44;33;50;39;38;43;43;47;36;53;58;54
10;60;39;39;30;42;34;40;45;32;51;38;40;38;44;45;38;54;58
11;49;58;43;38;35;43;33;41;47;33;51;37;43;38;45;45;40;53
12;35;48;58;42;40;34;46;35;42;49;35;52;39;44;41;45;43;39
13;64;36;50;56;44;43;41;45;36;44;51;39;49;40;42;42;49;43
14;46;62;34;49;55;47;45;46;49;42;45;52;39;50;41;42;42;48
15;54;42;64;36;53;53;48;46;46;51;40;44;51;41;51;40;45;43
16;59;53;48;63;40;53;55;51;44;47;52;40;45;52;40;53;43;45
17;48;52;52;48;64;40;56;57;50;48;50;51;39;49;52;42;53;41
18;73;50;57;55;47;61;44;61;57;51;48;50;50;44;49;54;45;57
19;60;73;51;60;55;48;62;44;59;63;50;50;49;55;48;52;67;42
20;69;56;75;56;59;55;51;65;48;58;69;51;48;52;60;53;55;63
21;65;71;55;68;57;57;59;58;65;53;57;71;52;50;53;61;57;55
22;51;60;71;51;70;55;57;60;57;72;58;60;72;52;54;53;67;59
23;54;52;61;73;59;71;53;63;60;64;72;59;60;75;56;53;64;67
24;53;52;48;62;74;58;83;57;66;64;62;77;56;59;80;59;61;61
25;59;54;56;48;65;74;59;87;57;68;65;63;78;60;64;85;62;60
26;56;64;56;56;50;64;75;67;89;59;66;69;60;80;62;62;88;66
27;49;57;69;48;56;47;70;80;71;95;71;67;72;58;82;59;67;88
28;61;52;59;61;46;59;48;78;84;73;92;77;63;74;61;85;68;69
29;60;59;53;55;61;41;62;50;77;88;71;94;78;67;71;71;91;67
30;55;56;61;57;57;61;50;59;58;79;85;73;98;77;66;69;82;80
31;52;52;58;56;60;57;65;55;65;59;77;86;73;97;83;69;72;82
32;55;51;45;62;56;64;55;73;56;63;58;78;86;69;99;84;72;68
33;51;57;54;47;67;57;69;57;74;63;64;64;83;88;69;98;87;73
34;59;56;58;53;47;66;55;75;61;86;68;72;66;85;93;73;105;76
35;50;64;49;56;55;50;66;61;71;67;85;65;68;70;86;95;76;102
36;49;50;63;50;58;60;48;71;69;72;68;86;67;68;73;83;93;73
37;53;44;50;62;47;57;61;54;67;74;72;70;85;68;70;74;87;87
38;59;49;44;56;63;51;54;61;54;70;77;72;68;86;72;75;74;88
39;68;59;49;50;53;61;53;61;64;52;75;77;70;69;91;74;79;69
40;49;68;59;49;43;52;66;51;61;61;51;79;76;71;73;91;75;76
41;59;48;66;59;53;42;55;68;51;67;59;52;78;79;72;73;95;72
42;48;60;46;68;52;51;49;60;69;57;68;61;57;83;80;72;71;93
43;37;48;58;48;67;52;57;47;58;73;57;65;60;62;82;77;72;69
44;62;40;48;60;50;68;60;63;49;59;73;60;59;61;68;83;80;69
45;50;63;43;52;61;53;66;60;63;49;59;74;58;63;62;62;82;79
46;60;52;65;47;51;55;53;69;60;65;48;60;75;61;68;64;62;81
47;54;59;50;65;46;50;58;52;70;60;63;48;62;75;62;70;63;62
48;52;56;58;50;65;49;54;55;52;73;61;67;49;63;76;62;68;62
49;39;52;54;58;52;66;52;55;55;59;76;64;66;52;63;77;61;66
50;42;40;52;55;60;52;65;52;57;57;59;77;65;70;54;63;79;59
51;61;42;37;52;59;57;53;67;52;52;58;63;75;65;71;54;65;77
52;44;60;42;36;53;57;60;56;69;49;48;59;63;75;70;71;57;64
53;55;44;58;40;36;54;58;61;57;70;49;50;52;62;73;72;74;57
54;45;54;40;58;43;37;56;58;61;67;73;52;50;54;62;77;67;74
55;46;46;49;40;58;44;39;56;56;62;66;74;54;48;57;64;79;66
56;33;48;48;48;40;54;41;40;57;54;63;66;77;55;52;58;62;75
57;32;34;49;48;52;42;56;41;42;57;55;65;63;75;58;53;59;60
58;45;29;35;49;47;53;41;56;41;43;57;55;63;66;77;56;52;59
59;36;47;27;33;52;43;56;42;54;38;43;59;56;64;67;74;53;49
60;20;38;45;26;33;52;43;55;43;53;37;43;58;56;64;65;76;53
61;45;20;38;43;27;33;53;43;56;43;51;37;44;58;59;63;66;74
62;25;46;21;37;43;27;33;49;45;53;40;51;38;43;60;58;61;70
