"Popolazione per età, vista per singola area - Comune: 080073 - San Lorenzo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: San Lorenzo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;28;23;21;19;25;17;18;15;21;21;12;21;14;12;12;17;15;22
1;30;27;24;22;19;28;18;19;14;17;20;11;20;17;11;14;16;15
2;40;27;27;24;22;19;24;17;19;14;15;22;12;17;19;12;12;16
3;23;38;26;27;25;21;18;24;18;19;13;15;21;14;18;17;12;13
4;40;21;35;26;26;25;17;19;23;16;19;13;16;21;15;18;16;13
5;22;38;18;35;27;27;22;17;19;22;16;17;13;14;21;14;18;18
6;31;20;37;18;34;27;23;20;17;19;22;18;16;13;14;21;13;15
7;35;32;17;35;18;34;23;23;21;17;19;22;18;17;12;14;21;15
8;31;33;33;17;36;17;30;22;24;20;16;19;21;19;18;13;13;20
9;31;30;31;33;15;38;19;33;23;24;19;15;18;24;19;16;13;14
10;26;30;30;31;35;17;37;22;32;23;28;19;18;19;23;19;15;12
11;33;26;29;32;31;35;14;38;22;31;24;26;18;19;19;23;19;15
12;29;32;26;31;31;31;36;15;37;22;33;23;28;17;19;19;21;19
13;43;31;30;25;31;29;31;36;18;36;23;32;21;29;17;19;20;21
14;30;40;31;27;26;32;29;36;36;19;36;23;30;23;30;17;19;21
15;38;29;40;31;28;25;33;27;37;36;19;34;23;28;23;30;19;19
16;33;38;29;38;29;28;26;31;29;35;37;18;34;23;27;23;29;20
17;42;32;39;30;41;29;29;26;31;29;36;36;17;35;24;25;23;29
18;27;40;34;40;32;40;30;29;28;33;29;37;37;16;36;27;25;23
19;39;24;42;35;39;31;38;30;31;29;31;27;34;42;15;37;25;29
20;35;39;23;38;32;39;31;37;31;32;25;28;26;33;41;15;36;23
21;42;34;37;23;37;28;39;29;39;30;33;24;27;23;32;42;13;35
22;45;41;33;41;22;36;25;37;31;39;29;32;24;27;24;29;41;15
23;39;40;41;32;42;21;34;26;36;29;37;27;29;25;30;23;29;40
24;50;37;45;41;32;39;19;35;29;33;30;35;26;29;24;30;26;29
25;42;50;42;43;38;30;38;22;34;29;32;26;34;29;28;24;28;25
26;49;40;52;38;40;35;32;35;19;30;29;30;25;31;27;27;23;28
27;39;45;46;49;34;33;31;34;37;21;33;25;27;26;32;27;26;23
28;54;34;45;38;48;29;36;29;32;36;22;30;26;24;30;29;24;25
29;46;53;33;45;37;47;25;35;31;30;33;22;30;26;23;31;27;24
30;50;48;55;31;42;38;50;23;37;28;29;34;21;29;29;22;28;24
31;47;47;43;52;27;41;38;47;23;35;30;26;38;21;29;29;23;28
32;45;43;43;40;48;26;35;34;42;22;34;26;25;38;25;30;28;20
33;41;43;42;39;37;43;27;35;29;39;22;31;24;26;35;24;29;25
34;59;42;39;41;37;34;44;27;37;30;32;19;29;26;24;37;24;30
35;54;56;41;39;34;33;32;44;25;36;32;30;20;26;25;23;34;26
36;50;51;51;38;36;40;34;34;45;23;39;30;32;19;24;24;23;33
37;53;48;43;49;35;35;39;35;29;46;23;37;28;31;21;22;22;25
38;48;52;44;43;47;32;36;38;40;29;46;21;40;28;28;22;21;26
39;49;46;52;43;45;49;34;40;38;40;28;45;22;38;28;30;22;22
40;45;43;48;50;42;42;49;35;43;39;42;29;43;22;40;30;28;20
41;46;44;42;46;49;43;38;52;38;44;37;42;26;42;22;40;28;29
42;50;45;48;41;44;48;45;36;51;36;45;40;41;25;42;21;39;26
43;39;50;45;44;39;41;46;40;36;54;36;47;40;45;26;43;22;39
44;46;37;48;45;43;40;39;47;42;34;54;36;44;38;44;26;42;22
45;46;42;38;47;42;39;40;37;45;40;34;53;37;45;40;42;27;44
46;30;43;43;35;48;39;39;38;39;45;41;34;54;36;46;42;38;28
47;38;30;45;42;34;43;41;37;36;40;46;40;35;53;39;44;41;38
48;37;37;32;45;40;34;42;37;37;37;39;44;38;35;54;39;45;43
49;34;37;37;30;44;42;33;43;37;33;38;39;47;38;35;54;36;46
50;38;34;37;37;31;44;41;32;41;37;33;39;40;48;38;34;51;36
51;39;39;33;37;37;30;40;37;34;41;38;35;40;40;46;39;33;51
52;36;36;39;34;38;36;29;38;38;32;41;38;36;39;40;46;40;31
53;46;35;35;40;34;36;36;30;38;36;32;42;34;34;40;40;43;38
54;41;46;34;33;40;31;34;34;31;37;36;32;42;34;35;41;36;46
55;41;39;48;34;33;39;30;35;33;28;35;35;32;47;33;33;38;36
56;20;37;38;47;34;33;40;30;34;33;28;36;36;28;45;34;33;40
57;23;24;37;39;48;33;32;41;30;33;32;26;36;36;27;45;32;33
58;31;23;24;36;39;48;34;31;37;29;32;31;25;35;36;25;47;32
59;26;32;21;24;35;39;46;33;30;36;29;33;31;28;35;33;25;42
60;21;26;32;24;24;34;38;43;31;29;35;30;32;31;28;36;32;28
61;41;22;26;32;24;23;35;40;43;30;29;35;29;32;31;28;36;35
62;39;41;21;26;32;24;22;35;39;43;30;29;35;28;29;31;29;35
63;44;39;39;21;26;30;24;23;34;39;42;30;29;35;28;28;32;28
64;34;42;37;39;20;26;30;23;23;34;38;40;30;29;35;28;27;33
65;45;35;42;36;38;20;26;27;24;23;33;39;40;29;29;37;25;26
66;49;45;34;41;35;36;19;26;27;22;22;33;37;42;29;30;36;25
67;38;50;45;34;39;34;35;20;24;28;22;21;33;38;40;29;31;36
68;43;37;48;45;32;39;34;35;21;23;29;21;23;35;39;41;29;29
69;46;41;35;46;39;32;39;32;35;21;23;31;22;23;35;38;41;28
70;49;44;42;34;44;38;32;36;29;34;21;22;31;22;23;35;36;40
71;40;48;42;42;34;41;37;31;36;29;34;21;22;31;20;23;35;34
72;38;38;46;40;40;34;40;38;31;36;26;33;20;21;31;20;23;35
73;33;38;36;46;37;38;32;38;35;30;35;26;33;21;21;30;20;23
74;41;30;37;37;47;35;36;32;38;35;29;35;26;31;21;21;30;21
75;42;38;25;31;37;47;35;32;32;37;32;27;34;26;32;18;22;29
76;33;40;37;25;31;36;46;33;32;31;35;31;24;33;26;32;18;21
77;29;31;36;34;22;32;33;44;32;31;30;35;31;24;32;25;31;18
78;30;28;31;35;34;21;29;30;44;31;30;30;33;28;23;33;25;30
79;32;29;24;29;34;32;18;28;29;42;31;29;31;31;28;20;31;27
80;23;32;26;24;27;32;28;16;29;29;37;30;27;30;28;27;19;32
81;28;23;28;23;23;26;30;25;16;30;26;37;28;27;29;27;28;19
82;20;27;19;25;19;22;24;28;23;15;29;23;34;24;25;27;27;23
83;12;19;23;18;22;21;20;20;27;22;14;26;23;34;24;23;26;25
84;18;13;19;19;15;21;19;17;19;27;19;14;25;19;34;22;20;26
85;17;14;13;18;20;14;17;20;18;20;26;14;13;25;21;33;21;19
86;24;12;11;10;17;15;13;15;16;18;17;23;12;12;22;19;29;18
87;14;20;9;11;9;14;15;13;15;16;17;17;21;13;10;22;17;27
88;13;13;19;7;8;5;15;12;11;13;14;13;18;18;11;12;18;15
89;22;12;12;18;6;8;4;16;11;11;9;12;11;15;15;10;12;17
90;7;15;12;11;15;6;5;3;14;13;10;8;12;9;11;13;9;10
91;5;6;11;10;8;11;4;5;2;12;12;10;7;10;7;11;11;6
92;4;4;7;9;9;6;8;3;3;1;9;11;8;7;8;5;8;8
93;7;4;4;6;8;4;4;7;3;3;1;7;10;8;2;8;5;7
94;7;5;2;1;5;4;2;4;6;2;2;1;6;6;7;2;6;5
95;3;5;2;1;1;4;2;3;2;5;2;2;1;7;4;3;0;5
96;1;2;2;2;1;1;2;1;2;2;4;1;2;0;5;3;3;0
97;0;1;2;1;0;1;1;2;1;1;2;3;0;0;0;4;1;3
98;0;0;1;2;1;0;1;1;0;1;1;2;1;0;0;0;4;1
99;0;0;0;0;2;0;0;1;0;0;1;1;2;1;0;0;0;4
100 e oltre;1;0;0;0;0;0;0;0;0;0;0;0;2;3;4;3;1;1
Totale;3333;3222;3158;3078;2999;2905;2822;2776;2771;2732;2691;2630;2597;2580;2561;2543;2469;2467
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;13;14;9;7;12;8;11;8;11;7;7;8;6;4;7;7;8;10
1;9;13;15;9;7;14;8;10;8;8;7;7;7;8;3;8;7;8
2;22;8;12;15;9;7;11;8;11;8;6;8;8;7;8;5;7;7
3;10;21;8;12;14;10;6;12;9;10;8;6;8;10;7;7;6;8
4;20;9;21;8;12;14;9;7;12;8;10;8;7;8;11;7;6;7
5;16;19;9;21;9;13;11;9;7;11;8;9;8;5;8;10;7;8
6;14;14;18;9;21;9;10;11;8;7;11;7;8;8;5;8;9;6
7;19;14;12;17;9;21;7;10;12;8;7;11;7;9;7;5;8;11
8;12;17;14;12;18;8;18;6;11;11;7;7;10;8;10;7;5;8
9;20;12;15;14;11;20;10;18;7;11;11;7;7;12;8;10;7;6
10;15;20;13;15;15;12;20;12;17;7;13;11;8;8;12;8;9;7
11;16;15;20;15;15;15;8;21;12;17;8;13;11;8;8;12;8;9
12;14;15;15;20;15;15;16;9;20;12;18;7;13;10;8;8;10;8
13;21;16;13;14;20;15;16;15;10;20;12;17;6;14;10;8;8;10
14;13;19;16;11;13;20;15;21;15;10;20;12;16;8;13;10;8;9
15;16;13;20;16;12;12;20;15;21;15;11;19;12;15;8;13;11;8
16;18;16;13;18;14;12;13;18;17;20;15;11;19;12;14;8;12;12
17;22;18;18;13;21;14;12;14;18;17;21;15;10;20;12;13;8;12
18;12;22;19;18;13;21;14;13;16;20;18;22;16;9;21;13;14;8
19;19;11;25;19;18;13;21;15;13;15;19;16;21;18;8;22;11;16
20;19;18;11;22;17;18;13;18;16;14;12;16;16;19;17;8;20;11
21;18;19;17;11;21;15;18;13;20;16;15;11;16;13;18;18;7;19
22;21;18;19;19;11;21;13;17;14;20;16;14;11;16;14;16;18;8
23;22;18;20;19;21;10;19;12;17;14;21;16;12;13;18;13;15;17
24;20;21;23;19;19;18;9;19;12;16;14;19;15;10;13;18;14;17
25;25;20;24;22;16;17;17;10;16;13;15;13;19;16;10;13;16;14
26;27;22;23;21;20;14;18;17;9;15;14;12;12;17;15;11;13;15
27;22;23;29;20;19;16;14;18;19;11;17;12;13;12;16;16;10;13
28;31;18;25;21;20;15;17;11;16;19;12;14;12;13;13;14;13;9
29;26;29;18;28;20;19;13;17;13;16;17;12;13;14;9;13;13;13
30;28;26;33;18;26;20;19;13;17;12;15;16;11;13;16;9;11;12
31;27;27;26;29;13;24;21;18;14;16;13;15;19;12;13;16;9;12
32;26;24;25;24;28;14;20;22;16;13;16;11;13;21;16;13;16;9
