"Popolazione per età, vista per singola area - Comune: 080079 - Sant'Agata del Bianco"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sant'Agata del Bianco"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4;6;9;6;6;5;8;5;5;1;11;6;3;5;3;3;7;2
1;7;3;6;9;8;6;5;7;5;5;1;11;6;3;5;3;3;7
2;13;6;3;6;9;9;6;5;7;5;5;1;9;6;3;5;3;3
3;5;14;6;3;6;9;9;6;5;7;5;5;1;8;6;3;5;3
4;7;7;15;6;4;6;9;9;6;5;7;5;5;1;8;6;4;5
5;5;6;7;15;6;4;6;9;9;6;5;7;4;5;1;11;6;4
6;9;5;6;7;14;6;4;6;9;9;6;5;6;4;5;2;12;6
7;11;8;5;6;7;14;6;4;6;9;9;6;3;6;4;5;2;11
8;8;11;8;5;6;5;14;6;4;6;9;8;6;3;6;4;5;2
9;13;8;9;8;5;6;5;14;6;4;6;9;6;4;3;6;4;5
10;11;13;8;9;8;5;6;5;14;6;4;6;9;6;4;4;6;4
11;8;11;12;8;9;7;5;6;5;14;6;4;6;9;6;5;4;6
12;9;8;10;12;8;9;7;6;6;5;14;6;4;6;8;6;5;4
13;15;9;8;11;13;8;9;7;6;7;5;14;6;4;6;8;6;5
14;5;14;9;8;11;13;8;9;7;6;7;5;14;6;4;6;7;6
15;8;5;14;9;8;11;13;8;9;7;6;6;5;14;6;4;6;7
16;9;9;5;14;10;8;11;13;8;9;7;6;6;5;14;7;4;6
17;12;9;9;5;14;10;8;11;13;8;9;7;6;5;4;14;7;4
18;5;12;9;9;5;14;10;6;12;13;8;8;7;6;5;4;14;7
19;3;5;10;9;9;5;14;7;7;11;13;8;8;6;5;5;4;14
20;13;4;5;10;8;8;8;15;9;8;11;13;8;8;5;5;5;4
21;7;14;4;5;12;8;9;8;16;7;8;11;13;8;8;6;5;5
22;6;7;14;4;4;11;10;6;6;18;5;9;12;13;7;9;6;5
23;8;6;8;14;3;4;12;11;6;6;14;5;9;11;13;8;9;6
24;4;8;8;9;13;2;2;11;11;6;7;14;6;9;12;13;7;9
25;9;6;7;7;9;14;2;2;9;11;7;6;14;6;9;11;12;7
26;19;9;7;7;7;10;13;2;4;9;12;7;6;14;6;9;10;12
27;4;19;8;7;7;9;10;10;2;5;9;10;7;6;13;7;9;10
28;9;7;19;8;5;7;10;9;12;2;5;9;8;6;4;12;7;8
29;10;10;7;18;8;5;7;10;6;11;4;5;7;7;6;4;8;6
30;9;10;10;7;14;9;4;7;9;8;10;4;4;8;6;6;4;6
31;6;9;13;10;6;13;9;4;6;10;9;9;4;3;8;5;6;4
32;11;4;9;12;10;5;11;9;4;7;6;7;8;5;3;9;5;5
33;10;13;3;7;12;9;4;11;8;4;8;6;7;8;5;3;9;5
34;6;9;12;3;7;11;5;4;10;9;3;6;7;6;8;5;1;8
35;16;5;8;12;3;7;10;5;5;10;9;4;5;7;6;11;4;1
36;12;16;5;8;11;4;8;9;5;4;9;9;4;5;6;6;10;5
37;15;12;16;4;9;11;4;8;9;6;4;9;9;4;5;6;6;9
38;12;15;13;16;5;9;11;5;6;11;6;3;11;9;4;5;6;6
39;15;12;14;13;16;5;10;11;7;7;11;6;2;12;9;5;6;6
40;5;16;12;13;13;16;5;12;11;7;7;10;6;2;11;9;5;6
41;12;7;17;12;13;13;16;6;12;11;7;7;9;5;2;10;9;5
42;11;14;6;17;12;13;13;15;6;12;11;7;7;9;5;5;9;9
43;10;11;13;6;16;11;13;12;14;5;12;11;6;7;9;5;6;11
44;6;10;11;14;6;16;8;14;11;14;5;12;11;6;7;9;5;5
45;8;8;10;11;14;6;13;9;16;12;14;5;12;11;6;8;11;5
46;10;7;8;10;12;13;6;13;9;17;11;14;4;11;11;6;8;10
47;8;11;6;7;10;12;11;6;14;9;15;11;14;5;11;10;6;8
48;7;9;11;6;7;10;12;10;5;14;9;14;12;14;5;11;10;6
49;6;7;9;11;6;7;11;10;10;5;14;10;12;12;13;5;11;10
50;3;6;6;8;9;8;6;10;10;11;5;12;10;9;13;14;5;11
51;7;3;6;6;8;10;8;8;10;11;10;5;11;10;9;13;14;5
52;5;7;3;6;6;7;11;8;8;10;12;9;5;12;10;9;13;14
53;4;5;7;3;6;6;7;11;8;8;10;11;9;5;12;10;10;11
54;7;4;5;7;3;6;8;9;9;8;8;9;11;8;5;13;10;10
55;5;6;5;5;6;3;6;7;8;9;8;8;9;11;8;5;13;10
56;4;5;6;5;6;6;3;6;8;7;10;8;8;9;11;9;5;13
57;6;5;5;6;4;6;6;3;6;8;7;9;8;7;8;11;9;5
58;5;6;5;5;6;4;6;6;4;6;8;7;10;8;6;8;11;9
59;6;5;6;5;5;6;4;6;6;4;6;8;7;10;9;6;8;11
60;3;7;5;6;5;5;5;5;6;5;3;6;7;6;10;9;6;8
61;4;3;7;4;4;5;5;5;5;6;5;3;6;6;6;10;10;6
62;7;4;3;7;4;5;5;5;5;6;6;5;3;6;6;7;10;10
63;5;7;4;3;7;4;5;5;5;5;7;6;6;3;6;6;7;10
64;9;5;7;4;3;7;5;5;5;4;5;6;6;6;2;6;6;6
65;6;9;4;6;2;4;7;3;5;6;4;5;6;6;6;2;6;6
66;6;6;9;4;5;2;4;7;3;4;6;4;5;6;5;6;2;6
67;11;6;6;9;4;5;3;4;7;3;4;6;4;5;6;5;5;2
