"Popolazione per età, vista per singola area - Comune: 080089 - Sinopoli"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sinopoli"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;23;26;28;35;26;21;21;16;30;21;21;23;25;28;27;25;23;16
1;32;23;26;28;36;26;19;19;15;31;21;20;24;25;29;27;25;23
2;38;32;23;25;28;35;26;18;20;16;32;21;20;24;26;27;26;23
3;37;36;32;24;26;26;33;27;18;20;15;32;21;20;20;25;26;25
4;39;35;35;33;24;25;26;31;27;19;19;15;32;21;17;20;23;26
5;28;39;35;35;34;23;27;26;32;27;19;19;15;27;19;16;20;22
6;40;28;39;35;35;34;24;27;24;32;27;19;20;15;25;19;16;20
7;35;42;28;39;35;35;33;25;26;24;31;25;19;20;14;25;18;16
8;36;34;42;28;39;35;35;34;22;26;25;32;26;18;19;13;25;17
9;32;38;34;42;27;39;35;35;33;22;27;26;33;24;18;17;13;25
10;41;31;38;34;41;26;37;35;34;33;22;25;28;32;24;18;17;12
11;49;41;27;38;34;39;28;39;34;33;34;22;24;26;30;24;18;16
12;43;47;40;27;38;33;39;28;39;34;33;31;22;23;25;30;23;17
13;39;44;47;40;27;38;35;39;28;39;34;34;30;22;23;25;30;22
14;24;39;46;47;40;27;38;34;39;26;39;34;35;30;22;24;26;30
15;26;24;37;46;46;40;27;38;35;38;26;40;35;35;29;22;22;26
16;31;26;24;37;45;47;40;28;39;35;37;25;40;35;35;31;20;22
17;35;32;27;24;38;45;46;40;27;37;35;37;25;40;35;34;30;20
18;29;33;33;27;24;38;45;46;37;27;36;34;38;26;38;34;34;29
19;40;28;34;34;27;24;34;44;45;36;26;35;34;37;26;38;35;33
20;33;40;28;34;34;25;22;33;43;44;35;23;34;34;35;25;38;32
21;41;31;40;29;35;34;23;22;28;39;43;33;22;33;29;34;23;37
22;44;40;30;37;26;31;30;23;26;27;37;42;35;23;33;27;34;24
23;22;40;40;31;37;28;30;30;25;24;28;32;41;35;23;32;26;34
24;59;23;40;38;32;37;28;29;30;25;22;28;35;39;30;19;29;27
25;43;59;18;41;36;30;37;29;28;32;23;22;27;31;39;31;21;27
26;44;46;58;17;38;32;28;33;24;25;31;22;21;26;32;40;31;21
27;41;41;46;57;19;39;32;29;34;24;25;29;23;19;26;30;39;30
28;35;41;39;45;57;19;37;33;29;34;25;23;27;21;17;26;29;39
29;38;38;40;40;45;52;19;34;32;27;31;27;22;25;20;17;25;27
30;29;41;40;42;40;43;45;20;34;33;28;30;28;21;23;21;17;24
31;33;30;41;37;40;35;44;47;19;34;32;26;32;27;21;23;18;17
32;35;32;28;38;35;38;36;42;47;19;33;30;24;30;26;22;24;20
33;35;35;29;27;36;34;37;35;40;46;18;31;31;23;29;27;23;23
34;32;38;33;27;29;34;32;35;32;37;41;19;30;32;23;29;25;23
35;32;33;37;33;26;29;35;32;33;33;37;42;18;29;30;23;26;23
36;36;32;34;38;34;23;30;34;27;32;33;37;43;18;29;29;22;26
