"Popolazione per età, vista per singola area - Comune: 082029 - Chiusa Sclafani"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Chiusa Sclafani"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;34;19;36;27;21;13;22;12;22;24;18;12;19;20;12;11;17;16
1;22;34;17;36;27;21;14;16;11;22;26;17;11;18;20;11;11;18
2;37;21;34;18;36;24;22;12;17;12;24;25;16;10;20;18;11;12
3;22;36;20;35;18;36;24;20;12;19;12;25;24;16;9;19;18;11
4;37;21;36;21;35;17;36;23;20;13;20;13;27;25;14;9;19;18
5;26;37;21;38;20;35;17;34;23;20;12;21;13;25;24;13;10;18
6;31;24;37;22;36;20;35;17;37;23;20;12;23;13;25;20;16;9
7;36;31;24;38;22;35;20;35;17;37;23;22;12;23;14;23;20;16
8;34;36;31;24;38;22;35;20;36;17;37;23;24;12;26;14;23;21
9;30;32;35;30;25;36;24;35;22;36;17;37;23;24;13;25;14;24
10;32;26;33;34;30;25;36;24;33;22;35;19;40;23;23;13;25;14
11;34;31;26;34;34;27;28;36;23;33;22;35;21;40;26;23;13;25
12;30;34;31;26;34;34;27;27;39;23;33;22;35;18;39;25;23;13
13;39;29;35;33;26;34;34;27;27;39;24;33;22;35;19;37;25;24
14;32;36;30;35;33;24;34;34;25;28;38;26;33;22;34;19;36;25
15;31;31;36;28;35;33;24;32;34;26;29;38;26;33;23;35;19;37
16;31;29;31;36;28;34;33;24;31;34;26;29;38;26;33;23;35;19
17;37;31;29;30;36;30;34;33;25;31;34;26;29;38;26;33;23;35
18;33;39;30;31;30;37;28;36;33;26;31;35;26;30;38;24;33;22
19;30;34;35;30;31;31;37;31;32;33;27;31;37;26;30;37;25;34
20;32;28;30;37;30;31;33;37;30;32;33;29;31;36;26;29;37;24
21;25;32;28;31;36;27;31;27;39;29;32;34;32;32;36;24;29;36
22;40;26;30;29;31;35;27;30;28;39;28;33;34;30;31;34;24;29
23;40;41;25;30;29;31;37;27;30;28;39;30;34;34;30;29;34;24
24;32;41;44;27;29;32;31;36;24;29;27;41;30;32;32;27;30;33
25;40;32;40;42;25;31;32;31;33;24;29;28;41;30;32;31;28;30
26;36;40;31;37;42;27;31;31;30;34;24;29;27;38;28;33;30;29
27;36;32;40;34;35;37;24;33;34;30;34;24;29;26;37;29;35;27
28;37;35;34;43;40;38;36;26;30;32;30;33;23;29;25;33;27;35
29;33;36;33;37;43;38;36;29;33;28;31;28;31;22;28;22;32;22
30;37;34;36;37;36;42;37;37;30;29;28;32;27;35;20;28;22;30
31;43;36;32;34;36;35;39;36;37;31;27;27;31;25;32;20;25;25
32;41;39;35;25;36;33;35;35;34;34;30;26;25;28;29;31;21;25
33;48;39;36;35;23;38;32;36;36;35;34;30;28;24;29;25;30;22
34;43;47;36;34;34;25;35;27;34;36;39;30;28;26;24;28;23;28
35;54;43;46;34;36;34;28;33;26;32;35;40;29;28;26;24;29;21
36;41;56;45;51;28;37;33;26;33;26;35;36;40;25;29;23;26;31
37;49;40;56;47;50;29;36;35;27;35;27;35;35;40;26;29;24;27
38;44;49;40;59;47;52;31;36;37;28;35;26;34;33;37;25;30;28
39;45;42;48;39;58;47;49;27;36;36;29;36;27;35;32;38;28;27
40;58;42;44;49;39;57;45;49;29;35;37;30;36;27;32;31;38;30
41;37;56;41;44;47;36;58;45;50;31;33;39;31;37;27;33;32;41
42;40;37;55;42;42;45;38;57;45;49;32;33;39;30;35;27;34;32
43;33;39;35;54;44;42;45;36;53;43;49;31;33;41;29;34;27;33
44;41;33;41;35;55;46;43;46;36;52;43;49;31;36;39;29;36;28
45;46;40;33;40;35;57;48;43;45;36;54;43;49;30;36;36;27;35
46;31;46;41;33;39;34;57;41;44;44;38;53;44;49;32;36;39;27
47;37;31;45;40;33;38;35;58;39;41;44;39;54;44;48;33;38;39
48;31;36;31;43;39;33;39;37;55;39;41;43;39;55;45;49;37;38
49;42;30;34;31;43;38;33;39;37;57;39;41;42;40;54;46;49;36
50;36;40;30;39;31;43;38;35;39;37;57;39;40;41;39;54;47;47
51;35;36;39;29;39;34;44;39;33;37;38;57;42;43;41;38;53;48
52;38;34;35;40;28;39;34;46;41;33;36;38;56;41;42;41;38;52
53;36;40;34;38;40;29;39;33;45;41;33;35;39;56;38;40;42;37
54;42;37;40;36;36;40;31;39;34;45;41;31;35;39;56;39;40;43
55;30;42;38;40;36;36;40;31;39;34;45;41;31;35;39;54;39;40
56;31;32;42;36;42;35;39;40;29;39;34;44;39;33;35;39;53;39
57;22;31;30;43;34;40;34;39;37;29;39;36;43;37;31;37;39;53
58;21;23;33;30;43;35;38;33;40;36;29;39;35;45;37;32;37;39
59;27;21;22;30;31;43;38;39;35;39;37;29;40;36;45;38;32;37
60;31;27;21;23;30;33;41;40;39;35;39;37;29;40;35;46;38;32
61;40;31;25;21;22;33;32;40;42;39;35;39;37;29;40;35;46;38
62;49;42;31;24;23;22;33;32;38;37;38;35;37;37;29;38;35;46
63;44;49;42;31;24;24;22;32;26;39;38;38;35;37;35;30;39;32
64;56;44;49;42;29;26;24;23;31;28;39;38;37;35;36;35;30;38
65;37;55;44;47;42;33;26;22;23;34;28;38;34;37;35;36;37;29
66;40;36;53;45;47;41;33;26;21;23;35;27;38;37;38;33;38;38
67;39;40;36;52;46;46;41;32;25;21;23;32;27;38;35;38;35;37
68;48;38;40;36;55;45;45;41;31;27;21;23;30;27;38;35;38;34
69;41;47;40;40;36;54;44;45;41;31;27;20;22;30;26;37;35;36
70;47;42;47;40;38;36;51;44;45;40;30;27;20;22;30;25;36;34
71;62;45;41;47;40;37;37;51;44;45;40;30;28;20;21;30;27;36
72;66;62;44;41;47;38;36;35;51;46;45;41;28;28;20;20;29;25
73;42;63;62;46;41;47;37;36;35;51;46;45;41;28;27;20;20;28
74;62;42;62;59;45;41;46;36;34;32;51;47;45;39;28;27;19;20
75;40;58;42;58;55;43;40;45;35;33;33;51;46;44;40;28;26;18
76;39;39;57;41;57;53;43;41;42;35;30;33;52;45;44;34;29;25
77;46;36;35;54;41;50;51;41;41;40;35;30;33;51;45;43;35;28
78;38;45;35;36;51;43;49;49;42;39;40;31;30;33;50;41;44;36
79;51;38;43;32;36;49;40;42;49;40;39;39;31;29;32;49;40;43
80;35;49;38;43;31;34;46;38;41;46;40;38;38;29;29;31;45;39
81;28;33;43;35;41;29;31;42;37;39;45;39;37;36;28;27;30;42
82;25;23;31;39;34;39;27;29;39;35;37;40;38;36;33;26;26;29
83;15;24;21;29;39;34;37;25;29;34;29;33;40;35;35;35;26;24
84;11;15;20;20;23;35;31;33;24;26;32;29;29;38;32;32;33;22
85;17;12;14;19;21;20;35;27;33;21;23;31;27;29;38;30;29;30
86;21;17;12;12;19;21;15;34;26;31;21;21;26;25;24;32;26;27
87;22;18;16;9;11;18;15;15;31;22;32;16;22;24;22;23;25;19
88;16;17;16;13;8;10;15;13;13;26;18;29;13;21;22;18;21;25
89;8;14;14;13;12;6;8;12;14;11;19;16;25;11;18;16;15;17
90;11;8;9;10;10;11;6;6;6;10;9;16;14;19;6;18;13;14
91;4;9;8;6;10;10;10;6;5;4;5;6;13;11;15;6;14;13
