"Popolazione per età, vista per singola area - Comune: 083015 - Castelmola"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Castelmola"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;8;7;1;4;11;5;7;9;8;9;15;7;9;14;7;5;12;7
1;5;9;7;0;3;11;4;6;8;4;8;15;9;9;13;9;6;13
2;8;5;9;7;0;3;8;5;10;9;5;7;16;9;9;15;9;6
3;5;8;5;9;7;0;4;7;5;11;10;5;10;16;9;8;13;8
4;7;4;5;5;9;7;0;5;7;6;12;10;8;10;15;9;8;13
5;8;8;4;7;5;9;7;0;6;7;4;12;11;7;10;15;10;8
6;5;9;8;4;7;5;9;8;0;6;6;4;10;10;6;10;14;9
7;10;6;11;8;4;9;5;9;8;0;6;6;4;11;10;6;9;16
8;9;11;9;11;8;4;9;5;9;9;0;6;6;4;11;10;6;9
9;10;9;10;8;11;7;6;9;5;9;8;0;6;6;3;11;10;8
10;13;10;8;11;6;11;7;7;9;5;9;8;1;7;6;3;11;10
11;9;13;10;8;11;6;11;7;7;6;5;9;8;0;7;6;4;10
12;18;10;14;10;8;10;6;11;7;6;6;5;9;8;0;7;6;4
13;9;18;11;12;10;9;11;6;11;7;4;6;5;8;8;0;7;6
14;8;10;19;11;13;9;9;10;6;11;6;4;6;5;8;10;0;8
15;9;7;11;19;11;12;9;9;11;6;11;6;3;6;5;8;11;0
16;6;9;7;10;19;12;11;9;9;11;6;10;6;3;6;5;8;11
17;11;5;8;7;9;20;12;11;9;11;10;6;10;6;3;7;6;10
18;21;12;5;8;8;9;20;12;11;9;10;10;6;10;6;3;8;6
19;15;23;12;5;8;8;9;19;12;12;10;10;12;7;10;6;4;9
20;12;15;21;10;5;8;11;9;18;11;12;10;9;11;7;9;6;4
21;19;14;16;17;11;5;10;12;8;19;14;11;11;9;11;9;7;6
22;23;20;10;15;19;11;5;10;13;9;19;16;12;9;9;13;9;7
23;11;24;19;11;17;16;9;5;13;11;10;18;16;12;8;12;13;10
24;17;13;21;20;9;18;17;9;9;12;12;9;17;15;12;9;12;12
