"Popolazione per età, vista per singola area - Comune: 083022 - Floresta"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Floresta"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;8;3;2;5;1;4;2;2;4;1;3;4;3;2;1;1;3;4
1;4;8;2;2;4;2;4;2;2;4;1;3;3;2;3;0;1;3
2;4;4;6;2;2;5;2;4;1;2;4;2;3;3;2;3;0;1
3;8;4;4;6;3;2;5;2;3;1;2;4;2;3;5;2;2;0
4;5;8;4;4;8;4;2;6;2;3;1;2;3;2;3;4;2;2
5;7;5;7;4;4;8;2;2;6;2;3;1;2;3;2;3;3;3
6;3;7;5;7;4;6;8;3;2;4;2;3;1;2;3;3;3;3
7;3;3;8;5;8;4;6;8;3;2;4;2;3;1;3;3;3;3
8;5;3;3;7;5;7;4;6;7;3;2;4;1;4;1;3;3;3
9;2;5;4;3;7;5;7;4;6;7;3;2;5;1;4;1;3;3
10;7;2;5;3;3;7;5;7;4;6;7;3;2;6;1;4;1;3
11;7;8;3;5;3;3;7;3;6;4;6;7;3;2;5;1;4;1
12;3;7;8;2;5;3;3;7;3;6;4;6;7;3;2;5;1;4
13;6;2;7;8;2;4;4;3;7;3;6;4;6;7;3;2;5;1
14;1;6;2;7;9;2;4;3;3;7;3;6;4;6;6;3;2;4
15;2;1;7;2;7;9;3;4;3;3;7;3;8;4;6;6;2;2
16;3;2;1;7;2;7;9;5;4;3;3;7;3;7;4;6;6;2
17;5;3;3;1;6;2;7;9;5;4;3;2;7;3;7;4;6;6
18;7;4;3;4;1;6;2;7;10;5;4;3;2;7;3;7;5;6
19;4;7;3;3;3;1;6;2;6;9;5;4;3;2;7;3;7;6
20;5;4;7;2;3;3;1;7;2;6;8;6;5;3;3;8;3;7
21;7;4;4;7;3;4;3;1;7;4;6;8;7;5;3;4;9;3
22;6;7;4;3;6;3;4;3;2;5;5;6;7;7;5;2;5;8
