"Popolazione per età, vista per singola area - Comune: 083046 - Mazzarrà Sant'Andrea"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Mazzarrà Sant'Andrea"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;10;9;13;14;12;15;7;21;8;13;8;12;16;14;14;8;16;18
1;14;10;11;12;14;11;14;5;20;8;11;9;10;17;14;15;8;17
2;13;14;10;11;13;13;11;15;6;16;6;10;8;9;15;13;15;8
3;14;10;13;10;11;14;14;11;16;6;16;6;9;8;10;12;14;16
4;17;13;9;13;9;10;13;14;11;15;7;15;6;10;9;10;12;14
5;16;16;12;9;13;9;9;13;17;12;15;7;15;6;10;8;9;11
6;12;15;14;12;10;13;9;11;13;16;13;15;7;14;4;10;8;9
7;22;12;14;14;11;9;13;9;11;12;16;12;15;7;14;4;13;8
8;16;22;12;14;13;13;9;13;10;10;11;16;12;14;7;13;5;14
9;15;15;19;12;14;12;12;9;13;10;11;11;15;12;14;7;14;5
10;23;15;15;19;12;14;12;13;11;13;11;10;11;14;12;13;7;14
11;21;23;15;15;18;11;14;12;12;11;13;11;11;11;14;12;13;7
12;26;21;21;15;15;14;14;13;12;12;11;13;11;11;11;14;12;13
13;20;25;24;21;14;15;14;14;14;12;12;11;13;12;11;11;13;13
14;21;19;24;24;20;12;15;12;15;14;12;12;11;13;12;11;10;12
15;23;21;19;24;24;20;13;15;12;14;14;12;11;11;14;12;11;10
16;29;22;21;19;23;24;19;15;15;12;15;14;12;11;10;15;12;10
17;22;28;22;22;19;23;23;18;15;15;12;15;14;13;11;11;15;10
18;22;23;29;20;21;18;23;24;19;16;16;14;16;14;14;11;11;17
19;24;24;21;29;17;23;21;24;23;19;15;16;15;17;15;14;12;12
20;19;23;24;22;29;15;23;21;26;21;19;16;14;14;19;16;14;12
21;23;18;25;23;19;28;17;19;23;26;20;19;16;13;15;17;15;15
22;23;20;18;30;20;20;26;17;18;23;27;22;19;14;13;15;17;16
23;24;22;21;18;29;20;20;26;18;21;25;27;23;19;14;13;15;15
24;18;24;21;20;19;29;21;20;29;18;19;25;26;22;18;15;14;15
25;31;19;24;21;15;18;31;21;22;29;25;17;24;24;21;17;17;12
26;23;29;19;23;19;15;18;29;19;20;27;25;19;26;23;22;18;20
27;22;22;30;20;23;20;17;16;30;19;18;21;23;19;21;23;21;17
28;20;18;21;28;22;21;22;19;15;30;19;20;22;21;19;19;21;17
29;16;19;18;22;28;21;21;23;20;17;30;18;19;23;23;19;17;20
30;18;16;19;19;20;26;21;22;23;18;18;32;18;20;22;23;20;18
31;26;18;14;19;18;20;32;22;22;21;18;19;28;16;18;18;23;21
32;22;23;17;14;18;17;18;32;25;25;21;20;20;26;16;18;18;20
33;23;22;24;17;14;18;20;17;28;26;25;21;17;18;25;17;18;20
34;24;22;20;23;16;14;16;20;20;26;27;24;20;15;18;24;16;18
35;29;26;21;20;22;16;15;17;18;19;28;27;22;20;15;17;24;18
36;19;28;24;21;18;23;14;18;18;19;18;25;26;27;19;14;18;22
37;21;16;24;25;21;18;23;13;19;17;18;19;22;27;27;17;14;17
38;20;19;16;22;25;21;19;23;10;19;16;17;18;22;27;28;16;15
39;24;19;18;16;21;25;23;19;22;10;20;16;17;17;22;23;27;15
40;28;24;19;15;17;20;25;24;20;23;11;20;16;19;18;21;20;27
41;17;28;26;19;15;15;20;23;25;20;24;12;20;17;18;18;21;21
42;28;15;27;27;19;15;15;23;23;24;20;23;12;22;17;17;19;21
43;22;27;16;27;27;19;14;16;23;23;24;20;23;11;23;19;18;18
44;24;24;25;16;26;27;19;14;17;23;22;25;19;26;11;19;19;18
45;28;25;24;25;15;27;28;19;14;15;24;21;23;19;26;11;19;19
46;22;28;24;24;26;15;27;28;18;14;15;25;23;23;19;25;11;18
47;17;22;29;22;24;27;16;22;28;18;14;15;26;23;22;20;22;11
48;17;17;23;29;22;23;29;14;23;28;18;16;15;26;24;23;20;21
49;17;13;17;22;29;22;25;29;15;22;28;18;16;15;24;25;23;20
