"Popolazione per età, vista per singola area - Comune: 083085 - Sant'Alessio Siculo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sant'Alessio Siculo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6;9;10;11;12;9;10;9;6;21;14;8;14;10;11;4;17;10
1;19;8;9;9;9;13;9;8;11;6;18;16;6;10;10;14;4;17
2;9;16;7;9;5;9;15;11;6;10;6;17;18;7;11;10;11;3
3;9;9;16;7;9;5;8;17;11;7;10;7;17;14;9;11;8;9
4;9;9;9;17;8;9;5;11;16;12;7;12;8;18;14;8;11;8
5;9;9;9;9;16;7;11;8;10;17;11;8;12;6;19;13;9;11
6;11;9;9;8;9;16;8;10;7;9;18;13;8;12;6;19;12;11
7;13;11;9;8;8;10;16;11;10;7;10;18;15;7;12;7;19;11
8;7;14;11;10;8;8;10;16;11;10;7;10;19;14;6;13;7;19
9;14;6;14;11;10;8;9;11;15;10;10;9;11;19;13;6;13;7
10;9;13;6;13;11;12;8;10;9;15;10;11;10;10;15;13;6;14
11;15;8;14;6;12;12;11;8;10;10;15;10;9;10;11;15;13;7
12;18;15;9;16;6;13;11;14;7;10;11;16;9;10;12;11;16;14
13;15;17;15;10;16;7;13;13;12;10;11;13;14;9;13;12;10;16
14;16;16;18;15;9;14;8;16;13;13;11;13;13;16;9;12;10;11
15;20;16;16;20;15;10;14;11;15;12;13;12;13;13;18;7;13;11
16;14;18;17;15;19;14;9;13;11;15;12;10;13;12;15;19;7;12
17;18;14;17;16;16;18;14;10;13;13;16;11;9;14;13;14;19;6
18;13;18;14;16;15;15;19;15;12;16;14;14;13;9;15;13;12;18
19;18;14;18;11;19;17;14;17;15;12;17;14;17;13;8;14;13;11
20;13;18;12;17;11;22;17;17;19;17;13;17;12;18;13;8;13;13
21;16;16;13;15;18;11;26;17;16;19;18;12;18;14;17;13;11;14
22;19;17;16;13;14;17;16;27;16;18;16;18;12;19;13;14;14;11
23;12;19;16;16;14;14;18;19;28;20;17;20;17;13;21;12;14;15
24;15;12;20;17;16;17;13;17;17;27;21;18;20;16;14;21;12;15
25;18;14;13;21;17;17;22;16;18;14;26;24;18;20;18;14;20;13
26;25;19;14;15;17;17;15;23;18;19;13;23;22;19;18;20;12;20
27;12;25;22;11;14;17;20;18;25;17;18;14;25;21;23;15;21;11
28;9;13;23;19;11;14;19;23;19;26;18;21;16;25;21;20;14;20
29;19;9;13;19;17;14;18;22;22;15;26;16;18;15;26;24;19;16
30;18;16;12;13;18;18;16;21;23;19;17;25;14;17;12;23;19;21
31;18;18;17;12;15;17;17;17;23;20;19;17;29;16;18;12;25;21
32;17;21;18;18;12;17;19;16;19;24;18;21;18;27;13;19;12;26
33;18;17;21;21;18;12;16;17;20;22;20;19;20;16;29;14;16;14
34;14;18;17;21;21;21;14;15;23;17;24;21;19;17;17;30;14;15
35;20;15;18;14;26;19;21;18;15;26;17;27;23;19;17;16;25;14
36;17;21;21;20;14;24;20;21;18;18;28;19;26;23;20;19;16;26
37;26;20;24;20;19;14;22;19;18;18;19;28;19;27;22;20;21;17
38;16;27;22;24;19;19;13;24;19;19;19;21;29;17;24;22;20;24
39;27;12;26;22;23;22;20;15;25;19;20;20;19;27;17;23;22;21
40;15;29;13;24;21;25;25;23;15;27;19;22;16;19;28;18;22;18
41;21;16;28;14;25;21;26;33;22;18;26;18;21;15;20;27;19;25
42;19;20;15;29;14;25;21;26;29;24;20;27;18;23;14;19;27;21
43;17;22;19;16;28;17;26;24;25;31;24;20;25;19;20;12;19;26
44;21;17;22;18;15;25;20;28;24;25;30;21;18;26;21;19;12;20
45;23;23;17;22;20;14;25;24;30;23;24;31;21;17;25;20;21;13
46;18;23;24;19;20;22;16;26;25;35;25;24;30;21;18;25;19;20
47;21;19;22;25;18;19;26;20;25;27;34;27;25;30;21;18;25;20
48;11;21;19;22;25;18;23;28;20;26;28;34;28;28;29;22;18;25
49;12;13;20;17;20;26;21;22;26;20;28;29;34;28;30;29;23;18
50;18;15;11;20;17;21;26;21;20;25;19;26;27;33;29;28;25;23
51;24;17;14;12;20;16;21;25;21;23;26;18;26;26;33;26;28;25
52;24;24;18;14;11;20;17;20;28;21;25;26;16;26;27;31;24;26
53;23;24;24;18;13;11;23;18;20;30;21;25;25;17;27;29;31;25
54;15;24;24;27;19;13;13;23;22;23;29;23;23;24;17;27;29;30
55;24;16;25;23;28;18;14;14;24;23;24;25;23;23;25;16;30;30
56;19;24;15;25;24;25;18;14;14;27;23;25;25;23;24;25;16;31
57;6;19;23;13;27;24;25;18;15;14;25;20;23;25;22;26;27;15
58;16;6;19;22;14;25;24;26;18;15;14;23;22;22;26;24;23;27
59;15;15;6;19;23;14;25;28;26;21;15;14;21;21;22;23;23;23
60;16;14;14;6;18;22;14;24;29;25;24;15;14;21;20;24;22;20
61;12;16;15;15;6;17;24;15;23;28;25;23;15;15;24;20;24;22
62;10;12;17;14;17;6;17;23;15;23;25;25;23;16;14;25;20;22
63;22;10;12;17;14;17;6;19;23;18;26;21;26;23;16;14;25;21
64;15;22;10;12;17;14;17;6;16;24;22;27;21;26;22;16;14;25
65;9;12;23;8;12;17;14;17;5;17;24;21;28;19;24;22;16;11
66;14;11;15;23;8;13;17;13;15;5;18;25;20;27;23;26;23;17
67;15;14;11;15;22;8;13;17;13;15;4;17;26;18;27;22;24;22
68;22;16;14;9;14;22;8;15;17;13;16;6;17;26;18;29;23;25
69;17;23;14;14;8;15;22;8;15;17;13;17;7;13;26;19;31;22
70;18;17;23;15;14;8;14;23;9;15;17;12;16;7;14;25;18;28
71;20;19;17;21;15;13;8;13;20;9;15;18;13;17;7;14;24;18
72;14;19;19;17;21;15;13;8;13;20;9;14;17;15;17;8;15;25
73;11;13;19;20;16;16;13;13;8;14;19;8;13;16;14;17;8;15
74;13;11;15;19;18;15;16;13;12;9;12;19;8;11;16;14;16;8
75;12;13;10;12;19;15;14;15;11;12;9;12;17;9;13;16;12;16
76;14;11;13;8;12;19;15;14;14;13;11;10;13;18;11;14;15;12
77;10;15;11;13;8;10;16;13;14;17;14;11;9;13;20;9;14;15
78;10;8;14;11;14;8;9;16;13;14;17;13;11;9;11;17;9;13
79;12;11;8;13;11;14;8;9;15;12;14;16;12;11;9;11;14;9
80;16;11;10;8;11;9;13;8;9;16;12;12;12;12;10;8;9;14
81;10;13;11;10;8;11;8;13;7;9;15;12;10;11;11;9;7;9
82;11;9;12;10;9;7;10;8;13;6;9;13;12;8;8;11;9;6
83;4;11;9;11;10;8;6;9;9;11;6;8;13;12;7;7;11;8
84;7;3;10;9;11;11;6;5;9;8;9;6;7;13;12;7;7;9
85;3;7;4;12;10;8;10;6;5;9;8;9;6;7;11;9;5;6
86;5;2;6;5;12;9;6;9;6;5;8;7;8;6;6;9;8;6
87;7;5;2;6;4;10;10;5;9;5;4;8;7;8;6;5;8;8
88;4;7;1;2;6;3;7;9;3;5;3;3;6;6;8;6;4;9
89;4;3;6;1;3;5;3;4;8;2;5;4;3;6;6;7;6;4
90;5;4;2;6;0;2;5;3;3;7;2;5;4;3;6;3;6;4
91;2;5;3;2;5;0;2;4;2;2;6;2;4;4;3;4;2;5
92;1;2;4;2;2;5;0;2;2;2;2;4;1;3;4;2;2;2
93;1;2;2;4;1;2;5;1;2;2;2;2;2;1;3;1;2;2
94;1;0;2;0;4;1;1;5;1;1;2;1;2;1;0;3;0;2
95;0;2;0;1;0;2;1;1;4;1;0;1;1;2;0;0;4;0
96;0;0;1;0;1;0;1;0;1;3;1;0;1;0;2;0;0;2
97;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;1;0;0
98;1;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;1;0
99;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;1
100 e oltre;0;0;0;0;0;0;0;0;1;1;0;0;0;2;2;0;0;0
Totale;1341;1356;1362;1355;1349;1346;1392;1469;1464;1522;1537;1550;1536;1521;1543;1513;1489;1497
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;2;4;5;6;8;6;3;5;3;7;6;6;9;5;5;2;10;7
1;11;3;4;4;5;9;5;2;6;2;6;7;4;6;6;7;2;11
2;1;9;2;4;2;5;10;7;1;4;2;6;9;5;6;5;4;1
3;5;1;10;2;4;2;6;12;8;1;4;3;6;5;7;5;4;4
4;6;5;1;10;3;4;2;7;11;9;1;4;4;6;5;6;5;4
5;2;6;5;1;10;3;6;2;7;12;8;1;5;3;7;5;7;5
6;6;2;6;4;3;10;3;6;2;7;13;10;1;5;4;7;5;9
7;7;6;2;6;4;4;10;4;6;2;7;13;12;1;5;4;7;6
8;4;7;6;3;6;4;4;10;4;6;2;6;14;11;1;5;4;6
9;9;3;7;6;3;5;4;3;10;3;6;3;7;14;10;1;6;4
10;4;9;3;6;6;4;5;5;2;9;3;6;4;6;11;10;2;6
11;12;3;10;3;5;6;3;5;5;2;9;4;5;4;7;11;10;2
12;6;12;3;12;3;5;5;6;5;5;3;10;4;6;6;7;11;10
13;7;6;12;4;12;4;5;6;6;9;5;3;9;4;8;6;6;11
14;8;8;7;12;3;10;5;8;6;6;10;5;3;11;4;7;5;7
15;9;8;8;7;12;3;10;5;7;7;6;11;4;3;11;2;8;5
16;4;7;8;7;6;11;2;9;5;7;7;5;11;4;4;11;2;6
17;10;4;6;8;7;7;11;3;9;7;8;6;4;12;4;4;11;1
18;6;10;4;5;7;7;6;11;5;9;7;7;7;4;12;4;4;11
19;9;6;10;4;6;9;6;5;10;5;9;8;8;8;3;11;4;4
20;7;10;6;10;5;6;9;6;7;12;6;8;7;9;8;4;9;4
21;9;8;9;7;11;5;8;7;6;6;12;6;9;8;9;8;4;10
22;10;9;8;9;7;11;7;9;7;9;5;12;6;10;7;7;9;4
23;5;10;9;8;9;9;12;7;12;11;8;6;12;6;10;7;7;9
24;11;5;11;10;8;10;9;10;6;11;12;8;6;11;7;10;7;7
25;9;10;7;12;9;8;10;9;11;3;11;12;8;6;12;6;9;7
26;16;10;9;7;11;9;8;11;11;12;3;10;10;8;6;12;6;10
27;2;16;11;8;7;11;10;10;10;8;12;4;11;10;12;6;14;5
28;3;2;13;10;9;7;10;9;10;9;8;13;6;11;10;10;5;14
29;7;3;2;10;10;11;8;12;10;7;9;6;11;6;11;11;10;5
30;12;6;6;3;9;11;11;10;12;9;8;9;5;10;5;8;10;11
31;5;11;9;7;4;9;9;13;12;10;9;8;9;7;11;5;9;10
32;8;4;11;10;7;7;11;8;15;12;9;11;9;8;5;13;4;9
33;10;9;5;13;10;6;7;10;8;16;10;10;11;9;9;6;10;5
34;7;10;7;6;13;11;7;6;14;6;18;9;10;8;9;10;8;10
35;11;7;11;6;9;12;12;8;6;17;5;17;10;10;9;9;7;7
36;6;12;8;12;6;8;12;10;7;6;16;5;15;10;11;11;9;9
37;11;8;12;9;11;6;8;10;9;7;6;16;5;16;10;11;12;8
38;8;12;11;12;9;12;4;10;10;9;8;7;17;5;14;9;11;13
39;13;5;11;12;12;9;13;4;11;10;10;8;7;17;5;14;6;12
40;6;14;6;9;10;13;11;14;4;12;10;12;6;7;17;5;14;5
41;12;7;13;7;9;10;13;13;13;4;11;10;12;5;7;15;6;14
42;6;11;6;15;6;9;11;12;11;16;4;12;9;13;5;7;14;7
43;7;8;11;6;14;9;9;12;11;14;16;4;9;10;11;4;7;16
44;7;7;10;10;6;13;11;11;12;11;15;14;5;10;10;10;4;7
