"Popolazione per età, vista per singola area - Comune: 084034 - Sambuca di Sicilia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sambuca di Sicilia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;63;62;57;67;62;54;60;49;60;52;51;47;39;49;37;33;45;31
1;78;63;64;55;67;63;52;57;49;57;51;51;45;40;45;38;34;45
2;71;79;65;64;54;67;60;50;58;47;57;50;51;46;40;46;40;33
3;53;70;77;63;62;53;66;60;52;59;47;53;51;53;45;41;46;39
4;55;57;72;76;63;62;53;68;60;50;59;47;53;50;52;47;42;48
5;53;55;57;73;76;64;63;54;70;59;51;57;46;58;51;53;48;38
6;63;54;54;56;70;75;63;65;54;70;61;49;60;46;60;53;53;46
7;65;64;59;56;54;70;77;63;65;55;69;61;51;60;46;60;54;51
8;48;66;64;58;54;54;71;77;63;65;56;66;64;49;61;46;59;53
9;62;50;67;64;60;56;56;71;76;66;65;55;66;66;49;60;46;58
10;68;65;51;68;64;62;57;57;72;76;66;65;54;66;64;51;62;44
11;67;68;65;52;69;64;63;57;57;72;77;63;66;52;66;64;51;58
12;61;66;67;64;52;71;64;63;57;59;73;76;65;67;52;65;65;50
13;51;62;66;68;63;52;73;62;64;58;60;76;77;68;65;53;65;63
14;59;54;64;66;67;65;52;74;62;63;58;58;79;78;68;65;53;66
15;77;60;54;64;68;69;62;53;75;63;63;58;57;80;77;73;65;52
16;62;76;62;53;64;68;68;63;54;77;64;64;61;57;80;78;73;66
17;64;61;76;61;53;64;68;68;62;52;76;62;64;60;58;81;81;72
18;51;66;62;77;62;53;68;69;68;64;53;75;62;67;70;66;100;98
19;53;53;69;60;79;63;55;67;71;68;61;52;74;66;65;81;69;99
20;81;53;54;68;61;79;71;55;68;72;64;63;52;75;64;67;66;66
21;80;83;52;55;66;61;87;71;58;66;66;64;66;52;75;66;65;66
22;83;79;87;57;56;68;64;89;70;58;64;66;65;67;51;81;61;68
