"Popolazione per età, vista per singola area - Comune: 085007 - Gela"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Gela"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;932;972;986;1009;970;917;804;887;797;819;747;797;714;710;676;676;633;604
1;866;924;960;969;999;961;913;804;877;794;809;741;791;703;697;666;652;613
2;910;849;915;956;958;983;953;902;805;873;789;807;749;785;694;694;653;640
3;936;909;850;917;945;956;971;954;902;797;877;780;800;740;777;682;680;636
4;933;927;923;855;928;948;949;961;954;898;801;873;781;787;734;767;676;672
5;892;930;932;927;859;927;937;946;964;958;893;797;873;775;783;731;762;659
6;981;886;929;932;924;855;932;927;939;960;960;883;787;860;761;782;718;746
7;977;977;887;930;942;928;863;927;921;938;955;952;882;784;845;760;775;707
8;1045;975;976;878;928;950;930;877;932;920;939;955;950;880;774;842;750;771
9;1020;1043;973;981;879;937;957;938;893;936;916;930;948;945;870;766;818;744
10;1090;1026;1054;972;982;881;936;962;941;899;945;910;923;937;929;860;760;803
11;1058;1092;1023;1052;976;987;881;952;973;957;903;947;910;918;929;916;848;753
12;1054;1054;1085;1024;1048;971;1001;884;962;986;960;898;938;905;906;920;910;845
13;1056;1049;1049;1099;1031;1045;979;1009;900;969;990;954;882;929;897;907;917;900
14;999;1062;1039;1047;1104;1040;1051;984;1014;905;980;981;949;881;925;893;899;904
15;917;1001;1062;1038;1058;1107;1049;1052;991;1022;909;977;973;950;879;921;891;891
16;1101;910;1012;1067;1033;1061;1102;1046;1056;993;1030;905;979;970;948;876;915;880
17;1064;1092;908;1023;1072;1040;1069;1109;1052;1064;999;1029;904;973;964;944;875;898
18;1124;1060;1093;914;1018;1084;1042;1078;1119;1055;1070;991;1024;899;972;971;982;872
19;1168;1119;1039;1089;907;1016;1079;1032;1073;1136;1059;1066;993;1018;890;962;979;972
20;1197;1152;1112;1020;1076;907;1012;1072;1035;1083;1139;1053;1055;993;1009;883;949;968
21;1212;1182;1134;1105;1019;1069;889;1018;1082;1040;1078;1126;1052;1055;985;1001;876;934
22;1033;1192;1166;1125;1095;1014;1066;898;1028;1084;1034;1059;1116;1045;1025;986;978;863
23;1121;1010;1161;1155;1127;1088;1005;1051;906;1035;1084;1025;1055;1110;1030;1009;966;950
24;1088;1106;1000;1148;1146;1109;1088;998;1048;912;1034;1062;1020;1052;1100;1012;995;945
25;1141;1071;1101;994;1127;1130;1083;1069;995;1046;907;1019;1059;1009;1030;1082;977;954
26;1272;1123;1063;1077;986;1108;1123;1075;1064;1004;1049;903;1008;1046;987;1010;1037;923
27;1197;1228;1128;1051;1069;983;1099;1116;1070;1064;1000;1030;899;986;1023;982;986;993
28;1168;1169;1205;1115;1046;1061;965;1091;1111;1086;1072;973;1008;885;965;1004;961;941
29;1142;1145;1178;1192;1102;1043;1048;975;1093;1107;1079;1053;964;998;855;953;977;925
30;1189;1130;1127;1157;1182;1097;1037;1049;983;1097;1110;1057;1029;958;983;844;936;936
31;1203;1180;1137;1120;1149;1172;1086;1025;1041;985;1087;1083;1046;1014;932;967;825;902
32;1113;1185;1175;1134;1125;1156;1167;1076;1039;1034;982;1066;1069;1026;981;921;945;796
33;1093;1100;1174;1167;1108;1121;1155;1152;1085;1043;1038;959;1038;1049;1007;948;893;914
34;1069;1084;1102;1164;1161;1110;1117;1153;1156;1087;1046;1028;947;1031;1017;1000;928;859
35;1117;1055;1081;1095;1148;1169;1117;1109;1152;1149;1096;1034;1018;947;1020;1004;981;898
36;1089;1103;1058;1085;1089;1147;1159;1113;1109;1163;1144;1091;1026;1002;943;1005;993;962
