"Popolazione per età, vista per singola area - Comune: 085011 - Montedoro"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Montedoro"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;13;21;16;20;7;17;17;13;9;14;10;11;6;5;8;7;11;15
1;16;14;21;17;18;8;15;16;14;9;14;9;12;6;5;9;6;11
2;16;17;16;21;17;17;9;15;16;14;7;15;9;11;6;5;8;5
3;16;15;18;16;19;16;15;9;16;16;13;5;15;9;10;6;5;7
4;15;16;17;19;15;19;16;15;10;17;14;11;6;15;8;11;6;5
5;12;15;17;18;19;15;18;16;19;10;16;13;12;5;15;9;10;6
6;18;12;15;18;19;19;16;18;17;19;10;15;13;11;5;15;9;9
7;19;18;13;16;19;19;20;16;19;17;19;10;15;13;11;5;15;8
8;16;19;18;13;16;19;18;20;16;19;18;19;11;15;13;11;5;15
9;14;16;20;18;11;14;20;18;20;14;19;18;19;11;14;13;11;7
10;20;13;16;21;18;11;12;22;17;18;14;19;18;20;11;13;14;11
11;13;18;13;15;20;18;13;12;22;18;18;14;19;18;20;11;13;13
12;22;13;18;13;12;20;18;13;12;22;18;19;14;19;18;20;10;13
13;20;22;15;18;14;13;21;19;15;12;23;19;20;14;19;18;18;9
14;10;22;22;14;16;14;13;21;19;15;12;21;19;21;14;19;18;18
15;25;10;24;22;14;17;14;13;22;17;15;11;21;19;23;14;18;19
16;22;23;10;24;22;14;17;14;13;21;16;15;13;21;19;23;14;19
17;13;24;23;9;23;22;14;17;14;13;21;15;14;13;21;19;24;15
18;21;13;24;23;9;23;23;14;17;14;12;21;15;16;13;21;19;31
19;29;21;13;24;24;10;23;24;16;17;14;13;21;15;18;12;21;18
20;24;28;23;14;23;23;11;24;22;16;17;14;13;21;15;17;13;20
21;17;23;26;23;14;23;24;13;22;21;15;15;14;16;20;15;19;12
22;23;17;22;25;25;11;23;24;14;23;22;17;14;14;17;19;15;18
23;26;21;15;20;23;26;11;24;24;14;22;21;17;17;19;15;19;15
24;15;26;21;12;20;23;25;11;24;27;15;21;20;24;15;17;19;19
25;19;16;26;21;11;21;25;25;12;21;24;14;21;22;23;18;16;13
26;26;19;17;23;22;10;22;24;24;11;21;25;14;25;23;21;18;14
27;21;25;18;17;22;23;10;19;24;22;11;18;21;14;24;23;20;16
28;23;19;27;20;17;19;21;12;20;23;19;12;16;21;14;25;24;17
29;24;23;19;28;19;18;18;20;12;19;22;17;12;19;22;12;23;20
30;23;21;23;23;28;19;19;18;20;16;19;22;17;13;23;23;12;19
31;21;23;25;25;21;28;21;19;21;19;18;17;21;19;14;24;22;11
32;28;21;22;25;24;15;27;20;18;21;19;16;17;26;23;13;22;24
33;16;28;20;20;24;22;16;24;20;18;20;17;14;16;22;20;13;18
34;28;17;27;22;20;23;21;13;25;19;19;20;17;15;18;22;20;13
35;33;29;19;26;21;19;23;21;16;24;17;19;20;18;16;15;23;16
36;29;33;30;17;27;23;18;25;23;16;25;18;20;20;18;15;14;22
37;31;26;33;29;16;25;19;20;27;23;18;23;17;20;20;14;13;17
38;26;27;26;34;29;15;24;19;20;28;23;15;22;17;21;19;14;12
39;21;26;29;27;34;29;17;24;17;20;27;21;16;23;15;20;21;13
40;28;21;26;28;24;33;27;17;24;19;20;26;21;19;22;14;17;20
41;25;26;21;25;25;26;33;28;17;24;18;20;26;23;21;18;17;16
42;23;25;27;21;25;25;26;31;29;17;24;17;20;27;25;19;18;16
43;18;23;26;27;21;25;24;24;31;27;17;23;17;21;26;26;16;18
44;16;19;22;25;26;21;24;23;23;28;27;17;23;17;21;25;25;16
45;25;15;18;23;25;26;21;24;23;23;28;27;18;24;18;20;23;25
46;30;26;16;18;22;26;29;21;24;23;23;29;26;17;24;17;20;20
47;21;30;26;16;18;23;28;31;21;24;24;24;29;25;17;24;15;20
48;17;21;30;26;16;18;23;28;31;21;24;24;24;30;25;17;23;14
49;21;17;21;31;26;15;18;22;28;31;22;22;24;24;29;24;16;23
50;15;20;17;20;31;26;15;17;23;27;30;21;22;25;25;28;24;15
51;27;15;20;17;20;29;26;14;17;23;27;31;21;22;24;24;29;24
52;24;27;15;19;17;20;29;26;14;16;23;26;31;21;22;24;23;26
53;21;22;28;13;19;16;20;28;27;14;16;22;25;31;21;21;24;23
54;16;21;22;28;13;18;16;19;28;26;14;17;21;26;31;20;22;23
55;13;16;21;21;28;13;18;16;19;28;25;14;17;21;26;31;20;22
56;27;13;16;21;21;28;13;18;16;19;27;25;14;19;22;25;28;20
57;17;27;12;16;21;22;28;14;18;16;19;27;25;14;19;22;24;26
58;18;17;27;13;16;20;23;29;14;19;16;18;26;25;14;18;23;23
59;20;19;17;27;13;16;20;24;29;15;19;16;18;26;25;14;16;23
60;16;20;18;18;26;13;16;20;24;29;15;18;16;18;26;24;14;16
61;20;16;18;18;16;26;11;16;22;24;28;15;19;16;18;26;24;14
62;21;20;16;18;18;16;26;11;17;22;22;28;15;19;16;18;26;24
63;23;21;21;15;17;18;16;25;11;18;22;22;29;15;19;16;18;26
64;20;23;20;21;15;17;18;16;25;11;17;22;20;29;15;19;16;17
65;17;20;20;20;22;15;16;17;16;27;11;17;22;20;30;15;19;16
66;22;18;20;21;19;22;15;16;15;16;27;11;16;21;21;30;17;20
67;23;22;20;21;20;18;20;15;18;16;16;27;11;16;21;21;30;17
68;18;23;22;20;21;19;18;20;14;18;16;16;26;11;16;21;20;29
69;24;18;23;22;19;22;19;18;20;14;18;15;15;24;10;16;20;18
70;36;24;16;23;23;19;22;19;17;20;14;17;14;15;25;10;17;20
71;25;34;25;16;23;24;19;22;19;17;20;14;16;14;15;25;10;15
72;22;25;33;25;16;23;22;15;21;19;16;18;15;16;13;16;25;10
73;26;22;24;31;25;14;22;21;15;19;19;16;19;15;16;13;16;23
74;25;23;21;24;33;24;14;22;21;11;17;19;15;19;15;16;13;15
75;26;24;23;19;24;33;22;13;22;18;11;16;17;15;18;15;16;13
76;22;26;24;23;18;21;31;22;13;20;17;10;17;17;13;18;15;15
77;15;21;25;22;21;15;20;28;22;13;19;16;9;16;16;13;18;15
78;16;15;20;25;22;21;14;17;29;21;13;18;16;9;16;16;13;19
79;18;15;15;19;25;21;20;14;16;29;21;13;17;14;9;16;16;12
80;11;15;13;16;18;25;20;18;15;16;28;21;12;15;13;8;15;15
