"Popolazione per età, vista per singola area - Comune: 087054 - Vizzini"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Vizzini"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;69;65;69;68;53;40;47;48;58;44;34;46;51;51;39;45;38;54
1;65;69;66;70;68;53;39;42;47;64;40;34;44;53;52;39;45;38
2;73;66;70;67;70;68;52;41;43;49;62;39;33;45;54;51;39;46
3;63;71;67;72;66;69;69;50;41;43;47;64;41;35;44;53;52;37
4;86;61;70;66;72;67;69;68;52;39;42;47;65;42;35;43;52;50
5;55;87;61;71;64;71;66;70;70;55;39;43;50;64;43;34;44;50
6;58;55;86;62;69;64;73;65;68;63;55;39;43;49;62;42;33;44
7;75;57;57;88;62;70;65;74;64;71;63;54;40;42;49;64;43;34
8;63;76;56;58;88;61;70;64;75;64;70;62;53;40;39;49;62;43
9;78;63;74;59;58;87;60;70;63;75;65;68;61;50;40;40;47;63
10;66;78;62;72;60;59;88;60;71;62;74;64;69;61;49;40;40;44
11;94;67;78;62;73;60;61;89;61;67;61;75;64;66;61;49;42;40
12;81;94;68;80;61;74;58;62;89;61;66;62;75;63;66;61;48;41
13;97;80;93;69;79;61;72;58;62;88;61;66;62;74;62;67;62;53
14;96;98;83;95;69;79;61;71;57;61;88;59;65;61;72;61;68;62
15;94;97;99;81;94;67;79;62;74;56;60;86;59;65;62;70;62;70
16;96;92;97;94;81;95;68;80;61;72;56;61;85;59;64;62;69;64
17;93;92;93;98;93;81;95;69;80;61;73;55;61;84;58;64;59;69
18;83;95;92;93;94;94;82;98;70;81;61;76;56;61;83;57;61;59
19;88;81;94;92;92;95;90;81;94;68;78;63;74;55;60;83;58;68
20;90;91;78;95;90;96;97;92;84;98;69;75;64;70;56;58;81;60
21;88;94;92;76;95;87;97;98;96;81;91;69;79;65;70;57;56;81
22;93;88;93;93;75;95;88;96;99;95;80;88;70;81;62;70;56;58
23;109;94;87;92;92;71;96;87;94;97;87;78;94;67;81;62;69;55
24;80;105;93;84;89;88;73;97;91;95;97;88;82;96;66;78;59;71
25;120;77;101;89;82;90;85;68;99;90;88;96;90;76;91;63;75;58
26;101;112;79;99;88;82;89;82;66;98;85;89;91;89;73;89;62;76
27;89;96;109;78;96;87;81;88;80;66;95;79;85;90;90;73;88;59
