"Popolazione per età, vista per singola area - Comune: 090028 - Esporlatu"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Esporlatu"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4;6;2;2;6;4;0;10;3;4;3;2;5;2;2;2;0;1
1;3;4;6;2;2;6;4;1;9;3;3;3;2;5;1;1;2;0
2;6;3;4;6;2;2;5;4;1;9;3;3;3;2;4;1;1;2
3;6;6;3;4;6;2;2;5;4;1;9;3;3;3;2;4;1;1
4;1;6;6;3;4;6;1;2;5;4;1;9;3;3;3;2;4;1
5;7;1;6;6;3;4;6;1;2;5;3;1;9;3;3;3;2;3
6;8;7;1;6;6;3;4;6;1;2;3;3;1;10;3;3;3;2
7;6;8;7;1;6;6;3;4;7;1;2;3;3;1;10;3;3;3
8;5;5;8;7;1;6;6;2;4;7;1;2;4;3;0;10;3;3
9;4;5;5;8;8;1;7;6;2;4;7;1;2;4;3;0;10;3
10;4;4;5;6;8;8;1;7;6;2;4;7;1;2;4;3;0;10
11;3;4;4;5;6;8;8;1;7;6;2;4;7;1;2;4;4;0
12;4;3;4;4;5;6;8;8;2;7;6;2;4;7;1;2;4;4
13;2;4;3;4;4;5;6;7;8;1;7;6;2;4;7;1;2;4
14;4;2;4;3;4;4;5;5;7;8;2;7;6;3;4;7;1;2
15;4;4;2;4;3;4;4;4;5;7;8;2;7;7;3;4;7;1
16;3;4;3;2;4;3;4;4;4;5;7;8;2;7;7;3;4;7
17;4;3;4;3;2;4;3;4;4;5;5;8;7;2;7;7;3;4
18;6;4;3;5;3;3;4;3;4;4;5;5;7;7;2;7;7;3
19;4;6;4;3;5;4;3;4;3;4;4;5;5;7;8;2;7;7
20;4;4;7;4;3;5;4;3;4;3;3;4;5;5;7;8;3;6
21;7;4;4;7;4;3;5;4;2;4;3;3;4;5;5;7;8;3
22;5;7;4;4;7;4;3;5;4;2;4;3;3;4;4;6;7;8
23;7;5;6;4;4;6;4;3;5;4;3;4;3;3;4;4;6;7
24;5;8;6;6;4;4;6;4;3;5;6;3;4;4;3;4;4;6
25;4;6;8;6;6;4;3;6;4;3;5;6;2;5;4;4;4;4
26;10;3;6;7;5;6;4;4;6;4;3;4;4;2;4;4;5;4
27;6;11;3;6;7;5;5;4;3;6;5;2;3;4;2;3;4;5
28;11;6;10;3;6;5;5;5;5;3;5;4;2;3;4;2;3;4
29;8;11;8;10;4;6;5;5;5;3;3;5;3;2;2;4;2;3
30;9;8;11;7;11;5;6;5;3;5;3;3;5;3;2;2;3;2
31;7;9;9;10;8;12;5;7;5;3;5;3;4;5;3;2;2;3
32;10;7;9;9;11;7;12;6;6;4;3;5;3;4;5;3;2;2
33;7;11;7;9;10;8;6;12;5;6;5;2;5;4;4;5;2;2
34;7;7;9;8;9;7;9;6;11;5;4;3;2;5;4;4;5;2
35;10;7;7;10;8;9;6;9;7;11;5;4;3;2;5;4;4;4
36;11;9;7;9;9;8;9;8;9;6;11;4;3;4;2;5;4;3
37;7;11;9;7;9;9;7;8;5;9;6;10;5;3;4;3;5;4
38;5;7;10;9;7;9;9;7;8;5;9;5;9;5;3;4;3;5
39;7;5;7;11;9;7;8;9;7;8;5;9;5;9;5;3;4;2
40;6;6;5;7;11;9;7;7;9;6;8;5;9;5;8;5;3;4
41;9;6;6;5;7;11;9;5;7;8;5;8;5;9;5;8;5;3
42;3;9;6;6;5;7;10;8;6;6;8;5;8;6;7;5;8;5
43;5;3;9;6;6;5;7;10;8;6;6;8;5;8;6;9;5;7
44;3;5;3;9;6;6;5;6;10;9;5;6;7;5;7;6;9;4
45;6;3;5;3;9;7;6;5;7;11;9;5;6;7;5;7;6;9
46;8;6;3;5;3;9;7;6;5;6;11;9;5;7;7;5;6;6
47;3;8;6;3;5;2;9;5;6;5;6;10;9;5;7;7;5;6
48;5;3;8;6;3;4;2;9;5;6;5;6;10;9;5;7;7;5
49;2;5;3;8;6;4;4;2;9;5;5;5;5;10;8;7;7;8
50;9;2;5;3;8;6;4;3;2;10;5;4;5;5;10;8;7;7
51;6;9;2;4;3;8;6;3;3;2;9;5;4;5;5;10;8;6
52;5;6;9;2;5;3;7;6;3;3;2;8;5;5;5;5;10;8
53;6;5;6;9;2;6;3;7;6;3;3;3;8;5;7;4;5;10
54;8;6;5;6;9;2;6;3;6;5;3;3;3;9;5;7;4;5
55;7;8;6;5;6;9;2;5;2;6;6;3;3;3;9;5;7;4
56;2;7;8;6;5;6;10;2;5;2;7;6;3;3;3;8;5;7
57;5;2;5;9;6;5;6;8;2;4;2;7;6;3;3;3;8;5
58;5;6;2;5;9;6;5;6;9;2;4;2;7;6;3;3;3;8
59;6;5;6;3;5;8;6;6;6;9;2;4;2;6;7;3;3;3
60;5;6;5;7;3;5;8;6;6;6;8;2;4;3;6;7;3;3
61;6;5;6;5;7;3;4;8;6;5;5;8;2;4;3;5;7;3
62;4;6;5;6;5;6;3;4;8;6;5;5;8;2;4;3;5;7
63;3;4;6;6;6;5;6;3;4;8;5;5;5;8;2;4;3;5
64;6;3;4;6;6;6;5;6;3;4;8;5;5;5;8;2;4;4
65;2;7;3;4;5;4;6;5;6;2;4;8;4;5;4;8;2;4
66;3;2;7;3;4;4;4;6;5;6;2;5;8;4;5;4;8;2
67;11;2;1;7;3;3;4;4;6;5;6;2;5;8;4;5;4;7
68;8;10;2;1;7;3;3;4;5;6;5;6;2;5;8;4;5;3
69;2;7;9;2;1;7;3;3;4;4;6;5;5;2;5;8;4;5
70;8;2;8;9;2;1;6;3;3;4;4;6;6;5;2;5;8;4
71;4;8;1;7;9;2;1;6;3;3;4;4;6;6;5;2;5;8
72;5;4;8;1;6;8;2;1;6;3;3;5;3;6;6;5;2;5
73;11;5;4;8;1;6;8;2;1;5;3;3;5;2;6;6;5;2
74;2;12;5;4;8;0;5;9;2;1;5;3;3;5;2;5;6;5
75;0;2;10;5;4;7;0;5;9;2;1;5;3;3;4;2;5;4
76;3;1;2;9;5;4;7;0;5;9;2;1;5;3;3;4;1;5
77;6;3;1;2;9;5;4;7;0;5;9;2;1;5;2;3;4;1
78;5;6;3;1;2;9;5;4;5;0;5;9;2;1;5;2;3;4
79;1;5;5;3;0;2;9;5;4;4;0;6;8;2;1;5;2;3
80;0;1;4;4;3;0;2;9;5;4;4;0;6;8;2;1;5;2
81;6;0;1;4;5;2;0;2;9;4;4;3;0;6;8;2;1;5
82;3;4;0;1;4;4;2;0;2;8;4;4;3;0;6;7;2;1
83;4;3;4;0;0;4;4;2;0;2;8;4;4;3;0;6;7;2
84;2;4;3;3;0;0;3;3;2;0;2;8;4;3;3;0;6;7
85;2;2;4;2;3;0;0;3;4;2;0;2;6;4;3;3;0;6
86;2;2;2;3;1;3;0;0;3;4;1;0;2;6;4;3;3;0
87;1;2;1;2;3;1;4;0;0;3;4;1;0;2;6;4;3;2
88;6;0;1;1;2;3;1;3;0;0;3;3;1;0;2;5;4;2
89;2;5;0;0;0;2;3;1;1;0;0;2;2;1;0;2;5;3
90;2;2;3;0;0;0;2;3;1;0;0;0;1;2;1;0;2;5
91;0;2;1;1;0;0;0;0;3;1;0;0;0;1;1;1;0;1
92;1;0;1;1;1;0;0;0;0;3;1;0;0;0;1;1;1;0
93;0;1;0;1;1;0;0;0;0;0;2;1;0;0;0;1;1;1
94;0;0;1;0;1;1;1;0;0;0;0;2;1;0;0;0;0;0
95;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0
96;1;0;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0
97;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0
98;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
99;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
100 e oltre;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;473;476;462;462;467;453;442;439;433;421;415;407;396;407;398;398;396;382
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;2;2;1;1;2;3;0;5;2;2;2;2;3;0;0;1;0;1
1;0;2;2;1;1;2;3;1;5;2;2;2;2;3;0;0;1;0
2;2;0;2;2;1;1;2;3;1;5;2;2;2;2;3;0;0;1
3;1;2;0;2;2;1;1;2;3;1;5;2;2;2;2;3;0;0
4;1;1;2;0;2;2;1;1;2;3;1;5;2;2;2;2;3;0
5;1;1;1;2;0;2;2;1;1;2;2;1;5;2;2;2;2;2
6;6;1;1;1;2;0;2;2;1;1;1;2;1;6;2;2;2;2
7;4;6;1;1;1;2;0;2;3;1;1;1;2;1;6;2;2;2
8;3;3;6;1;1;1;2;0;2;3;1;1;1;2;0;6;2;2
9;2;3;3;6;1;1;1;3;0;2;3;1;1;1;2;0;6;2
10;1;2;3;4;6;1;1;1;3;0;2;3;1;1;1;2;0;6
11;1;1;2;3;4;6;1;1;1;3;0;2;3;1;1;1;2;0
12;1;1;1;2;3;4;6;1;2;1;3;0;2;3;1;1;1;2
13;1;1;1;1;2;3;4;6;1;1;1;3;0;2;3;1;1;1
14;2;1;1;1;1;2;3;3;6;1;1;1;3;0;2;3;1;1
15;0;2;1;1;1;1;2;2;3;6;1;1;1;3;0;2;3;1
16;0;0;1;1;1;1;1;2;2;3;6;1;1;1;3;0;2;3
17;1;0;0;1;1;1;1;1;2;3;3;6;1;1;1;3;0;2
18;3;1;0;0;1;1;1;1;1;2;3;3;6;1;1;1;3;0
19;2;3;1;0;0;2;1;1;1;1;2;3;3;6;1;1;1;3
20;3;2;3;1;0;0;2;1;1;1;1;2;3;3;6;1;2;1
21;1;3;2;3;1;0;0;2;1;1;1;1;2;3;3;6;1;2
22;4;1;3;2;3;1;0;0;2;1;1;1;1;2;3;4;6;1
23;4;4;1;3;2;2;1;0;0;2;1;1;1;1;2;3;4;6
24;1;4;4;1;3;2;2;1;0;0;3;1;1;1;1;2;3;4
25;2;2;4;4;1;3;1;2;1;0;0;3;1;2;2;2;2;3
26;5;1;2;3;4;1;3;1;2;1;0;0;3;1;1;2;2;2
27;2;6;1;2;2;3;1;3;1;2;2;0;0;3;1;1;2;2
28;6;2;5;0;2;1;3;1;3;1;2;1;0;0;3;1;1;2
29;4;6;3;5;1;2;1;3;1;3;1;2;1;0;0;3;1;1
30;5;4;6;4;5;2;2;1;3;1;3;1;2;1;0;0;1;1
31;3;5;4;6;4;6;2;2;1;3;1;3;1;2;1;0;0;1
32;2;3;5;4;7;4;6;2;2;1;3;1;3;1;2;1;0;0
33;5;3;3;5;5;7;3;6;2;3;1;2;1;4;1;2;1;0
34;4;5;3;4;5;3;7;3;5;2;2;0;2;1;4;1;2;1
35;2;5;5;3;4;5;3;7;4;5;2;2;0;2;1;4;1;2
36;5;2;5;6;2;4;5;4;7;4;5;1;2;1;2;1;4;1
37;5;5;2;5;6;2;4;4;4;7;4;5;2;2;1;3;1;4
38;2;5;4;2;5;6;2;4;4;4;7;3;5;2;2;1;3;1
39;6;2;5;5;2;5;5;2;4;4;4;7;3;5;2;2;1;2
40;5;5;2;5;5;2;5;5;2;3;4;4;7;3;4;2;2;1
41;7;5;5;2;5;5;2;3;5;1;3;4;4;7;3;4;2;2
42;0;7;5;5;2;5;4;2;3;4;1;3;4;4;5;3;4;2
43;1;0;7;5;5;2;5;4;2;3;4;1;3;4;4;5;3;3
44;2;1;0;7;5;5;2;4;4;2;2;4;1;3;4;4;5;3
45;2;2;1;0;7;6;5;2;5;5;2;2;4;1;3;4;4;5
46;6;2;2;1;0;7;6;5;2;4;5;2;2;5;1;3;3;4
47;1;6;2;2;1;0;7;5;5;2;4;5;2;2;5;1;3;3
48;4;1;6;2;2;1;0;7;5;5;2;4;5;2;2;5;1;3
49;2;4;1;6;2;3;1;0;7;5;4;2;3;5;1;3;5;1
50;5;2;4;1;6;2;3;1;0;8;5;3;2;3;5;1;3;5
51;2;5;2;3;1;6;2;2;1;0;7;5;3;2;3;5;1;3
52;2;2;5;2;3;1;5;2;2;1;0;6;5;4;2;3;5;1
53;3;2;2;5;2;4;1;5;2;2;1;0;6;5;5;1;3;5
54;6;3;2;2;5;2;4;1;4;1;2;1;0;7;5;5;1;3
55;3;6;3;2;2;5;2;4;0;4;2;2;1;0;7;5;5;1
56;2;3;6;3;2;2;6;2;4;0;5;2;2;1;0;6;5;5
57;2;2;1;6;3;2;2;5;2;3;0;5;2;2;1;0;6;5
58;1;2;2;1;6;3;2;2;5;2;3;0;5;2;2;1;0;6
59;2;1;2;3;1;6;3;2;2;5;2;3;0;4;3;2;1;0
60;1;2;1;2;3;1;6;3;2;2;5;2;3;1;4;3;2;1
61;3;1;2;1;2;3;1;6;3;2;2;5;2;3;1;3;3;2
62;2;3;1;2;1;2;3;1;6;3;2;2;5;2;3;1;3;3
63;3;2;3;1;2;1;2;3;1;6;2;2;2;5;2;3;1;3
64;5;3;2;3;1;2;1;2;3;1;6;2;2;2;5;2;3;2
65;1;5;3;2;2;0;2;1;2;2;1;6;1;2;1;5;2;3
66;2;1;5;3;2;2;0;2;1;2;2;2;6;1;2;1;5;2
67;3;1;0;5;3;1;2;0;2;1;2;2;2;6;1;2;1;5
