"Popolazione per età, vista per singola area - Comune: 091012 - Bortigali"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Bortigali"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;11;7;6;9;8;7;9;10;7;9;8;11;8;7;2;6;8;7
1;7;11;8;6;9;8;8;8;9;6;6;7;11;8;7;2;6;8
2;9;6;12;8;6;8;8;7;8;9;6;4;7;11;8;8;2;6
3;10;9;6;12;8;7;8;8;7;8;9;5;6;6;9;8;8;2
4;8;10;9;7;12;8;7;8;8;7;8;8;5;6;6;10;7;8
5;14;9;11;9;6;12;8;6;8;8;7;8;8;5;5;8;9;7
6;7;14;8;11;9;6;12;6;6;9;9;7;8;8;6;4;8;9
7;10;7;14;8;11;11;6;12;6;6;9;9;7;8;8;6;4;8
8;18;10;7;14;8;11;11;6;12;7;7;8;9;7;8;8;7;5
9;17;17;10;7;14;9;11;11;6;12;7;7;8;8;7;8;8;7
10;12;17;17;10;7;14;9;10;10;5;12;7;7;8;9;7;7;7
11;13;12;17;17;10;8;14;8;10;10;6;11;7;6;8;8;7;7
12;9;13;12;18;18;11;8;14;8;10;10;6;11;7;6;8;8;7
13;12;9;12;12;17;18;11;8;14;8;11;10;6;11;7;6;8;8
14;14;12;9;12;12;19;19;11;7;14;8;11;8;5;11;6;6;7
15;16;14;12;9;17;14;19;19;10;7;14;8;12;8;5;11;6;6
16;16;16;14;12;8;17;14;17;21;9;7;13;8;11;9;5;11;7
17;16;17;18;14;14;10;17;14;18;20;9;7;13;8;11;9;5;10
18;15;16;16;18;14;14;10;16;14;18;20;9;7;13;8;11;9;5
19;19;15;16;16;18;14;14;10;17;14;20;20;9;7;13;9;11;10
20;18;19;15;16;15;18;14;14;10;17;12;20;20;8;7;14;9;11
21;23;18;19;16;15;16;18;13;14;11;18;12;20;22;8;7;14;9
22;18;20;18;19;16;16;16;14;12;14;12;17;12;19;21;9;7;14
23;18;19;21;18;20;16;16;14;15;14;14;12;17;12;19;20;9;7
24;18;17;17;23;18;17;16;16;13;14;15;14;13;17;13;18;20;9
25;16;15;17;18;23;17;18;17;19;15;13;15;14;12;16;13;19;19
26;19;17;16;17;18;24;17;18;18;19;15;12;16;14;11;17;15;20
27;23;19;16;19;16;18;20;16;17;17;18;14;11;18;15;10;17;14
28;15;23;18;14;19;18;17;17;17;19;17;18;14;11;18;15;10;16
29;14;13;22;18;14;19;16;18;17;17;16;19;16;14;10;16;15;9
30;18;14;14;23;18;14;18;16;17;16;16;14;17;17;12;11;15;17
31;18;16;13;17;22;17;14;18;15;15;16;15;14;17;16;12;12;15
32;20;16;17;14;15;22;15;13;17;14;16;18;15;11;17;15;12;11
33;15;19;17;18;12;15;24;16;15;17;16;14;18;15;10;17;17;13
34;18;15;22;16;20;13;13;27;16;13;19;16;14;17;15;11;17;17
35;26;19;15;21;17;17;14;14;26;16;13;21;13;11;17;15;13;18
36;24;25;19;13;23;17;17;14;14;26;21;14;21;10;11;16;14;13
37;16;24;24;20;13;23;17;15;15;14;26;21;13;21;11;11;15;15
38;16;16;20;25;19;13;21;16;13;15;15;25;20;13;20;15;11;15
39;17;16;19;21;24;19;14;22;16;13;15;14;25;20;13;21;15;11
40;18;15;16;19;22;26;20;14;22;16;13;15;14;23;19;14;21;14
41;24;16;16;16;19;23;26;17;14;23;17;12;15;15;23;20;13;19
42;23;25;16;16;16;18;24;27;17;13;24;17;12;15;16;23;16;13
43;22;23;24;16;17;16;18;23;27;17;13;24;17;13;15;16;23;16
44;19;21;23;25;17;18;16;17;22;25;16;13;25;18;13;16;15;23
45;21;19;21;22;23;18;18;17;19;20;25;15;14;23;18;15;15;15
46;15;22;19;21;22;25;17;18;16;19;17;24;15;13;25;18;15;15
47;23;15;22;20;21;24;25;15;16;16;19;17;24;15;13;25;17;16
48;25;25;15;23;21;21;26;25;15;17;16;19;20;23;15;12;25;15
49;30;25;25;15;23;22;21;23;25;15;16;16;19;20;23;18;13;25
50;28;30;24;25;15;23;21;21;23;26;15;15;16;19;19;24;18;13
51;22;28;30;24;25;15;20;20;20;24;28;15;18;16;19;21;24;19
52;21;22;28;28;24;26;16;20;20;20;24;29;15;17;16;19;20;25
53;15;21;22;28;28;24;22;17;19;20;19;24;28;15;17;17;19;20
54;14;16;21;22;26;28;23;23;18;19;22;19;24;27;15;17;18;21
55;17;14;14;20;22;26;28;23;25;17;19;23;20;24;28;15;18;18
56;15;17;14;13;21;21;27;29;23;25;18;19;22;19;24;27;15;18
57;14;15;15;14;13;21;21;26;29;22;24;18;19;22;19;24;26;15
58;13;14;15;15;14;13;23;20;26;29;22;24;17;19;22;19;24;24
59;14;13;14;15;16;14;13;24;20;25;28;21;24;16;19;20;19;23
60;19;15;13;14;15;16;14;13;24;21;25;27;21;24;16;20;20;20
61;24;18;15;15;14;15;15;14;13;23;21;25;27;21;23;16;20;20
62;12;25;18;15;15;13;16;16;14;13;22;22;25;24;21;23;16;20
63;27;12;24;18;15;15;13;16;17;12;13;22;23;24;24;21;23;16
64;17;27;12;24;18;15;15;14;16;17;13;13;21;23;24;23;21;24
65;25;16;27;12;24;18;17;15;14;17;17;13;13;21;23;23;23;21
66;22;24;16;27;12;24;16;16;15;14;16;17;13;13;20;22;23;23
67;24;21;23;16;27;12;23;16;16;15;14;17;16;13;13;20;21;23
68;27;24;21;23;14;27;12;23;16;15;16;14;17;16;13;13;20;20
69;26;27;24;19;22;14;27;15;22;16;15;16;14;17;16;13;13;19
70;18;26;24;24;19;22;14;26;15;22;16;13;16;14;17;16;13;13
71;19;18;26;24;22;18;20;14;25;15;22;16;12;16;13;17;16;13
72;15;20;18;24;25;21;18;18;15;25;15;21;16;12;16;13;16;17
73;19;14;20;18;24;27;21;18;19;15;25;15;21;16;11;16;12;15
74;18;19;14;19;18;23;27;22;18;21;15;25;14;20;16;11;16;10
75;26;19;18;14;20;18;23;26;20;19;21;16;26;14;21;16;10;16
76;13;26;18;17;15;20;18;22;27;20;18;21;16;25;14;20;13;10
77;28;11;24;17;17;15;19;15;18;27;20;18;18;16;26;13;20;12
78;18;27;11;23;17;17;14;17;15;17;26;20;17;18;16;26;12;18
79;11;18;26;11;23;16;17;14;15;11;14;26;18;16;16;15;25;12
80;15;8;18;22;9;22;17;17;12;15;11;13;26;18;16;16;15;24
81;9;12;7;18;22;9;20;17;16;12;16;11;13;26;17;16;16;14
82;18;9;12;6;18;22;9;20;15;16;12;16;11;12;23;16;16;16
83;8;16;8;12;6;17;20;8;20;14;16;11;15;11;10;24;16;15
84;5;7;14;9;12;5;15;20;8;20;14;15;11;13;11;10;24;15
85;13;5;7;14;9;11;5;14;19;8;18;14;13;11;13;10;9;22
86;10;13;5;6;12;9;8;5;14;13;8;17;12;13;10;8;10;9
87;5;9;10;5;5;11;8;6;5;11;11;7;16;12;11;9;8;10
88;7;5;8;9;5;4;9;7;6;4;10;10;7;14;13;10;10;8
89;8;6;4;7;8;5;4;9;7;6;4;10;9;5;13;13;9;9
90;1;6;6;4;7;7;5;4;7;6;5;4;7;7;4;12;11;8
91;3;1;6;5;4;7;5;5;4;8;6;4;4;6;7;4;9;10
92;4;3;0;3;5;2;6;4;5;3;6;6;4;4;5;7;3;8
93;1;3;2;0;2;4;3;4;4;3;2;5;5;4;1;5;6;3
94;2;1;2;2;0;2;4;3;4;2;2;0;3;3;3;1;5;4
95;1;2;1;2;2;0;1;4;4;4;2;2;0;3;4;3;0;4
96;2;0;1;0;2;2;0;1;4;3;3;2;2;0;3;4;3;0
97;2;2;0;1;0;1;1;0;0;2;3;2;2;2;0;2;3;2
98;0;1;2;0;1;0;1;1;0;0;2;3;2;2;1;0;2;2
99;0;0;0;2;0;1;0;1;1;0;0;2;3;2;2;0;0;0
100 e oltre;0;0;0;0;1;1;1;1;1;1;1;1;1;2;1;1;0;0
Totale;1538;1513;1492;1493;1494;1505;1484;1457;1448;1426;1427;1412;1396;1362;1338;1339;1323;1306
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;1;3;2;5;7;3;3;5;4;3;1;7;5;3;1;3;2;3
1;4;1;3;2;5;7;4;3;5;4;2;1;7;5;3;1;4;2
2;5;4;2;3;2;5;7;3;3;5;4;1;1;7;5;4;1;4
3;4;5;4;2;3;3;5;7;3;3;4;3;2;1;6;5;4;1
