"Popolazione per età, vista per singola area - Comune: 091039 - Loceri"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Loceri"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;12;5;5;7;10;4;11;5;10;7;13;7;6;13;11;8;13;19
1;8;12;6;5;8;10;4;10;5;12;8;13;5;7;14;10;9;14
2;8;7;12;6;5;8;10;3;11;4;12;8;14;8;8;15;10;10
3;9;9;8;12;6;5;8;9;2;11;4;11;7;15;8;8;14;10
4;12;9;10;8;11;5;5;8;9;3;13;4;12;8;13;8;7;13
5;11;12;9;10;8;9;5;5;8;10;3;13;6;12;11;14;10;5
6;8;11;12;9;10;8;9;5;5;8;10;3;15;6;12;11;14;10
7;8;8;11;12;8;10;7;9;5;6;8;10;3;15;6;13;11;14
8;11;7;9;11;12;8;8;7;8;7;6;7;10;3;14;6;12;11
9;11;11;6;9;11;12;8;8;6;9;7;7;9;10;3;13;5;12
10;22;11;13;6;8;11;12;9;8;8;9;7;7;9;11;3;14;5
11;18;21;13;13;7;8;11;13;9;8;8;10;7;7;11;11;3;14
12;15;17;21;13;13;7;8;12;13;9;8;8;10;7;6;11;11;3
13;8;17;16;21;12;13;7;12;12;13;9;8;8;10;8;6;11;10
14;18;8;19;16;20;12;13;7;10;14;13;9;9;9;8;8;6;11
15;13;17;8;18;16;20;12;14;7;11;14;13;9;9;9;9;8;6
16;18;13;21;8;18;16;21;13;14;7;11;14;14;9;9;9;9;8
17;16;18;13;21;8;18;16;21;13;15;7;12;14;14;9;9;8;10
18;21;15;17;13;20;7;18;15;21;13;14;6;11;14;14;10;7;9
19;17;20;15;18;10;20;9;17;16;20;13;13;6;11;15;14;10;7
20;15;18;21;15;18;10;19;8;18;16;22;13;13;6;11;16;13;9
21;27;14;18;21;14;18;10;19;9;16;17;21;13;13;6;12;14;13
22;19;26;14;18;18;15;19;10;20;8;16;18;20;13;14;6;12;15
23;14;15;25;13;18;16;15;20;10;22;7;16;17;20;13;15;6;11
24;21;14;15;22;14;18;14;15;20;10;22;6;16;17;19;12;14;6
25;17;19;16;13;21;13;17;14;16;21;9;23;5;13;16;21;11;11
26;22;18;21;14;14;21;13;17;15;15;19;9;22;6;12;17;22;12
27;14;22;16;23;15;13;25;14;19;20;16;15;9;22;8;12;20;22
28;18;17;20;17;23;15;14;24;14;20;21;12;17;9;21;7;12;20
29;19;20;17;22;15;22;13;14;23;14;21;19;14;16;10;21;6;11
30;12;19;21;16;21;13;23;13;16;22;14;20;19;11;16;11;22;8
31;18;13;19;21;17;20;13;24;12;17;22;15;19;20;12;15;10;23
32;14;18;12;21;19;14;19;11;22;13;17;22;15;19;19;12;15;9
33;22;12;18;12;21;19;16;20;11;20;14;17;20;16;18;18;12;17
34;20;22;13;19;12;20;17;16;20;13;22;12;16;22;17;15;19;12
35;19;21;20;12;20;12;21;17;15;19;14;23;13;14;22;17;14;16
36;15;19;20;19;13;21;13;20;15;15;15;15;25;14;14;22;15;14
37;27;16;19;20;17;14;21;13;21;17;15;16;15;25;17;16;20;14
38;18;26;14;20;19;18;12;22;13;21;16;16;16;15;25;20;21;21
39;20;18;28;12;20;17;17;12;20;13;23;14;15;17;13;23;20;22
40;20;20;19;29;12;18;17;16;11;21;13;23;16;16;16;12;24;21
41;19;20;21;19;26;12;17;16;16;12;21;12;24;17;14;16;14;23
42;17;19;21;20;19;26;12;18;16;17;14;22;12;24;18;13;17;15
43;24;17;19;21;19;19;25;12;19;17;18;13;23;11;23;18;12;17
44;17;24;17;19;21;18;19;25;12;21;17;17;13;22;11;23;20;14
