"Popolazione per età, vista per singola area - Comune: 094017 - Colli a Volturno"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Colli a Volturno"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;9;12;10;20;14;9;18;6;12;8;12;11;9;8;9;10;7;13
1;10;7;11;10;19;14;8;18;8;11;9;12;10;8;9;10;8;7
2;7;10;7;11;10;18;15;8;17;8;13;9;13;10;8;9;10;8
3;13;7;10;7;11;10;19;18;8;17;9;12;10;13;8;8;11;9
4;15;13;7;9;6;9;10;18;18;10;17;10;12;11;11;9;8;9
5;18;14;14;7;9;8;9;10;18;18;10;16;10;12;11;11;9;7
6;9;17;14;14;8;10;7;9;10;18;19;11;16;11;11;11;11;9
7;16;10;16;13;14;8;9;10;9;10;18;20;12;16;11;12;10;11
8;18;16;10;15;12;14;7;9;9;9;10;19;20;11;16;10;12;10
9;12;17;16;9;15;12;13;9;9;9;9;11;18;20;11;16;10;12
10;25;12;17;16;10;15;12;13;10;9;9;9;11;18;18;10;17;10
11;13;25;12;17;16;10;15;12;12;11;10;8;10;11;18;18;10;17
12;13;13;25;12;18;16;10;15;12;14;11;11;9;10;11;18;18;9
13;17;13;13;25;12;18;16;10;15;14;15;11;11;9;10;11;18;18
14;19;16;13;15;25;11;18;16;10;16;14;15;12;10;9;9;11;18
15;19;19;16;13;15;25;11;18;15;10;16;13;15;12;10;8;9;10
16;10;19;19;17;13;16;25;11;18;16;13;16;13;15;11;10;8;9
17;12;9;19;19;16;13;15;24;11;19;15;13;16;13;16;10;10;8
18;14;12;8;19;21;17;13;14;24;13;21;16;12;16;13;16;10;10
19;26;14;12;7;19;20;18;13;14;25;13;22;15;9;16;13;16;11
20;16;25;14;12;10;19;21;18;14;14;26;14;23;15;9;16;13;16
21;18;17;25;12;12;8;19;20;18;15;15;25;14;23;13;10;16;15
22;18;18;19;24;12;11;8;20;20;17;15;15;26;13;22;15;10;16
23;31;16;19;21;24;13;13;9;16;21;19;15;15;25;11;23;15;10
24;16;30;16;19;22;23;12;13;7;19;20;18;15;14;24;11;23;14
25;23;16;30;16;21;17;22;12;12;11;19;19;17;16;15;24;11;22
26;16;23;15;29;14;19;17;23;12;12;11;19;19;16;16;15;24;12
27;26;14;22;14;28;14;21;17;22;12;12;10;18;20;18;18;14;24
28;18;24;21;22;16;27;14;24;17;22;12;13;11;20;22;17;19;13
29;20;20;24;19;22;18;23;16;24;17;23;10;13;8;23;21;15;19
30;22;19;20;25;20;24;18;25;14;24;19;23;12;13;7;20;23;15
31;20;21;19;18;25;21;26;16;26;12;23;20;21;12;12;7;21;22
32;21;17;21;19;17;23;19;25;14;24;14;21;20;21;12;12;5;19
33;20;20;14;19;19;15;26;19;25;15;26;13;22;20;22;14;13;5
34;21;20;22;14;18;20;16;22;19;26;14;25;14;23;19;23;14;13
35;24;19;22;22;13;20;20;14;20;19;26;14;26;14;23;18;21;14
36;24;25;20;22;21;11;23;18;14;25;20;26;13;27;16;23;19;19
37;28;22;26;20;22;20;10;22;16;14;26;20;24;14;27;15;24;17
38;21;26;22;25;20;24;22;14;22;17;13;25;20;22;13;26;14;24
39;26;21;26;22;26;20;22;21;14;23;17;13;23;21;21;14;27;14
40;16;26;21;25;22;27;19;22;21;14;24;15;14;24;20;22;14;27
41;22;16;26;21;25;23;28;20;19;21;13;23;16;14;25;20;22;16
42;16;21;15;26;21;25;24;27;20;21;21;14;25;16;13;25;19;21
43;17;16;22;15;28;21;27;23;28;22;21;22;15;25;16;13;25;19
44;12;17;15;23;16;28;23;28;23;29;24;21;21;14;25;19;15;25
45;15;12;16;15;23;17;28;25;29;24;29;26;20;21;14;25;20;15
46;19;15;13;15;16;23;17;26;25;30;26;30;25;18;22;13;24;19
47;17;19;15;13;17;16;24;16;26;24;29;25;32;24;18;22;13;23
48;15;17;19;15;14;17;16;23;15;26;23;29;23;33;24;17;23;15
49;16;16;20;19;15;17;17;16;24;15;26;24;28;22;33;23;19;23
50;15;16;13;20;20;15;17;17;16;23;14;26;24;28;22;33;24;19
51;19;14;19;13;20;20;14;16;17;16;23;14;27;24;26;22;33;24
52;17;18;12;18;13;20;20;13;18;17;16;23;14;26;23;27;22;33
53;12;17;17;12;19;13;20;19;13;17;15;18;23;14;28;24;27;22
