"Popolazione per età, vista per singola area - Comune: 094047 - Sant'Elena Sannita"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sant'Elena Sannita"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;0;2;1;3;1;2;0;1;2;0;3;2;2;0;0;3;4;3
1;0;1;2;3;1;1;2;0;1;3;0;3;2;2;0;0;3;4
2;2;0;1;2;1;1;1;2;0;1;3;0;3;2;2;0;0;3
3;1;2;0;1;2;1;1;1;2;0;1;3;0;3;2;2;0;0
4;0;1;2;0;1;2;1;1;1;2;0;1;3;0;3;2;2;0
5;5;0;1;3;0;1;2;1;0;1;3;0;1;3;0;3;2;2
6;0;3;0;1;3;0;1;2;1;0;1;3;0;1;3;0;3;2
7;2;1;3;0;1;2;0;2;2;1;0;1;3;0;2;3;0;3
8;3;2;1;3;1;1;2;0;2;2;1;0;1;3;1;2;3;0
9;1;4;2;1;3;1;1;2;0;2;2;1;0;1;3;1;2;3
10;1;2;3;2;1;3;1;1;2;0;1;2;2;1;1;2;1;2
11;2;1;2;3;2;1;3;1;1;2;0;1;2;0;1;1;2;1
12;0;2;1;2;3;2;1;3;1;1;2;0;1;2;0;1;1;2
13;3;0;2;1;2;2;2;2;3;1;1;2;0;1;2;0;1;1
14;1;3;0;2;2;2;2;2;2;3;1;1;2;0;1;2;0;1
15;2;0;4;0;2;2;1;2;2;2;3;1;1;2;0;1;2;0
16;3;2;0;4;0;2;2;1;3;2;1;3;1;1;2;0;1;2
17;1;3;2;0;4;0;2;3;1;3;2;1;2;1;1;2;0;1
18;2;1;3;2;0;4;0;2;3;1;3;2;1;2;1;1;3;0
19;3;2;1;3;2;0;5;0;2;3;1;3;2;1;3;1;3;3
20;1;2;1;2;4;3;2;3;0;2;4;0;2;2;1;3;3;3
21;1;1;2;1;1;4;3;3;3;0;3;4;0;2;3;2;6;2
22;3;2;1;2;1;1;4;3;3;3;1;3;5;0;2;3;2;6
23;2;3;2;1;2;1;1;2;2;3;2;1;2;5;0;2;4;2
24;4;2;2;2;1;2;1;1;2;2;2;3;1;2;5;0;3;4
25;6;4;3;4;1;1;2;1;1;3;2;4;3;1;2;6;2;3
26;4;8;3;3;3;2;2;2;0;1;4;2;4;3;1;2;5;2
27;8;3;6;3;2;3;2;2;4;0;1;5;2;4;3;1;6;5
28;1;7;3;7;3;2;4;3;2;5;1;2;3;2;3;3;4;5
29;1;1;7;5;6;3;2;4;3;2;5;2;3;3;3;3;2;4
30;2;2;1;5;5;6;4;2;4;3;3;6;3;2;7;3;3;3
31;2;3;2;1;5;4;6;4;2;4;3;3;5;3;2;7;4;3
32;2;1;3;3;2;5;3;4;4;2;5;5;2;4;2;2;6;4
33;2;2;0;4;3;2;6;3;3;4;2;5;4;3;4;0;2;6
34;2;1;3;1;2;4;2;5;2;4;4;2;5;4;3;4;1;2
35;5;2;1;2;2;3;4;2;5;2;5;4;2;5;4;3;3;2
36;2;4;3;1;1;2;3;4;2;5;3;7;5;1;6;4;3;3
37;2;1;4;3;0;2;2;3;4;2;5;6;7;5;2;5;4;3
38;1;1;1;4;3;0;2;2;3;4;2;5;6;8;3;2;5;3
39;4;2;1;1;3;4;0;3;2;3;4;2;8;5;8;2;2;4
40;2;4;2;1;2;3;5;1;3;2;4;4;1;7;5;8;3;2
41;2;2;4;2;2;1;3;5;3;3;1;6;5;1;8;5;8;3
42;5;2;1;4;3;2;2;3;5;4;4;1;5;5;1;10;5;8
43;1;6;3;2;4;3;3;2;3;4;4;4;2;5;5;2;9;3
44;2;1;6;3;2;4;3;2;2;3;4;4;5;2;6;5;2;8
45;1;5;1;6;2;2;4;3;2;2;3;6;4;4;2;6;6;2
46;3;1;5;1;8;2;1;4;3;2;2;4;7;4;4;2;6;6
47;4;3;1;5;1;8;2;3;4;3;2;4;4;7;5;4;2;5
48;3;3;3;1;4;1;7;2;3;4;2;4;3;4;7;5;4;2
49;2;3;3;3;1;4;2;7;1;3;4;3;4;3;4;6;5;4
50;4;3;3;3;4;1;4;2;7;1;3;5;3;4;2;5;7;3
51;1;4;3;3;3;5;1;3;2;7;1;3;3;3;3;2;5;7
52;1;1;4;3;3;3;6;1;2;2;6;2;3;3;3;3;2;5
53;4;1;1;5;3;3;3;6;1;2;5;7;2;3;3;3;3;2
54;0;5;1;1;5;4;3;3;5;1;3;5;6;1;3;3;3;3
55;3;0;6;2;1;5;4;3;3;4;1;3;3;6;1;4;3;3
56;2;3;0;5;3;2;5;4;3;2;4;1;4;3;6;1;5;3
57;2;2;3;0;5;2;2;4;4;5;2;4;1;5;3;5;2;5
58;4;3;3;3;0;5;2;2;4;3;5;2;4;0;5;3;5;2
59;2;4;3;3;4;0;5;1;2;4;3;5;4;4;0;4;1;6
60;8;2;4;3;3;5;0;5;1;2;4;3;5;4;4;0;4;1
61;4;8;2;4;4;3;5;1;5;1;2;4;4;5;4;4;0;4
62;2;4;8;2;5;4;3;4;1;5;1;2;4;4;5;4;4;1
63;3;2;4;8;2;5;4;3;4;0;5;1;3;4;4;5;4;4
64;5;2;2;4;8;2;6;4;3;5;0;5;1;3;4;4;5;4
65;2;5;3;2;4;8;2;4;3;2;6;0;4;2;3;6;4;5
66;6;2;5;3;3;3;8;2;3;3;2;6;1;4;3;3;6;4
67;5;7;2;6;3;4;3;8;2;3;3;2;5;2;4;4;3;6
68;6;5;7;2;8;3;4;3;7;1;3;3;2;7;2;4;3;3
69;6;6;5;6;2;10;3;4;3;7;1;3;3;2;7;2;4;3
70;6;7;7;5;8;3;10;3;4;2;7;0;4;3;2;6;2;4
71;3;7;7;6;5;7;3;9;3;5;2;8;0;4;2;2;6;2
72;2;3;7;5;6;5;10;3;8;3;5;2;7;0;4;2;1;6
73;6;2;3;7;5;6;5;9;3;8;3;4;2;8;0;3;2;1
74;4;6;2;3;7;6;6;5;6;2;7;3;2;1;8;0;3;3
75;7;4;6;2;3;8;6;4;5;5;2;6;3;2;1;8;1;3
76;6;8;4;6;2;3;6;6;5;5;5;2;6;3;2;1;9;1
77;8;6;8;4;5;3;3;6;5;4;5;5;2;5;3;2;1;9
78;7;8;6;8;4;5;3;3;5;5;3;5;5;3;5;3;2;1
79;1;6;8;6;8;3;5;4;3;5;4;3;4;5;4;5;3;2
80;6;1;8;7;6;7;3;4;3;3;5;4;3;5;5;3;4;3
81;6;6;1;7;6;8;7;3;4;2;3;4;4;3;5;5;3;3
82;1;5;6;1;6;6;7;7;2;4;2;3;4;4;3;5;5;3
83;2;1;5;5;1;5;7;5;6;3;4;2;3;4;4;3;5;5
84;4;2;1;5;5;1;6;5;4;6;3;3;1;2;3;4;4;5
85;0;4;2;1;5;5;1;4;5;2;6;3;4;1;1;2;4;4
86;2;0;4;2;1;5;4;1;4;5;2;6;3;4;1;1;2;4
87;3;2;0;3;2;0;5;3;2;4;5;3;5;2;2;1;1;4
88;2;3;2;0;2;2;0;4;3;2;3;4;3;4;2;1;2;1
89;5;1;2;2;0;2;2;0;2;3;1;2;2;2;4;2;1;4
90;2;3;1;2;2;0;2;2;0;1;3;1;0;2;2;3;1;2
91;3;2;3;1;2;2;0;2;2;0;1;3;1;0;2;1;4;1
92;3;3;2;3;1;0;2;0;2;1;0;1;4;1;0;1;1;5
93;2;3;2;2;2;1;0;2;0;1;1;0;1;3;1;0;1;0
94;1;2;2;2;2;1;1;0;1;0;1;1;0;1;1;1;0;2
95;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;1;0
96;1;1;1;1;0;0;0;1;0;0;1;0;1;1;0;0;1;1
97;1;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1
98;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0
99;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
100 e oltre;0;0;0;1;1;1;1;2;1;1;0;0;0;0;0;0;0;0
Totale;277;281;281;285;283;289;297;282;264;257;264;287;282;275;277;273;297;299
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;0;0;1;2;0;0;0;1;1;0;1;0;1;0;0;3;4;2
1;0;1;0;2;1;0;0;0;1;1;0;1;0;1;0;0;3;4
2;2;0;1;0;1;1;0;0;0;1;1;0;1;0;1;0;0;3
3;1;2;0;1;0;1;1;0;0;0;1;1;0;1;0;1;0;0
4;0;1;2;0;1;0;1;1;0;0;0;1;1;0;1;0;1;0
5;5;0;1;3;0;1;0;1;0;0;1;0;1;1;0;1;0;1
6;0;3;0;1;3;0;1;0;1;0;0;1;0;1;1;0;1;0
7;0;1;3;0;1;2;0;2;0;1;0;0;1;0;2;1;0;1
8;1;0;1;3;0;1;2;0;2;0;1;0;0;1;0;2;1;0
9;1;2;0;1;3;0;1;2;0;2;0;1;0;0;1;0;2;1
10;0;1;1;0;1;3;0;1;2;0;1;0;1;1;0;0;0;2
11;2;0;1;1;0;1;3;0;1;2;0;1;0;0;1;0;0;0
12;0;2;0;1;1;0;1;3;0;1;2;0;1;0;0;1;0;0
13;1;0;2;0;1;0;0;1;3;0;1;2;0;1;0;0;1;0
14;1;1;0;2;1;1;0;0;1;3;0;1;2;0;1;0;0;1
15;1;0;1;0;2;1;0;0;0;1;3;0;1;2;0;1;0;0
16;3;1;0;1;0;2;1;0;1;0;0;3;0;1;2;0;1;0
17;0;3;1;0;1;0;2;1;0;1;0;0;2;0;1;2;0;1
18;1;0;3;1;0;1;0;2;1;0;1;0;0;2;0;1;3;0
19;0;1;0;3;1;0;2;0;2;1;0;1;0;0;3;0;2;3
20;0;0;1;0;4;2;1;0;0;2;2;0;0;0;0;3;1;2
21;1;0;0;1;0;4;2;2;0;0;3;2;0;0;1;1;4;1
22;2;2;0;0;1;0;4;2;2;0;0;3;3;0;0;1;2;4
23;2;2;2;0;0;1;0;2;1;2;0;0;2;3;0;0;2;2
24;3;2;2;2;0;0;1;0;2;1;1;1;0;2;3;0;1;2
25;4;3;2;2;1;0;0;1;0;2;1;3;1;0;2;3;1;1
26;4;4;3;2;2;2;1;0;0;0;3;1;3;1;0;2;2;1
27;5;3;4;3;1;2;2;1;2;0;0;4;1;3;1;0;5;2
28;1;6;3;5;3;1;2;2;1;2;1;1;3;1;2;1;2;4
29;1;1;6;5;4;3;1;2;2;1;1;2;2;3;2;2;0;2
