"Popolazione per età, vista per singola area - Comune: 095037 - Ollastra"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Ollastra"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;12;18;9;7;13;12;10;8;8;6;10;7;12;0;5;5;8;6
1;10;12;18;9;6;17;11;11;8;8;7;10;7;14;0;4;5;9
2;10;10;12;18;11;7;15;12;11;9;7;7;10;7;13;0;4;4
3;16;10;11;12;17;11;6;15;12;11;10;6;7;10;7;13;0;4
4;20;16;10;12;14;18;12;6;18;12;11;11;7;7;10;7;13;0
5;9;20;15;10;12;14;19;10;8;17;11;11;11;9;7;11;7;13
6;16;9;20;15;11;11;14;19;11;8;18;10;11;9;9;7;11;7
7;8;16;9;20;15;11;11;14;19;11;8;17;10;12;9;9;7;11
8;11;8;16;9;20;15;11;12;15;19;11;8;16;11;11;10;9;8
9;14;11;8;16;9;20;15;11;12;14;19;12;8;16;11;10;10;9
10;13;14;11;8;16;9;21;16;12;12;14;19;12;8;18;11;12;10
11;11;14;14;11;9;16;9;21;14;12;12;14;21;12;8;17;11;13
12;14;11;15;14;11;9;16;9;21;14;12;12;14;21;12;8;17;11
13;14;14;11;15;14;11;9;16;9;22;14;12;12;14;21;11;8;17
14;18;14;15;10;15;15;11;9;16;9;22;14;12;12;14;21;11;8
15;8;19;14;15;10;14;15;11;7;16;9;22;14;12;12;14;21;11
16;15;8;20;14;15;10;14;15;11;7;16;9;22;14;13;12;14;21
17;19;15;8;20;14;15;9;14;15;11;7;16;9;22;15;12;12;14
18;22;18;15;8;20;15;16;9;14;15;11;7;16;9;21;15;12;12
19;15;22;17;15;8;21;15;16;8;13;15;12;7;16;9;21;15;12
20;20;15;21;18;15;8;21;15;17;9;13;14;11;7;18;9;22;14
21;20;20;15;21;17;17;8;20;15;14;9;14;14;11;7;18;9;22
22;16;20;19;14;21;17;19;8;18;15;14;10;13;14;9;7;19;8
23;21;16;18;19;14;22;16;17;8;17;15;14;10;13;14;9;7;18
24;13;22;16;19;19;15;22;17;14;8;17;15;12;8;14;13;10;7
25;13;11;21;16;18;19;13;20;18;16;8;18;13;13;8;15;13;10
26;24;14;10;18;17;18;20;13;19;17;17;8;16;14;12;9;14;12
27;21;25;13;10;18;16;20;18;11;18;16;17;8;17;14;12;9;13
28;15;20;25;15;10;18;15;19;17;9;16;17;19;7;17;14;12;11
29;16;14;22;25;15;7;15;15;18;16;9;16;17;19;7;16;13;13
30;17;17;14;22;24;13;8;14;15;17;16;10;18;16;19;6;18;12
31;26;17;17;17;22;23;12;8;14;15;17;18;11;19;17;21;7;19
32;19;24;15;18;15;20;21;12;10;14;16;17;20;9;22;17;19;5
33;17;18;23;17;15;14;18;19;13;10;11;15;15;19;9;23;17;19
34;20;16;18;24;14;14;14;19;17;13;10;10;14;15;17;9;24;16
35;33;18;14;20;24;16;14;15;19;16;13;10;10;15;14;17;10;23
36;17;32;18;15;19;25;16;16;16;19;16;12;10;10;15;13;15;10
37;21;17;32;19;15;18;29;17;14;16;19;15;12;12;10;15;13;14
38;27;22;17;31;20;16;18;29;18;14;15;21;14;12;13;10;15;13
39;11;26;22;15;32;20;17;19;29;19;15;15;20;13;13;12;10;15
40;16;11;26;22;14;34;21;18;20;29;20;15;15;20;15;14;12;10
41;12;15;11;26;22;14;33;21;19;20;30;20;16;15;20;14;13;12
42;16;12;16;11;24;22;14;33;21;19;20;30;21;18;15;20;13;13
43;14;16;12;16;11;25;21;14;32;20;19;20;29;22;18;15;20;13
44;14;14;18;12;15;11;27;19;16;31;20;19;19;30;22;18;15;19
45;21;14;14;18;12;15;12;26;21;16;31;21;19;20;30;21;18;14
46;16;21;14;14;18;12;15;10;27;20;15;32;21;19;20;29;21;19
47;20;15;23;14;14;20;11;15;13;26;20;15;32;21;21;20;29;20
48;16;20;15;23;14;14;20;11;15;12;28;19;17;31;21;20;20;29
49;13;16;19;15;23;14;14;20;11;15;12;28;18;17;31;21;20;20
50;12;13;16;19;15;23;14;14;20;10;15;12;28;18;17;31;19;20
51;13;12;14;16;20;15;22;14;12;22;10;15;12;28;18;17;31;19
52;18;13;12;14;16;20;15;22;14;12;22;9;14;12;28;18;17;30
53;21;18;13;12;14;16;20;17;22;14;12;23;9;14;15;28;19;17
54;14;21;17;13;12;14;16;19;17;23;14;12;22;9;14;15;28;19
55;11;14;21;16;13;12;13;16;19;17;24;15;12;23;9;14;15;28
56;8;11;15;20;17;13;12;13;16;19;17;23;16;12;23;9;16;14
57;12;8;11;16;20;18;13;12;13;16;19;16;22;15;12;23;9;16
58;17;12;8;11;16;20;18;13;12;17;15;21;15;20;16;13;23;9
59;17;17;12;8;11;15;20;18;13;12;17;15;21;16;20;16;12;22
60;9;17;17;12;9;11;15;20;19;13;12;16;14;20;15;20;15;12
61;17;9;18;18;11;9;11;15;18;19;13;13;16;14;21;14;20;15
62;15;17;8;18;19;11;9;12;15;18;19;13;13;16;14;21;14;20
63;10;14;17;8;18;19;11;10;12;15;18;19;13;13;15;14;21;14
64;7;10;14;17;8;18;19;11;10;12;16;18;19;13;13;15;14;22
65;13;7;10;14;17;8;16;19;12;10;11;15;18;19;13;13;14;16
66;13;13;7;10;14;17;8;15;19;14;10;11;15;18;19;13;13;15
67;20;12;14;7;10;14;17;8;15;19;14;10;11;15;19;19;13;13
68;14;20;12;13;6;9;14;18;8;15;19;16;10;11;14;17;17;13
69;19;13;20;9;13;6;9;14;18;8;15;19;16;10;10;14;16;17
70;11;16;13;20;9;13;6;9;14;17;7;15;19;16;10;9;14;17
71;15;9;16;12;20;9;13;6;9;13;17;7;14;18;15;10;9;14
72;14;15;8;16;13;20;9;13;6;9;13;15;7;14;17;15;9;9
73;15;13;15;8;16;13;19;9;13;6;9;13;15;7;14;17;15;10
74;16;15;12;15;8;16;13;18;9;13;6;9;13;15;7;14;17;13
75;7;16;15;12;15;8;16;13;18;8;14;6;9;13;14;6;14;16
76;11;7;15;14;12;15;8;16;13;17;8;13;6;9;13;12;7;13
77;15;11;7;17;14;11;15;8;16;12;17;8;12;6;9;13;11;4
78;9;15;11;7;16;14;11;14;8;16;12;15;8;12;6;8;14;11
