"Popolazione per età, vista per singola area - Comune: 095067 - Tresnuraghes"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Tresnuraghes"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;8;7;4;9;2;15;3;8;7;7;10;7;5;4;8;4;6;8
1;9;8;7;4;9;2;15;3;6;7;7;10;5;5;6;7;5;6
2;11;10;8;7;5;10;2;14;3;6;8;7;10;5;7;4;6;5
3;5;11;9;8;6;4;11;4;15;4;6;7;7;7;4;7;3;7
4;6;5;9;11;8;7;3;12;5;14;3;6;6;7;6;5;7;3
5;15;8;5;9;11;9;7;3;11;5;13;4;8;6;8;6;6;5
6;8;16;6;5;9;11;9;9;4;11;6;12;4;7;6;8;5;6
7;12;8;16;6;5;11;11;11;9;3;12;6;13;5;7;6;8;5
8;9;12;8;16;6;5;11;11;12;6;3;12;5;14;4;7;7;7
9;8;9;12;8;16;7;5;13;11;12;7;3;13;6;14;4;6;9
10;11;10;10;12;8;16;7;7;12;10;13;7;4;13;6;14;4;5
11;15;10;8;10;13;8;16;7;8;11;10;13;4;4;12;6;15;5
12;12;15;10;8;11;13;8;17;7;5;11;10;13;6;4;11;6;15
13;9;12;15;10;8;9;13;7;18;7;4;10;11;13;5;4;9;6
14;7;9;13;15;10;9;9;13;7;18;7;4;10;12;12;5;5;9
15;10;6;9;13;16;10;9;10;13;7;18;7;3;10;12;12;6;3
16;11;10;7;9;10;16;10;8;10;14;7;17;7;3;9;12;12;6
17;12;11;11;7;9;10;16;10;9;10;14;7;16;7;3;8;12;12
18;11;11;10;11;6;9;10;16;11;9;9;13;7;16;6;3;12;11
19;15;12;11;10;10;6;9;10;16;10;8;8;13;7;16;6;8;9
20;11;13;11;11;10;10;6;10;10;16;10;8;8;14;7;16;7;3
21;20;11;13;12;11;10;10;10;10;10;16;10;7;8;14;7;18;6
22;14;17;11;11;11;11;11;12;10;10;9;16;10;6;8;12;8;16
23;17;14;18;11;12;12;11;11;12;10;9;9;15;9;6;8;14;7
24;9;17;13;17;11;12;10;11;11;12;10;9;10;17;11;6;9;14
25;11;9;17;14;16;11;12;11;12;9;13;10;9;11;15;9;8;9
26;19;9;11;17;15;18;10;15;11;11;10;12;8;8;10;16;5;8
27;19;19;8;11;17;14;18;11;15;9;12;10;13;9;8;12;16;6
28;26;18;20;7;12;17;16;15;11;14;10;12;11;11;10;7;13;16
29;19;25;19;22;10;14;17;12;16;9;15;11;10;12;11;9;8;10
30;13;19;27;18;23;12;13;17;7;17;9;15;10;11;12;10;9;5
31;20;13;19;30;17;21;17;12;18;7;16;8;16;11;10;11;10;9
32;12;21;13;19;30;18;22;17;12;16;8;18;8;15;11;9;12;8
33;9;15;20;12;17;29;18;25;18;14;16;8;19;9;15;10;9;9
34;14;9;12;21;11;17;30;19;19;15;13;15;10;18;6;13;10;11
35;13;14;9;12;21;12;16;31;19;17;13;13;14;10;18;6;15;9
36;9;17;15;11;12;20;10;19;33;20;20;13;12;14;10;18;6;11
37;14;10;17;15;12;13;21;12;18;31;23;19;13;14;13;11;20;6
38;14;14;10;17;17;12;14;18;11;18;30;24;17;14;14;13;9;17
39;16;14;14;10;17;19;11;14;14;12;17;30;26;18;14;14;13;7
40;18;17;14;14;12;17;20;15;14;11;12;17;30;26;19;15;15;14
41;20;17;17;16;14;12;14;20;15;14;12;12;16;29;23;17;17;14
42;13;18;20;17;17;14;12;15;20;14;15;11;13;18;30;23;16;16
43;17;12;18;20;17;17;13;12;14;20;15;15;11;12;18;28;23;17
44;25;16;12;19;19;16;18;14;13;14;20;15;16;13;12;18;29;22
45;19;24;16;13;19;19;17;18;14;13;14;19;16;15;14;12;19;31
46;13;19;23;18;13;20;19;16;20;11;12;13;20;16;15;14;12;19
47;16;12;19;26;18;13;21;18;16;20;11;11;12;19;14;14;15;13
48;15;16;12;19;26;18;14;21;19;15;20;11;11;12;19;14;14;14
49;18;15;15;12;20;26;17;16;22;19;14;19;10;11;12;18;13;13
50;15;17;16;14;13;20;26;18;15;22;18;14;19;11;12;14;19;14
51;14;17;17;16;14;15;21;27;21;15;22;18;15;19;12;12;15;18
52;17;14;17;18;16;15;14;20;28;22;14;22;18;15;19;12;13;14
53;21;16;14;16;18;18;15;15;19;26;21;14;22;18;15;19;12;12
54;7;21;16;13;16;19;19;14;16;19;27;22;15;22;18;16;19;12
55;19;7;21;15;13;15;19;19;15;16;19;27;21;16;23;19;15;18
56;22;19;8;22;15;13;16;19;19;15;16;18;28;22;17;24;19;16
57;16;22;19;9;20;15;14;16;19;19;15;15;18;27;24;17;21;18
58;20;15;21;19;9;21;15;15;17;17;20;17;15;17;27;25;17;21
59;22;20;15;21;18;13;21;17;15;17;17;21;18;17;17;28;25;17
60;17;24;20;15;21;18;18;21;17;14;17;16;19;18;18;18;27;24
61;23;17;24;20;15;21;17;17;21;16;14;17;17;19;21;18;18;26
62;13;25;17;26;21;15;21;18;15;21;16;14;17;19;20;19;18;20
63;13;13;24;18;24;21;14;22;18;15;21;16;13;16;19;21;20;18
64;14;13;13;24;17;26;22;15;22;18;16;21;14;13;16;19;19;20
65;21;14;14;13;24;16;24;22;14;21;17;15;24;14;15;15;19;20
66;17;19;14;14;13;22;17;24;22;14;20;19;11;24;15;12;15;17
67;10;18;19;13;14;13;22;17;24;22;14;20;18;11;24;15;15;13
68;17;10;20;19;13;14;13;23;15;23;21;14;18;17;12;23;17;17
69;19;15;10;20;17;14;14;13;21;14;22;20;11;17;16;10;22;17
70;20;18;14;9;20;14;13;14;13;19;12;23;20;11;16;16;11;22
71;19;20;16;13;9;18;13;13;14;13;19;12;20;20;12;16;16;10
72;10;19;18;17;13;9;18;13;12;14;13;17;12;20;21;13;16;15
73;16;8;18;18;14;13;9;18;13;11;14;13;15;13;20;21;15;16
74;12;16;8;18;16;12;13;9;18;12;11;13;15;16;12;18;21;14
75;18;13;16;11;17;16;12;12;9;17;12;11;13;15;16;11;18;20
76;28;17;13;17;10;17;14;12;12;8;17;10;11;12;17;15;11;18
77;13;28;18;13;18;10;14;13;12;12;7;16;9;10;13;16;17;11
78;5;13;26;18;11;16;9;14;12;12;13;7;15;9;10;13;12;17
79;17;4;13;25;17;11;14;9;14;12;12;13;6;16;9;7;12;11
80;14;15;4;14;23;17;11;12;9;15;12;12;13;5;17;9;8;12
81;18;14;12;4;12;22;18;11;12;7;15;10;10;13;5;16;9;6
82;14;16;12;12;3;11;22;16;9;12;6;15;9;9;12;4;14;10
83;7;13;16;11;11;2;10;21;15;7;12;6;14;9;9;12;5;15
84;12;7;13;16;10;10;2;8;17;14;7;11;7;13;10;9;12;5
85;11;10;6;11;12;9;10;1;8;19;13;7;10;7;10;8;9;11
86;11;7;6;4;10;10;8;9;3;7;17;12;5;10;7;10;8;7
87;5;9;7;6;3;8;9;6;8;3;6;15;11;5;9;6;10;6
88;7;4;10;4;6;0;9;10;6;7;3;6;15;10;5;9;4;11
89;6;6;4;8;4;5;0;7;10;4;2;3;5;13;9;4;8;3
90;4;6;6;4;8;4;5;0;7;10;3;2;3;4;8;9;3;8
91;7;3;5;6;3;6;3;3;0;6;8;2;2;3;4;6;7;2
92;0;5;2;4;3;2;4;3;2;0;5;4;2;2;3;4;4;4
93;2;0;4;1;4;3;3;3;3;2;0;4;4;2;0;3;3;4
94;2;1;0;2;0;1;3;3;3;3;2;0;4;4;2;0;2;2
95;1;1;1;0;2;1;1;3;1;3;2;1;0;3;3;0;0;2
96;1;1;1;1;0;2;0;1;2;1;2;2;1;0;2;1;0;0
97;0;1;0;1;1;0;1;0;1;3;1;1;2;1;0;0;0;0
98;1;0;1;0;1;1;0;1;0;1;1;1;0;2;1;0;0;0
99;0;1;0;0;0;1;1;0;1;0;1;1;1;0;2;1;0;0
100 e oltre;0;0;1;1;0;0;1;1;1;2;2;2;2;2;1;3;2;0
Totale;1295;1276;1261;1274;1247;1256;1254;1278;1268;1226;1217;1195;1172;1178;1179;1145;1162;1116
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;2;3;3;7;1;10;3;4;3;2;6;4;2;3;4;3;4;4
1;4;2;3;3;7;1;10;3;4;3;1;6;4;2;5;4;3;4
2;6;4;2;3;4;8;1;9;3;4;3;0;6;4;2;3;3;4
3;1;6;4;2;3;3;9;2;9;4;4;2;0;5;3;2;2;2
4;4;1;4;4;2;4;2;9;3;8;3;4;1;0;4;3;2;2
5;10;4;1;4;4;2;4;2;9;3;7;4;4;1;1;4;4;2
6;6;10;3;1;4;4;2;6;1;8;4;6;4;4;1;1;3;4
7;6;6;10;3;1;4;4;4;6;1;9;4;7;4;4;1;1;3
8;5;6;6;10;3;1;4;4;4;3;1;9;4;8;3;4;1;0
9;3;6;6;6;10;4;1;5;4;4;4;1;9;5;8;3;3;2
10;3;3;6;6;6;10;4;1;5;4;4;4;1;9;5;8;3;3
11;10;2;3;6;7;6;10;4;2;4;4;4;1;0;9;5;9;3
12;5;10;2;3;6;7;6;10;4;1;4;4;4;2;0;8;5;8
13;7;5;10;2;3;5;7;6;11;4;1;3;5;4;2;0;7;5
14;4;7;6;10;2;3;5;7;6;11;4;1;3;5;3;2;1;7
15;7;3;7;6;11;2;3;5;7;6;11;4;1;3;5;3;3;1
16;4;7;3;7;5;11;2;3;5;7;6;10;4;1;3;5;3;3
17;6;5;8;3;7;5;11;2;3;5;6;6;10;4;1;3;5;3
18;4;5;4;8;3;7;5;11;3;3;5;6;6;10;3;1;7;5
19;8;5;5;4;7;3;7;5;11;3;3;5;6;6;11;3;6;4
20;5;7;5;5;4;7;3;7;5;11;3;3;5;6;6;11;4;1
21;9;5;7;6;5;4;7;5;7;5;11;3;2;5;6;6;13;3
22;6;8;5;7;6;5;5;7;5;7;4;11;3;2;5;6;6;11
23;10;6;9;5;7;7;5;5;7;5;7;4;10;3;2;5;7;5
24;2;10;6;8;5;7;6;5;6;7;5;7;4;11;5;2;7;6
25;6;2;10;5;8;5;7;7;5;5;7;5;7;5;10;4;2;6
26;11;4;4;11;5;9;5;7;7;5;6;7;5;6;5;10;3;2
27;11;11;4;4;11;4;9;5;7;6;5;6;8;5;6;5;10;4
28;8;10;12;3;4;11;4;8;5;6;6;5;6;7;5;6;6;11
29;13;8;11;13;6;6;11;4;9;5;6;7;4;5;7;5;6;5
30;9;13;8;12;12;8;6;11;2;10;5;7;6;5;5;6;5;4
31;13;9;13;10;12;11;12;6;11;2;10;4;6;6;4;5;7;5
32;5;13;10;13;9;12;11;11;6;11;2;10;4;6;6;3;6;6
33;4;6;13;8;12;9;11;14;10;6;11;2;9;5;7;6;4;6
34;9;3;6;14;7;12;9;11;11;9;4;10;2;8;4;7;6;5
35;8;9;3;6;13;8;12;9;12;9;7;4;9;2;8;4;8;5
36;6;8;9;5;6;12;6;13;11;13;10;7;4;9;2;8;4;5
37;5;7;8;9;5;5;12;6;14;11;16;9;8;4;8;2;8;4
38;6;5;7;8;10;5;6;10;6;13;10;16;9;8;6;8;2;7
39;5;6;5;7;8;10;4;8;8;7;12;10;17;9;8;6;9;1
40;5;5;6;4;9;8;11;6;8;6;7;11;10;16;9;8;7;9
