"Popolazione per età, vista per singola area - Comune: 095084 - Modolo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Modolo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1;3;1;1;0;1;1;4;3;0;1;3;1;0;0;0;0;0
1;0;1;3;1;0;0;2;1;2;3;0;1;3;1;0;1;0;0
2;0;0;1;3;1;0;0;3;1;1;3;0;1;3;1;0;0;0
3;1;0;0;1;2;1;2;0;1;1;1;3;0;0;2;2;0;0
4;1;2;0;0;1;2;1;2;0;1;1;1;3;0;0;2;1;0
5;1;1;2;0;0;1;2;0;2;0;1;1;1;3;0;0;2;1
6;1;1;1;2;0;0;1;2;0;0;0;1;1;1;3;0;0;2
7;1;2;1;1;2;0;0;1;2;0;0;1;1;1;1;3;0;0
8;2;1;2;1;1;2;0;0;1;2;0;0;1;1;1;1;3;0
9;1;2;1;3;1;1;2;0;0;1;2;0;0;1;1;1;1;3
10;2;1;2;1;3;1;1;2;0;0;1;2;0;0;1;1;1;1
11;0;3;1;2;1;3;1;1;2;0;0;1;2;0;0;1;1;1
12;3;0;3;1;2;1;2;1;1;2;0;0;1;2;0;0;1;1
13;2;3;0;3;1;2;1;2;1;0;2;0;0;1;2;0;0;1
14;1;2;3;0;3;1;2;1;2;1;0;2;0;0;1;2;0;0
15;1;1;2;3;0;3;1;2;1;2;1;0;2;0;0;1;2;0
16;3;1;1;2;3;0;3;1;2;1;2;1;0;2;0;0;1;2
17;2;3;1;1;2;3;0;4;1;2;1;2;2;0;2;0;0;1
18;0;2;3;1;1;2;3;0;3;1;2;1;3;2;0;2;0;0
19;1;0;2;3;1;1;5;3;0;2;1;2;1;3;2;0;2;0
20;2;1;0;2;3;1;1;5;3;0;2;1;1;1;3;2;0;2
21;4;2;0;0;2;3;2;1;4;3;0;2;1;1;1;3;2;0
