"Popolazione per età, vista per singola area - Comune: 096028 - Graglia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Graglia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;10;17;9;10;12;8;11;11;10;12;12;7;15;7;12;9;5;8
1;8;11;17;8;7;12;10;12;12;10;13;14;8;14;6;14;7;5
2;6;9;11;18;8;8;12;11;11;11;10;11;15;8;14;6;14;8
3;15;6;9;13;19;8;9;13;11;11;12;13;9;15;10;15;7;15
4;11;14;6;9;14;18;9;10;12;12;10;12;12;9;16;10;12;5
5;10;11;15;7;10;14;17;9;10;12;12;14;13;11;9;16;9;12
6;11;9;10;15;7;10;13;17;10;10;12;11;15;12;11;9;16;9
7;15;8;10;9;15;8;11;11;18;11;9;12;11;12;12;10;8;15
8;7;15;8;9;9;16;9;11;11;19;11;10;12;10;11;11;10;8
9;16;6;16;8;11;9;15;11;10;11;20;12;10;14;11;10;12;10
10;17;17;6;17;9;12;10;14;11;10;10;21;12;11;14;11;10;12
11;12;16;17;6;16;9;14;9;14;11;10;9;20;11;12;12;11;10
12;13;12;16;17;7;16;10;15;10;13;11;11;9;20;11;12;12;9
13;10;11;13;15;17;7;16;12;17;11;13;11;11;10;21;11;11;12
14;7;12;14;14;15;15;9;16;12;17;11;13;10;11;10;19;11;11
15;11;7;9;13;13;15;15;9;16;13;18;12;14;8;11;9;19;10
16;14;11;7;9;13;14;15;15;10;16;14;19;12;15;8;11;9;19
17;13;13;12;6;9;13;12;18;14;11;15;17;18;12;14;8;11;9
18;10;12;13;12;8;9;12;12;18;14;10;14;17;15;12;14;10;14
19;9;8;13;15;11;7;9;12;13;18;14;10;14;17;14;12;15;10
20;12;9;10;14;16;11;8;9;13;14;18;14;10;14;15;13;12;14
21;10;12;7;9;14;16;10;8;9;11;13;15;13;11;14;13;16;12
22;10;10;12;9;8;15;15;11;8;9;12;13;17;13;9;14;13;16
23;9;11;11;12;10;10;14;17;11;8;7;12;15;15;13;7;15;13
24;16;8;12;12;15;11;10;15;15;11;7;7;9;15;13;14;6;16
25;15;16;8;13;13;12;13;12;15;15;13;8;6;11;13;14;13;9
26;14;20;15;7;14;11;14;14;13;17;13;13;10;5;11;14;14;10
27;20;14;22;15;9;14;12;14;12;12;18;12;12;11;5;13;16;12
28;23;23;15;21;14;10;14;11;14;12;14;19;14;11;9;3;13;18
29;24;25;28;17;19;14;10;18;12;12;14;14;17;12;12;9;4;11
30;19;25;26;26;19;19;19;10;15;14;13;15;16;17;13;12;6;5
31;24;21;28;24;23;19;21;18;13;15;15;14;15;14;15;13;15;6
32;27;23;21;25;21;22;19;18;16;10;13;13;15;15;13;17;15;13
33;23;26;22;20;27;22;23;17;17;15;14;14;13;11;15;12;16;15
34;24;26;27;21;24;26;24;23;17;15;15;13;13;10;13;15;10;14
35;27;27;26;26;25;24;26;25;24;16;15;19;13;13;10;12;16;9
36;25;28;32;25;33;25;24;25;24;26;17;14;19;14;12;10;12;20
37;24;28;28;29;25;34;26;26;24;26;27;17;16;18;15;13;9;14
38;29;24;30;29;25;26;32;28;24;26;26;32;16;15;18;13;12;10
39;27;29;26;30;31;25;26;31;28;24;27;27;31;14;15;15;14;13
40;21;24;32;29;30;32;25;25;31;31;24;28;29;31;14;13;15;15
41;23;21;23;29;27;28;32;27;26;30;32;24;28;28;29;12;12;16
42;17;22;22;26;30;26;29;33;28;27;29;32;25;26;24;30;12;13
43;21;17;23;19;27;29;26;27;31;33;28;31;31;24;26;25;31;12
44;21;19;19;23;19;26;26;31;29;31;32;29;33;31;24;27;26;31
45;25;21;19;18;23;23;23;29;30;29;30;33;27;31;31;23;28;25
46;16;25;17;18;18;24;23;22;29;29;29;30;33;29;32;31;24;29
47;17;15;24;19;19;18;22;24;22;29;30;30;30;32;30;29;32;25
48;20;17;15;23;21;20;17;20;23;21;31;30;32;33;33;27;29;31
49;28;20;19;15;23;23;20;14;21;24;21;29;30;32;31;33;25;30
50;19;28;21;18;16;24;22;19;13;20;24;20;30;30;33;28;30;26
51;26;20;26;19;19;16;26;23;20;14;19;24;23;28;30;34;27;30
52;24;26;19;26;19;20;18;27;23;21;15;18;24;23;28;28;35;27
53;32;24;27;19;26;18;21;18;27;22;19;15;17;24;23;26;25;32
54;25;31;25;27;19;25;21;19;18;27;22;21;16;18;25;25;26;26
55;24;26;34;25;26;21;24;20;17;19;27;22;20;16;17;24;24;27
56;20;25;26;34;24;26;22;26;20;17;19;27;22;20;16;16;25;22
57;15;22;25;25;35;26;27;22;26;19;17;18;28;24;18;17;15;27
58;24;15;22;26;22;35;26;27;22;26;18;17;18;28;24;15;19;15
59;21;25;16;22;26;24;32;26;25;21;26;18;17;18;28;24;18;20
60;18;22;25;15;23;26;24;33;24;24;21;26;18;19;18;28;22;18
61;19;18;22;25;15;25;26;24;33;24;25;21;26;18;21;19;25;22
62;37;19;18;22;23;16;25;24;23;33;23;23;21;26;16;19;21;25
63;28;37;19;18;24;23;16;22;23;22;32;21;23;22;26;16;19;21
64;26;28;37;21;19;22;21;15;22;23;22;30;21;23;21;26;16;21
65;27;26;28;38;20;19;19;20;16;21;24;21;28;21;24;21;26;17
66;21;27;27;27;37;20;18;18;20;16;20;25;21;28;21;24;18;27
67;20;21;26;25;27;37;19;18;18;19;16;20;24;21;28;23;24;18
68;20;19;20;26;24;27;37;18;16;18;19;15;20;24;23;28;24;25
69;28;20;18;20;23;24;27;36;17;17;16;20;16;19;23;22;27;26
70;37;30;20;17;20;23;23;25;35;17;16;17;21;15;20;23;21;26
71;19;35;29;18;16;18;22;23;25;35;18;14;18;19;15;18;24;21
72;14;19;34;28;18;16;18;22;20;25;35;16;14;17;19;14;18;24
73;14;14;19;34;27;18;16;18;20;20;25;35;15;14;17;19;13;18
74;17;14;12;18;33;24;17;14;17;19;20;25;33;15;14;16;18;13
75;18;16;14;14;16;30;24;16;13;17;20;19;25;33;15;18;16;17
76;16;16;17;13;14;16;28;24;15;14;17;19;18;24;32;15;18;16
77;14;12;15;18;13;12;16;26;23;17;14;15;19;17;26;30;14;18
78;11;14;14;14;15;13;12;15;25;23;17;13;13;17;17;27;28;13
79;16;9;13;12;13;15;14;12;15;24;23;14;13;13;17;17;25;27
80;19;17;9;12;11;13;14;13;12;13;21;21;15;13;12;17;15;23
81;12;18;17;8;11;12;13;14;14;12;13;19;19;13;13;12;15;13
82;9;11;18;16;10;11;12;13;14;13;10;12;18;19;13;13;12;13
83;9;9;12;17;17;12;9;10;11;14;11;10;12;17;19;11;13;11
84;4;8;9;10;15;18;9;7;11;10;12;10;9;10;17;19;10;13
85;5;6;8;9;6;13;17;8;7;9;9;12;10;9;10;17;18;9
86;12;5;7;6;9;6;11;14;7;6;7;7;11;8;9;8;14;17
87;5;11;5;7;5;9;6;9;12;6;6;7;7;10;7;10;8;12
88;8;4;10;4;6;5;9;6;8;12;5;5;7;7;10;5;9;8
89;7;4;3;10;6;5;5;8;7;6;11;5;5;7;5;9;7;9
90;5;5;4;3;9;4;5;4;5;6;5;9;6;5;6;4;8;8
91;6;4;3;6;3;7;4;5;4;4;5;4;7;6;5;4;4;8
92;5;6;3;3;6;3;6;4;5;3;3;4;2;6;6;5;5;4
93;5;3;5;3;4;4;4;4;1;2;3;1;4;2;4;6;3;4
94;1;5;3;4;3;3;3;3;3;0;2;2;2;5;1;4;6;1
95;1;1;4;2;4;6;2;3;1;2;0;2;1;2;4;1;3;3
96;2;1;1;2;1;3;4;4;2;2;2;0;1;0;2;2;0;3
97;0;0;1;1;2;1;2;2;3;1;2;1;0;1;0;2;1;0
98;0;0;0;1;1;2;0;2;2;2;0;0;1;0;1;0;1;1
99;0;0;0;0;0;1;1;0;2;1;2;0;0;0;0;1;0;1
100 e oltre;0;0;0;0;0;0;1;2;2;2;2;2;2;2;0;0;1;1
Totale;1601;1607;1640;1621;1633;1640;1639;1635;1608;1605;1604;1596;1606;1574;1565;1535;1514;1515
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;5;9;3;5;8;6;5;7;5;8;5;6;7;6;7;7;4;4
1;4;6;8;3;3;8;6;5;7;5;7;7;6;6;5;7;5;4
2;3;5;6;8;3;4;8;7;5;6;5;7;8;6;6;5;6;6
3;10;3;5;7;8;4;4;9;7;5;7;6;7;8;8;8;6;8
4;6;9;3;5;6;8;4;5;8;8;4;7;6;7;9;8;7;4
5;9;6;9;4;5;7;7;4;5;8;8;7;8;5;7;9;7;7
6;5;8;6;9;4;5;6;7;4;5;8;8;8;7;5;7;9;7
7;8;5;9;5;9;4;4;6;8;4;4;8;7;6;7;5;6;8
8;5;8;5;8;5;11;5;4;6;9;4;4;8;7;5;6;5;6
9;3;5;9;5;10;5;11;7;4;6;9;4;5;9;8;4;7;5
10;5;4;5;8;5;11;5;11;7;4;5;10;4;5;9;8;4;7
11;8;5;5;5;7;5;13;4;11;7;4;4;10;4;5;7;8;4
12;5;8;5;5;6;7;5;13;4;10;7;5;5;10;4;5;7;6
13;6;5;9;5;5;6;7;6;12;5;10;7;5;5;10;4;5;7
14;4;6;7;10;5;4;5;7;6;12;5;10;6;5;5;10;4;5
15;9;4;4;7;10;5;4;5;7;6;13;6;10;4;5;5;10;4
16;7;9;4;4;7;11;5;4;6;7;6;15;6;10;4;5;5;10
17;6;6;9;3;4;7;9;6;3;6;7;7;15;6;10;4;5;5
18;2;5;6;9;3;5;6;9;6;3;5;7;7;14;5;10;5;7
19;6;1;5;6;9;3;5;6;9;6;3;5;7;7;13;5;10;5
20;7;6;1;5;7;9;4;5;6;10;6;3;5;7;7;12;5;9
21;8;7;4;1;5;7;9;4;5;4;9;5;3;5;7;6;12;5
22;6;8;6;4;2;7;7;9;4;3;5;10;5;4;4;7;6;12
23;3;7;6;6;5;2;7;7;9;4;2;5;12;5;4;3;8;6
24;8;3;8;5;7;5;2;7;7;9;4;2;4;12;5;5;2;8
