"Popolazione per età, vista per singola area - Comune: 096035 - Mongrando"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Mongrando"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;35;31;31;27;32;32;34;36;26;36;28;28;20;24;18;18;9;25
1;34;34;32;32;26;36;34;32;36;27;34;25;32;20;23;17;16;10
2;33;36;38;35;32;27;39;31;33;37;26;33;27;35;21;20;21;17
3;40;39;39;38;38;30;21;33;30;33;38;25;36;29;35;21;21;20
4;37;46;35;40;37;38;29;24;34;33;32;39;26;34;25;32;19;22
5;31;38;44;36;37;36;33;31;23;35;32;33;38;28;33;26;31;22
6;21;30;37;46;36;35;37;34;29;26;35;33;34;37;24;30;23;32
7;26;22;29;38;47;32;35;36;34;30;28;36;31;35;37;24;33;22
8;40;29;22;29;38;45;32;36;36;34;31;28;37;32;36;36;27;33
9;36;39;30;22;31;34;49;32;36;35;35;31;27;35;29;34;34;27
10;45;35;38;30;22;31;31;49;33;36;36;35;31;27;35;30;34;34
11;33;45;40;40;28;21;29;33;49;32;41;36;35;32;22;34;30;33
12;33;34;44;39;39;25;22;28;34;46;31;41;34;35;32;25;34;33
13;34;34;35;43;40;38;25;23;27;35;45;32;41;39;34;34;26;33
14;34;32;34;33;44;39;40;25;25;28;36;46;30;37;38;34;33;27
15;38;36;33;35;34;43;39;39;27;23;26;35;45;30;35;38;33;33
16;28;37;35;31;35;32;44;35;39;25;23;26;32;45;31;37;36;34
17;47;29;37;37;29;34;34;43;37;37;27;22;25;32;44;29;39;35
18;26;47;29;35;40;25;36;35;44;37;38;28;24;27;30;45;31;37
19;39;27;49;28;32;36;24;38;35;41;38;38;26;23;28;29;45;34
20;34;36;27;49;29;35;37;27;36;35;39;38;38;26;23;29;29;46
21;47;33;35;27;51;28;34;38;27;36;36;37;38;38;29;23;29;30
22;42;48;37;36;26;50;29;35;36;29;37;38;36;36;36;29;26;29
23;38;43;48;33;41;28;54;31;38;40;29;36;32;36;38;36;27;25
24;58;39;50;48;34;40;30;55;33;40;40;33;37;32;38;34;38;31
25;44;52;44;45;45;37;36;33;47;30;42;42;34;40;29;38;36;41
26;49;45;55;42;45;46;32;37;33;47;30;38;41;37;34;30;37;37
27;61;53;43;56;39;46;45;28;41;35;46;30;32;38;30;32;29;35
28;53;63;53;43;53;44;48;41;31;45;39;51;36;39;40;33;32;32
29;53;56;62;53;42;56;42;47;40;32;41;36;46;35;36;39;35;31
30;61;50;59;62;56;41;54;46;49;46;36;38;35;48;36;38;34;31
31;62;65;46;65;58;55;44;54;45;46;43;29;37;30;43;36;34;35
32;51;64;63;51;72;52;52;44;54;39;43;44;33;38;29;41;37;33
33;78;56;70;64;53;62;47;55;45;47;41;43;45;33;39;28;43;35
34;69;74;55;73;65;50;59;54;54;50;47;43;41;41;34;39;28;46
35;50;65;74;56;72;64;48;60;57;54;50;47;40;39;39;34;37;30
36;71;52;67;77;53;66;66;47;61;57;57;52;45;42;36;40;33;37
37;67;74;52;68;78;56;65;65;52;61;52;60;51;47;43;32;41;32
38;47;69;72;50;64;74;57;68;65;54;54;48;62;53;45;42;31;38
