"Popolazione per età, vista per singola area - Comune: 097040 - Introbio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Introbio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;22;17;12;17;15;19;16;30;23;17;22;20;20;14;23;19;12;14
1;20;23;17;13;17;18;22;15;31;20;18;19;17;19;15;22;19;14
2;14;19;20;16;13;19;22;20;14;32;21;17;18;17;21;13;24;20
3;21;11;19;17;16;14;17;23;22;18;33;20;15;15;16;21;13;24
4;19;23;10;20;17;17;18;17;24;22;18;29;18;17;16;17;22;13
5;24;20;26;11;20;18;16;18;19;26;23;18;26;25;17;17;17;23
6;22;26;18;28;15;21;18;15;19;20;26;24;17;25;27;16;18;18
7;13;23;25;16;24;15;20;18;17;19;23;26;25;17;25;24;17;17
8;7;13;22;25;16;24;14;20;18;17;20;22;25;24;16;25;22;17
9;17;7;15;23;25;17;24;15;21;19;18;22;22;28;23;16;25;20
10;10;17;7;14;24;25;18;24;16;21;18;19;21;21;26;23;16;26
11;13;11;17;8;13;25;25;19;25;17;21;17;18;23;17;25;21;15
12;13;10;11;17;8;14;24;24;20;26;18;22;16;21;23;17;22;20
13;8;13;11;10;20;8;15;24;26;20;26;18;24;16;20;22;17;22
14;10;8;12;14;11;20;9;15;24;24;21;27;17;25;15;20;22;17
15;16;9;7;12;14;12;21;10;15;24;24;21;28;17;26;15;19;19
16;10;16;9;8;13;14;12;22;14;17;24;23;23;26;14;26;17;18
17;15;10;17;10;10;13;15;12;23;13;15;22;23;21;24;14;24;17
18;13;13;10;17;9;11;14;16;12;22;13;15;24;25;22;25;15;21
19;18;13;13;10;17;9;11;17;18;11;23;11;15;24;24;23;24;15
20;14;20;15;12;10;19;11;12;20;16;12;26;12;15;25;25;21;23
21;19;13;21;16;14;8;20;13;15;20;16;14;27;12;17;24;25;21
22;22;20;11;18;18;15;8;20;14;12;20;18;15;24;14;19;24;23
23;23;25;20;11;16;15;16;8;20;19;12;19;18;12;23;16;19;26
24;23;24;25;25;10;20;17;20;10;21;18;15;19;20;16;24;13;19
25;28;20;24;25;24;14;21;19;19;12;21;18;12;19;18;15;21;10
26;23;25;24;24;26;26;14;21;21;19;12;20;12;8;20;18;14;24
27;27;22;28;26;24;23;27;16;25;24;20;12;20;12;9;22;20;13
28;27;33;27;30;30;21;23;27;14;22;25;23;17;21;13;9;21;16
29;34;30;35;27;31;25;23;22;26;17;26;22;20;16;20;14;10;21
30;31;34;29;40;30;29;30;25;26;26;20;27;21;25;17;20;16;11
31;27;33;35;29;39;25;30;32;24;24;26;20;24;22;26;16;23;15
32;28;28;30;36;29;37;25;34;33;26;27;23;21;23;21;24;13;21
33;46;30;33;32;35;23;35;23;31;34;26;26;23;22;19;20;21;13
34;29;49;33;35;30;36;22;37;25;28;34;27;26;22;22;20;22;23
35;19;31;46;33;33;30;36;26;39;29;32;31;26;26;25;25;19;24
36;36;23;36;42;33;33;26;35;29;37;30;28;28;28;25;25;25;18
37;22;36;20;40;42;32;35;27;40;30;38;31;27;25;27;25;25;24
38;25;23;38;20;39;40;31;33;32;40;31;37;29;27;26;27;26;29
39;28;24;24;39;19;37;44;34;34;32;43;33;38;30;27;30;26;25
40;28;28;23;23;37;20;42;41;33;35;33;42;32;40;30;27;29;25
41;23;26;28;25;23;37;24;41;40;34;35;34;40;31;44;29;32;31
42;33;22;23;27;26;26;35;29;41;40;37;33;36;40;29;45;28;30
43;22;32;21;23;27;28;24;33;28;39;42;36;34;36;41;28;44;27
44;18;22;31;24;22;29;29;24;34;28;37;42;35;33;32;40;29;41
45;21;18;23;31;24;22;29;30;26;34;28;37;44;33;33;31;37;29
46;21;21;17;24;33;25;26;29;31;27;34;30;36;42;28;32;30;39
47;22;21;18;17;24;34;28;26;28;29;25;32;28;37;42;28;33;27
48;15;23;22;19;19;24;32;31;25;26;34;24;32;29;37;42;28;33
49;19;15;23;22;19;20;24;32;33;25;27;34;22;35;27;37;42;29
50;19;19;16;25;23;19;18;24;32;33;26;28;33;21;35;27;36;44
51;26;19;19;16;25;27;19;18;26;36;30;27;29;35;20;33;29;35
52;17;27;20;19;15;26;27;19;19;26;37;33;29;27;32;20;32;33
53;13;16;28;20;19;15;27;29;21;19;25;36;31;27;27;31;23;32
54;29;13;16;28;20;19;17;28;28;22;19;26;36;28;26;28;29;22
