"Popolazione per età, vista per singola area - Comune: 097043 - Lierna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Lierna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;26;16;23;26;24;20;24;14;23;22;20;18;15;14;21;20;14;17
1;31;26;15;20;22;25;19;25;16;23;21;18;18;16;15;17;18;14
2;22;30;26;17;19;20;24;21;26;14;23;21;19;19;12;16;17;18
3;22;20;27;24;17;18;21;24;19;26;14;24;16;19;13;15;17;20
4;21;22;24;26;23;16;19;20;24;18;25;14;25;18;18;12;12;15
5;15;21;21;24;25;24;15;19;23;24;17;22;13;25;17;18;11;12
6;22;15;21;21;24;25;24;17;21;24;24;18;20;16;22;17;17;13
7;16;22;15;20;21;25;25;25;16;21;22;25;18;22;14;22;17;19
8;21;16;21;15;19;21;25;27;27;17;21;23;24;19;24;15;23;15
9;23;21;16;21;16;20;21;23;27;28;17;21;23;24;20;25;12;24
10;20;22;20;16;22;16;20;22;24;27;28;17;22;23;23;20;23;13
11;15;20;23;20;15;22;15;21;24;27;28;28;16;20;23;24;20;21
12;15;16;22;23;19;15;23;19;21;23;27;26;29;14;20;23;23;19
13;23;14;16;22;23;19;16;21;18;23;22;27;26;28;15;19;23;22
14;13;23;12;16;23;24;21;17;21;19;23;22;27;27;27;15;19;23
15;24;13;22;12;15;23;22;22;18;20;20;22;22;27;26;26;15;19
16;18;23;12;22;16;15;22;23;23;17;20;21;22;21;28;26;26;16
17;13;18;23;11;23;16;14;26;24;22;16;20;23;22;21;27;28;25
18;13;13;18;23;12;22;17;14;24;24;22;14;18;22;22;21;25;25
19;29;12;12;17;23;15;23;17;15;24;24;20;11;20;21;24;21;24
20;19;26;12;13;17;23;15;25;17;15;25;24;20;11;23;22;23;22
21;20;19;26;14;13;17;24;16;24;16;16;24;24;22;11;24;21;23
22;19;22;19;27;15;13;17;27;15;24;18;16;26;25;21;10;25;18
23;15;22;24;21;25;19;15;17;28;16;22;15;14;29;23;23;11;24
24;20;17;24;24;21;28;22;13;19;26;18;20;14;13;28;26;24;13
25;29;19;18;26;24;19;29;20;14;17;24;17;19;15;17;27;26;22
26;26;34;22;17;23;26;21;31;19;14;18;23;18;19;18;19;23;28
27;32;29;36;25;13;24;22;22;31;19;13;19;23;18;18;19;19;23
28;31;35;28;39;26;15;28;23;19;33;20;14;19;23;21;17;19;18
29;30;30;38;37;42;26;15;31;24;23;33;22;17;17;22;22;17;18
30;33;35;38;38;38;46;26;17;30;27;26;32;20;14;15;24;23;18
31;41;32;35;35;36;38;47;25;18;29;29;27;32;21;14;18;21;22
32;31;44;35;40;35;34;32;43;28;21;28;29;27;32;19;14;19;20
33;42;28;46;40;40;33;36;29;39;28;22;27;27;27;33;21;13;22
34;39;41;27;50;43;40;34;37;31;39;29;22;26;25;19;32;24;16
35;36;40;45;26;47;39;40;38;39;33;40;30;25;26;28;21;29;21
36;34;37;42;40;28;43;35;43;39;38;36;43;30;29;26;28;20;28
37;44;32;36;42;38;29;49;38;48;36;37;36;45;29;30;28;27;21
38;37;44;35;36;42;40;30;46;38;46;34;38;34;43;26;30;25;22
39;39;35;45;34;34;39;44;34;45;38;46;35;37;37;44;23;32;26
40;28;40;33;44;34;34;42;41;31;50;39;47;35;35;36;44;23;35
41;18;24;38;35;45;32;40;38;42;34;52;38;45;34;34;31;43;24
42;37;18;25;37;37;44;32;44;39;44;36;52;39;43;31;34;31;45
