"Popolazione per età, vista per singola area - Comune: 097084 - Varenna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Varenna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4;12;5;7;7;5;7;3;5;8;8;10;3;4;4;8;2;7
1;3;5;10;4;8;6;6;7;4;4;6;8;9;3;4;4;7;3
2;5;3;5;10;5;7;5;4;7;4;4;6;6;9;5;5;2;8
3;5;5;4;5;8;5;7;4;4;6;4;4;6;8;9;5;5;3
4;3;5;5;5;4;9;6;6;4;3;5;4;3;7;8;9;6;4
5;6;4;6;5;4;2;9;6;5;4;3;5;5;5;5;7;9;5
6;7;6;4;5;6;4;2;9;6;4;4;4;6;4;5;6;6;7
7;9;7;6;3;5;6;4;3;9;5;5;4;4;6;4;5;8;8
8;7;9;7;6;3;5;6;2;4;8;5;5;4;3;6;3;5;7
9;6;7;9;10;6;3;5;7;2;4;8;5;5;4;3;6;5;5
10;5;6;7;9;9;6;3;4;6;2;2;8;5;3;4;3;5;3
11;4;5;6;7;9;8;6;1;4;5;2;2;9;5;3;4;3;4
12;4;4;4;6;8;8;8;5;2;4;4;3;3;8;5;3;4;3
13;8;4;3;4;6;8;7;8;5;2;4;4;3;2;8;5;3;4
14;3;8;4;4;4;7;7;7;8;5;2;4;4;3;2;8;5;3
15;4;3;8;4;4;4;7;5;8;8;5;2;4;4;3;2;7;5
16;6;4;3;8;4;4;5;6;5;7;7;5;1;4;4;3;2;7
17;5;5;3;3;10;4;5;3;5;7;7;6;4;1;4;4;3;2
18;8;5;5;3;3;10;4;5;3;5;7;8;5;7;0;5;4;4
19;9;8;5;5;3;5;11;4;4;2;5;6;7;5;7;2;5;4
20;12;9;8;5;6;4;5;11;3;7;2;5;6;7;5;7;2;5
21;13;13;9;8;6;6;4;4;10;3;6;2;5;6;9;7;5;2
22;6;13;12;9;7;6;6;4;4;11;3;6;2;5;9;9;7;4
23;11;5;12;12;8;7;8;7;4;4;11;1;5;3;5;9;10;7
24;7;9;6;12;14;9;8;6;7;4;5;11;3;6;4;5;8;10
25;12;7;8;6;12;13;9;7;5;5;4;5;10;2;6;3;5;6
