"Popolazione per età, vista per singola area - Comune: 098003 - Boffalora d'Adda"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Boffalora d'Adda"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;8;9;9;22;20;31;25;28;28;20;23;28;16;18;19;20;24;11
1;16;9;10;11;23;21;36;25;28;29;22;21;30;19;18;17;20;19
2;16;15;10;13;13;21;21;38;24;30;28;22;21;27;19;15;15;20
3;14;18;22;11;13;10;26;17;37;26;26;27;22;22;24;20;14;14
4;8;15;21;23;14;12;10;22;17;37;26;23;28;21;21;25;18;14
5;6;9;14;22;23;12;14;9;23;19;36;24;22;26;21;21;24;18
6;14;5;11;15;20;24;11;16;10;20;18;32;24;20;27;21;21;24
7;3;16;3;15;15;20;20;11;16;10;20;17;33;24;20;27;20;18
8;10;3;17;6;19;17;18;21;10;16;13;20;17;31;23;19;26;22
9;14;11;3;20;6;17;21;17;20;9;17;13;23;14;29;23;21;26
10;12;14;14;3;20;6;17;22;17;20;9;18;16;26;16;30;22;21
11;12;12;15;13;5;19;7;17;20;16;21;9;18;16;23;15;30;23
12;9;11;12;18;13;4;17;7;14;20;17;23;10;17;15;20;14;30
13;12;9;10;14;18;14;5;16;7;15;18;17;22;11;16;15;21;15
14;7;12;8;13;15;17;14;6;13;8;14;17;18;24;10;15;13;16
15;9;7;11;8;13;16;16;14;6;11;9;14;17;20;23;10;14;13
16;12;8;7;12;9;14;18;17;13;7;12;8;17;17;20;22;10;15
17;7;12;8;9;12;9;16;18;15;11;7;11;8;14;17;19;21;9
18;9;7;12;10;9;15;9;16;18;15;11;7;10;9;14;17;20;22
19;13;8;7;13;11;11;17;9;15;17;16;10;8;11;9;14;22;23
20;13;11;8;9;13;12;13;18;10;14;16;15;10;8;11;8;20;23
21;14;12;13;9;10;13;13;13;16;13;13;16;14;10;8;12;15;18
22;9;14;15;11;10;8;13;19;14;16;16;15;16;15;9;7;16;18
23;12;9;15;14;15;11;8;14;20;13;17;14;16;17;15;9;7;17
24;11;14;10;18;19;23;18;11;14;18;16;16;14;17;14;15;9;7
25;12;11;21;11;15;21;22;18;17;17;21;17;18;19;16;15;18;13
26;13;13;18;23;17;17;28;21;19;17;17;18;19;18;16;18;17;18
27;14;14;20;22;24;21;18;33;22;20;18;18;21;15;21;15;19;17
28;14;12;20;28;25;33;22;21;33;22;22;17;21;21;17;19;19;19
29;14;16;18;29;35;30;43;24;25;36;22;19;12;22;21;16;24;20
30;18;14;24;25;38;38;30;37;24;27;39;23;22;11;21;21;19;25
31;24;16;18;33;35;44;39;33;36;27;31;40;21;21;10;15;24;17
32;22;25;20;27;36;29;49;33;25;34;31;33;39;18;20;10;18;26
33;21;21;30;24;28;31;34;46;33;31;35;29;29;40;18;20;10;18
34;17;21;25;33;26;34;37;28;49;36;32;33;29;29;39;22;19;11
35;23;17;28;26;36;28;37;36;31;52;37;33;31;30;28;38;21;19
36;30;25;20;34;25;35;34;38;35;34;55;37;34;32;32;28;32;23
37;16;28;26;21;31;26;37;31;36;36;34;53;37;33;32;30;28;28
38;14;16;29;27;24;34;26;35;29;35;36;35;51;36;32;33;28;25
