"Popolazione per età, vista per singola area - Comune: 098017 - Cavenago d'Adda"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cavenago d'Adda"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;12;11;24;18;24;28;19;29;18;20;20;21;13;17;22;11;16;14
1;18;12;11;22;21;25;28;21;29;19;20;21;20;13;13;20;14;15
2;23;20;17;16;24;23;23;30;26;26;21;20;18;22;14;15;21;14
3;14;23;21;17;18;25;22;27;29;21;26;17;19;19;20;13;14;20
4;17;14;22;20;18;18;23;22;25;29;23;24;14;22;21;18;12;14
5;18;17;12;22;19;18;20;24;21;24;31;22;23;16;21;23;18;13
6;18;18;18;13;23;21;16;20;24;19;25;29;22;26;15;21;21;18
7;17;18;17;19;13;24;21;17;18;22;19;26;28;22;27;14;21;21
8;16;19;17;17;21;14;24;22;17;19;21;20;24;30;18;29;14;19
9;23;14;20;17;18;22;11;28;21;16;20;19;22;24;29;17;29;15
10;19;24;14;21;16;18;19;12;28;22;17;19;19;22;27;29;17;24
11;20;19;26;14;21;17;20;19;12;29;24;17;19;18;22;25;29;17
12;21;20;18;26;17;22;16;16;18;14;29;24;15;18;19;21;25;27
13;17;20;22;22;23;16;21;16;17;17;14;29;23;16;20;19;21;19
14;13;18;21;22;21;25;17;19;18;17;20;14;27;23;15;19;18;21
15;13;11;18;22;21;21;21;17;19;19;19;19;14;26;23;14;18;21
16;11;13;13;18;21;19;21;22;17;21;19;16;16;15;27;22;14;18
17;22;12;12;14;18;21;19;23;24;15;22;19;14;15;14;25;21;13
18;21;22;13;15;17;18;23;19;20;24;16;21;19;13;14;14;23;19
19;24;22;25;14;15;18;16;24;18;20;22;16;21;17;14;14;20;25
20;20;24;24;27;14;12;19;14;24;23;19;24;16;17;20;14;20;15
21;22;20;24;26;28;11;17;20;15;24;24;19;25;15;20;21;22;20
22;31;23;19;24;23;30;12;19;22;17;25;23;20;24;15;21;20;22
23;30;33;29;22;27;23;30;13;16;25;17;26;23;22;23;15;26;18
24;24;32;37;32;22;28;25;25;24;20;27;16;25;24;22;23;17;23
25;30;24;35;32;30;20;27;28;24;25;17;21;18;23;27;22;23;19
26;27;28;32;42;36;30;22;24;29;23;27;17;23;18;22;27;24;26
27;22;25;34;34;49;42;23;25;28;28;24;25;20;24;19;24;26;20
28;32;21;31;40;37;51;36;28;26;28;34;23;34;30;25;21;23;26
29;34;34;27;34;45;44;50;35;26;23;27;33;21;34;29;25;22;23
30;21;32;34;27;43;48;44;47;38;27;23;25;28;23;28;29;24;21
31;40;25;37;37;30;42;46;42;49;37;30;21;22;28;24;26;28;25
32;23;40;25;35;40;33;41;45;40;51;38;32;21;24;26;24;29;27
33;36;22;38;31;36;40;34;39;42;33;46;35;30;21;23;27;23;29
34;27;31;22;41;34;35;38;34;38;43;33;48;35;34;20;21;23;21
