"Popolazione per età, vista per singola area - Comune: 098041 - Mulazzano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Mulazzano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;60;56;44;56;64;53;65;65;72;74;61;57;56;53;60;51;45;56
1;52;64;59;43;58;66;57;73;58;75;78;56;58;59;52;64;52;45
2;58;50;69;56;43;56;68;63;74;60;67;74;53;56;61;47;59;57
3;55;60;52;70;57;44;58;62;63;75;58;63;73;52;55;65;45;61
4;55;55;56;55;70;55;44;56;58;61;74;59;61;74;55;47;66;51
5;51;53;55;54;57;68;59;46;55;62;61;76;58;58;74;52;47;66
6;56;50;59;55;54;55;74;58;43;55;70;60;80;61;59;71;54;51
7;46;50;52;58;53;56;58;69;58;45;54;66;61;82;61;62;70;56
8;56;45;52;54;54;56;60;60;67;55;48;54;64;61;81;60;59;63
9;52;56;48;52;58;59;56;62;62;70;55;45;57;66;66;77;58;56
10;42;56;60;49;54;60;62;57;63;61;71;57;44;57;64;62;76;61
11;45;42;55;61;49;56;58;65;57;61;63;73;57;45;52;66;64;71
12;50;45;44;58;59;50;55;60;62;57;65;62;73;57;44;51;66;63
13;57;47;46;48;58;61;50;56;57;63;54;67;64;77;59;44;49;63
14;32;56;46;46;50;59;64;52;55;61;64;53;67;65;77;59;48;48
15;51;34;57;46;46;51;59;64;50;56;60;61;53;66;64;74;60;47
16;38;51;34;59;47;45;49;58;64;51;56;61;62;55;61;63;73;59
17;47;37;56;32;58;49;46;49;57;63;51;56;62;61;53;60;61;72
18;55;48;41;58;34;58;49;47;51;56;60;49;55;62;60;51;63;60
19;40;58;49;43;55;35;58;48;48;52;54;62;53;54;60;58;54;61
20;53;39;56;45;42;60;43;69;50;49;55;57;62;54;53;58;61;53
21;43;53;41;57;46;42;64;41;67;47;48;50;58;61;49;54;57;59
22;49;47;54;39;59;46;42;65;44;75;44;50;52;55;57;50;59;59
23;66;49;49;59;42;67;46;42;70;45;74;41;50;55;54;57;50;56
24;50;67;56;53;63;39;65;52;41;69;45;66;42;49;56;56;62;48
25;64;49;69;61;54;58;50;57;53;45;68;49;64;45;48;58;58;62
26;75;67;54;74;57;56;61;63;53;51;44;69;46;65;50;44;53;58
27;81;74;72;57;77;58;62;63;62;59;53;38;61;48;66;48;43;50
28;66;86;88;76;66;80;62;70;66;55;59;49;41;62;55;71;53;50
29;74;66;92;94;91;69;89;68;71;72;59;58;49;46;66;54;76;58
30;84;76;78;100;96;92;72;95;68;72;71;59;59;49;48;63;58;73
31;95;90;91;81;96;105;96;78;96;74;77;67;59;60;55;52;60;68
32;98;95;83;92;85;102;115;96;71;92;73;75;62;56;67;56;51;63
33;94;97;99;86;89;84;108;110;97;70;95;74;71;70;57;69;55;52
34;86;93;106;104;97;94;100;105;106;94;64;85;75;73;65;66;71;54
35;110;83;102;109;101;96;106;106;100;109;88;62;82;80;75;70;72;77
36;105;112;91;102;113;102;100;106;107;103;108;85;60;89;83;79;69;71
37;99;106;118;98;106;116;97;105;101;109;103;108;78;58;88;79;81;71
38;103;105;111;124;100;108;126;97;111;102;111;103;108;76;62;91;83;77
39;98;101;107;110;120;106;112;128;95;113;102;110;102;110;78;61;89;78
40;78;99;104;108;113;119;111;121;121;96;113;100;110;99;110;73;61;94
41;87;79;106;104;111;116;119;112;120;127;99;107;101;109;93;107;77;60
42;103;89;86;108;110;113;119;126;114;110;125;100;107;106;106;96;109;81
43;75;104;83;91;111;111;112;121;125;113;110;125;102;106;98;106;101;111
44;72;78;109;87;89;110;102;114;115;122;113;105;126;100;106;95;106;101
