"Popolazione per età, vista per singola area - Comune: 098055 - Sordio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sordio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;22;25;28;35;45;40;43;45;41;43;31;31;50;44;40;40;42;39
1;21;24;28;30;44;47;38;38;45;37;45;31;29;51;44;40;40;41
2;15;21;25;27;28;44;47;40;40;39;38;44;30;28;46;40;40;36
3;25;15;22;29;30;35;43;50;38;42;41;41;41;33;27;47;45;36
4;22;30;22;22;30;32;36;45;49;35;41;39;38;43;32;25;47;45
5;28;18;32;23;25;31;33;33;43;44;38;37;38;37;40;31;27;48
6;13;28;17;33;22;26;32;36;29;43;45;35;37;32;35;35;35;30
7;27;14;28;19;38;21;28;31;34;28;44;45;37;37;33;35;33;35
8;32;27;15;29;20;40;21;26;30;31;28;39;42;37;37;33;33;35
9;21;35;28;13;29;23;39;24;25;30;29;30;40;46;37;37;34;35
10;23;20;34;28;15;30;23;40;22;24;31;30;27;39;47;37;38;31
11;31;25;21;34;30;13;29;25;35;23;25;31;31;32;44;47;39;38
12;22;32;25;22;37;28;16;28;26;36;22;27;31;33;36;47;45;39
13;24;23;32;27;24;36;29;16;29;28;34;24;28;33;31;34;46;44
14;21;25;25;33;29;25;34;29;18;29;29;36;23;28;34;32;32;46
15;27;22;20;26;33;29;25;35;30;17;28;30;35;23;27;38;31;33
16;21;26;22;20;24;34;29;25;33;31;19;27;28;35;22;29;36;29
17;25;20;25;21;22;25;32;27;25;36;32;19;29;29;32;23;26;37
18;23;27;21;25;24;23;22;31;28;26;36;30;17;32;28;36;22;25
19;21;24;26;22;23;21;22;21;30;29;27;33;29;19;29;28;36;27
20;28;23;24;28;22;25;23;22;23;33;29;28;34;28;19;27;28;38
21;18;30;24;25;27;22;27;23;27;26;34;30;28;36;28;19;33;29
22;26;18;29;21;28;27;24;25;25;26;27;33;28;27;38;31;20;33
23;25;29;23;27;21;31;31;23;28;25;27;28;37;28;29;37;34;23
24;41;28;32;30;33;22;30;36;31;24;26;29;29;36;25;32;35;37
25;33;41;29;27;40;31;22;34;36;27;29;26;29;32;38;28;30;36
26;35;40;47;31;33;43;32;28;30;34;30;35;32;30;32;39;34;31
27;43;36;42;56;47;41;55;40;31;32;39;27;36;39;31;33;40;34
28;40;42;43;45;60;49;43;55;37;32;39;46;22;35;39;31;36;44
29;52;41;47;53;47;62;53;48;56;37;34;39;46;30;41;38;32;32
30;56;58;50;45;67;50;71;55;44;55;43;38;41;50;29;40;34;30
31;43;59;61;54;60;74;58;75;49;50;52;45;42;45;54;32;48;28
32;47;42;61;62;67;62;79;61;78;47;49;62;45;48;45;58;34;43
33;34;46;39;54;71;78;61;78;61;75;49;50;60;50;54;49;64;32
34;35;32;52;39;64;82;82;67;74;61;80;51;47;64;49;50;45;62
35;46;39;34;52;46;67;75;87;61;68;61;82;56;47;68;46;52;47
36;32;51;37;37;60;48;74;80;84;58;70;57;79;58;49;64;52;56
37;54;37;47;38;41;68;49;74;74;87;59;67;52;79;57;50;62;52
38;49;54;39;49;42;46;74;48;74;75;93;58;65;58;82;54;54;62
39;36;49;58;39;54;46;49;72;51;74;73;90;61;60;52;77;55;52
40;32;37;49;59;41;52;47;53;69;50;74;68;85;65;59;52;74;51
41;29;32;44;45;60;41;50;49;52;64;51;76;63;80;62;58;51;77
42;41;33;36;46;52;59;45;52;48;52;63;55;76;64;77;60;57;53
43;23;41;34;36;53;46;63;46;55;50;55;67;51;79;70;77;61;59
44;23;23;42;33;45;53;47;60;47;58;48;54;66;53;80;76;78;67
45;30;22;25;46;29;44;55;47;60;49;57;47;57;69;56;78;78;75
46;35;33;23;25;46;33;46;54;46;62;49;59;50;57;64;55;79;79
47;30;36;33;22;24;45;35;46;53;45;61;52;57;52;58;61;55;75
48;28;26;36;33;22;22;42;35;46;49;45;61;49;58;54;56;61;55
49;31;31;23;35;36;23;22;44;34;44;52;46;62;48;57;54;56;62
50;48;33;29;23;37;35;22;20;42;34;43;52;43;59;46;57;50;55
51;36;47;33;30;25;32;36;23;21;44;35;41;50;40;58;44;60;50
52;42;35;49;32;32;27;35;34;21;20;45;36;44;46;39;61;47;59
53;47;42;37;47;31;33;26;35;37;22;20;49;37;44;42;39;66;47
54;44;46;42;39;44;31;37;26;36;32;21;20;50;36;43;45;39;64
55;46;44;47;42;40;45;30;38;26;38;32;23;21;48;37;42;43;43
56;21;52;46;49;45;39;46;32;37;25;43;34;25;20;45;36;43;44
57;23;22;50;45;49;43;37;48;33;35;27;45;33;26;19;46;37;42
58;32;24;22;51;46;48;40;37;47;33;36;30;46;35;21;18;45;34
59;32;32;23;22;50;47;48;42;38;45;32;34;27;46;36;22;21;46
60;31;32;33;23;22;46;44;43;41;40;47;32;34;27;48;37;23;20
61;45;33;32;31;21;22;45;47;42;45;40;48;30;34;27;48;38;23
62;28;43;34;34;31;21;24;46;44;41;45;40;48;30;36;29;47;37
63;24;28;40;32;34;32;23;24;45;44;42;46;41;48;31;34;28;46
64;21;23;27;40;33;37;33;22;25;45;45;42;47;39;48;30;32;27
65;23;20;24;27;40;33;37;32;21;24;45;45;43;47;39;47;29;30
66;22;24;16;24;25;42;30;34;34;22;24;43;46;42;46;38;46;29
67;19;23;22;16;23;24;43;30;34;35;21;24;43;44;41;46;38;44
68;23;19;23;22;15;22;24;41;28;30;35;22;23;41;44;41;46;39
69;8;20;21;21;22;18;25;24;40;28;30;35;21;23;42;46;39;46
70;15;6;22;21;21;19;17;25;25;40;27;30;34;21;23;42;46;39
71;12;18;6;22;20;19;17;17;25;25;38;26;30;33;21;22;41;45
72;16;12;19;8;21;18;19;17;18;28;24;38;25;28;32;20;22;40
73;15;15;11;18;9;20;18;18;17;18;26;24;35;25;29;31;21;20
74;11;11;14;11;16;9;20;18;21;17;17;24;24;35;25;28;31;19
75;12;11;12;12;11;15;9;20;18;19;16;18;23;23;33;26;28;30
76;11;12;11;12;11;11;17;9;19;16;18;16;18;21;22;33;26;27
77;10;11;14;11;12;10;11;17;9;19;15;19;13;18;21;25;33;25
78;17;10;11;12;11;13;9;13;15;9;16;17;19;14;18;21;24;31
79;7;16;10;11;10;9;10;10;13;15;8;16;16;16;14;17;21;24
80;9;7;14;10;11;10;9;10;10;11;14;8;14;16;16;14;13;21
81;5;8;7;15;10;11;10;7;10;11;11;11;8;13;16;13;14;14
82;8;5;5;5;14;8;11;8;7;10;11;11;10;7;13;15;12;14
83;4;8;4;5;4;13;8;11;7;8;10;6;9;9;6;9;13;11
84;1;4;7;4;5;4;13;8;11;7;8;9;5;9;9;6;8;13
85;3;2;4;7;4;7;4;13;7;8;6;7;8;5;8;8;6;8
86;5;3;2;4;7;4;5;4;12;7;5;4;6;8;3;7;8;5
87;1;1;3;2;4;6;3;4;4;12;6;5;4;4;7;2;5;8
88;6;1;2;2;2;4;6;3;1;3;11;7;3;4;3;5;2;6
89;1;6;1;4;2;2;1;5;2;2;2;11;6;3;3;3;4;1
90;7;1;5;1;4;1;2;1;3;2;2;1;11;3;1;4;3;3
91;0;6;1;5;1;2;1;1;1;3;2;1;1;10;2;1;4;1
92;0;1;4;1;4;1;1;1;1;2;3;1;1;1;10;2;1;3
93;1;0;0;2;1;3;1;1;1;1;1;4;2;1;2;6;2;1
94;0;0;0;0;2;1;2;0;1;1;1;1;4;2;1;1;2;2
95;0;1;0;0;0;0;0;1;0;1;1;0;0;2;1;1;1;1
96;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0
97;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
98;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Totale;2331;2408;2498;2565;2792;2892;2994;3082;3084;3097;3169;3222;3227;3303;3326;3346;3409;3420
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;10;10;10;19;28;21;19;28;25;18;17;20;31;25;21;20;23;20
1;12;14;12;11;22;30;19;16;29;20;23;16;19;31;26;17;19;22
2;5;12;16;12;11;21;29;20;15;28;18;21;18;19;30;21;18;18
3;8;4;12;19;13;15;21;31;17;18;28;21;19;20;17;30;26;19
4;12;13;9;10;20;14;15;22;31;16;18;26;20;19;19;17;29;24
5;12;11;15;8;13;21;14;11;21;29;18;16;24;21;17;19;18;29
6;5;12;9;17;8;13;23;15;10;22;30;15;16;20;20;15;23;19
7;15;6;11;10;18;7;16;24;15;9;23;30;16;17;21;20;13;23
8;18;15;5;12;9;18;8;16;23;13;10;19;28;16;17;22;20;14
9;13;19;15;4;12;9;17;11;16;23;13;12;19;28;16;17;23;21
10;9;12;19;15;6;13;9;19;9;16;25;14;12;19;29;16;17;20
11;14;11;14;20;17;5;12;10;17;10;17;25;14;12;20;30;16;16
12;12;15;11;14;22;15;6;12;10;18;10;18;25;14;12;21;28;16
13;12;13;16;12;16;23;15;6;13;10;16;11;19;25;14;10;20;27
14;9;13;13;16;12;17;22;15;8;13;11;19;10;19;25;14;10;20
15;10;10;11;13;16;11;17;22;15;6;13;12;19;9;20;27;13;11
16;13;11;11;12;12;17;11;17;21;16;6;12;11;20;8;22;24;12
17;14;13;10;10;14;13;16;11;17;21;16;7;13;10;17;8;19;24
18;11;14;13;10;9;17;11;16;12;17;21;16;8;16;12;20;8;18
19;11;11;15;14;9;5;17;10;15;13;18;19;17;9;15;11;19;11
20;9;12;11;15;13;11;6;16;11;17;13;19;18;17;8;14;11;19
